symbol,date,open,high,low,close,volume
ACCELYA,2008-06-09,46.1,48.5,45.0,47.5,17160
ACCELYA,2008-06-10,47.05,47.8,43.35,44.6,29232
ACCELYA,2008-06-11,45.0,46.95,42.5,43.7,37221
ACCELYA,2008-06-12,42.2,45.45,42.2,44.35,14092
ACCELYA,2008-06-13,45.3,47.4,44.35,46.7,16853
ACCELYA,2008-06-16,48.85,49.0,46.2,47.15,19926
ACCELYA,2008-06-17,48.2,48.9,47.25,48.05,7758
ACCELYA,2008-06-18,48.05,49.45,47.2,48.15,18261
ACCELYA,2008-06-19,47.8,48.0,46.65,47.15,10518
ACCELYA,2008-06-20,46.5,47.0,43.5,44.2,26423
ACCELYA,2008-06-23,43.5,44.4,42.0,42.65,11719
ACCELYA,2008-06-24,42.65,43.0,40.2,40.35,16296
ACCELYA,2008-06-25,40.4,41.0,38.05,39.15,24536
ACCELYA,2008-06-26,40.0,41.0,39.65,40.7,8585
ACCELYA,2008-06-27,38.0,40.45,36.05,39.7,10482
ACCELYA,2008-06-30,39.0,40.45,37.85,38.05,10451
ACCELYA,2008-07-01,37.8,39.0,36.45,36.85,10261
ACCELYA,2008-07-02,37.5,38.0,32.55,37.25,24300
ACCELYA,2008-07-03,37.0,38.0,36.0,36.5,8965
ACCELYA,2008-07-04,37.0,38.7,36.0,37.3,7775
ACCELYA,2008-07-07,37.15,41.0,37.15,39.3,10178
ACCELYA,2008-07-08,39.3,39.5,37.0,38.75,7900
ACCELYA,2008-07-09,40.0,41.3,38.65,40.1,13705
ACCELYA,2008-07-10,40.95,42.3,39.6,41.25,14408
ACCELYA,2008-07-11,41.3,42.0,39.5,39.6,8500
ACCELYA,2008-07-14,39.5,39.5,38.0,39.1,4536
ACCELYA,2008-07-15,39.4,39.4,36.1,36.55,22224
ACCELYA,2008-07-16,37.95,37.95,36.2,36.5,6849
ACCELYA,2008-07-17,38.0,38.2,36.9,37.45,5483
