symbol,date,open,high,low,close,volume
ACROPETAL,2016-01-01,1.6,1.65,1.5,1.65,78718
ACROPETAL,2016-01-04,1.65,1.85,1.65,1.85,219008
ACROPETAL,2016-01-05,1.85,2.15,1.85,2.0,564038
ACROPETAL,2016-01-06,2.125,2.15,2.0,2.0,249318
ACROPETAL,2016-01-07,2.0,2.0,1.75,1.9,150994
ACROPETAL,2016-01-08,2.15,2.15,1.925,2.075,211518
ACROPETAL,2016-01-11,2.1,2.125,1.975,2.05,100244
ACROPETAL,2016-01-12,2.0,2.05,1.9,2.0,94236
ACROPETAL,2016-01-13,1.95,1.975,1.725,1.775,122262
ACROPETAL,2016-01-14,1.55,1.825,1.55,1.775,48784
ACROPETAL,2016-01-15,1.8,1.9,1.675,1.825,59626
ACROPETAL,2016-01-18,1.75,1.825,1.4,1.625,220834
ACROPETAL,2016-01-19,1.525,1.7,1.525,1.7,36886
ACROPETAL,2016-01-20,1.65,1.725,1.575,1.6,57304
ACROPETAL,2016-01-21,1.5,1.7,1.5,1.55,30366
ACROPETAL,2016-01-22,1.55,1.7,1.55,1.65,47134
ACROPETAL,2016-01-25,1.575,1.7,1.575,1.7,97216
ACROPETAL,2016-01-27,1.8,1.8,1.4,1.675,45476
ACROPETAL,2016-01-28,1.75,1.75,1.55,1.6,82374
ACROPETAL,2016-01-29,1.625,1.7,1.6,1.625,40734
ACROPETAL,2016-02-01,1.75,1.75,1.6,1.6,30816
ACROPETAL,2016-02-02,1.6,1.6,1.6,1.6,26322
ACROPETAL,2016-02-03,1.55,1.675,1.55,1.55,29976
ACROPETAL,2016-02-04,1.55,1.6,1.55,1.6,9690
ACROPETAL,2016-02-05,1.55,1.625,1.525,1.55,13000
ACROPETAL,2016-02-08,1.525,1.7,1.525,1.65,12636
ACROPETAL,2016-02-09,1.625,1.625,1.5,1.55,62232
ACROPETAL,2016-02-10,1.55,1.55,1.4,1.5,15256
ACROPETAL,2016-02-11,1.425,1.5,1.4,1.4,56622
ACROPETAL,2016-02-12,1.4,1.475,1.35,1.45,33266
ACROPETAL,2016-02-15,1.4,1.475,1.4,1.475,23922
ACROPETAL,2016-02-16,1.475,1.475,1.4,1.4,8616
ACROPETAL,2016-02-17,1.425,1.45,1.35,1.45,16872
ACROPETAL,2016-02-18,1.4,1.5,1.4,1.45,19414
ACROPETAL,2016-02-19,1.4,1.5,1.4,1.425,29334
ACROPETAL,2016-02-22,1.425,1.475,1.375,1.45,22858
ACROPETAL,2016-02-23,1.225,1.7,1.225,1.4,57072
ACROPETAL,2016-02-24,1.35,1.475,1.35,1.45,9470
ACROPETAL,2016-02-25,1.4,1.5,1.4,1.475,26768
ACROPETAL,2016-02-26,1.45,1.475,1.4,1.4,38522
ACROPETAL,2016-02-29,1.4,1.45,1.35,1.375,28596
ACROPETAL,2016-03-01,1.35,1.45,1.35,1.45,9834
ACROPETAL,2016-03-02,1.45,1.5,1.4,1.475,15008
ACROPETAL,2016-03-03,1.5,1.6,1.45,1.475,10548
ACROPETAL,2016-03-04,1.35,1.525,1.35,1.525,49080
ACROPETAL,2016-03-08,1.3,1.5,1.3,1.425,35220
ACROPETAL,2016-03-09,1.4,1.5,1.4,1.425,6152
ACROPETAL,2016-03-10,1.475,1.5,1.425,1.5,10602
ACROPETAL,2016-03-11,1.5,1.5,1.425,1.425,17866
ACROPETAL,2016-03-14,1.375,1.5,1.375,1.425,11468
ACROPETAL,2016-03-15,1.45,1.45,1.4,1.4,12870
ACROPETAL,2016-03-16,1.375,1.45,1.375,1.4,4482
ACROPETAL,2016-03-17,1.475,1.475,1.375,1.4,24118
ACROPETAL,2016-03-18,1.375,1.425,1.375,1.425,35576
ACROPETAL,2016-03-21,1.35,1.425,1.35,1.35,59490
ACROPETAL,2016-03-22,1.425,1.425,1.35,1.4,6856
ACROPETAL,2016-03-23,1.4,1.4,1.325,1.375,19638
ACROPETAL,2016-03-28,1.375,1.425,1.325,1.35,8350
ACROPETAL,2016-03-29,1.3,1.375,1.3,1.375,13524
ACROPETAL,2016-03-30,1.3,1.375,1.3,1.375,16608
ACROPETAL,2016-03-31,1.3,1.4,1.3,1.375,36640
ACROPETAL,2016-04-01,1.375,1.375,1.35,1.35,5502
ACROPETAL,2016-04-04,1.4,1.4,1.325,1.35,45720
ACROPETAL,2016-04-05,1.225,1.375,1.225,1.35,23168
ACROPETAL,2016-04-06,1.25,1.4,1.25,1.4,31560
ACROPETAL,2016-04-07,1.35,1.4,1.325,1.35,13066
ACROPETAL,2016-04-08,1.35,1.4,1.325,1.325,6354
ACROPETAL,2016-04-11,1.35,1.575,1.35,1.45,64804
ACROPETAL,2016-04-12,1.375,1.475,1.375,1.45,25006
ACROPETAL,2016-04-13,1.45,1.5,1.325,1.4,104820
ACROPETAL,2016-04-18,1.4,1.425,1.35,1.35,11254
ACROPETAL,2016-04-20,1.35,1.475,1.325,1.45,42614
ACROPETAL,2016-04-21,1.35,1.725,1.35,1.5,114004
ACROPETAL,2016-04-22,1.425,1.5,1.4,1.5,70584
ACROPETAL,2016-04-25,1.425,1.475,1.425,1.425,18530
ACROPETAL,2016-04-26,1.425,1.475,1.35,1.4,47850
ACROPETAL,2016-04-27,1.475,1.525,1.4,1.475,43296
ACROPETAL,2016-04-28,1.4,1.475,1.4,1.425,19456
ACROPETAL,2016-04-29,1.475,1.475,1.4,1.475,13266
ACROPETAL,2016-05-02,1.45,1.475,1.35,1.4,5956
ACROPETAL,2016-05-03,1.375,1.475,1.375,1.4,26700
ACROPETAL,2016-05-04,1.375,1.5,1.375,1.45,40846
ACROPETAL,2016-05-05,1.5,1.5,1.35,1.425,51510
ACROPETAL,2016-05-06,2.2,3.0,2.2,2.75,48244
ACROPETAL,2016-05-09,2.85,2.95,2.85,2.95,37622
ACROPETAL,2016-05-10,2.75,2.95,2.45,2.7,137482
ACROPETAL,2016-05-11,2.75,2.75,2.65,2.7,12802
ACROPETAL,2016-05-12,2.8,2.8,2.65,2.7,4677
ACROPETAL,2016-05-13,2.8,2.8,2.65,2.65,1992
ACROPETAL,2016-05-16,2.65,2.8,2.2,2.6,24603
ACROPETAL,2016-05-17,2.6,2.8,2.6,2.75,1860
ACROPETAL,2016-05-18,2.95,2.95,2.65,2.65,14421
ACROPETAL,2016-05-19,2.7,2.8,2.7,2.75,1183
ACROPETAL,2016-05-20,2.65,2.65,2.65,2.65,2046
ACROPETAL,2016-05-23,2.6,2.6,2.55,2.55,10146
ACROPETAL,2016-05-24,2.5,2.6,2.45,2.6,31393
ACROPETAL,2016-05-25,2.65,2.65,2.6,2.6,12815
ACROPETAL,2016-05-26,2.6,2.7,2.5,2.5,33542
ACROPETAL,2016-05-27,2.5,2.5,2.5,2.5,2368
ACROPETAL,2016-05-30,2.5,2.6,2.4,2.5,15444
ACROPETAL,2016-05-31,2.45,2.5,2.4,2.4,7839
ACROPETAL,2016-06-01,2.5,2.5,2.3,2.35,55242
ACROPETAL,2016-06-02,2.4,2.4,2.3,2.3,26016
ACROPETAL,2016-06-03,2.3,2.3,2.2,2.25,37309
ACROPETAL,2016-06-06,2.2,2.25,2.1,2.25,9885
ACROPETAL,2016-06-07,2.35,2.35,2.3,2.35,6575
ACROPETAL,2016-06-08,2.25,2.25,2.25,2.25,751
ACROPETAL,2016-06-09,2.3,2.3,2.15,2.2,11414
ACROPETAL,2016-06-10,2.15,2.3,2.15,2.3,5305
ACROPETAL,2016-06-13,2.2,2.4,2.2,2.2,34322
ACROPETAL,2016-06-14,2.25,2.3,2.25,2.25,9140
ACROPETAL,2016-06-15,2.3,2.35,2.15,2.35,3778
ACROPETAL,2016-06-16,2.3,2.45,2.3,2.45,9500
ACROPETAL,2016-06-17,2.5,2.5,2.35,2.35,1544
ACROPETAL,2016-06-20,2.35,2.45,2.35,2.4,17697
ACROPETAL,2016-06-21,2.3,2.5,2.3,2.5,4521
ACROPETAL,2016-06-22,2.55,2.55,2.4,2.4,16607
ACROPETAL,2016-06-23,2.5,2.5,2.3,2.5,43702
ACROPETAL,2016-06-24,2.5,2.5,2.4,2.5,5315
ACROPETAL,2016-06-27,2.4,2.55,2.4,2.45,5684
ACROPETAL,2016-06-28,2.55,2.55,2.35,2.5,7099
ACROPETAL,2016-06-29,2.4,2.55,2.4,2.4,55682
ACROPETAL,2016-06-30,2.35,2.5,2.35,2.4,3490
ACROPETAL,2016-07-01,2.4,2.5,2.4,2.4,14766
ACROPETAL,2016-07-04,2.4,2.5,2.4,2.4,2411
ACROPETAL,2016-07-05,2.5,2.5,2.35,2.5,15174
ACROPETAL,2016-07-07,2.5,2.55,2.4,2.5,74394
ACROPETAL,2016-07-08,2.5,2.5,2.4,2.5,12234
ACROPETAL,2016-07-11,2.5,2.55,2.5,2.55,25143
ACROPETAL,2016-07-12,2.45,2.65,2.45,2.55,29468
ACROPETAL,2016-07-13,2.5,2.6,2.5,2.5,10518
ACROPETAL,2016-07-14,2.45,2.6,2.45,2.55,5381
ACROPETAL,2016-07-15,2.5,2.65,2.45,2.45,9749
ACROPETAL,2016-07-18,2.55,2.55,2.5,2.5,15311
ACROPETAL,2016-07-19,2.4,2.6,2.4,2.45,8090
ACROPETAL,2016-07-20,2.45,2.55,2.45,2.55,3260
ACROPETAL,2016-07-21,2.55,2.55,2.45,2.45,3669
ACROPETAL,2016-07-22,2.45,2.45,2.45,2.45,15250
ACROPETAL,2016-07-25,2.55,2.55,2.45,2.45,3866
ACROPETAL,2016-07-26,2.45,2.55,2.45,2.55,5252
ACROPETAL,2016-07-27,2.6,2.6,2.45,2.55,14455
ACROPETAL,2016-07-28,2.45,2.6,2.45,2.6,14499
ACROPETAL,2016-07-29,2.6,2.6,2.5,2.6,3640
ACROPETAL,2016-08-01,2.6,2.6,2.5,2.55,7585
ACROPETAL,2016-08-02,2.65,2.65,2.45,2.65,4318
ACROPETAL,2016-08-04,2.55,2.55,2.55,2.55,1006
ACROPETAL,2016-08-05,2.5,2.5,2.5,2.5,650
ACROPETAL,2016-08-08,2.5,2.6,2.45,2.55,7310
ACROPETAL,2016-08-09,2.4,2.55,2.4,2.55,6550
ACROPETAL,2016-08-10,2.45,2.45,2.45,2.45,3252
ACROPETAL,2016-08-11,2.45,2.45,2.45,2.45,470
ACROPETAL,2016-08-12,2.35,2.55,2.35,2.35,1701
ACROPETAL,2016-08-16,2.35,2.45,2.35,2.35,940
