symbol,date,open,high,low,close,volume
ACRYSIL,2021-01-14,204.0,204.0,197.05,200.5,33648
ACRYSIL,2021-01-15,202.8,202.8,192.05,198.2,37531
ACRYSIL,2021-01-18,198.95,198.95,189.05,191.0,42293
ACRYSIL,2021-01-19,195.8,197.0,190.0,194.1,38340
ACRYSIL,2021-01-20,193.75,200.8,190.55,196.95,42670
ACRYSIL,2021-01-21,197.95,197.95,191.5,192.5,31291
ACRYSIL,2021-01-22,192.2,196.65,186.3,189.7,47501
ACRYSIL,2021-01-25,190.0,196.9,181.25,183.35,65152
ACRYSIL,2021-01-27,184.95,192.5,183.0,186.5,47264
ACRYSIL,2021-01-28,189.6,192.0,182.1,187.95,30900
ACRYSIL,2021-01-29,190.05,193.25,184.0,186.85,15588
ACRYSIL,2021-02-01,190.0,190.65,184.25,187.4,43168
ACRYSIL,2021-02-02,195.25,196.7,187.7,194.25,55627
ACRYSIL,2021-02-03,197.85,197.85,189.55,190.0,49909
ACRYSIL,2021-02-04,194.9,199.2,190.6,198.5,83018
ACRYSIL,2021-02-05,202.4,208.4,198.1,208.4,197878
ACRYSIL,2021-02-08,218.8,218.8,218.8,218.8,14777
ACRYSIL,2021-02-09,229.7,229.7,229.7,229.7,16828
ACRYSIL,2021-02-10,241.15,241.15,229.7,241.15,311669
ACRYSIL,2021-02-11,253.2,253.2,253.2,253.2,9902
ACRYSIL,2021-02-12,265.85,265.85,243.0,265.85,256316
ACRYSIL,2021-02-15,279.1,279.1,274.05,279.1,83929
ACRYSIL,2021-02-16,289.0,289.0,264.4,264.6,262345
ACRYSIL,2021-02-17,256.05,277.8,254.4,277.8,120884
ACRYSIL,2021-02-18,284.8,291.65,263.95,291.65,221217
ACRYSIL,2021-02-19,293.0,301.25,278.8,301.25,116517
ACRYSIL,2021-02-22,315.0,316.3,306.15,316.3,50290
ACRYSIL,2021-02-23,328.0,332.1,300.5,301.75,364143
ACRYSIL,2021-02-24,295.5,302.4,286.0,288.0,100034
ACRYSIL,2021-02-25,294.8,302.05,289.5,302.05,71373
ACRYSIL,2021-02-26,303.0,317.15,303.0,307.1,236351
ACRYSIL,2021-03-01,322.0,322.45,320.0,322.45,24775
ACRYSIL,2021-03-02,338.55,338.55,325.15,338.55,147310
ACRYSIL,2021-03-03,349.95,350.0,324.95,330.95,173721
ACRYSIL,2021-03-04,331.0,347.45,322.5,339.2,114572
ACRYSIL,2021-03-05,343.0,350.0,325.65,341.0,76366
ACRYSIL,2021-03-08,350.0,358.8,335.0,358.8,115438
ACRYSIL,2021-03-09,374.0,376.7,355.0,363.4,180497
ACRYSIL,2021-03-10,369.9,374.75,360.0,366.3,80737
ACRYSIL,2021-03-12,366.3,374.5,348.0,348.0,132967
ACRYSIL,2021-03-15,351.0,358.9,333.15,343.95,138729
ACRYSIL,2021-03-16,345.05,361.0,340.0,346.6,53905
ACRYSIL,2021-03-17,354.4,354.4,329.3,336.0,95304
ACRYSIL,2021-03-18,337.6,344.75,314.9,322.95,68726
ACRYSIL,2021-03-19,311.0,335.45,304.0,335.45,115478
ACRYSIL,2021-03-22,338.0,341.65,325.0,331.0,55861
ACRYSIL,2021-03-23,337.5,347.35,334.35,347.35,68940
ACRYSIL,2021-03-24,347.35,361.0,338.8,342.85,115709
ACRYSIL,2021-03-25,345.0,350.0,325.75,325.75,140854
ACRYSIL,2021-03-26,325.75,334.0,309.5,315.0,227362
ACRYSIL,2021-03-30,320.0,326.65,314.0,322.8,47554
ACRYSIL,2021-03-31,325.0,325.0,307.9,307.9,55411
ACRYSIL,2021-04-01,317.9,323.25,317.9,323.25,39852
ACRYSIL,2021-04-05,334.8,339.4,326.7,339.4,191798
ACRYSIL,2021-04-06,332.0,356.35,325.0,356.35,201739
ACRYSIL,2021-04-07,359.4,374.15,359.35,374.15,235058
ACRYSIL,2021-04-08,390.0,393.55,356.95,361.05,280941
ACRYSIL,2021-04-09,365.0,378.35,360.0,363.0,121490
ACRYSIL,2021-04-12,350.2,358.8,328.25,339.95,150073
ACRYSIL,2021-04-13,333.0,351.4,328.45,338.6,128972
ACRYSIL,2021-04-15,336.0,347.4,321.2,331.95,115607
ACRYSIL,2021-04-16,326.1,336.8,326.1,333.6,46568
ACRYSIL,2021-04-19,322.0,325.0,307.55,312.95,150402
ACRYSIL,2021-04-20,331.0,331.0,310.0,313.0,62002
ACRYSIL,2021-04-22,316.75,331.0,311.0,329.9,105993
ACRYSIL,2021-04-23,333.7,333.7,320.0,321.35,57156
