symbol,date,open,high,low,close,volume
ADVANTA,2016-01-01,445.05,449.5,440.75,447.0,15124
ADVANTA,2016-01-04,442.4,452.0,435.0,440.0,15002
ADVANTA,2016-01-05,440.0,443.5,434.0,441.2,340676
ADVANTA,2016-01-06,443.8,452.3,436.55,448.4,45471
ADVANTA,2016-01-07,443.0,446.35,424.0,428.0,60425
ADVANTA,2016-01-08,430.0,443.8,430.0,439.35,16384
ADVANTA,2016-01-11,432.0,445.0,425.1,444.0,17086
ADVANTA,2016-01-12,444.0,448.95,430.45,431.1,12886
ADVANTA,2016-01-13,439.95,440.0,408.0,416.6,28110
ADVANTA,2016-01-14,410.0,415.75,402.05,409.8,14473
ADVANTA,2016-01-15,415.95,415.95,391.7,397.95,27535
ADVANTA,2016-01-18,395.0,399.7,372.0,389.7,40122
ADVANTA,2016-01-19,392.9,404.3,392.7,400.3,14394
ADVANTA,2016-01-20,399.3,399.3,378.05,378.7,15215
ADVANTA,2016-01-21,383.4,390.9,382.6,384.05,13522
ADVANTA,2016-01-22,391.95,408.0,380.1,402.2,15224
ADVANTA,2016-01-25,407.0,411.1,401.1,407.0,7527
ADVANTA,2016-01-27,413.7,421.0,408.45,419.7,11070
ADVANTA,2016-01-28,423.8,424.7,417.05,418.05,4524
ADVANTA,2016-01-29,418.4,445.0,415.3,440.55,18934
ADVANTA,2016-02-01,457.0,473.95,441.35,442.0,83829
ADVANTA,2016-02-02,442.0,444.0,420.3,420.4,17938
ADVANTA,2016-02-03,418.95,419.6,409.0,413.4,7818
ADVANTA,2016-02-04,416.5,424.0,403.05,411.7,9410
ADVANTA,2016-02-05,410.0,421.0,407.2,417.0,14496
ADVANTA,2016-02-08,413.5,422.35,407.35,409.9,9127
ADVANTA,2016-02-09,407.35,408.0,393.05,396.5,10389
ADVANTA,2016-02-10,395.0,401.5,392.0,400.0,10390
ADVANTA,2016-02-11,396.0,402.0,381.7,392.45,15353
ADVANTA,2016-02-12,390.1,398.95,375.0,387.0,20203
ADVANTA,2016-02-15,395.95,413.9,394.3,412.0,16808
ADVANTA,2016-02-16,413.0,420.0,405.95,407.35,18837
ADVANTA,2016-02-17,395.5,410.8,385.9,402.9,11677
ADVANTA,2016-02-18,413.0,413.0,393.05,396.5,5094
ADVANTA,2016-02-19,394.0,405.65,390.6,404.15,13781
ADVANTA,2016-02-22,406.95,409.0,398.2,404.0,13982
ADVANTA,2016-02-23,408.9,409.95,393.7,399.1,11141
ADVANTA,2016-02-24,403.95,403.95,388.5,389.0,8876
ADVANTA,2016-02-25,395.3,396.0,371.45,394.0,8353
ADVANTA,2016-02-26,398.95,400.9,385.1,385.25,5046
ADVANTA,2016-02-29,387.3,395.0,380.0,387.0,19356
ADVANTA,2016-03-01,394.85,416.0,390.05,416.0,33596
ADVANTA,2016-03-02,414.0,432.45,413.05,417.3,23051
ADVANTA,2016-03-03,429.0,430.0,418.0,428.2,13819
ADVANTA,2016-03-04,432.0,451.5,428.9,443.5,21231
ADVANTA,2016-03-08,441.1,448.5,436.1,445.45,13384
ADVANTA,2016-03-09,440.0,447.8,436.6,440.6,16424
ADVANTA,2016-03-10,444.95,456.5,443.1,448.0,15279
ADVANTA,2016-03-11,450.5,450.5,441.0,446.2,3423
ADVANTA,2016-03-14,447.7,456.7,443.0,446.45,19139
ADVANTA,2016-03-15,446.95,449.7,435.6,439.85,28180
ADVANTA,2016-03-16,435.05,439.0,428.9,435.1,5748
ADVANTA,2016-03-17,443.7,450.6,435.5,446.0,40008
ADVANTA,2016-03-18,449.0,450.0,440.0,447.9,4949
ADVANTA,2016-03-21,454.9,454.9,443.55,451.0,14729
ADVANTA,2016-03-22,450.0,457.5,443.5,453.75,11049
ADVANTA,2016-03-23,450.0,469.5,449.95,469.5,16970
ADVANTA,2016-03-28,472.0,472.45,460.0,464.95,5898
ADVANTA,2016-03-29,458.0,470.0,456.05,460.2,6792
ADVANTA,2016-03-30,464.0,481.95,456.7,480.55,33177
ADVANTA,2016-03-31,480.55,487.95,474.05,486.2,7896
ADVANTA,2016-04-01,486.0,498.0,472.0,475.0,7456
ADVANTA,2016-04-04,482.9,482.9,470.1,474.0,15999
ADVANTA,2016-04-05,470.45,482.25,463.05,467.0,19756
ADVANTA,2016-04-06,466.0,469.0,455.1,463.3,4317
ADVANTA,2016-04-07,465.65,473.1,458.0,466.8,4796
ADVANTA,2016-04-08,468.5,472.0,460.35,466.0,2105
ADVANTA,2016-04-11,466.05,480.0,463.15,477.95,5249
ADVANTA,2016-04-12,483.3,502.2,481.9,495.1,1081493
ADVANTA,2016-04-13,502.4,509.9,500.0,508.3,59557
ADVANTA,2016-04-18,508.15,515.45,501.05,511.5,26156
ADVANTA,2016-04-20,510.0,514.0,501.1,508.5,8212
ADVANTA,2016-04-21,513.95,519.65,509.05,512.0,14320
ADVANTA,2016-04-22,510.15,528.5,510.0,525.25,19500
ADVANTA,2016-04-25,525.0,529.7,516.0,527.0,10133
ADVANTA,2016-04-26,523.1,528.4,512.05,516.75,9186
ADVANTA,2016-04-27,515.0,522.0,511.25,518.95,6197
ADVANTA,2016-04-28,517.6,525.0,516.65,522.0,13555
ADVANTA,2016-04-29,525.0,547.0,521.7,543.05,18149
ADVANTA,2016-05-02,543.75,608.5,543.75,602.4,244150
ADVANTA,2016-05-03,602.5,612.0,582.2,585.9,131873
ADVANTA,2016-05-04,586.0,594.0,576.95,589.0,44484
ADVANTA,2016-05-05,588.75,614.9,585.0,599.95,95296
ADVANTA,2016-05-06,597.0,614.8,592.1,598.0,54987
ADVANTA,2016-05-09,600.9,601.05,590.0,598.7,37347
ADVANTA,2016-05-10,599.0,607.0,595.05,599.0,21521
ADVANTA,2016-05-11,592.0,607.0,590.0,600.8,36816
ADVANTA,2016-05-12,602.55,618.1,602.55,613.0,53010
ADVANTA,2016-05-13,614.9,626.0,592.1,596.2,100254
ADVANTA,2016-05-16,599.3,602.95,591.1,592.0,19295
ADVANTA,2016-05-17,596.85,604.0,588.7,589.25,20080
ADVANTA,2016-05-18,591.8,591.8,577.5,581.3,8757
ADVANTA,2016-05-19,584.35,586.9,571.35,573.05,11785
ADVANTA,2016-05-20,576.8,592.75,567.1,592.75,14921
ADVANTA,2016-05-23,592.85,595.7,581.0,587.85,6480
ADVANTA,2016-05-24,586.65,586.65,577.3,580.7,2114
ADVANTA,2016-05-25,589.95,601.65,586.8,600.0,14357
ADVANTA,2016-05-26,601.55,610.05,595.0,608.2,13365
ADVANTA,2016-05-27,605.85,617.3,605.85,607.0,7468
ADVANTA,2016-05-30,610.0,615.0,602.05,607.85,4515
ADVANTA,2016-05-31,606.0,666.4,605.15,649.0,252015
ADVANTA,2016-06-01,647.5,649.0,615.1,615.4,60442
ADVANTA,2016-06-02,610.6,630.4,608.3,622.0,27983
ADVANTA,2016-06-03,626.0,638.0,625.5,632.0,38616
ADVANTA,2016-06-06,636.8,636.8,625.15,626.0,10436
ADVANTA,2016-06-07,629.0,633.0,614.4,615.35,14026
ADVANTA,2016-06-08,616.0,626.0,612.05,614.55,10100
ADVANTA,2016-06-09,616.85,618.2,605.0,610.0,6681
ADVANTA,2016-06-10,602.6,605.0,597.65,599.7,7661
ADVANTA,2016-06-13,594.0,609.95,588.0,603.0,6792
ADVANTA,2016-06-14,601.0,604.85,594.0,597.6,3151
ADVANTA,2016-06-15,595.05,610.0,585.1,601.9,19508
ADVANTA,2016-06-16,600.65,600.65,588.0,591.55,12450
ADVANTA,2016-06-17,598.0,605.1,593.0,595.0,28416
ADVANTA,2016-06-20,592.0,595.0,586.0,587.2,6234
ADVANTA,2016-06-21,592.35,594.0,584.0,588.95,2153
ADVANTA,2016-06-22,588.95,592.9,578.0,578.05,5257
ADVANTA,2016-06-23,579.1,581.0,561.05,562.55,8697
ADVANTA,2016-06-24,556.0,569.95,515.95,560.35,25217
ADVANTA,2016-06-27,563.0,572.1,562.0,566.1,4584
ADVANTA,2016-06-28,573.0,576.6,564.0,573.95,6220
ADVANTA,2016-06-29,574.0,578.55,573.0,577.95,4915
ADVANTA,2016-06-30,580.6,590.0,578.0,580.1,15201
ADVANTA,2016-07-01,587.0,592.9,581.0,584.0,5190
ADVANTA,2016-07-04,582.0,593.7,582.0,585.05,5292
ADVANTA,2016-07-05,582.0,584.0,574.8,578.35,8427
ADVANTA,2016-07-07,580.0,586.3,577.0,581.9,8363
ADVANTA,2016-07-08,580.0,586.0,574.0,575.05,9639
ADVANTA,2016-07-11,581.85,585.0,568.05,568.8,8306
ADVANTA,2016-07-12,574.5,575.0,568.7,571.0,4579
ADVANTA,2016-07-13,568.0,588.7,568.0,583.25,11417
ADVANTA,2016-07-14,585.1,593.0,584.9,592.25,5674
ADVANTA,2016-07-15,594.9,598.5,584.85,584.85,15186
ADVANTA,2016-07-18,583.1,590.0,575.55,577.0,4761
ADVANTA,2016-07-19,585.45,585.95,571.05,579.0,20148
ADVANTA,2016-07-20,578.0,581.0,571.3,576.8,14512
ADVANTA,2016-07-21,580.0,591.85,574.05,586.5,37578
ADVANTA,2016-07-22,588.0,617.7,583.0,613.3,64288
ADVANTA,2016-07-25,620.0,620.0,605.65,609.0,35304
ADVANTA,2016-07-26,611.05,623.95,601.05,607.6,13535
ADVANTA,2016-07-27,609.7,645.0,609.7,635.1,77718
ADVANTA,2016-07-28,642.0,648.0,633.0,643.95,55980
ADVANTA,2016-07-29,650.0,655.0,635.1,645.2,390820
