symbol,date,open,high,low,close,volume
AFFLE,2019-08-08,185.2,191.74,150.0,174.73,41809875
AFFLE,2019-08-09,168.99,176.98,167.04,168.61,3372605
AFFLE,2019-08-13,169.94,171.94,165.61,166.57,956690
AFFLE,2019-08-14,166.62,168.06,165.46,167.03,517675
AFFLE,2019-08-16,164.4,167.0,158.0,161.18,310735
AFFLE,2019-08-19,161.63,161.8,153.18,158.84,873355
AFFLE,2019-08-20,159.6,163.6,159.1,160.94,541255
AFFLE,2019-08-21,160.2,162.0,156.56,157.95,315945
AFFLE,2019-08-22,158.0,158.88,155.23,156.32,188680
AFFLE,2019-08-23,156.0,157.18,154.12,155.5,186785
AFFLE,2019-08-26,158.0,158.01,155.8,156.26,106105
AFFLE,2019-08-27,156.22,169.8,156.22,167.65,470205
AFFLE,2019-08-28,168.28,171.11,165.43,166.11,193640
AFFLE,2019-08-29,166.4,169.79,164.15,164.49,121360
AFFLE,2019-08-30,165.99,169.8,160.92,167.86,139890
AFFLE,2019-09-03,167.6,170.0,166.55,167.12,67865
AFFLE,2019-09-04,166.6,169.82,165.69,166.58,68375
AFFLE,2019-09-05,166.62,167.8,165.39,165.69,41220
AFFLE,2019-09-06,165.8,170.4,165.11,168.5,302255
AFFLE,2019-09-09,168.4,179.99,166.06,169.4,625115
AFFLE,2019-09-11,170.2,173.4,167.0,169.96,268095
AFFLE,2019-09-12,172.0,176.36,168.41,171.55,351835
AFFLE,2019-09-13,172.8,181.8,169.8,179.23,453790
AFFLE,2019-09-16,180.0,189.8,179.23,188.06,963315
AFFLE,2019-09-17,189.4,195.0,183.24,185.95,1074105
AFFLE,2019-09-18,186.98,191.76,179.18,189.72,455350
AFFLE,2019-09-19,190.0,194.4,185.4,188.03,352830
AFFLE,2019-09-20,187.0,199.0,186.31,194.59,636190
AFFLE,2019-09-23,197.99,201.0,195.4,199.96,390200
AFFLE,2019-09-24,196.24,200.0,194.4,196.88,193970
AFFLE,2019-09-25,196.72,220.86,193.42,216.28,1620940
AFFLE,2019-09-26,221.6,238.0,218.01,234.87,1103745
AFFLE,2019-09-27,238.2,244.0,229.4,240.48,1569285
AFFLE,2019-09-30,240.0,245.0,220.52,225.06,602020
AFFLE,2019-10-01,225.0,232.0,209.25,215.93,400335
AFFLE,2019-10-03,214.77,227.6,207.05,215.01,415855
AFFLE,2019-10-04,217.0,230.97,217.0,222.58,421525
AFFLE,2019-10-07,225.8,231.74,220.2,221.14,363165
AFFLE,2019-10-09,223.19,253.8,218.6,246.82,1182685
AFFLE,2019-10-10,247.8,258.92,238.0,239.64,1003190
AFFLE,2019-10-11,241.88,244.8,232.0,237.4,441800
AFFLE,2019-10-14,238.4,249.0,236.44,240.18,575710
AFFLE,2019-10-15,241.8,244.03,232.07,233.43,336420
AFFLE,2019-10-16,233.58,244.0,232.82,235.6,371445
AFFLE,2019-10-17,236.22,239.4,228.0,230.23,437085
AFFLE,2019-10-18,231.92,244.98,230.65,239.58,830105
AFFLE,2019-10-22,239.04,250.6,237.06,243.59,794995
AFFLE,2019-10-23,249.0,292.0,246.72,279.5,3906640
AFFLE,2019-10-24,282.6,287.8,259.2,272.59,1717040
AFFLE,2019-10-25,274.0,287.6,272.1,284.15,1459610
AFFLE,2019-10-27,290.0,295.56,284.2,293.26,407835
AFFLE,2019-10-29,294.98,294.98,284.32,287.79,401360
AFFLE,2019-10-30,288.02,290.98,284.2,285.6,243975
AFFLE,2019-10-31,286.92,289.54,275.03,277.51,338675
AFFLE,2019-11-01,279.69,285.6,277.02,279.43,303575
AFFLE,2019-11-04,281.58,292.2,279.0,283.58,573060
AFFLE,2019-11-05,284.0,285.58,275.4,277.61,210380
AFFLE,2019-11-06,277.0,288.78,272.05,274.6,452210
AFFLE,2019-11-07,277.0,278.6,268.0,271.27,315270
AFFLE,2019-11-08,277.6,285.6,273.26,279.15,1367435
AFFLE,2019-11-11,306.0,306.0,281.0,296.55,3742400
AFFLE,2019-11-13,301.77,335.6,300.03,330.11,3293610
AFFLE,2019-11-14,333.0,340.85,317.0,332.76,2212900
AFFLE,2019-11-15,335.4,336.8,324.0,327.68,1031525
AFFLE,2019-11-18,329.76,335.0,325.39,327.33,700615
AFFLE,2019-11-19,329.0,329.8,321.45,324.99,377565
AFFLE,2019-11-20,325.99,329.6,324.0,326.75,415645
AFFLE,2019-11-21,326.75,345.58,324.52,337.91,1658755
AFFLE,2019-11-22,340.58,347.8,334.8,337.83,1433820
AFFLE,2019-11-25,334.15,338.6,313.4,316.85,837525
AFFLE,2019-11-26,316.96,321.74,305.6,309.57,777200
AFFLE,2019-11-27,310.0,320.35,310.0,317.58,648260
AFFLE,2019-11-28,319.6,323.96,310.0,313.52,600420
AFFLE,2019-11-29,314.0,315.6,300.45,304.29,415930
AFFLE,2019-12-02,312.0,313.6,296.02,298.04,436025
AFFLE,2019-12-03,297.11,302.53,294.0,295.93,492570
AFFLE,2019-12-04,295.0,298.0,287.0,294.1,436050
AFFLE,2019-12-05,296.5,307.6,295.0,299.55,689550
AFFLE,2019-12-06,301.56,301.6,291.2,293.81,349800
AFFLE,2019-12-09,294.0,294.06,277.61,280.83,372960
AFFLE,2019-12-10,281.59,284.64,260.87,268.24,701315
AFFLE,2019-12-11,270.82,290.0,270.01,288.39,1494800
AFFLE,2019-12-12,292.01,303.57,290.0,294.95,1290135
AFFLE,2019-12-13,299.56,302.4,296.0,298.39,425855
AFFLE,2019-12-16,300.59,300.59,288.0,288.69,316480
AFFLE,2019-12-17,289.34,297.0,288.83,292.33,318405
AFFLE,2019-12-18,293.4,293.4,282.0,285.15,329290
AFFLE,2019-12-19,286.0,294.52,284.01,291.21,396690
AFFLE,2019-12-20,291.21,292.96,286.42,287.72,170620
AFFLE,2019-12-23,288.8,288.98,283.0,283.91,167570
AFFLE,2019-12-24,284.8,312.98,283.4,309.53,2472720
AFFLE,2019-12-26,309.64,321.92,309.64,318.86,1498845
AFFLE,2019-12-27,318.97,319.6,310.0,311.44,462825
AFFLE,2019-12-30,311.4,323.86,310.01,322.2,868605
AFFLE,2019-12-31,323.94,324.89,315.0,316.27,465915
AFFLE,2020-01-01,316.0,324.2,315.23,322.28,496280
AFFLE,2020-01-02,323.0,324.96,315.91,317.53,324775
AFFLE,2020-01-03,318.0,321.46,311.48,312.49,440195
AFFLE,2020-01-06,314.98,314.98,303.06,305.38,373815
AFFLE,2020-01-07,307.31,318.8,307.31,311.82,388200
AFFLE,2020-01-08,305.14,311.19,305.0,306.39,231700
AFFLE,2020-01-09,313.98,319.8,310.6,316.16,334520
AFFLE,2020-01-10,316.8,322.0,311.0,312.55,243040
AFFLE,2020-01-13,313.8,318.4,310.2,311.66,168855
AFFLE,2020-01-14,312.34,316.6,310.22,311.35,184960
AFFLE,2020-01-15,313.0,314.8,307.08,308.98,142760
AFFLE,2020-01-16,311.0,311.98,308.0,308.92,124430
AFFLE,2020-01-17,311.58,333.99,310.2,318.21,1710295
AFFLE,2020-01-20,320.0,321.97,309.04,311.24,343070
AFFLE,2020-01-21,310.8,312.98,301.0,302.74,521865
AFFLE,2020-01-22,306.2,310.0,299.0,300.7,502390
AFFLE,2020-01-23,302.94,309.71,300.43,304.24,388765
AFFLE,2020-01-24,306.36,307.73,303.15,304.53,191005
AFFLE,2020-01-27,303.76,324.14,301.45,320.45,1123710
