symbol,date,open,high,low,close,volume
AGSTRA,2022-01-31,175.0,181.85,154.0,161.05,17654502
AGSTRA,2022-02-01,160.9,168.4,157.2,160.35,3534400
AGSTRA,2022-02-02,161.75,169.75,155.1,165.8,3292939
AGSTRA,2022-02-03,170.5,173.95,166.1,171.3,3262770
AGSTRA,2022-02-04,172.0,173.0,165.1,165.6,985376
AGSTRA,2022-02-07,165.0,167.25,156.0,158.0,748846
AGSTRA,2022-02-08,159.25,161.0,151.2,153.15,964790
AGSTRA,2022-02-09,153.7,155.7,148.8,149.8,753911
AGSTRA,2022-02-10,150.4,153.9,144.3,148.85,2166398
AGSTRA,2022-02-11,147.0,148.95,135.0,142.1,1290602
AGSTRA,2022-02-14,135.0,137.75,123.25,129.15,1516702
AGSTRA,2022-02-15,121.0,131.7,120.95,123.1,2019344
AGSTRA,2022-02-16,125.05,131.9,123.45,127.6,1581184
AGSTRA,2022-02-17,129.0,133.7,126.25,129.45,853103
AGSTRA,2022-02-18,128.0,129.0,122.8,124.2,492873
AGSTRA,2022-02-21,124.2,124.75,112.0,113.4,835238
AGSTRA,2022-02-22,111.0,111.0,103.2,104.55,1104589
AGSTRA,2022-02-23,104.55,108.55,104.55,105.65,761275
AGSTRA,2022-02-24,103.0,103.0,95.0,97.9,1142115
AGSTRA,2022-02-25,99.0,103.0,99.0,101.55,369707
AGSTRA,2022-02-28,100.5,104.8,97.4,99.9,950850
AGSTRA,2022-03-02,99.0,109.85,98.05,109.85,852888
AGSTRA,2022-03-03,119.5,120.8,115.5,120.8,1575954
AGSTRA,2022-03-04,120.8,122.65,114.0,115.25,760589
AGSTRA,2022-03-07,111.05,112.7,106.95,108.15,451603
AGSTRA,2022-03-08,109.9,111.3,97.35,106.55,347802
AGSTRA,2022-03-09,108.0,113.8,106.9,110.85,499445
AGSTRA,2022-03-10,114.75,117.75,110.85,111.8,497850
AGSTRA,2022-03-11,111.0,114.2,107.0,107.7,1073042
AGSTRA,2022-03-14,108.7,109.9,104.0,105.45,336511
AGSTRA,2022-03-15,107.0,107.0,99.25,102.3,352276
AGSTRA,2022-03-16,104.35,105.0,102.4,103.3,687907
AGSTRA,2022-03-17,103.7,106.0,103.7,104.05,446340
AGSTRA,2022-03-21,106.0,106.0,101.25,102.35,1118591
AGSTRA,2022-03-22,102.45,103.8,101.45,101.9,680604
AGSTRA,2022-03-23,102.95,103.5,100.3,100.85,460937
AGSTRA,2022-03-24,100.2,102.3,100.2,101.15,223668
AGSTRA,2022-03-25,101.2,102.6,99.9,100.1,267082
AGSTRA,2022-03-28,99.0,100.45,98.4,98.7,628571
AGSTRA,2022-03-29,98.75,99.9,96.75,97.0,984822
AGSTRA,2022-03-30,98.8,105.7,98.25,101.3,464269
AGSTRA,2022-03-31,102.65,102.7,100.0,100.2,161444
AGSTRA,2022-04-01,100.2,106.95,100.2,106.2,503508
AGSTRA,2022-04-04,106.95,111.45,104.5,109.5,542939
AGSTRA,2022-04-05,110.55,111.7,106.55,110.45,509502
AGSTRA,2022-04-06,109.95,115.0,108.5,112.8,382424
AGSTRA,2022-04-07,113.85,114.7,108.0,108.45,283820
AGSTRA,2022-04-08,109.0,110.9,108.15,109.3,196673
AGSTRA,2022-04-11,108.4,110.0,107.8,108.2,227159
AGSTRA,2022-04-12,109.75,109.75,103.9,104.45,282576
AGSTRA,2022-04-13,105.85,108.0,105.05,105.5,229897
AGSTRA,2022-04-18,104.0,106.0,102.55,104.1,167821
AGSTRA,2022-04-19,105.05,108.0,104.35,105.6,303719
AGSTRA,2022-04-20,105.0,106.5,101.2,103.5,288048
AGSTRA,2022-04-21,103.7,116.0,103.7,112.6,1327965
AGSTRA,2022-04-22,112.0,118.3,111.0,114.5,1158649
AGSTRA,2022-04-25,114.5,117.45,111.25,116.05,582776
AGSTRA,2022-04-26,117.4,127.35,117.35,125.8,1622606
AGSTRA,2022-04-27,124.95,126.8,119.05,121.1,822952
AGSTRA,2022-04-28,121.1,125.35,115.85,117.1,492088
AGSTRA,2022-04-29,118.0,128.5,114.65,124.7,1291698
AGSTRA,2022-05-02,122.0,126.6,118.15,119.0,495952
AGSTRA,2022-05-04,119.95,122.0,111.15,113.0,661858
AGSTRA,2022-05-05,115.8,116.4,108.2,109.6,308903
AGSTRA,2022-05-06,107.6,110.6,105.0,108.25,323474
AGSTRA,2022-05-09,106.8,107.65,103.8,105.45,181258
AGSTRA,2022-05-10,106.3,110.8,101.0,104.05,259177
AGSTRA,2022-05-11,104.1,105.7,97.55,99.8,467215
AGSTRA,2022-05-12,99.9,102.35,96.0,97.0,440350
AGSTRA,2022-05-13,100.2,102.0,95.75,96.85,366806
AGSTRA,2022-05-16,99.2,99.95,95.5,98.2,454258
AGSTRA,2022-05-17,98.2,99.25,96.5,97.85,356259
AGSTRA,2022-05-18,98.65,101.6,97.1,97.65,546425
AGSTRA,2022-05-19,96.5,97.15,95.05,95.5,295121
AGSTRA,2022-05-20,97.25,98.1,95.0,96.1,381109
AGSTRA,2022-05-23,96.9,97.0,92.85,93.2,350117
AGSTRA,2022-05-24,93.5,94.2,90.4,90.9,299145
AGSTRA,2022-05-25,91.5,91.55,87.4,87.8,262225
AGSTRA,2022-05-26,88.1,89.0,85.05,87.85,491780
AGSTRA,2022-05-27,89.4,93.2,88.35,92.4,431910
AGSTRA,2022-05-30,92.6,93.35,87.0,87.9,468042
AGSTRA,2022-05-31,87.2,90.8,86.4,89.65,421109
AGSTRA,2022-06-01,89.65,91.0,88.4,88.8,180466
AGSTRA,2022-06-02,88.8,89.5,86.4,86.85,266650
AGSTRA,2022-06-03,88.0,88.2,86.0,86.5,258945
AGSTRA,2022-06-06,87.0,87.4,85.4,86.05,247537
AGSTRA,2022-06-07,86.75,87.0,85.0,85.15,130436
AGSTRA,2022-06-08,85.7,86.0,83.9,84.25,183745
AGSTRA,2022-06-09,83.7,85.0,83.3,83.8,114395
AGSTRA,2022-06-10,84.0,84.0,82.7,83.1,116230
AGSTRA,2022-06-13,82.6,82.6,79.4,80.05,167932
AGSTRA,2022-06-14,79.5,81.75,78.8,79.3,164266
AGSTRA,2022-06-15,79.3,80.55,79.15,79.5,84459
AGSTRA,2022-06-16,80.75,80.75,75.0,75.55,205399
AGSTRA,2022-06-17,75.0,76.0,73.7,75.1,105385
AGSTRA,2022-06-20,74.1,75.1,65.85,69.05,192011
AGSTRA,2022-06-21,70.0,72.7,68.9,71.0,237521
AGSTRA,2022-06-22,70.5,70.95,68.2,68.9,136189
AGSTRA,2022-06-23,68.9,78.4,68.75,74.6,778011
AGSTRA,2022-06-24,75.0,75.95,72.15,73.2,236489
AGSTRA,2022-06-27,73.5,77.8,73.2,75.55,199642
AGSTRA,2022-06-28,75.45,75.45,72.4,73.4,368573
AGSTRA,2022-06-29,73.0,75.0,71.85,72.7,240722
AGSTRA,2022-06-30,72.75,73.7,69.0,69.55,184291
AGSTRA,2022-07-01,69.6,73.0,67.8,70.65,291517
AGSTRA,2022-07-04,70.65,72.3,70.15,70.95,106995
AGSTRA,2022-07-05,70.55,73.0,70.4,70.75,276530
AGSTRA,2022-07-06,70.75,71.55,69.7,70.5,126295
AGSTRA,2022-07-07,70.4,73.4,70.4,72.6,192714
AGSTRA,2022-07-08,73.1,73.7,72.05,73.0,136727
AGSTRA,2022-07-11,73.0,81.7,72.45,79.4,484098
AGSTRA,2022-07-12,79.0,80.5,77.15,77.85,287962
AGSTRA,2022-07-13,78.95,82.0,77.35,78.2,234370
AGSTRA,2022-07-14,77.5,80.0,75.4,79.2,147121
AGSTRA,2022-07-15,80.0,80.95,77.0,77.55,88729
AGSTRA,2022-07-18,78.5,79.8,76.1,77.65,123929
AGSTRA,2022-07-19,77.65,85.6,77.5,84.05,457112
AGSTRA,2022-07-20,84.85,87.85,82.65,83.65,218859
AGSTRA,2022-07-21,83.95,86.8,83.65,85.0,235045
AGSTRA,2022-07-22,85.0,86.0,82.35,83.1,130022
AGSTRA,2022-07-25,85.0,85.0,81.7,82.05,77047
AGSTRA,2022-07-26,82.05,82.75,78.0,78.55,120658
AGSTRA,2022-07-27,79.0,84.45,78.7,83.7,239229
AGSTRA,2022-07-28,84.5,84.55,82.15,82.45,98514
AGSTRA,2022-07-29,82.2,84.15,81.25,82.55,114189
AGSTRA,2022-08-01,82.5,83.9,81.5,82.8,110621
AGSTRA,2022-08-02,82.05,84.45,82.0,83.2,167894
AGSTRA,2022-08-03,83.2,86.55,82.55,84.85,286017
AGSTRA,2022-08-04,84.85,87.95,84.1,84.95,238709
AGSTRA,2022-08-05,86.0,86.5,82.05,84.85,211630
AGSTRA,2022-08-08,88.0,98.4,88.0,90.8,2580214
AGSTRA,2022-08-10,90.2,92.1,86.2,87.35,422548
AGSTRA,2022-08-11,88.3,88.9,85.8,86.6,164872
AGSTRA,2022-08-12,87.45,87.45,85.6,86.0,151933
AGSTRA,2022-08-16,86.2,90.0,85.8,88.7,337917
AGSTRA,2022-08-17,89.4,90.7,87.3,88.0,261890
AGSTRA,2022-08-18,87.95,90.65,87.65,89.35,201103
AGSTRA,2022-08-19,89.6,92.15,88.05,88.45,237844
AGSTRA,2022-08-22,89.0,91.0,87.0,87.65,401097
AGSTRA,2022-08-23,87.25,88.95,86.3,87.4,122386
AGSTRA,2022-08-24,88.2,88.55,86.7,87.6,141939
AGSTRA,2022-08-25,88.0,90.0,82.85,83.75,878589
AGSTRA,2022-08-26,84.4,94.5,82.3,88.75,1476947
AGSTRA,2022-08-29,86.65,88.2,85.0,86.5,323537
AGSTRA,2022-08-30,86.55,89.0,86.0,86.55,202739
AGSTRA,2022-09-01,86.0,87.85,85.7,86.3,143930
AGSTRA,2022-09-02,86.95,87.8,85.0,85.35,183937
AGSTRA,2022-09-05,85.9,86.4,84.0,84.55,162696
AGSTRA,2022-09-06,85.4,85.75,84.05,84.35,126257
AGSTRA,2022-09-07,84.35,85.0,84.0,84.3,98487
AGSTRA,2022-09-08,85.0,85.4,83.8,84.05,179351
AGSTRA,2022-09-09,85.0,85.05,83.45,83.9,118961
AGSTRA,2022-09-12,83.9,85.0,82.7,83.35,277169
AGSTRA,2022-09-13,84.2,84.7,83.5,83.75,159860
AGSTRA,2022-09-14,83.2,85.0,83.2,84.0,195578
AGSTRA,2022-09-15,84.5,87.1,83.6,85.15,368745
AGSTRA,2022-09-16,85.4,85.6,82.0,82.6,166223
AGSTRA,2022-09-19,83.7,85.1,82.55,83.25,326876
AGSTRA,2022-09-20,83.55,84.15,81.7,83.2,402065
AGSTRA,2022-09-21,83.9,84.25,81.8,83.15,168552
AGSTRA,2022-09-22,83.15,84.8,82.0,83.65,162173
AGSTRA,2022-09-23,84.0,86.4,82.05,83.9,396585
AGSTRA,2022-09-26,84.7,84.9,80.75,81.45,212776
AGSTRA,2022-09-27,81.5,82.5,79.2,79.8,142761
AGSTRA,2022-09-28,80.0,81.3,79.3,79.75,95738
AGSTRA,2022-09-29,83.9,83.9,78.4,79.3,142880
AGSTRA,2022-09-30,79.3,81.0,79.3,79.9,117578
AGSTRA,2022-10-03,81.0,82.5,79.0,79.35,207419
AGSTRA,2022-10-04,80.8,81.2,79.75,80.1,209971
AGSTRA,2022-10-06,80.85,82.1,79.75,80.8,382116
