symbol,date,open,high,low,close,volume
AGUL,2023-05-09,52.0,56.0,51.75,54.1,40001
AGUL,2023-05-10,54.0,54.0,54.0,54.0,2001
AGUL,2023-05-11,53.2,53.25,50.1,50.1,26001
AGUL,2023-05-12,50.1,53.0,50.1,53.0,24001
AGUL,2023-05-15,51.5,51.5,50.1,50.15,8001
AGUL,2023-05-16,51.9,51.9,49.0,49.2,8001
AGUL,2023-05-17,48.0,51.0,47.05,50.9,32001
AGUL,2023-05-18,49.2,49.2,49.2,49.2,2001
AGUL,2023-05-19,49.1,49.1,49.1,49.1,2001
AGUL,2023-05-22,52.5,55.0,52.5,53.9,26002
AGUL,2023-05-23,53.9,55.0,53.9,53.95,12002
AGUL,2023-05-24,55.0,55.0,55.0,55.0,2001
AGUL,2023-05-26,51.7,52.25,51.7,52.25,6001
AGUL,2023-05-29,54.9,54.9,54.0,54.0,16001
AGUL,2023-05-30,54.0,54.0,53.1,53.1,4001
AGUL,2023-05-31,51.1,51.4,50.9,51.4,12001
AGUL,2023-06-02,51.0,51.0,51.0,51.0,2001
AGUL,2023-06-05,48.75,48.75,48.75,48.75,2001
AGUL,2023-06-08,48.8,48.8,48.05,48.05,4001
AGUL,2023-06-09,50.0,50.0,50.0,50.0,2001
AGUL,2023-06-13,50.0,50.0,50.0,50.0,2001
AGUL,2023-06-14,49.0,49.0,48.5,48.5,4001
AGUL,2023-06-16,45.55,46.0,45.0,45.05,28001
AGUL,2023-06-19,48.5,48.5,42.5,44.25,10001
AGUL,2023-06-20,44.3,44.3,44.3,44.3,2001
AGUL,2023-06-21,42.1,42.1,42.0,42.0,10001
AGUL,2023-06-23,37.55,37.55,37.55,37.55,2001
AGUL,2023-06-26,37.6,40.05,37.6,40.05,20001
AGUL,2023-06-27,42.0,42.0,40.0,40.0,12001
AGUL,2023-06-28,32.5,40.0,32.5,40.0,16001
AGUL,2023-06-30,43.0,48.0,41.0,41.0,14001
AGUL,2023-07-03,45.0,48.0,44.0,44.0,8001
AGUL,2023-07-04,44.1,44.1,44.1,44.1,2001
AGUL,2023-07-05,44.5,44.5,42.65,42.65,6001
AGUL,2023-07-11,34.6,41.5,34.6,41.5,6001
AGUL,2023-07-13,41.5,41.5,41.5,41.5,2001
AGUL,2023-07-17,42.0,42.0,42.0,42.0,2001
AGUL,2023-07-18,41.75,42.0,39.5,39.5,14001
AGUL,2023-07-19,44.95,45.0,44.95,45.0,4001
AGUL,2023-07-20,45.9,45.9,45.9,45.9,2001
AGUL,2023-07-21,45.9,46.5,45.9,46.5,12001
AGUL,2023-07-24,46.5,53.0,46.5,53.0,20001
AGUL,2023-07-25,57.5,60.0,53.0,53.0,42001
AGUL,2023-07-26,55.0,55.0,54.0,54.0,6001
AGUL,2023-07-27,53.0,53.0,53.0,53.0,2001
AGUL,2023-07-28,52.8,52.8,52.8,52.8,2000
AGUL,2023-07-31,43.2,45.6,43.2,44.5,20001
AGUL,2023-08-01,53.1,53.2,53.0,53.1,18002
AGUL,2023-08-02,55.0,55.0,53.0,53.0,10001
AGUL,2023-08-03,52.0,52.0,52.0,52.0,2001
AGUL,2023-08-07,52.0,52.0,52.0,52.0,2001
AGUL,2023-08-08,50.0,50.0,48.5,48.5,4001
AGUL,2023-08-10,48.55,48.55,48.5,48.5,4001
AGUL,2023-08-14,50.0,50.0,50.0,50.0,2001
AGUL,2023-08-16,46.5,49.0,46.5,49.0,6001
AGUL,2023-08-18,49.0,49.0,49.0,49.0,4001
AGUL,2023-08-21,48.9,48.9,48.9,48.9,2001
AGUL,2023-08-22,50.0,50.5,50.0,50.5,4001
AGUL,2023-08-25,48.0,56.0,47.0,56.0,12001
AGUL,2023-08-28,63.7,64.8,59.0,64.8,238001
AGUL,2023-08-29,71.5,77.75,71.5,77.75,216002
AGUL,2023-08-30,80.5,84.95,70.0,73.95,196001
AGUL,2023-08-31,68.6,74.0,68.6,73.0,36001
AGUL,2023-09-01,71.2,75.0,71.2,71.25,30001
AGUL,2023-09-04,71.0,71.95,69.0,69.5,34001
AGUL,2023-09-05,69.1,69.1,66.1,66.3,12001
AGUL,2023-09-06,66.3,72.0,66.3,67.6,22001
AGUL,2023-09-07,70.2,71.9,70.2,71.4,22001
AGUL,2023-09-08,72.0,78.0,72.0,73.0,52001
AGUL,2023-09-11,72.0,72.0,69.2,69.2,18001
AGUL,2023-09-12,69.9,69.9,67.0,67.0,12001
AGUL,2023-09-13,66.5,66.5,65.0,66.5,22001
AGUL,2023-09-14,65.0,70.0,65.0,70.0,24001
AGUL,2023-09-15,70.0,70.9,70.0,70.9,8001
AGUL,2023-09-18,68.0,71.5,68.0,71.0,14001
AGUL,2023-09-20,71.0,71.0,71.0,71.0,12001
AGUL,2023-09-25,64.4,67.5,64.4,65.2,14001
AGUL,2023-09-26,62.0,62.0,59.1,59.25,10001
AGUL,2023-09-27,59.25,59.25,59.25,59.25,2001
AGUL,2023-09-28,60.0,60.0,60.0,60.0,6001
AGUL,2023-10-03,59.95,60.0,59.95,60.0,4002
AGUL,2023-10-04,61.0,61.0,61.0,61.0,2001
AGUL,2023-10-06,63.0,65.0,63.0,65.0,10001
AGUL,2023-10-09,64.05,64.05,64.0,64.0,4001
AGUL,2023-10-10,61.0,61.0,61.0,61.0,2001
AGUL,2023-10-11,60.8,60.8,60.8,60.8,2001
AGUL,2023-10-12,62.0,62.0,62.0,62.0,2000
AGUL,2023-10-13,62.5,62.5,62.5,62.5,4001
AGUL,2023-10-16,62.5,65.0,62.5,65.0,4001
AGUL,2023-10-17,65.0,65.0,65.0,65.0,2001
AGUL,2023-10-18,65.9,65.9,65.9,65.9,2001
AGUL,2023-10-20,65.9,65.9,65.9,65.9,2001
AGUL,2023-10-23,64.0,64.0,64.0,64.0,2001
AGUL,2023-10-25,64.95,72.8,64.95,67.0,14002
AGUL,2023-10-27,67.0,67.0,67.0,67.0,2001
AGUL,2023-10-30,71.0,80.4,68.0,80.4,110001
AGUL,2023-10-31,96.45,96.45,96.45,96.45,40001
AGUL,2023-11-01,53.025,53.025,48.55,53.025,424002
AGUL,2023-11-02,54.1,56.4,47.55,48.0,184004
AGUL,2023-11-03,47.0,53.15,47.0,53.15,104002
AGUL,2023-11-06,53.5,54.3,52.15,52.15,76002
AGUL,2023-11-07,50.5,54.0,50.5,54.0,24002
AGUL,2023-11-08,53.8,58.5,53.8,55.125,32002
AGUL,2023-11-09,57.5,58.125,53.65,56.0,40002
AGUL,2023-11-10,53.5,56.0,53.5,56.0,12002
AGUL,2023-11-12,59.975,59.975,55.0,59.25,40000
AGUL,2023-11-13,59.0,59.0,55.5,55.5,8002
AGUL,2023-11-15,56.0,56.0,55.5,55.5,8004
AGUL,2023-11-16,53.175,53.175,51.0,51.25,32002
AGUL,2024-01-31,62.0,62.0,61.45,61.45,6001
AGUL,2024-02-01,30.5,30.5,30.5,30.5,16002
AGUL,2024-02-02,30.5,30.75,28.975,28.975,48002
AGUL,2024-02-05,30.0,30.0,28.3,28.3,8002
AGUL,2024-02-06,29.7,29.7,29.125,29.7,16002
AGUL,2024-02-07,30.875,31.1,30.875,31.1,12002
AGUL,2024-02-08,31.1,31.1,30.95,31.0,16002
AGUL,2024-02-09,30.3,32.55,30.3,32.55,48002
AGUL,2024-02-12,33.55,33.55,33.55,33.55,20002
AGUL,2024-02-13,35.225,35.225,35.225,35.225,20002
AGUL,2024-02-14,36.975,36.975,36.975,36.975,28002
AGUL,2024-02-15,38.5,38.8,38.5,38.8,8002
AGUL,2024-02-16,40.7,40.7,40.675,40.675,24002
AGUL,2024-02-19,42.5,42.5,42.4,42.4,8002
AGUL,2024-02-20,41.975,41.975,40.3,40.3,12002
AGUL,2024-02-21,38.3,38.3,38.3,38.3,4002
AGUL,2024-04-23,61.1,61.15,61.1,61.15,4001
AGUL,2024-04-24,61.1,61.1,61.1,61.1,10001
AGUL,2024-04-25,58.1,58.1,58.05,58.05,4001
AGUL,2024-04-26,60.0,60.0,60.0,60.0,14001
AGUL,2024-04-29,60.0,60.0,57.5,59.95,10001
AGUL,2024-04-30,60.0,60.0,60.0,60.0,6001
