symbol,date,open,high,low,close,volume
AJRINFRA,2021-08-16,1.75,1.8,1.75,1.75,1011538
AJRINFRA,2021-08-17,1.7,1.7,1.7,1.7,175682
AJRINFRA,2021-08-18,1.65,1.65,1.65,1.65,255669
AJRINFRA,2021-08-20,1.6,1.6,1.6,1.6,463274
AJRINFRA,2021-08-23,1.55,1.6,1.55,1.55,312091
AJRINFRA,2021-08-24,1.5,1.5,1.5,1.5,346849
AJRINFRA,2021-08-25,1.45,1.55,1.45,1.55,1115912
AJRINFRA,2021-08-26,1.6,1.6,1.55,1.6,646976
AJRINFRA,2021-08-27,1.65,1.65,1.65,1.65,176745
AJRINFRA,2021-08-30,1.7,1.7,1.7,1.7,361111
AJRINFRA,2021-08-31,1.75,1.75,1.75,1.75,300808
AJRINFRA,2021-09-01,1.8,1.8,1.7,1.7,1550354
AJRINFRA,2021-09-02,1.65,1.65,1.65,1.65,517186
AJRINFRA,2021-09-03,1.6,1.7,1.6,1.6,1345551
AJRINFRA,2021-09-06,1.55,1.55,1.55,1.55,504527
AJRINFRA,2021-09-07,1.5,1.5,1.5,1.5,488128
AJRINFRA,2021-09-08,1.45,1.55,1.45,1.55,2123132
AJRINFRA,2021-09-09,1.6,1.6,1.5,1.55,1538633
AJRINFRA,2021-09-13,1.55,1.55,1.5,1.55,804065
AJRINFRA,2021-09-14,1.55,1.55,1.5,1.55,806316
AJRINFRA,2021-09-15,1.55,1.6,1.5,1.5,1074091
AJRINFRA,2021-09-16,1.5,1.55,1.5,1.55,1154390
AJRINFRA,2021-09-17,1.55,1.6,1.5,1.6,1704888
AJRINFRA,2021-09-20,1.55,1.6,1.5,1.6,1074475
AJRINFRA,2021-09-21,1.6,1.6,1.55,1.55,743464
AJRINFRA,2021-09-22,1.5,1.55,1.5,1.5,1240792
AJRINFRA,2021-09-23,1.45,1.55,1.45,1.5,856297
AJRINFRA,2021-09-24,1.55,1.55,1.45,1.5,704029
AJRINFRA,2021-09-27,1.45,1.5,1.4,1.45,828282
AJRINFRA,2021-09-28,1.4,1.45,1.4,1.45,793066
AJRINFRA,2021-09-29,1.4,1.45,1.35,1.45,1145110
AJRINFRA,2021-09-30,1.5,1.5,1.45,1.5,1110909
AJRINFRA,2021-10-01,1.55,1.55,1.5,1.55,833232
AJRINFRA,2021-10-04,1.6,1.6,1.55,1.6,1593123
AJRINFRA,2021-10-05,1.6,1.6,1.55,1.55,1530307
AJRINFRA,2021-10-06,1.55,1.6,1.5,1.6,1622366
AJRINFRA,2021-10-07,1.6,1.6,1.5,1.6,790460
AJRINFRA,2021-10-08,1.55,1.6,1.5,1.6,788965
AJRINFRA,2021-10-11,1.6,1.6,1.55,1.55,2461889
AJRINFRA,2021-10-12,1.6,1.6,1.5,1.5,1161281
AJRINFRA,2021-10-13,1.5,1.55,1.45,1.5,2576766
AJRINFRA,2021-10-14,1.5,1.5,1.45,1.5,1953405
AJRINFRA,2021-10-18,1.5,1.5,1.4,1.45,3470178
AJRINFRA,2021-10-19,1.4,1.5,1.4,1.45,2419034
AJRINFRA,2021-10-20,1.45,1.5,1.4,1.45,630626
AJRINFRA,2021-10-21,1.45,1.5,1.4,1.5,2910259
