symbol,date,open,high,low,close,volume
AKI,2023-04-06,78.1,88.7,61.2,80.9,14056
AKI,2023-04-10,93.0,97.05,90.95,97.05,18193
AKI,2023-04-11,107.8,114.5,97.1,104.45,299785
AKI,2023-04-12,104.9,109.5,99.0,108.4,95264
AKI,2023-04-13,101.5,107.3,101.5,103.85,33210
AKI,2023-04-17,103.9,109.15,102.25,105.35,128147
AKI,2023-04-18,109.7,115.85,105.8,115.8,294394
AKI,2023-04-19,114.0,122.6,109.85,114.45,259922
AKI,2023-04-20,119.0,121.8,114.15,115.5,114047
AKI,2023-04-21,119.95,119.95,113.45,115.5,75335
AKI,2023-04-24,112.1,115.55,112.1,113.25,98981
AKI,2023-04-25,113.95,119.5,112.35,116.2,142369
AKI,2023-04-26,119.5,119.5,113.1,115.6,108357
AKI,2023-04-27,117.8,117.8,113.55,114.75,160631
AKI,2023-04-28,120.0,121.5,115.5,116.0,108268
AKI,2023-05-02,116.5,119.75,106.0,114.4,68984
AKI,2023-05-03,115.0,118.4,111.0,115.3,108864
AKI,2023-05-04,114.0,116.35,113.55,115.25,396451
AKI,2023-05-05,115.45,116.0,112.5,114.05,91500
AKI,2023-05-08,114.95,114.95,102.65,107.2,138743
AKI,2023-05-09,110.0,112.0,104.15,109.45,254922
AKI,2023-05-10,111.0,111.0,105.0,106.55,328565
AKI,2023-05-11,109.95,109.95,103.05,104.0,75298
AKI,2023-05-12,101.0,104.0,93.6,93.65,150946
AKI,2023-05-15,95.5,96.6,90.9,94.45,86926
AKI,2023-05-16,95.5,95.5,90.1,93.1,41022
AKI,2023-05-17,94.3,102.4,93.1,101.25,112216
AKI,2023-05-18,104.9,106.0,100.95,103.1,156934
AKI,2023-05-19,103.0,113.4,98.05,106.5,159760
AKI,2023-05-22,103.5,117.15,103.5,110.5,233626
AKI,2023-05-23,114.95,114.95,105.0,107.3,196401
AKI,2023-05-24,103.05,109.35,102.0,104.6,51476
AKI,2023-05-25,105.95,109.8,105.0,108.6,88866
AKI,2023-05-26,107.6,112.9,103.2,103.95,25826
AKI,2023-05-29,99.5,105.8,99.5,103.15,25404
AKI,2023-05-30,102.05,104.25,101.2,102.8,6040
AKI,2023-05-31,104.7,107.0,102.05,107.0,227644
AKI,2023-06-01,107.0,111.9,107.0,111.0,289762
AKI,2023-06-02,113.5,113.5,109.95,111.0,19591
AKI,2023-06-05,113.0,113.0,108.0,110.95,11186
AKI,2023-06-06,113.7,113.7,108.05,111.0,129433
AKI,2023-06-07,113.0,113.15,108.05,110.5,247577
AKI,2023-06-08,113.0,113.0,106.0,109.9,161197
AKI,2023-06-09,106.5,112.0,106.5,109.15,20088
AKI,2023-06-12,11.2,11.295,10.8,11.295,750850
AKI,2023-06-13,11.370000000000001,11.370000000000001,10.91,11.27,92430
AKI,2023-06-14,11.34,11.34,11.0,11.315000000000001,321980
AKI,2023-06-15,11.334999999999999,11.39,11.0,11.39,399510
AKI,2023-06-16,11.395,11.445,11.03,11.275,69120
AKI,2023-06-19,11.35,11.5,11.0,11.370000000000001,194970
AKI,2023-06-20,11.4,11.465,11.155,11.379999999999999,148330
AKI,2023-06-21,11.475,11.58,11.215,11.4,348010
AKI,2023-06-22,11.75,11.975,11.45,11.45,277294
AKI,2023-06-23,11.45,11.45,10.925,11.175,165010
AKI,2023-06-26,11.15,11.175,10.625,10.7,90404
AKI,2023-06-27,10.825,10.925,10.15,10.9,166700
AKI,2023-06-28,10.025,11.05,10.025,10.95,30360
AKI,2023-06-30,11.1,11.45,10.95,11.375,1037406
AKI,2023-07-03,11.525,11.525,11.375,11.5,152988
AKI,2023-07-04,11.8,11.8,11.25,11.375,70128
AKI,2023-07-05,11.65,11.75,11.2,11.2,467184
AKI,2023-07-06,11.875,11.875,11.05,11.475,27816
AKI,2023-07-07,11.025,11.7,11.025,11.35,197014
AKI,2023-07-10,11.5,11.5,10.825,11.225,114774
AKI,2023-07-11,11.225,11.3,10.925,11.05,485312
AKI,2023-07-12,11.35,11.35,10.8,11.175,541516
AKI,2023-07-13,11.225,11.25,10.775,11.15,34572
AKI,2023-07-14,11.5,11.5,10.65,11.35,597158
AKI,2023-07-17,11.7,11.7,11.0,11.25,309072
AKI,2023-07-18,11.625,11.625,10.8,11.2,69916
AKI,2023-07-19,11.475,11.475,10.75,11.0,18590
AKI,2023-07-20,11.225,11.225,10.5,10.775,37818
AKI,2023-07-21,11.0,11.45,10.575,11.2,25936
AKI,2023-07-24,11.25,11.25,10.75,11.0,138846
AKI,2023-07-25,11.0,11.0,10.5,10.875,91144
AKI,2023-07-26,10.975,10.975,10.5,10.75,330338
AKI,2023-07-27,10.75,10.9,10.5,10.825,143160
AKI,2023-07-28,10.95,11.0,10.35,10.9,93360
AKI,2023-07-31,10.925,11.2,10.625,10.9,37962
AKI,2023-08-01,11.25,11.3,11.0,11.1,1561054
AKI,2023-08-02,11.325,11.375,10.75,11.075,231338
AKI,2023-08-03,10.75,10.875,10.525,10.525,130746
AKI,2023-08-04,10.05,10.45,10.0,10.0,88402
AKI,2023-08-07,9.5,9.5,9.5,9.5,30176
AKI,2023-08-08,9.025,9.025,9.025,9.025,32058
AKI,2023-08-09,8.575,8.575,8.575,8.575,46772
AKI,2023-08-10,8.15,8.15,8.15,8.15,74314
AKI,2023-08-11,7.75,7.75,7.75,7.75,52902
AKI,2023-08-14,7.375,7.375,7.375,7.375,38544
AKI,2023-08-16,7.025,7.025,7.025,7.025,35370
