symbol,date,open,high,low,close,volume
ALLSEC,2008-06-09,60.0,60.0,49.6,58.4,5474
ALLSEC,2008-06-10,57.35,59.0,56.15,57.35,8090
ALLSEC,2008-06-11,57.2,58.95,56.15,56.6,9267
ALLSEC,2008-06-12,57.0,58.9,56.6,58.3,5616
ALLSEC,2008-06-13,57.7,59.9,57.7,59.6,3157
ALLSEC,2008-06-16,60.0,65.5,60.0,61.75,45327
ALLSEC,2008-06-17,64.5,64.5,62.0,62.25,16135
ALLSEC,2008-06-18,62.5,65.75,62.5,63.15,18050
ALLSEC,2008-06-19,62.95,64.95,60.0,60.35,16084
ALLSEC,2008-06-20,61.85,61.85,57.0,57.25,15307
ALLSEC,2008-06-23,55.05,58.0,48.0,49.15,84656
ALLSEC,2008-06-24,48.5,49.0,42.3,44.1,56390
ALLSEC,2008-06-25,41.95,44.0,40.6,42.35,50280
ALLSEC,2008-06-26,44.0,47.5,43.05,45.75,71382
ALLSEC,2008-06-27,43.0,44.0,41.6,42.4,23855
ALLSEC,2008-06-30,46.9,46.9,38.5,41.75,28190
ALLSEC,2008-07-01,42.75,43.5,36.5,37.95,30500
ALLSEC,2008-07-02,39.0,41.5,37.05,39.8,14949
ALLSEC,2008-07-03,39.05,39.95,36.25,37.8,32182
ALLSEC,2008-07-04,38.0,40.5,37.8,39.15,10607
ALLSEC,2008-07-07,40.05,42.15,39.0,39.55,22089
ALLSEC,2008-07-08,39.0,40.0,36.1,38.75,16169
ALLSEC,2008-07-09,40.8,41.8,39.35,39.6,25570
ALLSEC,2008-07-10,40.9,40.95,39.3,39.9,16958
ALLSEC,2008-07-11,38.8,40.0,38.45,39.6,19210
ALLSEC,2008-07-14,40.75,40.75,38.55,39.0,4586
ALLSEC,2008-07-15,40.0,40.0,37.75,38.25,8300
ALLSEC,2008-07-16,38.15,44.85,38.15,40.3,12392
ALLSEC,2008-07-17,40.5,42.1,39.0,39.85,11696
ALLSEC,2008-07-18,39.85,40.0,39.15,39.6,6915
ALLSEC,2008-07-21,40.0,41.0,39.1,39.9,12806
ALLSEC,2008-07-22,39.5,40.65,39.5,39.55,8463
ALLSEC,2008-07-23,41.0,41.0,38.8,39.9,20406
ALLSEC,2008-07-24,39.95,41.0,39.5,39.85,21313
ALLSEC,2008-07-25,39.6,41.0,37.0,39.35,16057
ALLSEC,2008-07-28,40.0,40.9,38.65,40.0,19609
ALLSEC,2008-07-29,38.25,41.0,38.25,38.65,33164
ALLSEC,2008-07-30,39.95,40.5,38.0,39.35,20494
ALLSEC,2008-07-31,39.1,40.2,38.5,39.45,12120
ALLSEC,2008-08-01,39.5,40.1,38.7,39.4,6273
ALLSEC,2008-08-04,40.1,42.0,39.6,40.0,25236
ALLSEC,2008-08-05,40.2,40.9,39.95,40.05,10777
ALLSEC,2008-08-06,42.8,42.85,40.4,41.4,25626
ALLSEC,2008-08-07,40.55,44.95,40.55,43.55,34069
ALLSEC,2008-08-08,44.0,52.3,44.0,52.3,178366
ALLSEC,2008-08-11,54.8,56.4,49.6,50.55,165119
ALLSEC,2008-08-12,50.6,51.8,47.5,47.95,63844
ALLSEC,2008-08-13,48.0,52.0,46.7,48.95,120909
ALLSEC,2008-08-14,49.0,49.0,45.3,46.25,60331
ALLSEC,2008-08-18,46.5,46.5,44.0,44.05,25766
ALLSEC,2008-08-19,42.3,45.0,42.3,43.35,22496
ALLSEC,2008-08-20,44.45,45.0,43.2,44.3,13385
ALLSEC,2008-08-21,42.0,45.5,42.0,43.35,19219
ALLSEC,2008-08-22,44.0,44.4,42.5,42.95,18392
ALLSEC,2008-08-25,44.2,44.2,43.05,43.1,10189
ALLSEC,2008-08-26,42.8,43.8,42.1,43.3,14684
ALLSEC,2008-08-27,43.0,46.85,42.65,46.05,44485
ALLSEC,2008-08-28,46.7,47.5,45.0,45.3,31522
ALLSEC,2008-08-29,43.5,46.0,43.5,44.25,17731
ALLSEC,2008-09-01,43.35,44.8,43.35,43.65,7558
ALLSEC,2008-09-02,43.0,45.9,43.0,44.2,41407
ALLSEC,2008-09-04,44.0,45.0,43.2,44.4,16631
ALLSEC,2008-09-05,43.45,45.0,43.45,44.3,14034
ALLSEC,2008-09-08,45.0,45.0,44.1,44.15,9738
ALLSEC,2008-09-09,44.25,44.8,43.4,43.75,28475
ALLSEC,2008-09-10,43.75,44.85,43.75,44.0,9988
ALLSEC,2008-09-11,43.85,44.75,43.75,44.0,19525
ALLSEC,2008-09-12,44.8,44.8,36.65,40.2,30762
ALLSEC,2008-09-15,39.2,39.75,35.2,37.9,24126
ALLSEC,2008-09-16,34.3,37.0,34.3,36.4,16623
ALLSEC,2008-09-17,37.85,38.05,35.5,35.9,14535
ALLSEC,2008-09-18,34.2,35.0,32.05,34.65,12459
ALLSEC,2008-09-19,37.0,37.6,34.1,34.9,62905
ALLSEC,2008-09-22,35.0,36.5,32.15,33.5,14192
ALLSEC,2008-09-23,34.0,34.7,32.25,32.7,9099
ALLSEC,2008-09-24,33.1,33.1,31.6,31.85,19199
ALLSEC,2008-09-25,31.65,32.5,31.55,31.95,6404
ALLSEC,2008-09-26,32.0,32.0,29.5,29.75,16510
ALLSEC,2008-09-29,29.55,30.0,23.8,27.4,63975
ALLSEC,2008-09-30,28.0,28.0,26.1,26.85,17070
ALLSEC,2008-10-01,27.0,30.6,26.5,28.95,63455
ALLSEC,2008-10-03,28.0,29.35,26.5,28.85,18508
ALLSEC,2008-10-06,26.2,30.0,26.2,29.8,29662
ALLSEC,2008-10-07,29.0,30.5,28.75,29.8,16740
ALLSEC,2008-10-08,28.5,29.95,28.0,29.15,10677
ALLSEC,2008-10-10,29.0,29.5,24.5,25.9,26874
ALLSEC,2008-10-13,26.0,29.0,26.0,28.25,6711
ALLSEC,2008-10-14,32.9,32.9,29.55,30.05,11391
ALLSEC,2008-10-15,26.4,30.0,25.25,26.5,6626
ALLSEC,2008-10-16,29.65,29.65,24.65,27.1,5814
ALLSEC,2008-10-17,27.5,28.0,26.15,27.3,3480
ALLSEC,2008-10-20,27.5,28.25,26.15,26.5,3964
ALLSEC,2008-10-21,27.0,29.5,25.5,28.15,10524
ALLSEC,2008-10-22,25.65,28.85,25.65,26.55,4646
ALLSEC,2008-10-23,27.0,27.75,26.0,27.1,7486
ALLSEC,2008-10-24,26.5,27.1,24.05,25.2,5187
ALLSEC,2008-10-27,25.1,26.3,24.0,25.55,28198
ALLSEC,2008-10-28,27.55,27.95,24.85,25.25,8172
ALLSEC,2008-10-29,26.0,26.9,24.0,25.05,17914
ALLSEC,2008-10-31,24.15,26.75,24.15,25.55,7408
ALLSEC,2008-11-03,24.0,26.7,24.0,25.0,76798
ALLSEC,2008-11-04,25.0,25.0,24.0,24.45,41815
ALLSEC,2008-11-05,24.15,25.0,24.15,24.6,6438
ALLSEC,2008-11-06,24.0,24.85,23.4,24.4,5602
ALLSEC,2008-11-07,29.0,29.0,22.6,22.9,24155
ALLSEC,2008-11-10,23.95,25.0,22.55,23.0,24572
ALLSEC,2008-11-11,22.75,23.0,22.3,22.5,18114
ALLSEC,2008-11-12,22.0,23.0,22.0,22.35,20888
ALLSEC,2008-11-14,22.3,23.5,22.3,22.9,8823
ALLSEC,2008-11-17,24.1,24.1,20.05,21.4,3626
ALLSEC,2008-11-18,21.0,21.0,18.55,20.0,19299
ALLSEC,2008-11-19,19.0,20.8,18.3,20.05,5384
ALLSEC,2008-11-20,19.0,20.95,19.0,20.0,13556
ALLSEC,2008-11-21,19.0,20.9,19.0,20.0,6183
ALLSEC,2008-11-24,20.8,20.8,19.6,20.5,835
ALLSEC,2008-11-25,20.5,21.0,20.0,20.0,1579
ALLSEC,2008-11-26,19.0,20.3,18.15,19.7,3065
ALLSEC,2008-11-28,19.0,19.9,16.25,18.75,1527
ALLSEC,2008-12-01,18.55,19.9,18.5,18.6,1622
ALLSEC,2008-12-02,18.0,19.4,18.0,18.5,883
ALLSEC,2008-12-03,17.5,19.0,17.2,18.65,10741
ALLSEC,2008-12-04,18.5,19.4,18.2,18.7,1725
ALLSEC,2008-12-05,18.6,19.0,18.6,18.95,2246
ALLSEC,2008-12-08,18.5,19.25,18.0,18.85,1183
ALLSEC,2008-12-10,18.85,19.5,18.0,19.05,6155
ALLSEC,2008-12-11,19.2,19.5,19.0,19.25,2481
ALLSEC,2008-12-12,17.0,20.0,17.0,19.4,1600
ALLSEC,2008-12-15,22.95,22.95,20.4,20.65,5709
ALLSEC,2008-12-16,21.1,24.25,21.1,22.85,7165
ALLSEC,2008-12-17,22.55,23.45,21.5,22.95,4464
ALLSEC,2008-12-18,22.5,23.0,19.5,21.45,2053
ALLSEC,2008-12-19,21.25,22.85,21.25,22.15,2191
ALLSEC,2008-12-22,22.1,22.5,21.0,21.05,6371
ALLSEC,2008-12-23,21.5,21.5,20.45,21.0,2150
ALLSEC,2008-12-24,20.5,22.5,20.3,21.25,1534
ALLSEC,2008-12-26,20.0,24.0,20.0,22.45,8902
ALLSEC,2008-12-29,22.0,22.0,20.75,21.35,808
ALLSEC,2008-12-30,21.15,22.85,21.15,21.3,1287
ALLSEC,2008-12-31,21.7,22.1,21.05,21.1,1694
ALLSEC,2009-01-01,21.0,22.9,21.0,22.2,7823
ALLSEC,2009-01-02,21.85,24.0,21.85,22.3,7898
ALLSEC,2009-01-05,24.0,24.7,21.7,21.85,8418
ALLSEC,2009-01-06,21.9,22.85,21.1,21.8,6642
ALLSEC,2009-01-07,21.65,23.5,17.45,20.0,12178
ALLSEC,2009-01-09,19.0,20.0,19.0,19.85,4305
ALLSEC,2009-01-12,19.5,20.95,19.05,20.45,8305
ALLSEC,2009-01-13,20.5,20.5,20.0,20.0,2877
ALLSEC,2009-01-14,20.75,20.95,19.0,19.25,2583
ALLSEC,2009-01-15,19.0,20.9,18.05,20.05,8516
ALLSEC,2009-01-16,19.2,21.25,19.2,20.6,11701
ALLSEC,2009-01-19,19.65,21.75,19.65,21.5,5322
ALLSEC,2009-01-20,21.0,23.0,20.1,22.65,2515
ALLSEC,2009-01-21,21.5,22.5,21.0,21.8,3463
ALLSEC,2009-01-22,21.15,21.6,20.05,21.1,9176
ALLSEC,2009-01-23,18.35,22.95,18.35,22.15,82972
ALLSEC,2009-01-27,22.95,23.5,20.5,21.25,10477
ALLSEC,2009-01-28,22.35,22.4,21.6,22.0,7649
ALLSEC,2009-01-29,21.5,22.85,21.5,22.0,4460
ALLSEC,2009-01-30,22.0,22.0,21.0,21.15,1302
ALLSEC,2009-02-02,20.1,22.4,17.3,21.75,3885
ALLSEC,2009-02-03,21.0,22.4,21.0,21.75,2854
ALLSEC,2009-02-04,21.25,22.35,21.25,21.75,1727
ALLSEC,2009-02-05,21.5,22.4,21.5,21.85,2829
ALLSEC,2009-02-06,21.5,22.3,21.5,22.05,1678
ALLSEC,2009-02-09,22.3,24.5,21.3,22.8,3990
ALLSEC,2009-02-10,23.0,25.7,23.0,25.2,25951
ALLSEC,2009-02-11,25.85,25.9,24.2,25.3,8137
ALLSEC,2009-02-12,25.5,29.8,25.0,29.0,93118
ALLSEC,2009-02-13,29.0,32.5,29.0,30.2,82468
ALLSEC,2009-02-16,28.6,31.9,27.25,28.8,24058
ALLSEC,2009-02-17,28.0,30.0,26.0,26.55,9576
ALLSEC,2009-02-18,27.35,27.35,24.7,25.15,12993
ALLSEC,2009-02-19,25.15,27.0,25.05,25.5,8329
ALLSEC,2009-02-20,25.5,25.85,25.05,25.75,1804
ALLSEC,2009-02-24,25.05,26.5,25.05,26.0,13449
ALLSEC,2009-02-25,26.05,27.25,26.0,26.0,2215
ALLSEC,2009-02-26,26.0,26.0,26.0,26.0,2789
ALLSEC,2009-02-27,26.0,26.9,26.0,26.1,5498
ALLSEC,2009-03-02,26.0,26.7,26.0,26.4,5419
ALLSEC,2009-03-03,26.1,26.7,26.1,26.1,1320
ALLSEC,2009-03-04,26.0,26.75,26.0,26.2,1262
ALLSEC,2009-03-05,26.8,26.8,25.55,26.0,6967
ALLSEC,2009-03-06,25.9,26.5,24.7,25.3,2670
ALLSEC,2009-03-09,26.0,26.3,26.0,26.0,4450
ALLSEC,2009-03-12,26.9,26.9,24.7,26.0,4700
ALLSEC,2009-03-13,26.1,27.3,26.1,27.1,8304
ALLSEC,2009-03-16,26.25,26.35,26.25,26.3,1790
ALLSEC,2009-03-17,25.7,27.1,25.7,26.05,1455
ALLSEC,2009-03-18,26.0,27.3,26.0,27.0,18031
ALLSEC,2009-03-19,28.0,28.35,27.05,28.05,1954
ALLSEC,2009-03-20,27.05,27.9,27.05,27.15,1600
ALLSEC,2009-03-23,27.7,27.95,27.0,27.0,2876
ALLSEC,2009-03-24,27.0,28.35,27.0,27.15,32911
ALLSEC,2009-03-25,27.5,28.0,27.4,27.5,1736
ALLSEC,2009-03-26,27.25,28.0,27.0,27.0,1240
ALLSEC,2009-03-27,27.0,28.1,27.0,28.05,12076
ALLSEC,2009-03-30,27.1,28.05,27.1,28.0,982
ALLSEC,2009-03-31,27.0,28.05,27.0,28.0,589
ALLSEC,2009-04-01,28.0,28.4,28.0,28.2,1095
ALLSEC,2009-04-02,28.0,28.9,28.0,28.0,985
ALLSEC,2009-04-06,29.4,29.4,27.05,28.95,7787
ALLSEC,2009-04-08,29.0,30.0,28.05,29.15,4095
ALLSEC,2009-04-09,28.0,30.0,28.0,29.25,5189
ALLSEC,2009-04-13,28.05,29.95,28.05,29.95,3290
ALLSEC,2009-04-15,30.0,30.9,28.5,29.35,2187
ALLSEC,2009-04-16,28.25,29.2,28.1,28.4,5141
ALLSEC,2009-04-17,27.15,28.9,27.15,28.0,1272
ALLSEC,2009-04-20,28.0,29.25,28.0,28.0,348
ALLSEC,2009-04-21,28.05,29.0,28.0,28.95,1370
ALLSEC,2009-04-22,28.05,28.05,28.0,28.05,601
ALLSEC,2009-04-23,28.0,29.3,28.0,28.1,1140
ALLSEC,2009-04-24,28.0,29.0,28.0,28.3,852
ALLSEC,2009-04-27,29.45,29.45,28.2,28.2,7020
ALLSEC,2009-04-28,28.05,28.75,28.0,28.0,1540
ALLSEC,2009-04-29,28.0,28.05,28.0,28.05,65
ALLSEC,2009-05-04,28.95,29.0,28.05,28.5,1913
ALLSEC,2009-05-05,29.0,29.0,28.5,28.5,385
ALLSEC,2009-05-06,28.5,29.85,28.0,29.0,4379
ALLSEC,2009-05-07,28.5,29.95,27.55,29.8,253589
ALLSEC,2009-05-08,30.0,30.1,28.6,29.95,252803
ALLSEC,2009-05-11,30.0,31.45,29.0,30.95,16013
ALLSEC,2009-05-12,31.0,31.05,29.6,30.55,7929
ALLSEC,2009-05-13,29.1,32.1,29.1,32.1,5531
ALLSEC,2009-05-14,32.0,33.75,31.3,32.9,4137
ALLSEC,2009-05-15,32.5,34.3,31.7,34.0,28932
ALLSEC,2009-05-19,34.3,35.0,32.3,33.6,12340
ALLSEC,2009-05-20,32.2,35.0,32.0,35.0,3627
ALLSEC,2009-05-21,33.5,36.75,33.5,36.0,2994
ALLSEC,2009-05-22,35.2,37.5,35.2,36.9,825
ALLSEC,2009-05-25,38.75,38.75,37.0,38.65,11899
ALLSEC,2009-05-26,39.0,40.0,36.75,36.8,268632
ALLSEC,2009-05-27,38.65,38.65,36.7,38.65,5029
ALLSEC,2009-05-28,40.0,40.3,39.0,39.65,2290
ALLSEC,2009-05-29,38.35,41.6,38.35,41.6,9791
ALLSEC,2009-06-01,39.6,43.0,39.6,42.8,3928
ALLSEC,2009-06-02,43.0,44.95,40.7,44.95,10627
ALLSEC,2009-06-03,45.0,47.2,43.2,46.1,31215
ALLSEC,2009-06-04,46.2,48.0,43.95,45.75,2115
ALLSEC,2009-06-05,46.0,48.0,43.7,43.9,16209
ALLSEC,2009-06-08,43.6,43.6,41.7,41.75,2380
ALLSEC,2009-06-09,40.0,43.0,40.0,41.05,680
