symbol,date,open,high,low,close,volume
ALSTOMT&D,2016-01-01,476.85,478.85,471.0,471.1,9715
ALSTOMT&D,2016-01-04,471.05,475.7,457.0,459.9,27060
ALSTOMT&D,2016-01-05,465.65,465.65,446.15,448.8,93341
ALSTOMT&D,2016-01-06,454.9,457.95,440.15,445.05,40434
ALSTOMT&D,2016-01-07,440.15,468.0,435.0,453.15,766206
ALSTOMT&D,2016-01-08,459.5,463.75,446.0,448.0,60620
ALSTOMT&D,2016-01-11,446.95,454.0,441.25,449.1,27974
ALSTOMT&D,2016-01-12,448.5,449.5,433.2,440.0,29991
ALSTOMT&D,2016-01-13,442.75,449.4,428.65,447.9,130449
ALSTOMT&D,2016-01-14,436.25,441.75,428.1,436.0,74396
ALSTOMT&D,2016-01-15,439.45,439.45,415.0,417.0,42294
ALSTOMT&D,2016-01-18,415.05,427.85,383.0,425.0,60868
ALSTOMT&D,2016-01-19,420.2,428.85,394.75,425.05,57428
ALSTOMT&D,2016-01-20,418.3,426.8,405.75,425.0,42177
ALSTOMT&D,2016-01-21,422.45,425.95,404.5,420.2,31959
ALSTOMT&D,2016-01-22,419.95,422.55,414.95,417.15,85641
ALSTOMT&D,2016-01-25,422.95,436.7,421.0,435.0,122049
ALSTOMT&D,2016-01-27,436.0,449.9,431.0,446.95,35479
ALSTOMT&D,2016-01-28,440.55,443.75,430.0,438.0,208764
ALSTOMT&D,2016-01-29,432.95,452.8,431.0,445.8,23414
ALSTOMT&D,2016-02-01,447.9,453.4,433.1,446.95,38762
ALSTOMT&D,2016-02-02,446.0,446.0,432.0,433.0,13785
ALSTOMT&D,2016-02-03,427.0,444.3,406.95,440.5,40796
ALSTOMT&D,2016-02-04,442.45,442.45,432.3,435.0,33229
ALSTOMT&D,2016-02-05,430.0,449.95,429.2,444.25,66339
ALSTOMT&D,2016-02-08,448.05,448.9,436.0,438.4,64173
ALSTOMT&D,2016-02-09,434.2,437.95,424.0,435.0,21929
ALSTOMT&D,2016-02-10,433.0,436.65,405.5,427.0,57200
ALSTOMT&D,2016-02-11,410.0,410.0,383.55,395.0,185360
ALSTOMT&D,2016-02-12,390.0,401.9,380.2,390.4,142743
ALSTOMT&D,2016-02-15,396.95,414.9,392.1,411.5,30677
ALSTOMT&D,2016-02-16,403.0,410.0,390.0,405.0,145348
ALSTOMT&D,2016-02-17,401.35,401.5,386.9,387.4,173491
ALSTOMT&D,2016-02-18,390.8,404.25,387.7,402.0,37457
ALSTOMT&D,2016-02-19,397.0,399.7,391.0,391.0,9263
ALSTOMT&D,2016-02-22,395.5,395.6,388.15,393.4,42418
ALSTOMT&D,2016-02-23,391.05,393.5,371.05,372.5,17937
ALSTOMT&D,2016-02-24,371.4,380.45,363.0,365.8,22997
ALSTOMT&D,2016-02-25,367.5,367.5,357.0,366.95,44673
ALSTOMT&D,2016-02-26,367.0,369.05,354.55,361.0,15302
ALSTOMT&D,2016-02-29,361.45,361.5,348.2,357.0,65161
ALSTOMT&D,2016-03-01,355.5,373.95,355.5,370.1,98978
ALSTOMT&D,2016-03-02,370.45,399.0,368.0,392.0,474286
ALSTOMT&D,2016-03-03,387.95,409.0,387.95,395.0,157850
ALSTOMT&D,2016-03-04,400.0,404.9,385.0,400.0,49180
ALSTOMT&D,2016-03-08,395.6,399.0,388.25,390.0,137119
ALSTOMT&D,2016-03-09,394.0,397.95,383.75,387.0,36672
ALSTOMT&D,2016-03-10,388.0,390.3,376.65,384.0,57749
ALSTOMT&D,2016-03-11,384.7,409.8,381.0,401.15,50932
ALSTOMT&D,2016-03-14,398.35,401.0,383.55,390.0,77583
ALSTOMT&D,2016-03-15,394.0,408.4,387.1,408.4,40954
ALSTOMT&D,2016-03-16,397.65,421.1,395.5,419.0,147295
ALSTOMT&D,2016-03-17,414.95,419.0,388.1,389.8,120613
ALSTOMT&D,2016-03-18,392.7,393.7,378.55,386.1,112174
ALSTOMT&D,2016-03-21,386.9,397.5,369.1,380.0,139401
ALSTOMT&D,2016-03-22,378.55,398.55,377.3,392.0,162871
ALSTOMT&D,2016-03-23,390.0,409.95,383.0,403.1,68417
ALSTOMT&D,2016-03-28,401.45,414.5,392.8,407.55,64911
ALSTOMT&D,2016-03-29,405.05,416.0,395.1,400.0,154247
ALSTOMT&D,2016-03-30,400.5,442.0,400.5,433.65,113562
ALSTOMT&D,2016-03-31,427.45,497.8,422.9,480.0,205998
ALSTOMT&D,2016-04-01,440.1,459.9,433.05,437.8,91059
ALSTOMT&D,2016-04-04,438.0,453.75,435.25,436.95,47394
ALSTOMT&D,2016-04-05,438.5,445.95,418.2,422.6,45493
ALSTOMT&D,2016-04-06,426.0,433.35,419.0,419.0,13230
ALSTOMT&D,2016-04-07,425.65,432.0,421.0,426.6,27311
ALSTOMT&D,2016-04-08,423.0,428.95,423.0,425.1,156795
ALSTOMT&D,2016-04-11,428.0,428.95,419.35,421.0,9734
ALSTOMT&D,2016-04-12,423.0,423.0,411.75,412.5,24231
ALSTOMT&D,2016-04-13,416.3,419.95,411.85,413.05,68497
ALSTOMT&D,2016-04-18,415.85,417.7,400.0,402.0,41228
ALSTOMT&D,2016-04-20,404.2,411.0,401.05,408.05,38546
ALSTOMT&D,2016-04-21,408.7,412.8,396.0,397.0,100663
