symbol,date,open,high,low,close,volume
AMIABLE,2023-01-11,94.0,97.0,94.0,97.0,3201
AMIABLE,2023-01-12,96.0,96.0,96.0,96.0,1601
AMIABLE,2023-01-13,96.0,96.0,96.0,96.0,1601
AMIABLE,2023-01-16,95.0,95.0,95.0,95.0,1601
AMIABLE,2023-01-17,96.0,101.0,96.0,101.0,16002
AMIABLE,2023-01-18,103.0,103.0,95.1,100.9,17601
AMIABLE,2023-01-19,99.5,99.5,99.1,99.1,3201
AMIABLE,2023-01-20,99.5,99.5,95.0,95.0,9601
AMIABLE,2023-01-23,97.0,98.0,97.0,98.0,4801
AMIABLE,2023-01-24,95.5,95.5,95.5,95.5,1601
AMIABLE,2023-01-25,95.0,95.0,90.05,90.05,6401
AMIABLE,2023-01-27,95.0,97.0,95.0,97.0,4801
AMIABLE,2023-02-01,87.05,87.05,87.05,87.05,1601
AMIABLE,2023-02-02,86.0,86.0,86.0,86.0,1601
AMIABLE,2023-02-03,88.0,92.85,88.0,92.85,4801
AMIABLE,2023-02-08,86.0,88.0,86.0,88.0,4801
AMIABLE,2023-02-09,86.9,89.1,86.9,89.1,16001
AMIABLE,2023-02-10,90.0,90.0,90.0,90.0,1601
AMIABLE,2023-02-14,90.0,90.0,90.0,90.0,1601
AMIABLE,2023-02-15,88.0,89.0,88.0,89.0,3201
AMIABLE,2023-02-16,89.0,89.0,87.1,87.1,3201
AMIABLE,2023-02-17,87.0,93.65,87.0,93.65,4801
AMIABLE,2023-02-20,86.0,88.0,86.0,88.0,3201
AMIABLE,2023-02-22,86.0,86.0,86.0,86.0,1601
AMIABLE,2023-02-27,81.0,81.0,80.0,80.0,3201
AMIABLE,2023-02-28,78.1,78.1,78.1,78.1,1601
AMIABLE,2023-03-03,78.5,78.5,78.0,78.0,4801
AMIABLE,2023-03-06,75.05,79.95,75.05,79.95,3201
AMIABLE,2023-03-08,78.95,78.95,78.95,78.95,1601
AMIABLE,2023-03-13,80.95,80.95,73.5,73.5,4801
AMIABLE,2023-03-14,73.0,73.0,70.0,70.0,8001
AMIABLE,2023-03-15,70.0,72.0,70.0,72.0,3201
AMIABLE,2023-03-17,72.0,72.0,72.0,72.0,3201
AMIABLE,2023-03-21,71.0,75.0,71.0,75.0,6401
AMIABLE,2023-03-22,73.05,73.35,73.05,73.35,40001
AMIABLE,2023-03-23,73.0,74.95,73.0,74.95,8001
AMIABLE,2023-03-24,89.9,89.9,75.0,80.0,9601
AMIABLE,2023-03-27,83.95,83.95,75.2,75.2,16001
AMIABLE,2023-03-28,75.0,75.0,75.0,75.0,3201
AMIABLE,2023-03-29,73.55,73.55,73.55,73.55,1601
AMIABLE,2023-03-31,73.55,73.55,70.0,70.0,6401
AMIABLE,2023-04-05,75.0,78.0,75.0,76.0,6401
AMIABLE,2023-04-10,75.0,75.0,75.0,75.0,3201
AMIABLE,2023-04-12,78.0,78.0,78.0,78.0,8001
AMIABLE,2023-04-17,74.0,74.0,74.0,74.0,1601
AMIABLE,2023-04-18,73.0,73.0,73.0,73.0,1601
AMIABLE,2023-04-21,72.4,76.0,72.35,76.0,4802
