symbol,date,open,high,low,close,volume
ANDHRSUGAR,2008-06-09,17.04,17.8,17.04,17.58,35260
ANDHRSUGAR,2008-06-10,17.6,18.12,17.22,17.74,50115
ANDHRSUGAR,2008-06-11,18.0,18.2,17.6,17.88,28310
ANDHRSUGAR,2008-06-12,17.13,18.7,17.13,18.35,40110
ANDHRSUGAR,2008-06-13,18.22,18.38,17.72,17.82,65575
ANDHRSUGAR,2008-06-16,18.14,18.38,17.82,18.06,67735
ANDHRSUGAR,2008-06-17,18.46,18.85,18.11,18.67,99210
ANDHRSUGAR,2008-06-18,18.22,18.88,18.01,18.07,61250
ANDHRSUGAR,2008-06-19,18.2,18.58,18.02,18.29,42965
ANDHRSUGAR,2008-06-20,18.6,18.6,17.31,17.45,61770
ANDHRSUGAR,2008-06-23,16.2,18.56,16.2,16.96,24305
ANDHRSUGAR,2008-06-24,16.64,17.69,15.8,16.09,95160
ANDHRSUGAR,2008-06-25,16.88,17.17,16.26,16.9,49405
ANDHRSUGAR,2008-06-26,16.7,17.17,16.7,16.92,37265
ANDHRSUGAR,2008-06-27,16.75,16.8,16.02,16.29,63570
ANDHRSUGAR,2008-06-30,17.99,17.99,15.96,16.01,96765
ANDHRSUGAR,2008-07-01,15.8,16.38,15.4,15.67,51845
ANDHRSUGAR,2008-07-02,15.52,17.14,15.27,16.66,98030
ANDHRSUGAR,2008-07-03,16.4,17.0,16.26,16.56,95080
ANDHRSUGAR,2008-07-04,16.51,17.2,16.21,16.84,76820
ANDHRSUGAR,2008-07-07,17.2,17.64,16.6,16.97,72400
ANDHRSUGAR,2008-07-08,16.3,17.25,16.3,16.88,75725
ANDHRSUGAR,2008-07-09,17.35,17.6,17.14,17.43,35180
ANDHRSUGAR,2008-07-10,17.38,18.14,17.2,17.83,122020
ANDHRSUGAR,2008-07-11,17.98,18.0,17.4,17.48,68085
ANDHRSUGAR,2008-07-14,17.44,17.59,17.01,17.34,33080
ANDHRSUGAR,2008-07-15,17.01,17.33,16.6,16.64,49545
ANDHRSUGAR,2008-07-16,17.3,17.3,16.32,16.44,115145
ANDHRSUGAR,2008-07-17,16.76,16.76,16.4,16.5,49595
ANDHRSUGAR,2008-07-18,16.66,16.8,16.52,16.72,42335
ANDHRSUGAR,2008-07-21,16.7,18.0,16.48,17.68,118590
ANDHRSUGAR,2008-07-22,17.57,17.68,17.4,17.42,51340
ANDHRSUGAR,2008-07-23,17.77,18.08,17.5,17.71,113910
ANDHRSUGAR,2008-07-24,17.62,18.02,17.5,17.57,43705
ANDHRSUGAR,2008-07-25,17.6,18.66,17.42,18.35,91450
ANDHRSUGAR,2008-07-28,18.6,19.14,18.45,18.79,91880
ANDHRSUGAR,2008-07-29,17.84,20.26,17.84,19.66,257205
ANDHRSUGAR,2008-07-30,15.73,21.0,15.73,19.38,159715
ANDHRSUGAR,2008-07-31,16.88,19.92,16.88,19.5,112465
ANDHRSUGAR,2008-08-01,18.5,21.68,18.5,21.0,417695
ANDHRSUGAR,2008-08-04,21.2,23.76,21.2,22.51,909110
ANDHRSUGAR,2008-08-05,22.82,23.3,22.04,22.5,466975
ANDHRSUGAR,2008-08-06,22.6,23.5,22.03,22.41,916470
ANDHRSUGAR,2008-08-07,22.04,23.07,22.04,22.45,239685
ANDHRSUGAR,2008-08-08,22.0,22.72,21.65,21.93,308725
ANDHRSUGAR,2008-08-11,18.22,22.65,18.22,22.26,133915
ANDHRSUGAR,2008-08-12,22.29,22.8,21.31,21.54,404670
ANDHRSUGAR,2008-08-13,20.54,22.18,20.54,21.58,135320
ANDHRSUGAR,2008-08-14,20.68,21.87,20.68,21.42,73375
ANDHRSUGAR,2008-08-18,21.52,21.89,21.2,21.43,82580
ANDHRSUGAR,2008-08-19,20.7,22.0,20.7,21.83,138200
ANDHRSUGAR,2008-08-20,21.25,22.3,21.25,22.07,264765
ANDHRSUGAR,2008-08-21,21.0,22.17,21.0,21.72,127410
ANDHRSUGAR,2008-08-22,21.28,21.99,21.04,21.19,203030
ANDHRSUGAR,2008-08-25,21.0,21.6,20.7,20.82,118405
ANDHRSUGAR,2008-08-26,20.6,21.7,20.6,21.3,82350
ANDHRSUGAR,2008-08-27,20.81,21.83,20.81,21.41,59705
ANDHRSUGAR,2008-08-28,21.04,21.78,21.01,21.15,46745
ANDHRSUGAR,2008-08-29,20.81,21.74,20.81,21.51,75720
ANDHRSUGAR,2008-09-01,21.04,21.84,21.04,21.31,96705
ANDHRSUGAR,2008-09-02,20.81,21.8,20.81,21.55,63405
ANDHRSUGAR,2008-09-04,21.1,22.25,21.1,21.94,179710
ANDHRSUGAR,2008-09-05,20.94,22.2,20.94,21.92,110640
ANDHRSUGAR,2008-09-08,20.8,22.81,20.8,22.18,249525
ANDHRSUGAR,2008-09-09,22.77,22.96,21.42,22.03,141865
ANDHRSUGAR,2008-09-10,21.03,22.02,21.03,21.66,97135
ANDHRSUGAR,2008-09-11,21.45,21.76,21.27,21.52,166195
ANDHRSUGAR,2008-09-12,21.03,21.04,19.24,19.42,191345
ANDHRSUGAR,2008-09-15,18.6,18.81,17.67,17.89,141805
ANDHRSUGAR,2008-09-16,16.29,17.74,16.29,17.61,52380
ANDHRSUGAR,2008-09-17,17.12,18.0,17.12,17.45,38820
ANDHRSUGAR,2008-09-18,16.24,17.76,16.24,17.45,79905
ANDHRSUGAR,2008-09-19,16.6,18.1,16.6,17.25,120535
ANDHRSUGAR,2008-09-22,17.02,17.56,17.02,17.33,79115
ANDHRSUGAR,2008-09-23,17.01,17.7,16.82,16.9,105990
ANDHRSUGAR,2008-09-24,16.11,17.18,16.11,17.04,41845
ANDHRSUGAR,2008-09-25,16.71,17.78,16.71,17.44,57835
ANDHRSUGAR,2008-09-26,17.11,17.55,16.7,16.81,55190
ANDHRSUGAR,2008-09-29,16.51,17.0,15.28,15.42,184260
ANDHRSUGAR,2008-09-30,15.5,16.88,15.0,16.54,90270
ANDHRSUGAR,2008-10-01,16.68,16.68,15.82,15.94,80895
ANDHRSUGAR,2008-10-03,16.13,16.26,15.52,16.05,58655
ANDHRSUGAR,2008-10-06,15.85,15.94,14.6,14.69,162325
ANDHRSUGAR,2008-10-07,14.0,15.19,14.0,14.97,100550
ANDHRSUGAR,2008-10-08,13.5,14.8,13.4,13.75,265350
ANDHRSUGAR,2008-10-10,12.0,13.69,12.0,13.14,117245
ANDHRSUGAR,2008-10-13,12.04,15.36,12.04,14.35,79175
ANDHRSUGAR,2008-10-14,14.01,15.2,14.01,14.52,52655
ANDHRSUGAR,2008-10-15,14.2,14.71,14.03,14.24,27070
ANDHRSUGAR,2008-10-16,14.24,14.24,13.0,13.76,86505
ANDHRSUGAR,2008-10-17,13.22,14.19,13.22,13.51,37885
ANDHRSUGAR,2008-10-20,13.51,14.1,13.3,13.47,37915
ANDHRSUGAR,2008-10-21,12.07,13.8,12.07,13.72,70500
ANDHRSUGAR,2008-10-22,12.52,14.12,12.52,13.73,42460
ANDHRSUGAR,2008-10-23,13.8,13.8,12.6,13.05,56360
ANDHRSUGAR,2008-10-24,12.45,13.2,12.0,12.18,135950
ANDHRSUGAR,2008-10-27,12.02,13.2,10.24,11.9,129575
ANDHRSUGAR,2008-10-28,11.74,13.6,11.74,13.09,38220
ANDHRSUGAR,2008-10-29,13.8,13.8,12.61,12.91,53965
ANDHRSUGAR,2008-10-31,12.24,14.2,12.24,13.91,156360
ANDHRSUGAR,2008-11-03,12.5,14.5,12.5,14.11,41675
ANDHRSUGAR,2008-11-04,13.6,15.74,13.6,15.49,148620
ANDHRSUGAR,2008-11-05,15.4,15.74,14.45,14.65,70850
ANDHRSUGAR,2008-11-06,13.64,14.6,13.64,14.21,43895
ANDHRSUGAR,2008-11-07,13.24,14.5,13.24,14.23,21580
ANDHRSUGAR,2008-11-10,13.44,14.77,13.44,14.74,14315
ANDHRSUGAR,2008-11-11,13.8,14.65,13.56,13.68,37710
ANDHRSUGAR,2008-11-12,13.1,14.0,13.1,13.74,81485
ANDHRSUGAR,2008-11-14,13.6,14.2,13.2,13.27,46285
ANDHRSUGAR,2008-11-17,12.44,13.39,12.44,12.76,55735
ANDHRSUGAR,2008-11-18,11.76,12.95,11.76,12.44,47325
ANDHRSUGAR,2008-11-19,11.4,12.92,11.4,12.46,29055
ANDHRSUGAR,2008-11-20,11.72,12.5,11.72,12.25,26060
ANDHRSUGAR,2008-11-21,11.72,12.55,11.72,12.38,33245
ANDHRSUGAR,2008-11-24,11.68,12.4,11.68,12.17,34090
ANDHRSUGAR,2008-11-25,12.0,12.56,12.0,12.32,75670
ANDHRSUGAR,2008-11-26,11.4,12.4,11.4,12.08,18835
ANDHRSUGAR,2008-11-28,11.81,12.09,11.6,12.0,43500
ANDHRSUGAR,2008-12-01,11.41,12.71,11.41,11.87,29500
ANDHRSUGAR,2008-12-02,11.1,12.0,11.1,11.83,34575
ANDHRSUGAR,2008-12-03,11.02,12.01,11.02,11.78,14160
ANDHRSUGAR,2008-12-04,11.62,12.6,11.62,12.12,39085
ANDHRSUGAR,2008-12-05,11.8,12.6,11.8,12.18,55520
ANDHRSUGAR,2008-12-08,12.19,12.5,12.12,12.22,19705
