symbol,date,open,high,low,close,volume
ANLON,2023-01-24,204.85,218.9,184.5,186.0,144001
ANLON,2023-01-25,189.75,189.9,178.0,180.0,43201
ANLON,2023-01-27,178.0,179.0,165.25,178.0,43201
ANLON,2023-01-30,186.0,195.5,175.0,193.5,30001
ANLON,2023-01-31,185.0,197.0,185.0,196.0,10801
ANLON,2023-02-01,199.0,199.5,175.0,179.1,26402
ANLON,2023-02-02,175.0,187.95,175.0,179.25,21601
ANLON,2023-02-03,176.05,188.9,172.55,183.05,44401
ANLON,2023-02-06,188.0,190.0,180.5,190.0,28802
ANLON,2023-02-07,183.1,185.25,178.1,178.1,14401
ANLON,2023-02-08,180.0,180.0,167.0,168.3,52801
ANLON,2023-02-09,173.0,203.7,173.0,184.4,127201
ANLON,2023-02-10,191.0,196.0,180.0,180.0,33601
ANLON,2023-02-13,184.0,190.75,180.0,187.2,25201
ANLON,2023-02-14,185.0,185.0,179.05,179.05,9601
ANLON,2023-02-15,179.0,179.95,177.5,178.5,22802
ANLON,2023-02-16,177.95,184.0,176.0,183.0,14401
ANLON,2023-02-17,183.95,193.0,183.95,187.9,39602
ANLON,2023-02-20,187.8,190.0,185.0,185.0,12001
ANLON,2023-02-21,180.0,180.0,173.0,174.9,15601
ANLON,2023-02-22,175.0,178.0,170.0,170.0,38401
ANLON,2023-02-23,171.2,174.0,156.0,156.0,37201
ANLON,2023-02-24,162.0,164.0,145.0,152.0,31201
ANLON,2023-02-27,148.0,151.0,147.05,147.05,7201
ANLON,2023-02-28,151.0,163.7,151.0,161.9,31201
ANLON,2023-03-01,155.1,160.0,155.05,160.0,8401
ANLON,2023-03-02,155.0,155.0,151.0,151.0,7201
ANLON,2023-03-03,158.0,168.95,158.0,168.0,21601
ANLON,2023-03-06,160.0,174.4,160.0,170.0,8401
ANLON,2023-03-08,163.5,170.0,163.5,170.0,4801
ANLON,2023-03-09,165.1,169.0,163.0,164.5,9601
ANLON,2023-03-10,164.5,164.5,153.05,158.0,30001
ANLON,2023-03-13,155.0,155.0,147.2,155.0,18001
ANLON,2023-03-14,148.0,150.0,144.0,144.0,31201
ANLON,2023-03-15,143.1,143.35,143.05,143.35,4802
ANLON,2023-03-16,135.0,142.1,131.05,135.0,34801
ANLON,2023-03-17,137.0,142.0,137.0,142.0,3601
ANLON,2023-03-20,141.0,150.0,140.0,150.0,9601
ANLON,2023-03-21,151.0,158.0,151.0,158.0,2401
ANLON,2023-03-22,163.0,165.8,160.0,165.8,15601
ANLON,2023-03-23,165.7,165.7,161.0,161.0,12001
ANLON,2023-03-24,159.0,161.0,153.0,153.0,14401
ANLON,2023-03-27,153.25,158.0,145.1,152.0,25201
ANLON,2023-03-28,159.25,159.25,150.0,150.0,14401
ANLON,2023-03-29,154.95,166.95,154.95,157.5,22801
ANLON,2023-03-31,154.1,160.0,151.05,160.0,19201
ANLON,2023-04-03,160.0,160.0,155.0,155.05,4801
ANLON,2023-04-05,161.0,162.0,160.0,160.0,13201
ANLON,2023-04-06,165.0,165.0,165.0,165.0,1201
ANLON,2023-04-10,169.9,190.7,169.9,175.0,135601
ANLON,2023-04-11,175.2,180.0,168.0,168.0,74401
ANLON,2023-04-12,171.0,171.0,160.5,160.5,14401
ANLON,2023-04-13,162.65,163.0,160.7,161.0,18001
ANLON,2023-04-17,167.0,167.0,160.0,160.0,2401
ANLON,2023-04-18,157.0,175.0,156.5,170.0,42001
ANLON,2023-04-19,170.0,170.0,167.55,167.55,7201
ANLON,2023-04-20,166.3,168.25,160.1,168.25,15602
ANLON,2023-04-21,169.0,169.0,166.0,166.0,6001
ANLON,2023-04-24,166.0,170.0,166.0,170.0,3601
ANLON,2023-04-25,171.95,171.95,163.5,163.5,4801
ANLON,2023-04-26,163.6,163.6,160.05,160.1,8401
ANLON,2023-04-27,160.1,166.0,160.1,163.0,10801
ANLON,2023-04-28,162.5,166.0,162.5,166.0,2401
ANLON,2023-05-02,165.0,165.0,165.0,165.0,1201
ANLON,2023-05-03,165.0,165.0,160.0,160.0,7201
ANLON,2023-05-04,161.0,161.0,155.5,161.0,12001
ANLON,2023-05-05,160.5,160.5,159.9,159.9,6001
ANLON,2023-05-08,162.05,162.05,160.0,160.0,3601
ANLON,2023-05-09,156.0,159.8,146.5,159.8,19202
ANLON,2023-05-10,159.2,159.2,159.2,159.2,1201
ANLON,2023-05-11,153.6,162.0,151.1,162.0,13202
ANLON,2023-05-12,161.95,161.95,161.8,161.8,2401
ANLON,2023-05-15,176.15,194.15,176.15,194.15,177601
ANLON,2023-05-16,201.8,201.8,186.0,187.9,56402
ANLON,2023-05-17,186.0,186.0,176.8,176.8,16801
ANLON,2023-05-18,177.2,212.15,177.2,212.15,163201
ANLON,2023-05-19,216.0,224.95,207.0,210.0,73201
ANLON,2023-05-22,210.0,210.0,195.0,195.0,21601
ANLON,2023-05-23,193.1,197.95,193.0,193.0,8401
ANLON,2023-05-24,193.0,210.0,190.0,210.0,21601
ANLON,2023-05-25,214.0,221.5,200.05,200.05,18001
ANLON,2023-05-26,195.1,195.1,195.0,195.0,4801
ANLON,2023-05-29,204.95,204.95,204.95,204.95,1201
ANLON,2023-05-30,204.9,208.05,195.0,195.0,8402
ANLON,2023-05-31,192.5,193.3,192.5,193.3,4801
ANLON,2023-06-01,198.0,203.95,197.0,203.95,6001
ANLON,2023-06-05,210.0,229.95,210.0,229.95,91201
ANLON,2023-06-06,230.0,247.0,220.0,240.0,87601
ANLON,2023-06-07,242.0,248.0,240.0,244.0,32401
ANLON,2023-06-08,246.95,247.0,235.0,235.0,21601
ANLON,2023-06-09,235.0,238.0,233.0,238.0,20401
ANLON,2023-06-12,234.0,238.95,232.1,233.2,13201
ANLON,2023-06-13,236.95,236.95,231.0,231.0,3601
ANLON,2023-06-14,235.0,235.0,220.0,220.2,21601
ANLON,2023-06-15,220.0,220.1,220.0,220.1,9601
ANLON,2023-06-16,222.0,222.0,222.0,222.0,1201
ANLON,2023-06-19,225.0,225.0,224.0,224.0,3601
ANLON,2023-06-20,229.0,229.0,212.0,214.5,10801
ANLON,2023-06-21,222.5,227.0,211.2,214.0,16801
ANLON,2023-06-22,214.1,214.95,202.1,202.1,13201
ANLON,2023-06-23,207.0,222.0,204.0,222.0,36001
ANLON,2023-06-26,223.0,240.5,220.0,240.5,20402
ANLON,2023-06-27,245.1,246.1,243.0,243.0,33601
ANLON,2023-06-28,243.0,243.0,242.0,242.0,6001
ANLON,2023-06-30,236.1,239.0,221.0,235.0,33602
ANLON,2023-07-03,233.0,235.0,220.25,235.0,22801
ANLON,2023-07-04,228.6,242.9,227.55,230.1,13202
ANLON,2023-07-05,229.8,234.8,227.0,227.0,24001
ANLON,2023-07-06,233.0,273.0,233.0,267.0,183601
ANLON,2023-07-07,270.0,273.9,262.05,263.5,25201
ANLON,2023-07-10,258.75,280.5,248.2,280.0,40802
ANLON,2023-07-11,288.0,300.0,281.6,281.6,51601
ANLON,2023-07-12,295.0,307.0,290.0,290.0,67201
ANLON,2023-07-13,307.95,309.95,295.0,301.0,51602
ANLON,2023-07-14,294.1,299.85,293.0,293.0,12001
ANLON,2023-07-17,288.0,288.0,288.0,288.0,2401
ANLON,2023-07-18,288.0,294.0,280.0,280.0,7201
ANLON,2023-07-19,275.65,279.9,266.05,279.9,30001
ANLON,2023-07-20,271.0,292.0,268.35,279.5,21601
ANLON,2023-07-21,281.0,283.0,281.0,283.0,4801
ANLON,2023-07-24,280.0,280.0,270.05,270.05,30001
ANLON,2023-07-25,278.0,278.0,271.0,271.0,8401
ANLON,2023-07-26,270.15,275.0,263.05,266.75,13201
ANLON,2023-07-27,262.5,263.0,262.5,263.0,3601
ANLON,2023-07-28,263.0,270.45,261.0,267.4,13201
ANLON,2023-07-31,275.0,309.0,275.0,280.0,91201
ANLON,2023-08-01,285.0,289.0,280.0,280.0,10801
ANLON,2023-08-02,278.0,278.0,264.0,274.5,34801
ANLON,2023-08-03,274.5,274.5,271.0,271.0,4801
ANLON,2023-08-04,270.0,273.0,270.0,270.0,6001
ANLON,2023-08-07,284.5,286.0,279.5,280.0,8402
ANLON,2023-08-08,271.75,276.0,271.75,276.0,4801
ANLON,2023-08-09,283.0,284.0,283.0,283.75,7201
ANLON,2023-08-10,287.0,288.0,279.0,285.0,13201
ANLON,2023-08-11,280.0,288.95,280.0,288.0,15601
ANLON,2023-08-14,274.1,274.1,270.0,270.0,8401
ANLON,2023-08-17,274.9,274.9,260.0,270.55,6001
ANLON,2023-08-18,262.0,262.0,251.05,251.05,14401
ANLON,2023-08-21,261.0,261.0,250.0,254.3,22801
ANLON,2023-08-22,257.95,257.95,250.0,250.0,7201
ANLON,2023-08-23,255.1,259.95,240.0,256.95,39601
ANLON,2023-08-24,247.1,259.85,243.0,259.85,12001
ANLON,2023-08-25,251.0,274.0,247.0,274.0,21601
ANLON,2023-08-28,282.95,294.95,275.05,279.0,18001
ANLON,2023-08-29,287.95,294.95,285.3,294.45,31201
