symbol,date,open,high,low,close,volume
ARIES,2008-06-09,117.0,119.0,111.7,114.0,10195
ARIES,2008-06-10,119.0,119.0,113.5,116.05,2016
ARIES,2008-06-11,124.9,124.9,115.0,122.25,4492
ARIES,2008-06-12,128.7,128.7,110.0,123.6,3257
ARIES,2008-06-13,124.5,124.5,122.2,122.3,711
ARIES,2008-06-16,123.0,128.0,121.95,122.8,3429
ARIES,2008-06-17,122.0,125.9,121.1,124.75,928
ARIES,2008-06-18,123.5,127.95,121.0,121.55,5091
ARIES,2008-06-19,121.0,122.95,118.0,118.9,1122
ARIES,2008-06-20,117.15,119.9,108.2,110.8,12479
ARIES,2008-06-23,110.6,112.85,102.2,103.5,2921
ARIES,2008-06-24,108.8,108.8,102.0,103.15,2886
ARIES,2008-06-25,100.75,108.2,100.25,103.55,2229
ARIES,2008-06-26,100.15,113.25,100.15,110.7,5410
ARIES,2008-06-27,105.0,108.9,102.7,106.05,4768
ARIES,2008-06-30,100.2,104.2,98.0,99.6,4547
ARIES,2008-07-01,102.5,109.6,90.75,91.9,10138
ARIES,2008-07-02,85.0,94.95,85.0,93.45,5236
ARIES,2008-07-03,92.0,92.0,85.95,86.65,2858
ARIES,2008-07-04,82.5,89.8,82.5,88.25,1361
ARIES,2008-07-07,87.1,93.0,86.0,89.15,2113
ARIES,2008-07-08,82.0,96.8,82.0,93.45,3994
ARIES,2008-07-09,100.0,110.0,96.5,106.9,10344
ARIES,2008-07-10,103.2,113.0,102.9,110.05,7710
ARIES,2008-07-11,106.1,112.95,102.05,104.45,3425
ARIES,2008-07-14,108.0,108.0,101.05,101.25,2526
ARIES,2008-07-15,102.75,102.9,95.25,97.7,1549
ARIES,2008-07-16,94.05,101.0,92.0,93.5,1373
ARIES,2008-07-17,95.5,99.0,92.8,93.35,1353
ARIES,2008-07-18,94.0,96.5,92.9,93.4,1599
ARIES,2008-07-21,92.9,97.0,90.2,94.55,1950
ARIES,2008-07-22,93.0,95.0,92.0,93.75,4653
ARIES,2008-07-23,101.0,105.0,96.0,100.65,5416
ARIES,2008-07-24,99.0,99.5,95.0,97.55,9966
ARIES,2008-07-25,94.0,109.0,93.6,105.4,13618
ARIES,2008-07-28,110.0,122.0,100.0,117.55,12003
ARIES,2008-07-29,115.0,128.0,113.1,120.2,13610
ARIES,2008-07-30,118.5,125.4,115.55,118.35,4662
ARIES,2008-07-31,118.0,120.0,111.0,116.4,2579
ARIES,2008-08-01,113.2,115.7,111.1,113.55,3226
ARIES,2008-08-04,114.25,117.55,113.95,116.8,2505
ARIES,2008-08-05,115.1,118.95,114.0,114.95,2110
ARIES,2008-08-06,120.0,122.0,116.2,117.8,9656
