symbol,date,open,high,low,close,volume
ARISTO,2023-02-13,83.0,83.0,73.1,78.5,83201
ARISTO,2023-02-14,76.7,76.7,74.3,74.3,33601
ARISTO,2023-02-15,74.25,74.25,71.1,72.15,33601
ARISTO,2023-02-16,74.0,74.0,72.1,73.0,22401
ARISTO,2023-02-17,73.0,74.1,72.0,72.0,14401
ARISTO,2023-02-20,72.0,72.0,67.6,68.75,25602
ARISTO,2023-02-21,67.0,67.95,64.1,66.45,30401
ARISTO,2023-02-22,66.0,66.6,63.55,65.0,19201
ARISTO,2023-02-23,68.0,69.0,68.0,69.0,9601
ARISTO,2023-02-24,69.0,69.0,65.0,65.0,17601
ARISTO,2023-02-27,63.0,64.0,60.55,62.8,16001
ARISTO,2023-02-28,63.0,64.0,63.0,63.5,6401
ARISTO,2023-03-02,53.0,67.0,53.0,65.0,49601
ARISTO,2023-03-03,69.7,69.7,65.05,68.0,9601
ARISTO,2023-03-06,69.7,71.3,69.0,71.3,11201
ARISTO,2023-03-08,71.0,71.0,68.0,68.0,3201
ARISTO,2023-03-09,65.0,66.0,65.0,66.0,3201
ARISTO,2023-03-10,65.0,65.0,61.1,62.1,22402
ARISTO,2023-03-13,66.4,66.4,63.1,65.0,8001
ARISTO,2023-03-14,62.5,62.5,60.0,60.0,25601
ARISTO,2023-03-15,61.0,61.0,58.0,59.0,17601
ARISTO,2023-03-16,58.0,58.0,54.15,54.15,28802
ARISTO,2023-03-17,56.0,57.8,56.0,57.8,9601
ARISTO,2023-03-20,56.0,56.45,53.05,56.45,14401
ARISTO,2023-03-21,55.95,59.45,55.0,55.0,9601
ARISTO,2023-03-22,55.15,59.5,55.15,56.0,11201
ARISTO,2023-03-23,53.5,54.15,53.5,54.0,6401
ARISTO,2023-03-24,54.0,54.0,49.55,53.7,60801
ARISTO,2023-03-27,51.0,52.95,51.0,52.4,8001
ARISTO,2023-03-28,50.0,61.8,48.25,61.8,145601
ARISTO,2023-03-29,65.25,65.25,56.1,56.1,96001
ARISTO,2023-03-31,59.0,59.0,56.05,56.05,14402
ARISTO,2023-04-03,60.9,60.9,59.45,60.0,6401
ARISTO,2023-04-05,60.8,60.8,59.0,59.0,8001
ARISTO,2023-04-06,62.0,62.0,55.5,60.5,8001
ARISTO,2023-04-10,63.85,63.85,55.5,57.3,33601
ARISTO,2023-04-11,57.0,57.0,57.0,57.0,1601
ARISTO,2023-04-12,57.0,57.0,55.15,55.15,8001
ARISTO,2023-04-13,56.25,57.9,56.25,56.25,11201
ARISTO,2023-04-17,52.25,57.8,52.25,57.8,4801
ARISTO,2023-04-18,57.0,59.3,54.6,54.6,20801
