symbol,date,open,high,low,close,volume
ARSHIYA,2009-12-14,164.85,166.5,150.0,160.85,22190
ARSHIYA,2009-12-15,170.0,191.2,168.0,183.15,634664
ARSHIYA,2009-12-16,184.5,188.7,177.35,181.85,160901
ARSHIYA,2009-12-17,182.0,191.9,180.0,188.15,130306
ARSHIYA,2009-12-18,189.9,194.0,180.8,187.95,93692
ARSHIYA,2009-12-21,187.95,191.7,181.0,183.1,24887
ARSHIYA,2009-12-22,183.25,185.05,181.1,183.4,8955
ARSHIYA,2009-12-23,184.9,186.9,180.1,182.2,12282
ARSHIYA,2009-12-24,181.2,189.5,181.2,186.05,28273
ARSHIYA,2009-12-29,194.0,200.0,186.1,191.55,57573
ARSHIYA,2009-12-30,195.0,196.0,190.0,191.35,7114
ARSHIYA,2009-12-31,192.0,198.95,188.0,189.0,9165
ARSHIYA,2010-01-04,189.0,195.6,188.05,189.9,16728
ARSHIYA,2010-01-05,192.0,193.9,187.65,190.7,15074
ARSHIYA,2010-01-06,191.0,192.0,188.5,190.65,3617
ARSHIYA,2010-01-07,188.0,193.75,187.15,188.75,6383
ARSHIYA,2010-01-08,189.95,190.0,185.0,185.4,6999
ARSHIYA,2010-01-11,185.05,197.65,183.5,193.2,28788
ARSHIYA,2010-01-12,194.95,195.0,186.1,188.7,7622
ARSHIYA,2010-01-13,194.0,194.0,187.3,192.45,5567
ARSHIYA,2010-01-14,195.0,195.0,190.4,191.45,2545
ARSHIYA,2010-01-15,193.0,195.0,190.0,190.6,9026
ARSHIYA,2010-01-18,193.5,204.0,192.2,201.4,35552
ARSHIYA,2010-01-19,205.0,209.6,198.0,201.45,14796
ARSHIYA,2010-01-20,207.9,215.0,202.0,206.95,23067
ARSHIYA,2010-01-21,205.35,208.9,195.0,198.15,8848
ARSHIYA,2010-01-22,187.0,204.1,185.2,200.7,16696
ARSHIYA,2010-01-25,200.7,200.7,190.0,190.3,9677
ARSHIYA,2010-01-27,190.0,193.0,182.2,185.0,10898
ARSHIYA,2010-01-28,187.0,189.9,183.4,185.35,1534
ARSHIYA,2010-01-29,180.0,188.0,180.0,186.75,4118
ARSHIYA,2010-02-01,180.5,198.0,180.5,192.55,7459
ARSHIYA,2010-02-02,200.0,200.0,192.0,192.15,7919
ARSHIYA,2010-02-03,194.05,194.05,190.0,190.0,3871
ARSHIYA,2010-02-04,189.95,189.95,180.2,183.2,6625
ARSHIYA,2010-02-05,180.0,195.0,175.25,190.45,15233
ARSHIYA,2010-02-06,194.5,194.5,190.0,192.05,272
ARSHIYA,2010-02-08,191.95,192.8,187.0,189.85,717
ARSHIYA,2010-02-09,187.05,193.0,186.15,190.75,4345
ARSHIYA,2010-02-10,190.5,212.0,189.25,191.2,226509
ARSHIYA,2010-02-11,196.8,200.15,193.1,197.0,34580
ARSHIYA,2010-02-15,201.0,201.0,189.0,193.25,10042
ARSHIYA,2010-02-16,192.0,195.8,185.0,192.1,11188
ARSHIYA,2010-02-17,196.9,196.9,186.0,187.85,11191
ARSHIYA,2010-02-18,180.0,191.0,180.0,187.0,5653
ARSHIYA,2010-02-19,189.85,189.85,179.0,180.75,18523
ARSHIYA,2010-02-22,183.0,184.7,180.0,180.2,6853
