symbol,date,open,high,low,close,volume
ASIANPAINT,2008-06-09,125.0,126.99,120.0,125.61,330370
ASIANPAINT,2008-06-10,124.1,126.3,124.0,125.67,372820
ASIANPAINT,2008-06-11,125.6,129.4,124.04,128.79,68330
ASIANPAINT,2008-06-12,128.65,130.0,125.3,125.91,592430
ASIANPAINT,2008-06-13,127.1,127.9,123.42,126.84,59760
ASIANPAINT,2008-06-16,126.5,128.48,126.45,127.85,709850
ASIANPAINT,2008-06-17,127.5,127.5,125.1,125.92,50310
ASIANPAINT,2008-06-18,126.49,126.8,124.9,125.33,606470
ASIANPAINT,2008-06-19,126.9,131.97,122.8,126.02,571340
ASIANPAINT,2008-06-20,126.0,127.3,125.2,126.03,463090
ASIANPAINT,2008-06-23,127.5,127.5,122.5,124.7,1284930
ASIANPAINT,2008-06-24,124.0,124.5,121.0,122.49,190180
ASIANPAINT,2008-06-25,121.0,122.7,115.0,116.03,213730
ASIANPAINT,2008-06-26,119.0,120.0,116.5,117.68,149350
ASIANPAINT,2008-06-27,116.3,118.99,110.56,115.61,78590
ASIANPAINT,2008-06-30,115.61,119.7,114.0,114.93,178630
ASIANPAINT,2008-07-01,115.21,116.09,106.01,108.14,121530
ASIANPAINT,2008-07-02,107.9,107.9,100.22,104.64,157450
ASIANPAINT,2008-07-03,104.7,105.88,101.8,102.64,108150
ASIANPAINT,2008-07-04,102.9,104.0,101.01,103.22,51750
ASIANPAINT,2008-07-07,103.1,105.99,103.02,105.14,20480
ASIANPAINT,2008-07-08,103.0,105.9,102.1,102.52,75860
ASIANPAINT,2008-07-09,104.1,104.83,102.5,103.39,63550
ASIANPAINT,2008-07-10,104.0,104.0,103.0,103.56,46000
ASIANPAINT,2008-07-11,104.0,105.6,103.01,105.18,61020
ASIANPAINT,2008-07-14,104.0,107.0,103.03,105.18,118590
ASIANPAINT,2008-07-15,105.4,105.6,103.5,103.96,1358780
ASIANPAINT,2008-07-16,104.0,104.0,100.0,100.19,78050
ASIANPAINT,2008-07-17,102.8,105.0,101.0,103.41,414170
ASIANPAINT,2008-07-18,103.0,105.78,102.8,104.98,45570
ASIANPAINT,2008-07-21,103.9,106.51,103.9,106.28,30490
ASIANPAINT,2008-07-22,106.2,109.3,105.8,106.32,56800
ASIANPAINT,2008-07-23,107.3,118.46,107.3,111.08,156950
ASIANPAINT,2008-07-24,111.5,114.6,111.5,112.25,62560
ASIANPAINT,2008-07-25,112.0,112.8,110.5,111.71,31200
ASIANPAINT,2008-07-28,112.5,114.65,111.0,113.83,286520
ASIANPAINT,2008-07-29,112.8,115.5,112.01,115.0,39720
ASIANPAINT,2008-07-30,117.59,120.0,115.0,119.01,98030
ASIANPAINT,2008-07-31,119.6,123.0,118.11,120.44,564360
ASIANPAINT,2008-08-01,120.0,122.5,120.0,121.03,667920
ASIANPAINT,2008-08-04,122.5,124.87,121.5,122.52,94710
ASIANPAINT,2008-08-05,122.5,124.4,122.5,123.64,275580
ASIANPAINT,2008-08-06,123.7,124.99,123.11,123.75,167340
ASIANPAINT,2008-08-07,126.0,126.0,123.39,124.13,359270
ASIANPAINT,2008-08-08,123.5,124.0,122.62,123.88,118350
ASIANPAINT,2008-08-11,124.01,125.99,124.0,125.47,201570
