symbol,date,open,high,low,close,volume
ATUL,2008-06-09,50.0,52.55,50.0,51.7,21155
ATUL,2008-06-10,50.0,54.7,50.0,53.3,8389
ATUL,2008-06-11,52.15,55.0,52.15,53.75,7870
ATUL,2008-06-12,52.75,53.6,52.0,53.0,4936
ATUL,2008-06-13,53.0,54.35,53.0,53.8,2579
ATUL,2008-06-16,54.0,55.0,53.65,54.15,9175
ATUL,2008-06-17,54.05,56.8,54.05,55.75,23560
ATUL,2008-06-18,57.25,58.0,55.7,56.05,46197
ATUL,2008-06-19,55.85,56.0,54.1,54.4,7395
ATUL,2008-06-20,54.9,55.5,52.8,54.7,18956
ATUL,2008-06-23,54.7,55.5,52.5,54.45,26025
ATUL,2008-06-24,52.6,56.9,52.5,54.7,29844
ATUL,2008-06-25,52.7,55.9,52.7,54.6,13612
ATUL,2008-06-26,56.5,57.45,54.0,54.6,23783
ATUL,2008-06-27,54.0,55.0,52.15,54.15,17905
ATUL,2008-06-30,54.6,54.6,52.5,52.95,8198
ATUL,2008-07-01,55.0,55.0,50.5,51.05,15023
ATUL,2008-07-02,49.0,55.0,49.0,52.3,11858
ATUL,2008-07-03,51.0,52.85,49.5,50.25,6462
ATUL,2008-07-04,50.9,53.0,50.0,52.4,6135
ATUL,2008-07-07,53.0,56.95,53.0,54.7,10796
ATUL,2008-07-08,53.0,55.8,53.0,54.7,4654
ATUL,2008-07-09,55.0,57.75,55.0,56.85,70919
ATUL,2008-07-10,55.75,58.0,55.65,56.05,8931
ATUL,2008-07-11,55.25,57.5,55.25,56.3,27315
ATUL,2008-07-14,56.1,56.1,54.5,54.95,27699
ATUL,2008-07-15,54.65,55.85,52.1,52.85,9073
ATUL,2008-07-16,53.0,59.7,52.5,53.9,50088
ATUL,2008-07-17,55.0,55.45,54.4,55.1,9763
ATUL,2008-07-18,53.0,54.0,53.0,53.6,14992
ATUL,2008-07-21,52.25,54.1,52.25,52.75,5821
ATUL,2008-07-22,54.0,56.0,52.9,54.9,44878
ATUL,2008-07-23,56.0,58.65,52.75,53.35,213021
ATUL,2008-07-24,51.1,56.4,51.1,55.8,131680
ATUL,2008-07-25,52.5,57.9,52.5,56.45,122196
ATUL,2008-07-28,57.35,57.35,56.2,56.8,49618
ATUL,2008-07-29,53.55,61.8,53.55,57.35,78040
ATUL,2008-07-30,58.0,59.6,56.5,57.3,42546
ATUL,2008-07-31,56.6,57.5,55.75,56.2,24704
ATUL,2008-08-01,55.0,58.45,55.0,57.8,42393
ATUL,2008-08-04,58.0,59.8,57.25,58.35,22104
ATUL,2008-08-05,59.0,64.45,59.0,60.7,78799
ATUL,2008-08-06,61.6,62.5,59.7,59.95,23516
ATUL,2008-08-07,60.0,63.2,59.0,61.25,47656
ATUL,2008-08-08,62.95,62.95,61.05,62.0,20165
ATUL,2008-08-11,62.8,66.0,62.3,64.0,39446
ATUL,2008-08-12,64.2,64.95,63.5,64.05,36814
ATUL,2008-08-13,64.0,67.35,63.6,66.6,41271
ATUL,2008-08-14,64.1,67.8,64.05,66.9,32656
ATUL,2008-08-18,67.0,67.85,67.0,67.45,23042
ATUL,2008-08-19,67.9,71.0,65.5,66.45,20649
ATUL,2008-08-20,66.45,70.45,65.0,68.65,43256
ATUL,2008-08-21,68.0,70.2,66.05,66.45,21478
ATUL,2008-08-22,65.6,67.95,65.6,66.75,9347
ATUL,2008-08-25,67.5,69.45,66.5,67.8,46226
ATUL,2008-08-26,66.9,68.75,66.0,67.5,9578
ATUL,2008-08-27,67.2,67.55,66.5,66.55,1905
ATUL,2008-08-28,66.5,67.5,64.75,65.05,15119
ATUL,2008-08-29,66.0,68.4,65.75,67.05,15640
ATUL,2008-09-01,67.0,68.5,67.0,67.05,9350
ATUL,2008-09-02,68.0,74.0,67.05,69.85,128494
ATUL,2008-09-04,70.0,74.9,69.7,70.55,44342
ATUL,2008-09-05,70.0,72.0,69.5,70.45,10948
ATUL,2008-09-08,72.4,72.4,69.7,69.9,15045
ATUL,2008-09-09,70.8,70.9,68.1,68.65,8173
ATUL,2008-09-10,68.35,69.7,67.4,68.0,6797
ATUL,2008-09-11,68.5,68.65,66.5,67.05,10090
ATUL,2008-09-12,66.25,67.7,65.1,65.5,10957
ATUL,2008-09-15,64.5,65.0,60.2,61.55,24039
ATUL,2008-09-16,60.4,62.4,59.05,62.0,16982
ATUL,2008-09-17,60.5,62.2,60.5,61.6,5967
ATUL,2008-09-18,62.0,62.0,56.4,59.7,8567
ATUL,2008-09-19,64.5,64.5,58.7,61.05,16904
ATUL,2008-09-22,63.0,64.45,62.15,63.45,31673
ATUL,2008-09-23,62.0,62.5,60.5,61.05,6413
ATUL,2008-09-24,61.5,62.2,59.05,60.45,6258
ATUL,2008-09-25,59.65,60.5,58.5,59.3,18239
ATUL,2008-09-26,60.0,60.1,56.25,57.2,17820
ATUL,2008-09-29,57.2,57.2,52.6,54.55,14996
ATUL,2008-09-30,54.5,55.1,52.65,54.75,18471
ATUL,2008-10-01,55.0,56.25,54.75,55.05,15260
ATUL,2008-10-03,54.5,56.45,52.6,53.35,9344
ATUL,2008-10-06,54.0,54.0,45.65,49.05,18608
ATUL,2008-10-07,49.5,51.0,47.15,49.0,23201
ATUL,2008-10-08,48.0,48.0,42.6,47.3,26873
ATUL,2008-10-10,45.1,46.0,42.8,43.4,13839
ATUL,2008-10-13,46.25,46.25,43.2,45.45,7057
ATUL,2008-10-14,52.0,52.0,46.0,46.45,3355
ATUL,2008-10-15,45.0,45.0,42.0,42.8,15044
ATUL,2008-10-16,40.7,41.9,39.5,41.0,9107
ATUL,2008-10-17,41.5,42.95,41.5,41.75,4587
ATUL,2008-10-20,42.1,43.0,41.0,42.2,13935
ATUL,2008-10-21,42.85,45.0,41.65,43.5,19744
ATUL,2008-10-22,43.5,44.35,41.6,42.15,4987
ATUL,2008-10-23,43.5,43.9,40.35,40.9,6730
ATUL,2008-10-24,40.1,40.7,38.05,38.45,16161
ATUL,2008-10-27,35.5,40.0,31.05,36.95,16816
ATUL,2008-10-28,40.95,40.95,38.0,39.9,8563
ATUL,2008-10-29,40.5,41.5,40.5,40.95,6441
ATUL,2008-10-31,42.5,43.5,41.35,42.5,4267
ATUL,2008-11-03,43.5,47.45,43.0,45.3,28231
ATUL,2008-11-04,43.0,46.75,42.1,46.0,11200
ATUL,2008-11-05,48.0,48.0,45.1,45.6,8481
ATUL,2008-11-06,46.0,46.0,43.15,44.1,6239
ATUL,2008-11-07,43.9,44.9,42.2,44.15,6083
ATUL,2008-11-10,42.5,45.4,42.5,44.95,1743
ATUL,2008-11-11,44.05,45.35,43.1,43.85,4558
ATUL,2008-11-12,43.25,44.95,42.95,43.5,2806
ATUL,2008-11-14,43.7,44.8,42.5,42.95,3119
ATUL,2008-11-17,42.0,42.9,40.0,41.25,2572
ATUL,2008-11-18,39.0,40.75,38.75,39.3,6376
ATUL,2008-11-19,38.0,42.85,38.0,38.9,2560
ATUL,2008-11-20,37.3,38.6,35.0,36.0,34350
ATUL,2008-11-21,36.5,38.0,36.5,37.65,5489
ATUL,2008-11-24,42.9,42.9,36.5,36.85,2572
ATUL,2008-11-25,37.0,37.8,36.0,36.3,5287
ATUL,2008-11-26,36.05,36.45,35.0,35.85,3463
ATUL,2008-11-28,36.5,37.5,35.65,36.9,35394
ATUL,2008-12-01,37.95,44.3,37.0,41.4,19349
ATUL,2008-12-02,39.0,44.9,39.0,42.85,22396
ATUL,2008-12-03,48.0,51.0,39.25,39.55,11730
ATUL,2008-12-04,39.5,42.7,39.5,41.75,13604
ATUL,2008-12-05,44.0,44.0,40.1,41.05,2329
ATUL,2008-12-08,41.5,43.0,40.5,41.3,2288
ATUL,2008-12-10,46.0,46.0,41.0,41.65,2753
ATUL,2008-12-11,40.5,42.5,40.5,42.5,2938
ATUL,2008-12-12,42.55,46.1,42.0,44.85,13077
