symbol,date,open,high,low,close,volume
AUTOLITIND,2016-01-01,70.0,75.55,67.1,74.0,293668
AUTOLITIND,2016-01-04,77.0,78.15,70.0,70.05,232476
AUTOLITIND,2016-01-05,70.0,73.1,69.6,70.45,48090
AUTOLITIND,2016-01-06,70.55,71.8,68.5,68.6,33150
AUTOLITIND,2016-01-07,67.6,67.6,60.7,62.25,30046
AUTOLITIND,2016-01-08,64.05,64.9,61.15,63.0,56484
AUTOLITIND,2016-01-11,62.0,64.5,62.0,64.0,20914
AUTOLITIND,2016-01-12,62.6,69.9,62.6,66.35,45065
AUTOLITIND,2016-01-13,68.0,68.0,55.05,61.4,61887
AUTOLITIND,2016-01-14,61.0,61.55,57.0,61.55,12404
AUTOLITIND,2016-01-15,60.0,62.1,55.05,57.2,23409
AUTOLITIND,2016-01-18,55.0,57.9,47.7,48.2,22922
AUTOLITIND,2016-01-19,48.6,52.95,48.6,49.8,20014
AUTOLITIND,2016-01-20,48.4,51.9,42.15,45.5,59210
AUTOLITIND,2016-01-21,47.6,49.0,44.1,46.3,16491
AUTOLITIND,2016-01-22,47.0,48.95,46.3,47.3,10904
AUTOLITIND,2016-01-25,47.95,51.9,47.95,50.4,36423
AUTOLITIND,2016-01-27,51.0,58.15,48.15,54.6,44091
AUTOLITIND,2016-01-28,55.55,59.0,53.1,56.05,34754
AUTOLITIND,2016-01-29,53.7,61.0,53.7,61.0,126823
AUTOLITIND,2016-02-01,62.5,62.5,56.4,57.5,35288
AUTOLITIND,2016-02-02,56.1,58.9,55.35,55.95,9777
AUTOLITIND,2016-02-03,56.5,57.0,54.1,54.2,8291
AUTOLITIND,2016-02-04,55.1,56.65,53.0,54.3,9110
AUTOLITIND,2016-02-05,53.0,53.7,52.15,53.5,5650
AUTOLITIND,2016-02-08,53.3,53.9,52.25,53.5,2353
AUTOLITIND,2016-02-09,53.0,54.9,51.0,53.9,2183
AUTOLITIND,2016-02-10,53.0,53.0,46.25,47.15,20041
AUTOLITIND,2016-02-11,47.3,48.85,43.2,46.8,45733
AUTOLITIND,2016-02-12,45.0,45.7,41.2,45.0,10189
AUTOLITIND,2016-02-15,44.3,46.9,44.3,46.2,15793
AUTOLITIND,2016-02-16,46.5,46.9,43.3,43.85,6933
AUTOLITIND,2016-02-17,43.0,44.75,41.6,42.65,7762
AUTOLITIND,2016-02-18,44.0,45.9,42.6,43.1,7145
AUTOLITIND,2016-02-19,43.0,44.6,43.0,43.25,1360
AUTOLITIND,2016-02-22,43.1,45.0,43.05,43.7,4051
AUTOLITIND,2016-02-23,43.5,45.2,43.5,45.0,14078
AUTOLITIND,2016-02-24,42.8,44.9,42.5,43.45,3765
AUTOLITIND,2016-02-25,43.05,43.9,42.3,42.5,3475
AUTOLITIND,2016-02-26,42.95,44.0,42.3,42.3,3221
AUTOLITIND,2016-02-29,42.3,43.05,42.3,43.0,11926
AUTOLITIND,2016-03-01,42.9,44.0,42.25,44.0,3007
AUTOLITIND,2016-03-02,44.0,47.9,44.0,46.0,15050
AUTOLITIND,2016-03-03,47.9,47.9,45.0,45.35,3185
AUTOLITIND,2016-03-04,47.0,47.0,45.05,46.5,2525
AUTOLITIND,2016-03-08,47.5,47.5,45.8,45.8,3312
AUTOLITIND,2016-03-09,45.0,47.65,44.55,46.0,3012
AUTOLITIND,2016-03-10,46.0,46.9,45.1,45.5,4131
AUTOLITIND,2016-03-11,45.15,46.5,44.15,44.7,8051
AUTOLITIND,2016-03-14,44.3,46.4,44.3,46.4,5395
AUTOLITIND,2016-03-15,46.0,46.0,44.75,45.5,1098
AUTOLITIND,2016-03-16,45.0,46.5,44.5,44.8,12688
AUTOLITIND,2016-03-17,44.8,45.95,44.5,45.0,405
AUTOLITIND,2016-03-18,44.3,46.9,44.3,44.65,3239
AUTOLITIND,2016-03-21,44.65,46.0,44.15,45.5,1527
AUTOLITIND,2016-03-22,44.25,46.45,44.25,46.25,35544
AUTOLITIND,2016-03-23,46.0,46.5,45.05,46.5,1848
AUTOLITIND,2016-03-28,45.35,46.3,44.1,44.1,27449
AUTOLITIND,2016-03-29,45.2,46.3,43.7,44.65,34868
AUTOLITIND,2016-03-30,44.0,45.5,43.95,44.6,9246
AUTOLITIND,2016-03-31,45.05,45.05,44.1,44.15,1056
AUTOLITIND,2016-04-01,45.0,51.0,45.0,47.0,14979
AUTOLITIND,2016-04-04,49.95,49.95,46.35,47.95,3003
AUTOLITIND,2016-04-05,48.7,48.7,46.15,46.75,1146
AUTOLITIND,2016-04-06,48.0,49.0,46.3,47.0,4230
AUTOLITIND,2016-04-07,46.5,47.65,46.5,46.6,6424
AUTOLITIND,2016-04-08,46.6,47.4,46.6,47.4,412
AUTOLITIND,2016-04-11,46.6,46.8,45.15,46.8,8027
AUTOLITIND,2016-04-12,47.7,47.7,45.75,47.2,4820
AUTOLITIND,2016-04-13,46.5,49.0,46.5,47.15,22066
AUTOLITIND,2016-04-18,47.0,47.5,45.9,46.0,4155
AUTOLITIND,2016-04-20,46.55,46.95,45.9,46.45,2403
AUTOLITIND,2016-04-21,47.9,47.9,46.3,47.6,23257
AUTOLITIND,2016-04-22,45.75,49.0,45.75,48.6,9335
AUTOLITIND,2016-04-25,48.7,49.5,48.0,48.95,2934
AUTOLITIND,2016-04-26,48.0,58.55,47.3,58.55,169314
AUTOLITIND,2016-04-27,59.95,63.25,56.05,56.5,162419
AUTOLITIND,2016-04-28,57.0,57.0,53.1,53.15,8902
AUTOLITIND,2016-04-29,54.95,58.0,52.6,55.05,14292
AUTOLITIND,2016-05-02,56.0,56.0,54.0,55.45,3319
AUTOLITIND,2016-05-03,55.7,57.1,54.3,55.3,7845
AUTOLITIND,2016-05-04,55.0,56.95,52.6,52.6,19310
AUTOLITIND,2016-05-05,55.3,55.3,52.3,54.5,7450
AUTOLITIND,2016-05-06,52.35,55.4,52.3,52.3,3607
AUTOLITIND,2016-05-09,55.0,55.0,52.25,52.55,4488
AUTOLITIND,2016-05-10,53.0,54.7,53.0,54.6,2580
AUTOLITIND,2016-05-11,52.15,55.9,52.15,55.0,3739
AUTOLITIND,2016-05-12,55.0,55.0,53.6,53.6,351
AUTOLITIND,2016-05-13,52.65,55.0,52.65,53.25,4906
AUTOLITIND,2016-05-16,54.0,54.0,52.9,52.95,2657
AUTOLITIND,2016-05-17,52.85,53.9,52.2,52.2,1290
AUTOLITIND,2016-05-18,51.65,54.9,51.65,53.75,9298
AUTOLITIND,2016-05-19,52.1,55.45,52.1,54.45,4258
AUTOLITIND,2016-05-20,52.5,53.85,51.8,52.6,2445
AUTOLITIND,2016-05-23,52.7,53.5,51.75,52.5,10573
AUTOLITIND,2016-05-24,52.0,54.75,51.0,52.8,10595
AUTOLITIND,2016-05-25,52.05,54.0,52.05,52.4,2478
AUTOLITIND,2016-05-26,53.7,53.7,51.4,52.5,2808
AUTOLITIND,2016-05-27,53.45,54.6,49.45,52.15,5044
AUTOLITIND,2016-05-30,52.5,57.3,52.5,54.35,16420
AUTOLITIND,2016-05-31,54.1,57.0,51.8,53.15,3628
AUTOLITIND,2016-06-01,56.0,56.0,52.2,52.5,4821
AUTOLITIND,2016-06-02,52.65,53.8,50.2,51.95,5655
AUTOLITIND,2016-06-03,49.9,52.9,49.3,51.6,5767
AUTOLITIND,2016-06-06,49.35,50.8,49.35,49.8,1152
AUTOLITIND,2016-06-07,52.05,52.05,49.1,49.9,6790
AUTOLITIND,2016-06-08,49.4,55.0,49.2,52.5,60215
AUTOLITIND,2016-06-09,53.0,53.65,49.7,50.8,7384
AUTOLITIND,2016-06-10,50.0,52.95,50.0,51.1,14380
AUTOLITIND,2016-06-13,49.65,51.8,49.65,50.0,2069
AUTOLITIND,2016-06-14,49.4,50.5,49.35,50.5,2528
AUTOLITIND,2016-06-15,49.2,50.9,49.05,49.2,7207
AUTOLITIND,2016-06-16,49.1,50.0,48.8,50.0,7228
AUTOLITIND,2016-06-17,49.3,50.0,49.25,49.8,4761
AUTOLITIND,2016-06-20,49.8,49.8,48.1,48.1,10319
AUTOLITIND,2016-06-21,48.25,49.75,48.25,48.5,1717
AUTOLITIND,2016-06-22,48.05,49.0,46.7,47.0,5427
AUTOLITIND,2016-06-23,46.1,48.4,45.3,46.9,13387
AUTOLITIND,2016-06-24,47.2,48.6,45.0,47.0,8135
AUTOLITIND,2016-06-27,47.1,48.0,47.0,48.0,659
AUTOLITIND,2016-06-28,46.55,49.9,46.55,48.35,26471
AUTOLITIND,2016-06-29,49.25,58.55,48.5,58.55,63607
AUTOLITIND,2016-06-30,61.2,67.45,59.0,60.35,329992
AUTOLITIND,2016-07-01,60.9,61.0,56.4,57.5,55510
AUTOLITIND,2016-07-04,57.5,58.4,55.35,56.0,15759
AUTOLITIND,2016-07-05,55.5,56.5,55.1,56.5,11974
AUTOLITIND,2016-07-07,55.3,56.9,54.75,55.75,7821
AUTOLITIND,2016-07-08,56.1,67.0,53.55,65.0,119532
AUTOLITIND,2016-07-11,66.0,67.9,61.15,61.25,40212
AUTOLITIND,2016-07-12,61.0,63.6,61.0,62.0,29300
AUTOLITIND,2016-07-13,63.0,63.0,59.0,61.0,6021
AUTOLITIND,2016-07-14,59.0,61.7,59.0,59.35,3434
AUTOLITIND,2016-07-15,61.8,62.9,60.5,62.2,17852
AUTOLITIND,2016-07-18,61.55,66.5,61.0,61.7,56733
AUTOLITIND,2016-07-19,63.0,63.0,61.25,62.05,10960
AUTOLITIND,2016-07-20,62.5,63.0,61.5,62.0,7734
AUTOLITIND,2016-07-21,63.75,63.75,62.0,62.0,4706
AUTOLITIND,2016-07-22,62.0,64.8,61.0,63.25,33200
AUTOLITIND,2016-07-25,63.25,63.5,61.3,61.5,11228
AUTOLITIND,2016-07-26,59.65,62.0,58.0,58.65,15537
AUTOLITIND,2016-07-27,61.0,61.0,59.0,60.7,5965
AUTOLITIND,2016-07-28,60.8,61.85,59.15,61.1,4115
AUTOLITIND,2016-07-29,59.3,61.9,59.3,61.0,7054
AUTOLITIND,2016-08-01,60.55,65.0,60.5,61.95,21814
