symbol,date,open,high,low,close,volume
AYMSYNTEX,2015-08-14,120.0,129.65,117.35,128.15,115424
AYMSYNTEX,2015-08-17,132.0,134.55,121.95,132.65,48733
AYMSYNTEX,2015-08-18,130.0,139.25,129.9,138.9,105146
AYMSYNTEX,2015-08-19,141.0,145.8,136.0,145.8,116061
AYMSYNTEX,2015-08-20,149.4,152.0,139.0,140.95,135955
AYMSYNTEX,2015-08-21,139.0,140.0,134.5,136.85,37502
AYMSYNTEX,2015-08-24,130.1,130.1,130.05,130.05,4993
AYMSYNTEX,2015-08-25,123.55,123.55,123.55,123.55,2684
AYMSYNTEX,2015-08-26,117.4,117.4,117.4,117.4,12670
AYMSYNTEX,2015-08-27,111.55,119.3,111.55,116.15,192407
AYMSYNTEX,2015-08-28,120.9,120.95,110.35,110.35,50914
AYMSYNTEX,2015-08-31,104.85,110.0,104.85,107.5,39047
AYMSYNTEX,2015-09-01,102.55,106.95,102.15,102.15,26025
AYMSYNTEX,2015-09-02,101.95,107.25,97.05,103.45,79560
AYMSYNTEX,2015-09-03,104.85,108.6,104.0,108.6,9332
AYMSYNTEX,2015-09-04,110.8,110.8,103.2,103.5,52690
AYMSYNTEX,2015-09-07,100.1,103.7,98.35,98.35,24846
AYMSYNTEX,2015-09-08,93.55,97.75,93.45,93.7,61657
AYMSYNTEX,2015-09-09,96.45,98.35,91.5,98.35,48925
AYMSYNTEX,2015-09-10,97.0,103.25,94.0,103.25,51697
AYMSYNTEX,2015-09-11,107.4,108.4,105.0,108.4,100728
AYMSYNTEX,2015-09-14,113.4,113.8,108.7,113.8,70184
AYMSYNTEX,2015-09-15,117.4,119.45,112.2,116.05,140370
AYMSYNTEX,2015-09-16,116.5,117.9,110.25,111.45,22669
AYMSYNTEX,2015-09-18,114.5,117.0,113.0,117.0,119597
AYMSYNTEX,2015-09-21,117.0,118.5,111.3,117.85,12028
AYMSYNTEX,2015-09-22,119.8,123.7,112.65,115.15,100578
AYMSYNTEX,2015-09-23,116.7,120.0,113.2,115.65,40053
AYMSYNTEX,2015-09-24,113.1,118.0,113.1,114.75,14335
AYMSYNTEX,2015-09-28,117.8,117.8,109.05,109.25,35167
AYMSYNTEX,2015-09-29,104.2,108.65,103.8,104.25,71539
AYMSYNTEX,2015-09-30,106.45,109.45,104.3,106.6,30874
AYMSYNTEX,2015-10-01,109.55,110.5,106.0,106.05,208869
AYMSYNTEX,2015-10-05,110.5,113.55,107.3,108.95,62227
AYMSYNTEX,2015-10-06,109.05,109.9,104.65,106.7,39205
AYMSYNTEX,2015-10-07,106.05,107.0,104.0,104.35,18085
AYMSYNTEX,2015-10-08,104.05,105.0,98.05,102.3,45866
AYMSYNTEX,2015-10-09,102.8,105.05,96.5,97.35,65456
AYMSYNTEX,2015-10-12,97.5,100.75,97.5,99.8,46056
AYMSYNTEX,2015-10-13,100.8,100.8,96.0,96.55,54028
AYMSYNTEX,2015-10-14,98.3,106.2,92.0,106.2,126340
AYMSYNTEX,2015-10-15,113.7,116.8,109.15,113.55,277301
AYMSYNTEX,2015-10-16,115.8,115.95,108.1,109.9,128115
AYMSYNTEX,2015-10-19,111.0,115.9,110.6,112.15,112014
AYMSYNTEX,2015-10-20,112.0,113.7,107.0,108.95,51460
AYMSYNTEX,2015-10-21,111.9,113.4,109.05,110.25,32045
AYMSYNTEX,2015-10-23,111.1,112.3,109.1,109.6,24890
AYMSYNTEX,2015-10-26,107.0,114.9,107.0,111.4,69100
AYMSYNTEX,2015-10-27,110.0,114.5,109.6,112.9,36748
AYMSYNTEX,2015-10-28,114.5,123.3,112.5,121.85,197822
AYMSYNTEX,2015-10-29,123.8,128.1,120.15,123.5,161805
AYMSYNTEX,2015-10-30,124.0,129.7,122.25,124.4,200682
AYMSYNTEX,2015-11-02,112.6,117.9,112.0,112.0,123718
AYMSYNTEX,2015-11-03,110.1,115.3,108.0,112.5,80636
AYMSYNTEX,2015-11-04,112.9,113.3,105.15,106.1,54209
AYMSYNTEX,2015-11-05,106.05,113.45,106.05,107.7,86993
AYMSYNTEX,2015-11-06,108.65,109.8,104.05,105.45,36332
AYMSYNTEX,2015-11-09,100.05,112.0,100.0,109.7,72491
AYMSYNTEX,2015-11-10,108.5,111.0,105.25,106.55,63908
AYMSYNTEX,2015-11-11,107.7,111.9,107.7,110.85,37131
AYMSYNTEX,2015-11-13,110.95,114.8,108.0,111.85,55472
AYMSYNTEX,2015-11-16,112.1,116.0,110.0,113.35,31345
AYMSYNTEX,2015-11-17,113.05,117.0,113.0,114.15,32155
AYMSYNTEX,2015-11-18,114.5,115.2,110.6,111.1,23063
AYMSYNTEX,2015-11-19,113.8,116.8,111.15,114.3,43998
AYMSYNTEX,2015-11-20,112.2,118.85,112.2,116.05,57197
AYMSYNTEX,2015-11-23,117.65,123.8,116.55,121.3,71465
AYMSYNTEX,2015-11-24,124.0,143.8,122.25,140.65,482043
AYMSYNTEX,2015-11-26,140.75,148.65,132.1,141.2,294201
AYMSYNTEX,2015-11-27,142.55,143.3,131.55,136.35,72977
AYMSYNTEX,2015-11-30,135.0,144.0,135.0,137.1,52610
AYMSYNTEX,2015-12-01,137.1,144.0,130.5,137.8,119502
AYMSYNTEX,2015-12-02,139.0,139.0,135.05,136.2,21703
AYMSYNTEX,2015-12-03,135.0,143.6,134.3,138.2,146233
AYMSYNTEX,2015-12-04,136.55,145.9,134.0,142.95,241485
AYMSYNTEX,2015-12-07,143.0,144.65,136.3,137.25,46348
AYMSYNTEX,2015-12-08,136.5,138.85,131.2,133.95,41089
AYMSYNTEX,2015-12-09,133.0,134.8,122.2,124.4,80679
AYMSYNTEX,2015-12-10,126.0,129.0,124.25,128.2,21850
AYMSYNTEX,2015-12-11,131.15,131.15,122.0,128.5,30774
AYMSYNTEX,2015-12-14,127.85,134.5,126.0,131.9,68911
AYMSYNTEX,2015-12-15,133.0,134.5,131.35,132.9,45029
AYMSYNTEX,2015-12-16,133.0,140.0,132.4,136.9,85909
AYMSYNTEX,2015-12-17,139.0,142.45,133.0,140.25,92815
AYMSYNTEX,2015-12-18,141.5,149.0,139.35,143.25,267342
AYMSYNTEX,2015-12-21,142.95,158.6,141.75,156.5,403252
AYMSYNTEX,2015-12-22,159.7,160.0,146.6,148.9,179447
AYMSYNTEX,2015-12-23,150.5,154.45,148.0,149.2,57610
AYMSYNTEX,2015-12-24,146.5,159.7,146.5,157.45,132935
AYMSYNTEX,2015-12-28,158.0,163.15,153.0,154.6,131916
AYMSYNTEX,2015-12-29,156.15,157.0,150.0,151.2,50675
AYMSYNTEX,2015-12-30,152.25,156.0,150.05,151.0,72920
AYMSYNTEX,2015-12-31,152.35,157.15,151.7,152.7,58655
AYMSYNTEX,2016-01-01,153.0,155.4,145.65,153.75,21596
AYMSYNTEX,2016-01-04,153.0,154.9,146.35,147.35,43431
AYMSYNTEX,2016-01-05,148.9,150.9,144.0,146.4,88886
AYMSYNTEX,2016-01-06,147.9,148.85,137.55,140.65,104386
AYMSYNTEX,2016-01-07,138.0,140.0,133.3,136.25,38835
AYMSYNTEX,2016-01-08,138.9,139.4,134.0,136.45,25610
AYMSYNTEX,2016-01-11,134.2,138.95,134.05,138.05,16992
AYMSYNTEX,2016-01-12,139.65,140.05,133.55,134.5,24874
AYMSYNTEX,2016-01-13,136.9,137.9,118.1,132.15,95531
AYMSYNTEX,2016-01-14,128.0,135.4,122.1,128.25,45933
AYMSYNTEX,2016-01-15,129.55,130.55,118.05,121.75,30964
AYMSYNTEX,2016-01-18,117.2,123.45,105.1,107.1,86802
AYMSYNTEX,2016-01-19,111.9,115.8,106.0,113.85,32597
AYMSYNTEX,2016-01-20,108.05,123.35,108.05,119.4,81714
AYMSYNTEX,2016-01-21,117.1,128.4,116.05,125.3,76289
AYMSYNTEX,2016-01-22,128.9,131.9,123.95,126.4,23902
AYMSYNTEX,2016-01-25,125.5,130.0,125.5,127.45,14786
AYMSYNTEX,2016-01-27,127.0,137.95,125.0,133.65,62244
AYMSYNTEX,2016-01-28,133.4,136.0,123.7,125.05,80107
AYMSYNTEX,2016-01-29,122.1,128.05,122.05,127.25,52920
AYMSYNTEX,2016-02-01,128.15,128.15,126.15,126.55,34759
AYMSYNTEX,2016-02-02,126.55,128.65,121.4,126.65,29938
AYMSYNTEX,2016-02-03,124.05,124.05,116.8,118.35,18657
AYMSYNTEX,2016-02-04,116.8,119.05,113.0,115.7,40173
AYMSYNTEX,2016-02-05,115.0,117.0,105.0,115.7,38727
AYMSYNTEX,2016-02-08,115.05,120.0,114.0,116.55,35428
AYMSYNTEX,2016-02-09,113.0,117.95,111.3,116.95,21227
AYMSYNTEX,2016-02-10,115.9,121.0,106.2,108.1,86910
AYMSYNTEX,2016-02-11,105.0,108.75,95.6,98.0,130083
AYMSYNTEX,2016-02-12,102.95,105.0,87.0,100.0,58034
AYMSYNTEX,2016-02-15,100.0,108.45,92.35,105.9,67350
AYMSYNTEX,2016-02-16,108.2,109.0,96.0,98.1,30261
AYMSYNTEX,2016-02-17,96.2,101.0,92.0,96.65,15605
AYMSYNTEX,2016-02-18,100.0,104.0,98.0,98.6,71822
AYMSYNTEX,2016-02-19,98.05,100.9,96.5,98.05,5366
AYMSYNTEX,2016-02-22,95.05,100.0,91.55,97.25,9971
AYMSYNTEX,2016-02-23,99.75,99.75,94.0,97.1,35076
AYMSYNTEX,2016-02-24,95.0,98.0,93.0,93.45,37108
AYMSYNTEX,2016-02-25,93.0,93.95,90.0,90.2,15534
AYMSYNTEX,2016-02-26,90.15,93.45,85.5,91.8,29982
