symbol,date,open,high,low,close,volume
BGLOBAL,2016-01-01,5.05,5.05,4.65,5.05,20725
BGLOBAL,2016-01-04,5.3,5.3,4.9,5.3,11983
BGLOBAL,2016-01-05,5.5,5.5,5.05,5.15,82412
BGLOBAL,2016-01-06,5.0,5.3,5.0,5.25,7010
BGLOBAL,2016-01-07,5.15,5.15,5.15,5.15,1100
BGLOBAL,2016-01-08,5.15,5.15,4.95,5.05,7203
BGLOBAL,2016-01-11,5.1,5.1,5.05,5.1,1548
BGLOBAL,2016-01-12,5.1,5.35,4.85,4.85,13200
BGLOBAL,2016-01-13,4.85,4.85,4.85,4.85,555
BGLOBAL,2016-01-14,5.0,5.0,5.0,5.0,50
BGLOBAL,2016-01-15,5.15,5.15,4.85,4.85,580
BGLOBAL,2016-01-18,5.0,5.0,4.65,4.65,730
BGLOBAL,2016-01-19,4.45,4.75,4.45,4.7,3603
BGLOBAL,2016-01-21,4.5,4.5,4.5,4.5,1000
BGLOBAL,2016-01-22,4.4,4.7,4.3,4.7,2302
BGLOBAL,2016-01-25,4.9,4.9,4.85,4.85,10
BGLOBAL,2016-01-27,4.7,5.0,4.65,5.0,3419
BGLOBAL,2016-01-28,4.75,5.0,4.75,4.75,874
BGLOBAL,2016-01-29,4.75,4.95,4.65,4.95,232
BGLOBAL,2016-02-01,4.9,4.9,4.9,4.9,150
BGLOBAL,2016-02-02,5.1,5.1,4.95,4.95,5435
BGLOBAL,2016-02-03,4.8,5.1,4.8,5.1,2594
BGLOBAL,2016-02-04,4.65,5.05,4.65,4.65,6300
BGLOBAL,2016-02-05,4.45,4.8,4.45,4.8,1272
BGLOBAL,2016-02-08,4.8,5.0,4.8,5.0,2448
BGLOBAL,2016-02-09,4.75,5.25,4.75,5.25,7420
BGLOBAL,2016-02-10,5.5,5.5,5.15,5.2,7654
BGLOBAL,2016-02-11,5.0,5.5,5.0,5.0,6512
BGLOBAL,2016-02-12,5.25,5.25,4.75,4.75,27971
BGLOBAL,2016-02-15,4.95,4.95,4.95,4.95,928
BGLOBAL,2016-02-16,5.15,5.15,5.15,5.15,2571
BGLOBAL,2016-02-17,5.4,5.4,4.95,5.35,4507
BGLOBAL,2016-02-18,5.5,5.55,5.2,5.3,21360
BGLOBAL,2016-02-19,5.5,5.55,5.5,5.55,550
BGLOBAL,2016-02-22,5.6,5.8,5.6,5.8,4533
BGLOBAL,2016-02-23,6.05,6.05,6.05,6.05,4152
BGLOBAL,2016-02-24,6.35,6.35,6.2,6.35,78052
BGLOBAL,2016-02-25,6.55,6.65,6.4,6.65,47280
BGLOBAL,2016-02-26,6.95,6.95,6.45,6.9,84387
BGLOBAL,2016-02-29,6.85,6.85,6.25,6.25,3310
BGLOBAL,2016-03-01,5.95,6.5,5.95,6.5,18283
BGLOBAL,2016-03-02,6.15,6.45,6.15,6.3,24527
BGLOBAL,2016-03-03,6.0,6.15,6.0,6.1,417
BGLOBAL,2016-03-04,5.95,5.95,5.8,5.8,2005
BGLOBAL,2016-03-08,5.55,5.55,5.55,5.55,3760
BGLOBAL,2016-03-09,5.3,5.3,5.3,5.3,600
BGLOBAL,2016-03-10,5.05,5.5,5.05,5.05,19402
BGLOBAL,2016-03-11,5.0,5.3,4.9,5.2,7512
BGLOBAL,2016-03-14,5.0,5.45,5.0,5.25,3512
BGLOBAL,2016-03-15,5.5,5.5,5.0,5.35,4404
BGLOBAL,2016-03-16,5.55,5.55,5.1,5.1,153
BGLOBAL,2016-03-17,5.0,5.3,4.85,5.3,12590
BGLOBAL,2016-03-18,5.05,5.05,4.75,5.0,1138
BGLOBAL,2016-03-21,5.25,5.25,4.75,5.0,4301
BGLOBAL,2016-03-22,4.75,5.15,4.75,5.0,45190
BGLOBAL,2016-03-23,5.25,5.25,4.85,4.85,6714
BGLOBAL,2016-03-28,5.4,5.4,5.2,5.2,1503
BGLOBAL,2016-03-29,5.0,5.35,4.95,4.95,74963
BGLOBAL,2016-03-30,4.95,5.05,4.85,5.0,11602
BGLOBAL,2016-03-31,4.7,5.05,4.7,5.05,7202
BGLOBAL,2016-04-01,5.1,5.3,4.85,5.25,5754
BGLOBAL,2016-04-04,5.5,5.5,5.0,5.45,10072
BGLOBAL,2016-04-05,4.8,5.3,4.8,5.3,132
BGLOBAL,2016-04-06,5.45,5.45,5.3,5.3,197
