symbol,date,open,high,low,close,volume
BHANDARI,2017-01-30,2.65,2.9,2.6,2.9,521867
BHANDARI,2017-01-31,3.15,3.15,3.1,3.15,746260
BHANDARI,2017-02-01,3.45,3.45,3.15,3.45,971463
BHANDARI,2017-02-02,3.75,3.75,3.65,3.75,620258
BHANDARI,2017-02-03,3.9,3.9,3.6,3.65,957875
BHANDARI,2017-02-06,3.55,3.55,3.5,3.5,81062
BHANDARI,2017-02-07,3.35,3.35,3.35,3.35,54799
BHANDARI,2017-02-08,3.2,3.2,3.2,3.2,91380
BHANDARI,2017-02-09,3.05,3.35,3.05,3.35,1346570
BHANDARI,2017-02-10,3.5,3.5,3.2,3.2,960140
BHANDARI,2017-02-13,3.05,3.1,3.05,3.05,183278
BHANDARI,2017-02-14,2.9,3.2,2.9,3.05,437407
BHANDARI,2017-02-15,2.95,3.15,2.9,3.05,180058
BHANDARI,2017-02-16,2.9,3.1,2.9,3.05,88402
BHANDARI,2017-02-17,3.1,3.2,3.0,3.1,171898
BHANDARI,2017-02-20,3.1,3.15,3.0,3.05,104051
BHANDARI,2017-02-21,2.95,3.2,2.95,3.2,151262
BHANDARI,2017-02-22,3.15,3.2,3.05,3.05,199201
BHANDARI,2017-02-23,3.0,3.15,2.9,3.1,372828
BHANDARI,2017-02-27,3.0,3.0,2.95,2.95,76445
BHANDARI,2017-02-28,2.85,3.05,2.85,2.9,81224
BHANDARI,2017-03-01,2.9,3.0,2.85,3.0,204344
BHANDARI,2017-03-02,2.95,3.0,2.9,2.9,87182
BHANDARI,2017-03-03,2.9,3.0,2.8,2.9,142447
BHANDARI,2017-03-06,2.95,3.0,2.8,2.9,151067
BHANDARI,2017-03-07,2.85,2.9,2.8,2.85,59517
BHANDARI,2017-03-08,2.8,2.85,2.75,2.75,64469
BHANDARI,2017-03-09,2.75,2.8,2.65,2.65,132409
BHANDARI,2017-03-10,2.6,2.65,2.55,2.55,129800
BHANDARI,2017-03-14,2.55,2.65,2.5,2.6,68396
BHANDARI,2017-03-15,2.6,2.7,2.5,2.7,233785
BHANDARI,2017-03-16,2.65,2.8,2.65,2.7,207509
BHANDARI,2017-03-17,2.7,2.75,2.6,2.65,87684
BHANDARI,2017-03-20,2.6,2.75,2.6,2.6,149646
BHANDARI,2017-03-21,2.65,2.65,2.55,2.55,147782
BHANDARI,2017-03-22,2.55,2.65,2.45,2.65,260580
BHANDARI,2017-03-23,2.6,2.75,2.6,2.7,106601
BHANDARI,2017-03-24,2.65,2.75,2.6,2.65,212934
BHANDARI,2017-03-27,2.7,2.7,2.55,2.6,97442
BHANDARI,2017-03-28,2.6,2.6,2.5,2.5,235329
BHANDARI,2017-03-29,2.55,2.6,2.4,2.4,165788
BHANDARI,2017-03-30,2.45,2.5,2.4,2.5,113144
BHANDARI,2017-03-31,2.55,2.6,2.55,2.6,61141
BHANDARI,2017-04-03,2.65,2.7,2.6,2.65,179252
BHANDARI,2017-04-05,2.65,2.7,2.55,2.6,505814
BHANDARI,2017-04-06,2.65,2.7,2.6,2.65,203353
BHANDARI,2017-04-07,2.7,2.75,2.6,2.65,110988
BHANDARI,2017-04-10,2.65,2.8,2.65,2.7,108060
BHANDARI,2017-04-11,2.8,2.85,2.7,2.75,81961
BHANDARI,2017-04-12,2.75,2.75,2.6,2.7,72315
BHANDARI,2017-04-13,2.75,2.75,2.55,2.6,63880
BHANDARI,2017-04-17,2.55,2.65,2.55,2.65,73540
BHANDARI,2017-04-18,2.7,2.7,2.6,2.65,118391
BHANDARI,2017-04-19,2.6,2.65,2.55,2.65,76985
BHANDARI,2017-04-20,2.6,2.7,2.55,2.55,90912
BHANDARI,2017-04-21,2.6,2.8,2.55,2.8,305399
BHANDARI,2017-04-24,2.9,3.0,2.75,2.8,203777
BHANDARI,2017-04-25,2.85,2.85,2.7,2.75,80472
BHANDARI,2017-04-26,2.8,2.8,2.65,2.7,114701
BHANDARI,2017-04-27,2.8,2.95,2.65,2.95,257534
BHANDARI,2017-04-28,2.95,3.0,2.75,2.8,338858
BHANDARI,2017-05-02,2.85,2.95,2.8,2.9,97759
BHANDARI,2017-05-03,2.8,2.9,2.8,2.8,108349
BHANDARI,2017-05-04,2.8,2.85,2.7,2.7,69189
BHANDARI,2017-05-05,2.7,2.9,2.65,2.7,138221
BHANDARI,2017-05-08,2.7,2.9,2.65,2.85,131767
BHANDARI,2017-05-09,2.9,2.95,2.8,2.85,84077
BHANDARI,2017-05-10,2.95,2.95,2.8,2.8,46307
BHANDARI,2017-05-11,2.9,2.9,2.8,2.85,44485
BHANDARI,2017-05-12,2.85,2.85,2.75,2.8,57237
BHANDARI,2017-05-15,2.85,2.85,2.65,2.7,137401
BHANDARI,2017-05-16,2.75,2.75,2.65,2.65,53216
BHANDARI,2017-05-17,2.65,2.75,2.6,2.65,172325
BHANDARI,2017-05-18,2.7,2.7,2.55,2.6,199416
BHANDARI,2017-05-19,2.6,2.85,2.6,2.75,148944
BHANDARI,2017-05-22,2.85,2.85,2.6,2.65,188364
BHANDARI,2017-05-23,2.6,2.6,2.4,2.4,533155
BHANDARI,2017-05-24,2.3,2.55,2.2,2.4,764076
BHANDARI,2017-05-25,2.5,2.55,2.35,2.45,270016
BHANDARI,2017-05-26,2.4,2.5,2.35,2.35,180006
BHANDARI,2017-05-29,2.35,2.5,2.3,2.4,247368
