symbol,date,open,high,low,close,volume
BIRLACABLE,2008-06-09,15.3,16.45,15.0,15.65,7620
BIRLACABLE,2008-06-10,15.15,16.15,14.5,14.8,13197
BIRLACABLE,2008-06-11,15.0,15.85,14.85,15.5,5299
BIRLACABLE,2008-06-12,15.0,16.5,14.65,15.75,4600
BIRLACABLE,2008-06-13,16.35,16.35,15.5,15.7,7342
BIRLACABLE,2008-06-16,15.9,16.55,15.9,16.25,2120
BIRLACABLE,2008-06-17,16.0,16.5,15.5,15.85,5304
BIRLACABLE,2008-06-18,15.55,16.5,15.55,16.2,3286
BIRLACABLE,2008-06-19,15.65,16.25,15.4,15.65,1293
BIRLACABLE,2008-06-20,15.5,15.95,15.0,15.15,4798
BIRLACABLE,2008-06-23,14.55,16.2,14.5,14.6,3026
BIRLACABLE,2008-06-24,14.25,15.2,14.25,14.35,1732
BIRLACABLE,2008-06-25,14.65,14.65,14.0,14.5,1629
BIRLACABLE,2008-06-26,14.2,14.9,14.2,14.85,2060
BIRLACABLE,2008-06-27,14.25,15.0,14.05,14.5,3027
BIRLACABLE,2008-06-30,14.65,14.65,13.1,13.5,8201
BIRLACABLE,2008-07-01,12.7,13.5,12.7,13.2,7154
BIRLACABLE,2008-07-02,14.3,14.55,12.15,13.05,5629
BIRLACABLE,2008-07-03,12.5,13.4,12.5,12.95,737
BIRLACABLE,2008-07-04,12.45,14.0,12.4,12.75,3802
BIRLACABLE,2008-07-07,14.0,15.0,13.0,13.75,10024
BIRLACABLE,2008-07-08,13.0,14.0,13.0,13.9,6217
BIRLACABLE,2008-07-09,13.65,14.1,13.3,13.8,2336
BIRLACABLE,2008-07-10,14.5,14.5,13.75,14.0,4322
BIRLACABLE,2008-07-11,14.5,14.5,11.6,13.75,3298
BIRLACABLE,2008-07-14,14.0,14.0,13.25,13.7,4640
BIRLACABLE,2008-07-15,13.5,13.5,12.6,13.45,1316
BIRLACABLE,2008-07-16,13.45,13.45,12.5,12.6,2990
BIRLACABLE,2008-07-17,14.0,14.0,11.95,13.6,4897
BIRLACABLE,2008-07-18,13.65,13.65,12.95,13.4,2636
BIRLACABLE,2008-07-21,13.4,14.1,13.4,13.85,1909
BIRLACABLE,2008-07-22,14.0,14.25,13.55,13.85,5456
BIRLACABLE,2008-07-23,14.0,14.95,14.0,14.75,6559
BIRLACABLE,2008-07-24,14.55,14.9,14.0,14.2,3279
BIRLACABLE,2008-07-25,13.0,14.75,13.0,14.35,2819
BIRLACABLE,2008-07-28,14.4,15.8,14.4,15.1,6129
BIRLACABLE,2008-07-29,14.9,16.2,14.5,15.3,12402
BIRLACABLE,2008-07-30,16.7,16.95,14.7,15.2,17159
BIRLACABLE,2008-07-31,15.0,15.65,15.0,15.6,6104
BIRLACABLE,2008-08-01,13.6,16.0,13.6,15.8,13783
BIRLACABLE,2008-08-04,15.6,16.5,15.6,16.15,5660
BIRLACABLE,2008-08-05,16.0,16.5,16.0,16.05,2976
BIRLACABLE,2008-08-06,16.1,16.8,15.7,16.1,11559
BIRLACABLE,2008-08-07,15.75,16.3,15.65,15.8,2249
BIRLACABLE,2008-08-08,15.3,16.05,15.3,15.5,1776
BIRLACABLE,2008-08-11,15.65,16.0,15.35,15.4,4024
BIRLACABLE,2008-08-12,15.95,16.95,15.15,16.4,20553
BIRLACABLE,2008-08-13,16.0,16.65,15.75,15.95,4979
BIRLACABLE,2008-08-14,15.3,16.0,15.0,15.35,1669
BIRLACABLE,2008-08-18,15.1,15.4,14.55,15.15,3755
BIRLACABLE,2008-08-19,14.65,15.75,14.65,15.0,2590
BIRLACABLE,2008-08-20,15.95,15.95,14.9,15.3,3180
BIRLACABLE,2008-08-21,15.2,15.2,14.6,15.0,4670
BIRLACABLE,2008-08-22,14.8,14.8,14.4,14.65,573
BIRLACABLE,2008-08-25,14.9,15.7,14.65,14.85,4680
BIRLACABLE,2008-08-26,15.75,15.75,14.5,14.75,3142
BIRLACABLE,2008-08-27,14.2,15.1,14.2,14.5,1546
BIRLACABLE,2008-08-28,14.85,14.85,14.1,14.3,3444
BIRLACABLE,2008-08-29,14.2,15.4,14.2,14.55,14401
BIRLACABLE,2008-09-01,14.55,15.3,14.55,15.15,1151
BIRLACABLE,2008-09-02,15.15,15.25,14.6,15.0,3615
BIRLACABLE,2008-09-04,15.0,15.0,14.6,14.6,885
BIRLACABLE,2008-09-05,13.6,14.35,13.6,14.15,6824
BIRLACABLE,2008-09-08,14.05,14.9,14.05,14.75,6516
BIRLACABLE,2008-09-09,14.25,14.5,14.25,14.35,2701
BIRLACABLE,2008-09-10,14.0,14.45,14.0,14.45,2279
BIRLACABLE,2008-09-11,16.0,16.0,13.7,13.8,3837
BIRLACABLE,2008-09-12,13.1,14.1,13.1,13.6,1942
BIRLACABLE,2008-09-15,13.4,13.5,12.5,12.8,3958
BIRLACABLE,2008-09-16,12.5,13.1,12.5,12.95,4614
BIRLACABLE,2008-09-17,13.15,13.4,12.55,13.0,6291
BIRLACABLE,2008-09-18,12.5,12.5,11.65,12.45,5768
BIRLACABLE,2008-09-19,13.0,13.15,12.1,12.25,8065
BIRLACABLE,2008-09-22,11.75,12.45,11.75,11.85,6636
BIRLACABLE,2008-09-23,11.7,11.95,11.4,11.7,7756
BIRLACABLE,2008-09-24,11.65,12.45,11.65,11.8,5499
BIRLACABLE,2008-09-25,12.5,12.5,11.65,11.8,696
BIRLACABLE,2008-09-26,11.4,12.4,11.4,11.6,3972
BIRLACABLE,2008-09-29,11.5,11.6,9.5,9.8,14568
BIRLACABLE,2008-09-30,10.1,11.25,8.3,10.25,6202
BIRLACABLE,2008-10-01,10.65,10.65,9.45,10.1,9990
BIRLACABLE,2008-10-03,10.0,10.9,9.8,10.05,2499
BIRLACABLE,2008-10-06,9.85,11.45,9.25,9.25,7640
BIRLACABLE,2008-10-07,9.35,10.1,8.3,8.8,7997
BIRLACABLE,2008-10-08,8.0,9.7,7.05,8.0,12306
BIRLACABLE,2008-10-10,7.0,9.0,7.0,8.8,6724
BIRLACABLE,2008-10-13,7.2,9.5,7.2,8.85,7325
BIRLACABLE,2008-10-14,9.05,9.9,8.8,9.0,1574
BIRLACABLE,2008-10-15,9.0,9.6,7.25,8.5,6915
BIRLACABLE,2008-10-16,8.25,9.0,7.6,8.65,6313
BIRLACABLE,2008-10-17,8.3,9.0,8.3,8.55,932
