symbol,date,open,high,low,close,volume
BKMINDST,2017-11-23,20.3,21.55,18.7,21.55,545848
BKMINDST,2017-11-24,22.675,23.45,21.75,22.425,283162
BKMINDST,2017-11-27,22.0,23.45,21.8,23.0,84948
BKMINDST,2017-11-28,23.0,23.0,21.5,21.5,30408
BKMINDST,2017-11-29,21.325,21.975,19.8,21.0,87648
BKMINDST,2017-11-30,20.3,20.3,18.5,19.25,145132
BKMINDST,2017-12-01,19.775,19.775,18.5,18.775,139704
BKMINDST,2017-12-04,19.725,20.45,17.75,18.25,343326
BKMINDST,2017-12-05,18.25,19.1,17.95,18.65,71540
BKMINDST,2017-12-06,19.425,19.675,18.825,19.675,753484
BKMINDST,2017-12-07,19.9,20.25,19.375,20.25,720430
BKMINDST,2017-12-08,20.15,20.85,19.375,19.5,149256
BKMINDST,2017-12-11,19.575,19.85,19.0,19.275,22400
BKMINDST,2017-12-12,19.25,19.65,18.825,18.825,63064
BKMINDST,2017-12-13,19.4,19.825,18.7,19.0,42820
BKMINDST,2017-12-14,18.5,19.475,17.975,18.5,100188
BKMINDST,2017-12-15,18.475,19.4,18.25,19.15,77636
BKMINDST,2017-12-18,18.325,19.775,18.3,19.0,41748
BKMINDST,2017-12-19,19.0,19.75,18.675,19.0,33956
BKMINDST,2017-12-20,18.525,19.5,18.525,19.5,104082
BKMINDST,2017-12-21,19.125,19.575,18.525,18.85,38502
BKMINDST,2017-12-22,18.925,19.375,18.525,18.95,72720
BKMINDST,2017-12-26,18.55,19.5,18.5,19.3,64906
BKMINDST,2017-12-27,19.35,19.4,18.35,18.425,53186
BKMINDST,2017-12-28,18.9,19.0,18.0,18.175,25868
BKMINDST,2017-12-29,18.275,18.975,17.75,18.475,54022
BKMINDST,2018-01-01,18.95,19.0,17.9,18.45,56592
BKMINDST,2018-01-02,18.5,18.9,17.95,18.35,41346
BKMINDST,2018-01-03,18.075,18.75,17.75,18.125,90008
BKMINDST,2018-01-04,18.175,18.75,18.125,18.15,47942
BKMINDST,2018-01-05,18.2,18.525,18.0,18.5,176174
BKMINDST,2018-01-08,18.35,19.2,18.35,19.2,392944
BKMINDST,2018-01-09,19.5,19.9,18.675,18.75,255708
BKMINDST,2018-01-10,19.4,19.8,18.775,19.8,430426
BKMINDST,2018-01-11,20.525,20.55,19.6,20.55,211832
BKMINDST,2018-01-12,21.05,21.575,20.5,21.275,694362
BKMINDST,2018-01-15,21.275,21.9,20.15,20.75,522564
BKMINDST,2018-01-16,20.0,20.25,19.575,19.575,257502
BKMINDST,2018-01-17,19.5,19.75,18.6,19.5,283360
BKMINDST,2018-01-18,19.5,19.975,18.825,18.825,291456
BKMINDST,2018-01-19,18.15,19.25,18.15,19.0,298804
BKMINDST,2018-01-22,18.825,19.375,18.75,18.75,3818
BKMINDST,2018-01-23,18.8,19.175,18.75,18.85,282444
BKMINDST,2018-01-24,19.75,19.75,18.55,18.85,368156
BKMINDST,2018-01-25,18.375,18.95,18.0,18.125,106876
BKMINDST,2018-01-29,18.8,19.1,18.125,19.1,426468
BKMINDST,2018-01-30,19.175,20.05,18.3,20.05,263806
BKMINDST,2018-01-31,20.5,21.0,20.275,20.975,190846
BKMINDST,2018-02-01,21.7,21.75,19.9,20.2,208970
BKMINDST,2018-02-02,20.0,20.0,19.3,19.3,14584
BKMINDST,2018-02-05,18.625,19.4,18.35,18.65,31270
BKMINDST,2018-02-06,17.725,18.825,17.725,18.325,11726
BKMINDST,2018-02-07,19.15,19.625,18.0,18.0,36902
BKMINDST,2018-02-08,18.125,19.725,18.125,19.625,156712
BKMINDST,2018-02-09,18.325,19.5,18.325,19.225,68602
BKMINDST,2018-02-12,19.025,20.95,18.3,20.0,249272
BKMINDST,2018-02-14,20.0,20.0,18.6,18.8,270552
BKMINDST,2018-02-15,18.5,19.05,18.025,18.225,33834
BKMINDST,2018-02-16,19.225,19.225,18.05,18.2,128098
BKMINDST,2018-02-19,18.975,19.0,17.775,17.975,10970
BKMINDST,2018-02-20,17.775,19.0,17.775,18.475,16642
BKMINDST,2018-02-21,19.2,19.2,18.075,18.375,3538
BKMINDST,2018-02-22,17.8,18.375,17.325,17.5,28136
BKMINDST,2018-02-23,17.7,18.125,17.25,17.75,16614
BKMINDST,2018-02-26,18.475,18.5,17.4,17.975,18342
BKMINDST,2018-02-27,17.9,17.9,17.3,17.725,5228
BKMINDST,2018-02-28,17.35,17.7,17.15,17.175,24634
BKMINDST,2018-03-01,16.95,17.5,16.8,16.95,14902
BKMINDST,2018-03-05,16.975,17.95,16.725,17.375,6130
BKMINDST,2018-03-06,17.5,17.75,17.0,17.0,21034
BKMINDST,2018-03-07,16.525,17.25,15.4,16.0,463368
BKMINDST,2018-03-08,16.625,16.65,15.35,15.35,36076
BKMINDST,2018-03-09,15.55,15.55,14.8,14.85,559894
BKMINDST,2018-03-12,15.5,15.5,14.45,14.45,47612
BKMINDST,2018-03-13,14.45,15.1,14.45,15.05,13938
BKMINDST,2018-03-14,15.025,15.025,14.675,14.975,279208
BKMINDST,2018-03-15,15.075,15.775,15.05,15.475,84224
BKMINDST,2018-03-16,14.15,15.475,14.15,14.75,69678
BKMINDST,2018-03-19,14.375,15.275,13.5,13.95,105828
BKMINDST,2018-03-20,13.525,15.175,13.5,14.375,217908
BKMINDST,2018-03-21,15.175,15.2,13.8,14.0,358440
BKMINDST,2018-03-22,15.725,15.725,13.5,14.5,362594
BKMINDST,2018-03-23,13.575,15.425,13.55,14.0,112568
BKMINDST,2018-03-26,13.75,14.0,13.4,13.55,538494
BKMINDST,2018-03-27,13.625,14.225,13.6,13.775,262060
BKMINDST,2018-03-28,14.225,14.225,13.375,13.975,334366
BKMINDST,2018-04-02,13.975,14.85,13.35,14.8,49678
BKMINDST,2018-04-03,13.625,15.5,13.625,15.35,50286
BKMINDST,2018-04-04,15.625,15.65,14.5,15.5,31720
BKMINDST,2018-04-05,14.9,16.125,14.9,15.75,34880
BKMINDST,2018-04-06,15.95,16.125,15.75,16.125,29788
BKMINDST,2018-04-09,16.15,16.425,15.3,16.0,38598
BKMINDST,2018-04-10,16.075,16.075,15.325,15.4,33102
BKMINDST,2018-04-11,15.5,15.5,14.475,15.175,333682
BKMINDST,2018-04-12,14.775,15.225,14.4,14.625,219896
BKMINDST,2018-04-13,14.65,15.1,14.425,14.65,18490
BKMINDST,2018-04-16,14.5,15.4,13.8,15.225,76776
BKMINDST,2018-04-17,16.45,16.45,14.775,15.0,38068
BKMINDST,2018-04-18,15.175,15.275,14.35,15.125,45338
BKMINDST,2018-04-19,14.75,15.5,14.725,15.0,29534
BKMINDST,2018-04-20,14.6,15.475,14.5,15.175,56728
BKMINDST,2018-04-23,15.2,15.525,14.75,15.275,46670
BKMINDST,2018-04-24,15.275,15.275,14.65,14.65,6404
BKMINDST,2018-04-25,15.45,15.45,14.325,14.55,22524
BKMINDST,2018-04-26,14.6,14.875,14.0,14.3,147000
BKMINDST,2018-04-27,14.3,14.95,14.3,14.6,9538
BKMINDST,2018-04-30,14.6,14.6,14.125,14.5,3906
BKMINDST,2018-05-02,14.85,14.85,13.6,13.75,35246
BKMINDST,2018-05-03,14.025,14.425,13.875,14.05,30098
BKMINDST,2018-05-04,13.875,15.4,13.875,15.1,32442
BKMINDST,2018-05-07,15.5,15.5,14.675,15.5,11962
BKMINDST,2018-05-08,15.125,15.675,14.825,15.5,34924
BKMINDST,2018-05-09,14.8,15.675,14.8,15.625,19014
BKMINDST,2018-05-10,15.725,15.725,14.85,15.4,29034
BKMINDST,2018-05-11,14.725,15.1,14.5,14.75,68572
BKMINDST,2018-05-14,14.875,14.875,13.9,13.9,7304
BKMINDST,2018-05-15,14.725,14.75,13.85,14.5,160476
BKMINDST,2018-05-16,14.075,14.45,14.0,14.25,276944
BKMINDST,2018-05-17,13.625,15.1,13.625,14.975,177222
BKMINDST,2018-05-18,14.275,14.375,13.975,14.0,619108
BKMINDST,2018-05-21,14.1,14.125,13.75,13.975,409942
BKMINDST,2018-05-22,14.0,14.125,13.75,13.775,23384
BKMINDST,2018-05-23,13.825,14.375,13.5,13.55,211812
BKMINDST,2018-05-24,14.275,14.275,13.25,13.25,14278
BKMINDST,2018-05-25,13.25,13.5,12.825,13.15,121308
BKMINDST,2018-05-28,12.95,14.1,12.9,14.0,136574
BKMINDST,2018-05-29,13.625,14.1,13.0,13.0,228360
BKMINDST,2018-05-30,13.025,13.125,12.6,12.6,4296
BKMINDST,2018-05-31,12.6,12.6,11.95,11.95,4446
BKMINDST,2018-06-01,11.975,12.125,11.3,11.625,11264
BKMINDST,2018-06-04,11.2,11.275,10.4,11.05,22656
BKMINDST,2018-06-05,10.5,11.25,9.55,10.65,38068
BKMINDST,2018-06-06,10.5,10.9,9.625,10.25,235262
BKMINDST,2018-06-07,10.4,10.625,10.0,10.25,216806
BKMINDST,2018-06-08,10.475,11.0,10.0,10.225,222302
BKMINDST,2018-06-11,10.725,10.975,10.275,10.775,106592
BKMINDST,2018-06-12,10.5,11.95,10.5,11.625,113428
BKMINDST,2018-06-13,11.875,12.875,11.775,12.875,7440
BKMINDST,2018-06-14,12.875,13.45,12.5,13.45,6064
BKMINDST,2018-06-15,12.775,13.35,12.2,12.975,7190
BKMINDST,2018-06-18,12.975,12.975,11.7,11.7,796
BKMINDST,2018-06-19,11.725,12.175,11.5,11.925,2474
BKMINDST,2018-06-20,11.7,11.975,11.4,11.45,4228
BKMINDST,2018-06-21,11.1,11.75,10.875,11.75,5092
BKMINDST,2018-06-22,11.525,12.975,11.175,12.0,5336
BKMINDST,2018-06-25,12.7,12.7,11.75,11.8,3312
BKMINDST,2018-06-26,12.25,12.25,11.55,11.7,892
BKMINDST,2018-06-27,11.5,12.025,10.025,10.025,6496
BKMINDST,2018-06-28,10.25,12.2,9.325,10.0,6364
BKMINDST,2018-06-29,11.0,11.0,9.775,10.35,19010
BKMINDST,2018-07-02,10.025,10.975,9.65,10.85,1998
BKMINDST,2018-07-03,11.675,12.375,9.9,11.1,35104
BKMINDST,2018-07-04,11.625,11.875,10.5,10.65,7214
BKMINDST,2018-07-05,10.625,10.725,10.25,10.25,8642
BKMINDST,2018-07-06,10.0,10.65,10.0,10.625,8628
BKMINDST,2018-07-09,10.075,10.725,9.825,10.075,13464
BKMINDST,2018-07-10,10.0,10.75,10.0,10.225,2862
BKMINDST,2018-07-11,10.825,10.825,9.775,10.025,13854
BKMINDST,2018-07-12,10.85,10.85,10.0,10.05,2626
BKMINDST,2018-07-13,9.875,10.95,9.85,9.9,23732
BKMINDST,2018-07-16,10.425,10.425,9.775,9.975,5918
BKMINDST,2018-07-17,9.625,10.975,9.275,10.0,33672
BKMINDST,2018-07-18,9.7,10.65,9.15,10.625,37712
BKMINDST,2018-07-19,10.475,10.95,10.0,10.0,40864
BKMINDST,2018-07-20,9.775,10.05,9.5,10.0,23020
BKMINDST,2018-07-23,9.7,9.7,8.8,9.075,67008
