symbol,date,open,high,low,close,volume
BLSE,2024-02-06,305.0,366.0,303.1,366.0,49965570
BLSE,2024-02-07,397.95,423.7,357.05,363.95,15744098
BLSE,2024-02-08,350.0,359.0,322.45,339.4,6307057
BLSE,2024-02-09,342.5,355.45,335.25,344.35,1948331
BLSE,2024-02-12,350.95,351.0,325.15,336.0,3578109
BLSE,2024-02-13,330.95,330.95,302.0,309.3,2003991
BLSE,2024-02-14,302.05,342.7,300.0,326.0,2674560
BLSE,2024-02-15,327.8,333.9,316.8,319.85,1813573
BLSE,2024-02-16,322.8,379.45,318.05,364.25,9068356
BLSE,2024-02-19,359.05,399.6,356.4,389.95,4906002
BLSE,2024-02-20,389.95,418.35,386.55,399.45,5601171
BLSE,2024-02-21,400.95,407.0,378.0,387.3,2467311
BLSE,2024-02-22,391.9,397.0,374.2,390.85,1128514
BLSE,2024-02-23,392.1,403.65,385.0,388.65,931532
BLSE,2024-02-26,388.5,406.9,377.55,388.7,2362626
BLSE,2024-02-27,390.0,404.45,386.0,387.4,2273030
BLSE,2024-02-28,390.35,399.55,356.1,372.1,2731699
BLSE,2024-02-29,373.2,380.95,366.05,369.55,440932
BLSE,2024-03-01,374.8,388.6,373.25,379.95,2105271
BLSE,2024-03-02,382.95,387.4,378.65,380.15,125180
BLSE,2024-03-04,383.3,388.35,362.25,365.8,680950
BLSE,2024-03-05,366.95,367.4,343.55,345.05,1924166
BLSE,2024-03-06,345.1,348.95,320.0,328.1,6024571
BLSE,2024-03-07,334.95,336.7,318.15,321.35,999126
BLSE,2024-03-11,323.8,324.5,306.05,309.25,2225313
BLSE,2024-03-12,309.8,313.5,290.2,295.35,1857552
BLSE,2024-03-13,296.3,313.4,266.7,280.2,1752180
BLSE,2024-03-14,274.95,336.2,272.0,317.2,3613485
BLSE,2024-03-15,319.7,333.8,312.75,325.5,1726576
BLSE,2024-03-18,327.8,332.95,313.0,316.65,1830219
BLSE,2024-03-19,317.3,321.9,303.45,310.15,2158599
BLSE,2024-03-20,312.1,318.65,305.05,313.45,2166901
BLSE,2024-03-21,318.6,324.25,314.4,317.9,544092
BLSE,2024-03-22,318.4,326.7,310.3,315.3,2792216
BLSE,2024-03-26,317.0,324.7,309.05,312.75,806082
BLSE,2024-03-27,315.0,321.9,306.5,308.05,2646888
BLSE,2024-03-28,311.0,323.55,306.7,310.0,2455574
BLSE,2024-04-01,316.5,332.0,314.35,320.8,1470513
BLSE,2024-04-02,321.8,327.0,316.5,324.6,697216
BLSE,2024-04-03,324.0,330.85,321.6,326.9,1139961
BLSE,2024-04-04,332.0,337.0,323.1,326.65,966419
BLSE,2024-04-05,327.2,332.4,324.15,327.2,677876
BLSE,2024-04-08,329.75,343.3,326.6,333.1,1321027
BLSE,2024-04-09,337.7,337.7,321.55,326.1,455997
BLSE,2024-04-10,328.4,329.5,322.6,325.35,486091
BLSE,2024-04-12,325.15,326.05,316.85,319.85,443714
BLSE,2024-04-15,306.6,320.35,304.0,308.35,659783
BLSE,2024-04-16,305.65,314.4,304.8,308.3,667183
BLSE,2024-04-18,310.0,313.75,301.0,302.3,508340
BLSE,2024-04-19,301.0,301.0,291.0,298.6,276824
BLSE,2024-04-22,302.7,308.0,299.95,302.85,303512
BLSE,2024-04-23,306.0,306.0,301.5,302.5,195697
BLSE,2024-04-24,306.0,306.95,297.85,298.65,363462
BLSE,2024-04-25,301.3,305.85,297.1,299.5,289997
BLSE,2024-04-26,302.55,304.0,297.0,299.0,224302
BLSE,2024-04-29,301.5,308.6,298.05,306.0,408033
BLSE,2024-04-30,307.65,307.65,301.0,302.55,226975
