symbol,date,open,high,low,close,volume
BLUEJET,2023-11-01,380.0,417.95,378.0,413.4,22664019
BLUEJET,2023-11-02,423.0,433.4,403.4,406.95,4307809
BLUEJET,2023-11-03,409.8,413.2,386.05,389.85,1458416
BLUEJET,2023-11-06,372.0,393.75,357.35,382.5,2137127
BLUEJET,2023-11-07,382.0,387.25,376.25,381.7,657492
BLUEJET,2023-11-08,385.0,408.8,385.0,405.3,1164283
BLUEJET,2023-11-09,406.5,419.9,401.05,404.05,944230
BLUEJET,2023-11-10,399.0,402.7,376.65,387.75,666709
BLUEJET,2023-11-12,393.0,404.95,390.0,402.15,248473
BLUEJET,2023-11-13,403.0,415.0,398.05,400.25,503117
BLUEJET,2023-11-15,403.75,406.9,391.35,392.55,433018
BLUEJET,2023-11-16,395.0,396.0,384.0,389.15,817317
BLUEJET,2023-11-17,391.0,394.0,379.0,381.45,374539
BLUEJET,2023-11-20,381.0,398.0,381.0,393.2,517536
BLUEJET,2023-11-21,393.95,401.2,384.0,389.65,445956
BLUEJET,2023-11-22,390.0,392.0,382.3,385.0,208900
BLUEJET,2023-11-23,385.75,386.0,379.3,385.0,236858
BLUEJET,2023-11-24,382.0,384.3,370.05,374.3,375329
BLUEJET,2023-11-28,376.0,377.7,358.6,364.75,449720
BLUEJET,2023-11-29,366.9,372.0,362.25,364.45,478514
BLUEJET,2023-11-30,366.0,366.8,355.5,360.1,369715
BLUEJET,2023-12-01,362.2,364.0,344.75,346.95,736093
BLUEJET,2023-12-04,350.55,358.0,332.9,355.4,941916
BLUEJET,2023-12-05,355.4,369.95,355.4,360.25,502831
BLUEJET,2023-12-06,360.55,362.9,346.05,348.5,349775
BLUEJET,2023-12-07,348.65,352.45,341.25,350.05,250805
BLUEJET,2023-12-08,351.9,353.45,336.0,339.45,907485
BLUEJET,2023-12-11,341.3,341.45,330.95,332.75,248252
BLUEJET,2023-12-12,333.0,339.0,319.5,322.1,514982
BLUEJET,2023-12-13,320.0,348.7,320.0,343.2,2169251
BLUEJET,2023-12-14,346.0,353.0,331.9,333.8,1233921
BLUEJET,2023-12-15,335.0,350.95,332.6,347.2,866128
BLUEJET,2023-12-18,348.5,358.8,345.05,352.5,498714
BLUEJET,2023-12-19,355.0,373.45,352.15,362.0,1235646
BLUEJET,2023-12-20,363.9,371.95,348.25,354.55,622300
BLUEJET,2023-12-21,356.0,360.6,347.05,358.65,333256
BLUEJET,2023-12-22,361.0,368.0,354.55,361.3,468566
BLUEJET,2023-12-26,358.2,376.0,358.2,369.65,463150
BLUEJET,2023-12-27,372.45,376.95,360.3,371.05,343443
BLUEJET,2023-12-28,371.45,373.0,361.0,368.95,321443
BLUEJET,2023-12-29,369.0,373.0,365.3,368.1,314588
BLUEJET,2024-01-01,370.0,374.8,364.55,369.0,235649
BLUEJET,2024-01-02,369.0,386.05,365.05,379.0,697836
BLUEJET,2024-01-03,381.0,383.8,373.0,374.4,169195
BLUEJET,2024-01-04,380.0,392.0,375.65,384.4,590399
BLUEJET,2024-01-05,384.95,388.0,372.75,377.15,379713
BLUEJET,2024-01-08,386.8,411.9,386.7,403.25,1537704
BLUEJET,2024-01-09,403.85,405.95,392.0,397.15,554069
BLUEJET,2024-01-10,395.8,396.65,382.0,390.55,426552
BLUEJET,2024-01-11,394.95,400.0,385.05,386.15,188982
BLUEJET,2024-01-12,388.0,393.0,375.65,378.0,261052
BLUEJET,2024-01-15,378.45,380.4,362.0,363.55,450289
BLUEJET,2024-01-16,364.95,378.45,360.15,370.4,477648
BLUEJET,2024-01-17,367.4,369.6,362.0,363.55,156834
BLUEJET,2024-01-18,368.6,375.1,351.0,369.6,270846
BLUEJET,2024-01-19,370.0,379.8,370.0,374.25,191344
BLUEJET,2024-01-20,372.0,379.4,372.0,372.6,61393
BLUEJET,2024-01-23,374.0,374.0,351.0,353.25,183085
BLUEJET,2024-01-24,353.25,358.7,350.25,357.05,170040
