symbol,date,open,high,low,close,volume
BSE,2017-02-03,361.67,400.0,355.03,356.4,47315286
BSE,2017-02-06,360.33,362.6,341.03,343.07,6598800
BSE,2017-02-07,343.33,345.32,333.77,335.6,3882438
BSE,2017-02-08,337.67,344.95,332.9,340.87,3561348
BSE,2017-02-09,341.67,342.9,335.72,336.68,1400052
BSE,2017-02-10,338.27,341.33,334.33,335.0,1262607
BSE,2017-02-13,336.33,336.82,332.83,333.93,1511583
BSE,2017-02-14,334.97,339.67,332.67,334.67,1538679
BSE,2017-02-15,334.0,336.63,325.9,327.23,1333395
BSE,2017-02-16,327.67,329.07,320.33,321.3,1170528
BSE,2017-02-17,323.67,326.0,321.33,322.4,760695
BSE,2017-02-20,322.4,325.47,321.03,323.72,598827
BSE,2017-02-21,325.0,331.63,323.9,328.08,1001841
BSE,2017-02-22,327.33,328.88,323.77,324.75,408222
BSE,2017-02-23,324.93,325.58,321.67,321.97,360225
BSE,2017-02-27,320.67,322.92,317.47,318.03,620754
BSE,2017-02-28,318.35,321.63,314.0,315.65,634656
BSE,2017-03-01,315.0,318.0,310.67,311.37,728583
BSE,2017-03-02,312.87,314.17,305.0,305.73,899457
BSE,2017-03-03,305.0,305.63,295.5,296.9,2516490
BSE,2017-03-06,296.67,318.25,296.67,315.73,3721275
BSE,2017-03-07,318.0,321.6,312.03,312.9,1410528
BSE,2017-03-08,313.3,314.5,306.98,307.95,579231
BSE,2017-03-09,307.95,320.33,305.78,314.98,2215683
BSE,2017-03-10,316.67,318.3,310.87,312.2,581853
BSE,2017-03-14,318.33,320.0,313.33,314.98,681813
BSE,2017-03-15,315.45,320.55,313.37,315.12,872238
BSE,2017-03-16,316.65,317.43,314.33,315.08,382401
BSE,2017-03-17,315.4,319.53,313.8,314.63,943929
BSE,2017-03-20,316.67,316.67,311.67,312.78,348168
BSE,2017-03-21,313.8,315.67,312.0,312.93,633309
BSE,2017-03-22,313.33,313.33,310.33,311.47,380574
BSE,2017-03-23,312.73,314.07,310.92,312.53,392298
BSE,2017-03-24,313.2,317.77,312.0,315.02,911808
BSE,2017-03-27,315.22,316.0,311.38,311.92,394650
BSE,2017-03-28,312.97,314.65,312.07,313.08,276681
BSE,2017-03-29,313.22,324.0,312.33,317.12,1497897
BSE,2017-03-30,319.35,323.68,318.35,322.23,873000
BSE,2017-03-31,322.6,327.0,321.68,325.88,830304
BSE,2017-04-03,328.0,329.23,325.03,325.82,388749
BSE,2017-04-05,328.6,330.33,326.0,326.47,464571
BSE,2017-04-06,326.67,326.97,322.7,323.6,214923
BSE,2017-04-07,323.33,334.8,322.0,330.65,775590
BSE,2017-04-10,331.67,344.98,331.67,343.37,1598616
BSE,2017-04-11,345.0,350.33,339.35,347.88,1029114
BSE,2017-04-12,348.67,351.6,341.7,349.23,840570
BSE,2017-04-13,346.67,350.0,342.0,343.2,423201
BSE,2017-04-17,341.67,342.98,336.0,337.15,438114
BSE,2017-04-18,339.67,339.67,332.12,332.58,304371
BSE,2017-04-19,334.67,338.0,329.33,333.43,389067
BSE,2017-04-20,335.23,339.2,333.37,336.97,266802
BSE,2017-04-21,337.07,339.22,334.35,336.8,270933
BSE,2017-04-24,337.0,338.35,335.22,336.58,573987
BSE,2017-04-25,337.33,338.1,333.35,335.07,273552
BSE,2017-04-26,336.67,339.0,334.5,336.52,381597
BSE,2017-04-27,336.67,337.33,335.15,335.93,174531
BSE,2017-04-28,337.0,338.33,332.28,334.82,180780
BSE,2017-05-02,335.27,340.67,334.0,334.75,319686
BSE,2017-05-03,335.37,336.5,332.67,334.25,256962
BSE,2017-05-04,334.67,336.67,332.67,333.72,209205
BSE,2017-05-05,335.33,336.75,330.0,331.7,924774
BSE,2017-05-08,334.0,337.98,334.0,335.43,570552
BSE,2017-05-09,336.33,336.33,330.42,331.57,162804
BSE,2017-05-10,335.33,336.3,331.67,332.37,159759
BSE,2017-05-11,334.33,334.58,332.33,333.32,540183
BSE,2017-05-12,333.5,334.93,326.0,327.27,359130
BSE,2017-05-15,328.4,333.9,328.4,332.67,193620
BSE,2017-05-16,334.07,363.13,334.02,352.98,3478038
BSE,2017-05-17,353.27,361.5,352.5,357.13,948864
BSE,2017-05-18,353.87,362.67,350.33,360.2,925086
