symbol,date,open,high,low,close,volume
BURNPUR,2008-06-09,18.6,18.6,17.25,17.75,135592
BURNPUR,2008-06-10,17.5,18.0,17.35,17.6,121464
BURNPUR,2008-06-11,17.6,18.25,17.6,17.9,167694
BURNPUR,2008-06-12,17.1,18.2,17.1,17.85,123789
BURNPUR,2008-06-13,17.55,18.5,17.55,17.95,114714
BURNPUR,2008-06-16,18.2,18.75,18.0,18.25,110278
BURNPUR,2008-06-17,18.4,18.45,18.0,18.35,56171
BURNPUR,2008-06-18,18.15,21.9,18.15,20.55,1413568
BURNPUR,2008-06-19,20.6,23.2,20.6,21.0,1676953
BURNPUR,2008-06-20,21.35,22.2,19.5,19.85,1008855
BURNPUR,2008-06-23,18.25,19.5,17.0,18.5,434768
BURNPUR,2008-06-24,18.5,18.9,17.8,18.0,218596
BURNPUR,2008-06-25,17.2,18.45,17.2,18.15,335012
BURNPUR,2008-06-26,18.15,19.15,17.85,18.05,345512
BURNPUR,2008-06-27,17.2,18.0,17.05,17.55,264210
BURNPUR,2008-06-30,17.2,18.1,16.25,16.6,281742
BURNPUR,2008-07-01,16.55,16.55,15.0,15.15,244672
BURNPUR,2008-07-02,15.25,16.7,14.25,16.1,330730
BURNPUR,2008-07-03,15.6,15.9,14.5,15.3,178577
BURNPUR,2008-07-04,15.0,15.7,14.75,15.4,200551
BURNPUR,2008-07-07,16.5,18.3,16.0,16.3,216927
BURNPUR,2008-07-08,16.35,16.35,15.15,16.05,170649
BURNPUR,2008-07-09,16.4,18.0,16.4,16.6,283994
BURNPUR,2008-07-10,16.8,16.85,16.25,16.6,189034
BURNPUR,2008-07-11,16.5,18.15,16.4,16.95,445676
BURNPUR,2008-07-14,16.6,17.25,16.3,16.75,166758
BURNPUR,2008-07-15,16.25,16.85,15.6,15.85,165136
BURNPUR,2008-07-16,16.0,16.3,15.4,15.7,105768
BURNPUR,2008-07-17,16.35,16.35,15.65,15.9,95994
BURNPUR,2008-07-18,16.0,16.15,15.75,15.95,88236
BURNPUR,2008-07-21,16.0,19.15,13.1,15.9,373233
BURNPUR,2008-07-22,15.9,17.0,14.2,16.75,637027
BURNPUR,2008-07-23,18.25,18.25,16.5,17.55,660103
BURNPUR,2008-07-24,18.0,18.0,17.0,17.1,361794
BURNPUR,2008-07-25,17.0,17.0,16.3,16.7,114056
BURNPUR,2008-07-28,17.2,17.4,16.75,17.1,131837
BURNPUR,2008-07-29,17.1,17.1,16.25,16.5,136979
BURNPUR,2008-07-30,17.0,17.05,16.6,16.75,85150
BURNPUR,2008-07-31,16.95,17.25,16.5,16.8,112701
BURNPUR,2008-08-01,16.6,17.0,16.0,16.75,93382
BURNPUR,2008-08-04,16.5,17.6,16.5,17.25,188991
BURNPUR,2008-08-05,17.6,19.2,17.15,18.35,740352
BURNPUR,2008-08-06,19.0,19.35,17.7,18.15,483775
BURNPUR,2008-08-07,18.45,18.6,17.55,17.8,254157
BURNPUR,2008-08-08,17.25,18.35,17.25,17.9,161281
BURNPUR,2008-08-11,18.5,18.9,18.1,18.3,292692
BURNPUR,2008-08-12,18.5,18.75,18.0,18.05,149014
BURNPUR,2008-08-13,18.0,18.4,17.6,17.7,149738
BURNPUR,2008-08-14,17.6,17.75,17.1,17.25,115742
BURNPUR,2008-08-18,17.6,18.3,16.95,17.4,220984
BURNPUR,2008-08-19,17.4,17.4,16.9,17.05,102555
BURNPUR,2008-08-20,17.6,17.8,17.05,17.1,120148
BURNPUR,2008-08-21,17.1,17.3,16.8,16.9,103067
BURNPUR,2008-08-22,16.55,16.95,16.5,16.8,86908
BURNPUR,2008-08-25,17.4,17.4,16.45,16.55,73832
BURNPUR,2008-08-26,16.8,16.8,16.4,16.65,70335
BURNPUR,2008-08-27,16.9,16.9,16.35,16.4,53189
BURNPUR,2008-08-28,16.7,16.7,16.1,16.15,68788
BURNPUR,2008-08-29,16.35,16.95,16.35,16.55,151054
BURNPUR,2008-09-01,16.05,16.7,16.05,16.25,60228
BURNPUR,2008-09-02,16.3,16.6,16.15,16.4,90969
BURNPUR,2008-09-04,16.2,16.7,16.2,16.25,99880
BURNPUR,2008-09-05,16.0,16.5,16.0,16.1,88214
BURNPUR,2008-09-08,15.5,16.65,15.5,16.25,88171
BURNPUR,2008-09-09,16.5,16.5,16.1,16.15,64814
BURNPUR,2008-09-10,16.0,16.2,16.0,16.05,56084
BURNPUR,2008-09-11,16.0,16.2,15.8,16.0,55033
BURNPUR,2008-09-12,16.05,16.1,15.6,15.7,87049
BURNPUR,2008-09-15,15.35,15.35,14.55,15.05,118626
BURNPUR,2008-09-16,13.55,15.85,13.55,14.45,89358
BURNPUR,2008-09-17,14.5,15.05,14.45,14.65,87771
BURNPUR,2008-09-18,14.35,16.0,13.5,14.3,117039
BURNPUR,2008-09-19,15.4,17.0,14.6,14.85,91655
BURNPUR,2008-09-22,14.65,15.25,14.3,14.5,147028
BURNPUR,2008-09-23,14.5,14.75,14.1,14.15,63698
BURNPUR,2008-09-24,14.05,14.5,14.05,14.35,83818
BURNPUR,2008-09-25,14.25,14.4,14.05,14.15,71667
BURNPUR,2008-09-26,14.0,14.2,13.55,13.9,58088
BURNPUR,2008-09-29,14.0,14.0,12.95,13.05,98028
BURNPUR,2008-09-30,12.75,14.75,12.1,13.7,165952
BURNPUR,2008-10-01,13.7,14.0,13.5,13.6,54837
BURNPUR,2008-10-03,13.55,13.75,13.0,13.1,54749
BURNPUR,2008-10-06,12.5,12.85,12.0,12.1,107410
BURNPUR,2008-10-07,11.5,12.4,11.5,11.7,108302
BURNPUR,2008-10-08,11.2,11.55,10.5,10.95,150999
BURNPUR,2008-10-10,10.95,10.95,9.0,10.2,137687
BURNPUR,2008-10-13,10.7,11.65,10.6,11.45,150624
BURNPUR,2008-10-14,11.9,12.5,11.5,11.75,124524
BURNPUR,2008-10-15,11.5,11.5,10.75,10.9,78275
BURNPUR,2008-10-16,10.5,11.5,9.05,10.65,100586
BURNPUR,2008-10-17,10.75,11.35,10.1,10.35,77344
BURNPUR,2008-10-20,10.85,11.2,9.8,10.05,75546
BURNPUR,2008-10-21,10.95,10.95,9.95,10.35,58871
BURNPUR,2008-10-22,10.5,10.9,10.05,10.25,61963
BURNPUR,2008-10-23,10.0,10.3,9.75,9.95,60803
BURNPUR,2008-10-24,9.9,10.0,9.0,9.05,105720
BURNPUR,2008-10-27,9.1,9.1,7.25,7.95,152316
BURNPUR,2008-10-28,9.55,9.55,7.9,9.1,45247
BURNPUR,2008-10-29,10.5,10.5,9.05,9.25,68688
BURNPUR,2008-10-31,9.5,9.8,9.0,9.25,61886
BURNPUR,2008-11-03,10.25,10.85,8.0,9.8,86038
BURNPUR,2008-11-04,10.0,10.45,9.65,10.0,84361
BURNPUR,2008-11-05,10.5,10.8,9.9,10.05,95487
BURNPUR,2008-11-06,10.0,10.0,9.35,9.55,42667
BURNPUR,2008-11-07,9.45,10.0,9.4,9.9,58462
BURNPUR,2008-11-10,10.0,10.2,9.8,10.0,54942
BURNPUR,2008-11-11,10.1,10.1,9.5,9.6,42296
BURNPUR,2008-11-12,9.2,9.75,9.2,9.25,33059
BURNPUR,2008-11-14,9.25,9.75,9.2,9.3,35619
BURNPUR,2008-11-17,9.25,9.5,8.7,9.3,56857
BURNPUR,2008-11-18,8.85,9.35,8.0,9.0,55804
BURNPUR,2008-11-19,9.0,9.2,8.55,8.9,40046
BURNPUR,2008-11-20,8.6,8.85,8.25,8.45,35340
BURNPUR,2008-11-21,8.1,10.0,8.1,8.55,39894
BURNPUR,2008-11-24,8.25,9.25,8.0,8.2,27558
BURNPUR,2008-11-25,9.2,9.2,8.25,8.55,28788
BURNPUR,2008-11-26,8.8,9.1,8.1,8.2,26170
BURNPUR,2008-11-28,8.0,8.35,8.0,8.05,26832
BURNPUR,2008-12-01,8.05,8.65,7.8,8.2,38200
BURNPUR,2008-12-02,8.4,8.4,7.8,8.1,31813
BURNPUR,2008-12-03,8.6,8.6,8.05,8.1,24853
BURNPUR,2008-12-04,8.35,8.4,8.05,8.25,29291
BURNPUR,2008-12-05,8.25,8.7,8.1,8.45,35612
BURNPUR,2008-12-08,8.6,9.15,8.5,8.6,65865
BURNPUR,2008-12-10,8.85,9.1,8.6,8.85,48993
BURNPUR,2008-12-11,9.0,9.3,8.6,9.1,118224
BURNPUR,2008-12-12,8.95,9.6,8.75,9.15,85819
BURNPUR,2008-12-15,9.6,9.9,9.15,9.5,102539
BURNPUR,2008-12-16,10.0,11.4,9.55,10.8,258045
BURNPUR,2008-12-17,11.2,11.4,10.1,10.4,244887
BURNPUR,2008-12-18,10.4,10.5,10.05,10.3,66595
BURNPUR,2008-12-19,11.0,12.4,9.7,10.9,104356
BURNPUR,2008-12-22,10.8,11.15,10.2,10.4,98216
BURNPUR,2008-12-23,11.0,11.0,10.1,10.3,63135
BURNPUR,2008-12-24,10.15,10.5,9.7,9.95,67301
BURNPUR,2008-12-26,9.7,10.4,9.6,9.65,45975
BURNPUR,2008-12-29,9.95,9.95,9.4,9.75,42872
BURNPUR,2008-12-30,9.9,10.0,9.65,9.85,29516
BURNPUR,2008-12-31,9.75,10.1,9.75,9.85,39862
BURNPUR,2009-01-01,9.8,10.5,9.8,10.35,65131
BURNPUR,2009-01-02,10.4,10.6,9.5,9.95,198294
BURNPUR,2009-01-05,10.45,10.5,9.95,10.1,173199
BURNPUR,2009-01-06,10.4,11.15,9.95,10.55,760868
BURNPUR,2009-01-07,10.85,11.15,9.0,9.6,379632
BURNPUR,2009-01-09,9.5,9.5,8.25,9.0,137822
BURNPUR,2009-01-12,9.1,9.3,8.3,8.8,95677
BURNPUR,2009-01-13,9.1,9.2,8.6,8.8,67345
BURNPUR,2009-01-14,9.0,9.2,8.7,8.8,32776
BURNPUR,2009-01-15,8.5,8.9,8.5,8.6,53697
BURNPUR,2009-01-16,8.5,8.95,8.45,8.75,61051
BURNPUR,2009-01-19,9.0,9.0,8.6,8.75,34104
BURNPUR,2009-01-20,8.5,8.75,8.45,8.55,52816
BURNPUR,2009-01-21,8.95,9.0,8.35,8.45,37200
BURNPUR,2009-01-22,8.75,8.8,8.4,8.65,55830
BURNPUR,2009-01-23,8.3,8.5,8.05,8.2,58654
BURNPUR,2009-01-27,8.0,8.75,8.0,8.1,51962
BURNPUR,2009-01-28,8.0,8.3,8.0,8.2,41054
BURNPUR,2009-01-29,8.2,8.5,8.05,8.15,36043
BURNPUR,2009-01-30,7.95,8.25,6.7,8.1,46518
BURNPUR,2009-02-02,8.1,8.2,7.95,8.0,32762
BURNPUR,2009-02-03,8.3,9.2,8.05,8.25,148276
BURNPUR,2009-02-04,8.25,8.6,8.1,8.15,49210
BURNPUR,2009-02-05,8.05,8.4,8.05,8.1,40888
BURNPUR,2009-02-06,8.1,9.4,8.1,8.8,230613
BURNPUR,2009-02-09,9.2,9.2,8.7,8.85,56059
BURNPUR,2009-02-10,8.6,10.2,8.2,9.0,285925
BURNPUR,2009-02-11,8.95,9.4,8.85,8.95,96419
BURNPUR,2009-02-12,9.15,9.5,8.9,9.25,70750
BURNPUR,2009-02-13,9.6,9.6,8.8,9.15,81505
BURNPUR,2009-02-16,9.95,9.95,9.0,9.05,83555
BURNPUR,2009-02-17,8.9,9.0,8.6,8.65,44080
BURNPUR,2009-02-18,8.95,9.0,8.35,8.65,38920
BURNPUR,2009-02-19,8.6,9.0,8.6,8.7,47813
BURNPUR,2009-02-20,8.8,8.8,8.3,8.45,55185
BURNPUR,2009-02-24,8.1,9.2,8.1,8.9,124598
BURNPUR,2009-02-25,9.2,9.9,8.55,8.75,127081
BURNPUR,2009-02-26,8.6,8.85,8.4,8.5,42594
BURNPUR,2009-02-27,8.35,8.6,8.05,8.25,35917
BURNPUR,2009-03-02,8.2,8.25,8.0,8.05,46871
BURNPUR,2009-03-03,8.75,8.75,8.0,8.0,32823
BURNPUR,2009-03-04,8.4,8.4,7.85,8.05,43582
BURNPUR,2009-03-05,8.0,8.35,7.85,7.9,30279
BURNPUR,2009-03-06,7.9,8.0,7.6,7.9,44550
BURNPUR,2009-03-09,7.1,8.0,7.1,7.65,30084
BURNPUR,2009-03-12,7.9,8.0,7.6,7.8,30080
BURNPUR,2009-03-13,7.9,7.95,7.0,7.85,60406
BURNPUR,2009-03-16,7.9,8.0,7.7,7.85,48172
BURNPUR,2009-03-17,7.85,8.1,7.6,7.95,58178
BURNPUR,2009-03-18,8.0,8.3,7.85,7.9,70906
BURNPUR,2009-03-19,8.0,8.15,7.85,8.0,35156
BURNPUR,2009-03-20,7.9,8.0,7.7,7.8,37910
BURNPUR,2009-03-23,7.75,8.1,7.75,7.9,45148
BURNPUR,2009-03-24,8.0,8.2,7.8,7.9,45443
BURNPUR,2009-03-25,7.85,8.5,7.4,8.2,120811
BURNPUR,2009-03-26,8.35,8.35,7.85,7.95,60919
BURNPUR,2009-03-27,7.95,8.35,7.9,8.15,104837
BURNPUR,2009-03-30,8.0,8.2,7.7,7.75,79818
BURNPUR,2009-03-31,8.0,8.0,7.6,7.9,36846
BURNPUR,2009-04-01,7.8,8.45,7.8,8.3,80202
BURNPUR,2009-04-02,8.25,8.85,8.25,8.4,156256
BURNPUR,2009-04-06,8.7,8.95,8.55,8.75,112035
BURNPUR,2009-04-08,8.55,9.25,8.2,9.05,155024
BURNPUR,2009-04-09,9.5,9.75,8.85,9.45,244012
BURNPUR,2009-04-13,9.75,9.95,9.25,9.65,212015
BURNPUR,2009-04-15,9.35,10.6,9.35,10.4,408066
BURNPUR,2009-04-16,10.55,10.95,9.45,9.65,300017
BURNPUR,2009-04-17,9.55,10.2,9.5,9.6,158262
BURNPUR,2009-04-20,9.6,11.55,9.6,11.4,964342
BURNPUR,2009-04-21,12.0,12.6,11.05,11.55,744327
BURNPUR,2009-04-22,11.5,11.95,10.7,11.0,231022
BURNPUR,2009-04-23,11.5,11.7,10.65,10.8,177918
BURNPUR,2009-04-24,10.9,11.6,10.4,11.35,315218
BURNPUR,2009-04-27,11.6,11.6,10.35,11.05,209884
BURNPUR,2009-04-28,11.1,11.15,10.2,10.35,90644
BURNPUR,2009-04-29,10.25,10.7,9.8,10.2,111769
BURNPUR,2009-05-04,10.5,10.9,10.5,10.55,97763
BURNPUR,2009-05-05,10.4,10.95,10.4,10.8,134024
BURNPUR,2009-05-06,10.65,11.25,10.6,10.7,110329
BURNPUR,2009-05-07,10.7,11.0,10.55,10.8,72908
BURNPUR,2009-05-08,11.0,11.2,10.55,10.9,133825
BURNPUR,2009-05-11,10.75,12.85,10.75,11.8,1434484
BURNPUR,2009-05-12,12.0,12.0,11.0,11.15,287116
BURNPUR,2009-05-13,11.5,11.6,10.8,11.0,131215
BURNPUR,2009-05-14,10.5,11.3,10.5,10.85,121685
BURNPUR,2009-05-15,10.8,11.3,10.8,10.85,86652
BURNPUR,2009-05-18,11.95,11.95,11.95,11.95,1401
BURNPUR,2009-05-19,12.0,12.5,10.75,12.25,757997
BURNPUR,2009-05-20,12.25,13.45,12.0,13.35,740049
BURNPUR,2009-05-21,13.5,15.5,13.5,14.95,1206312
BURNPUR,2009-05-22,15.0,15.6,14.4,14.95,627555
BURNPUR,2009-05-25,15.5,16.45,15.2,16.4,823674
BURNPUR,2009-05-26,17.0,17.75,16.0,16.3,868847
BURNPUR,2009-05-27,16.5,17.25,16.35,16.7,387000
