symbol,date,open,high,low,close,volume
CANFINHOME,2008-06-09,14.16,14.2,13.6,13.7,38575
CANFINHOME,2008-06-10,13.75,14.02,13.75,14.01,25735
CANFINHOME,2008-06-11,13.98,14.0,13.7,13.98,16945
CANFINHOME,2008-06-12,13.8,13.89,13.74,13.86,3125
CANFINHOME,2008-06-13,16.0,16.0,13.73,13.8,10080
CANFINHOME,2008-06-16,14.0,14.01,13.68,13.9,12475
CANFINHOME,2008-06-17,14.05,14.07,13.82,13.96,10500
CANFINHOME,2008-06-18,13.88,14.15,13.88,13.9,11125
CANFINHOME,2008-06-19,13.9,13.9,13.51,13.58,11010
CANFINHOME,2008-06-20,13.51,13.91,13.51,13.71,59210
CANFINHOME,2008-06-23,13.2,13.28,13.06,13.28,54205
CANFINHOME,2008-06-24,13.55,13.86,13.1,13.54,6475
CANFINHOME,2008-06-25,13.15,13.76,13.15,13.76,27430
CANFINHOME,2008-06-26,13.69,13.7,13.21,13.44,1760
CANFINHOME,2008-06-27,13.32,14.0,13.3,13.87,3545
CANFINHOME,2008-06-30,13.8,14.04,13.32,13.97,77785
CANFINHOME,2008-07-01,14.1,14.2,13.61,13.94,269160
CANFINHOME,2008-07-02,13.44,14.9,13.28,14.21,213465
CANFINHOME,2008-07-03,13.41,13.98,13.41,13.8,12370
CANFINHOME,2008-07-04,13.56,13.92,13.4,13.92,18525
CANFINHOME,2008-07-07,13.7,14.06,13.7,13.73,5125
CANFINHOME,2008-07-08,13.7,13.7,13.6,13.69,2000
CANFINHOME,2008-07-09,13.7,14.0,13.7,13.84,3215
CANFINHOME,2008-07-10,13.71,14.18,13.71,14.18,9600
CANFINHOME,2008-07-11,13.7,14.0,13.7,13.75,12285
CANFINHOME,2008-07-14,13.48,13.65,13.48,13.65,995
CANFINHOME,2008-07-15,13.7,13.95,13.6,13.74,20665
CANFINHOME,2008-07-16,13.51,13.85,13.51,13.82,12475
CANFINHOME,2008-07-17,14.0,14.02,13.72,13.99,51530
CANFINHOME,2008-07-18,14.0,14.09,13.8,14.02,14625
CANFINHOME,2008-07-21,13.6,14.2,13.02,14.12,31900
CANFINHOME,2008-07-22,13.72,14.19,13.72,13.93,660
CANFINHOME,2008-07-23,14.0,14.44,14.0,14.1,13215
CANFINHOME,2008-07-24,13.73,14.0,13.72,13.91,2900
CANFINHOME,2008-07-25,13.8,14.1,13.75,13.92,4725
CANFINHOME,2008-07-28,13.75,14.02,13.74,14.0,29375
CANFINHOME,2008-07-29,13.5,14.0,13.5,14.0,8035
CANFINHOME,2008-07-30,14.01,14.01,13.82,13.85,6695
CANFINHOME,2008-07-31,13.9,14.2,13.8,14.17,10105
CANFINHOME,2008-08-01,13.85,14.24,13.85,14.12,10510
CANFINHOME,2008-08-04,14.09,14.2,14.05,14.05,3485
CANFINHOME,2008-08-05,13.5,14.8,13.5,14.32,42765
CANFINHOME,2008-08-06,14.21,14.3,14.11,14.19,13025
CANFINHOME,2008-08-07,14.4,14.4,14.15,14.18,20340
CANFINHOME,2008-08-08,14.1,14.83,14.1,14.8,87780
CANFINHOME,2008-08-11,14.8,15.0,14.6,14.7,16010
CANFINHOME,2008-08-12,14.71,14.9,14.6,14.75,8565
CANFINHOME,2008-08-13,14.68,14.68,14.24,14.57,9965
CANFINHOME,2008-08-14,14.31,14.31,14.22,14.24,4525
CANFINHOME,2008-08-18,14.16,14.4,14.11,14.12,7295
CANFINHOME,2008-08-19,14.2,14.2,14.0,14.01,5105
CANFINHOME,2008-08-20,14.0,14.0,13.95,14.0,127775
CANFINHOME,2008-08-21,13.81,13.83,13.81,13.83,505
CANFINHOME,2008-08-22,14.0,14.0,13.6,13.7,9955
CANFINHOME,2008-08-25,13.7,13.7,13.65,13.65,500
CANFINHOME,2008-08-26,13.99,13.99,13.99,13.99,130
CANFINHOME,2008-08-27,13.4,13.8,13.4,13.71,7195
CANFINHOME,2008-08-28,13.8,14.19,13.65,14.0,35240
CANFINHOME,2008-08-29,14.12,14.55,13.92,14.08,129225
CANFINHOME,2008-09-01,14.21,14.21,13.83,13.84,10060
CANFINHOME,2008-09-02,13.74,14.29,13.74,14.18,3960
CANFINHOME,2008-09-04,13.87,14.35,13.87,14.21,85915
CANFINHOME,2008-09-05,14.2,14.2,14.09,14.14,15735
CANFINHOME,2008-09-08,14.12,14.2,13.94,14.0,23000
CANFINHOME,2008-09-09,14.0,14.1,13.83,13.94,6790
CANFINHOME,2008-09-10,14.4,14.4,13.9,13.9,1175
CANFINHOME,2008-09-11,13.8,13.8,13.8,13.8,25000
CANFINHOME,2008-09-12,13.85,13.95,13.8,13.8,7310
CANFINHOME,2008-09-15,13.6,13.84,11.57,13.79,39220
CANFINHOME,2008-09-16,13.6,14.4,13.59,14.15,548910
CANFINHOME,2008-09-17,13.8,14.09,13.66,13.73,3455
CANFINHOME,2008-09-18,13.2,13.2,13.0,13.01,17770
CANFINHOME,2008-09-19,13.24,13.68,13.2,13.3,5250
CANFINHOME,2008-09-22,13.1,13.14,13.1,13.14,550
CANFINHOME,2008-09-23,13.8,13.9,13.61,13.62,16480
CANFINHOME,2008-09-24,13.2,13.4,13.2,13.25,1500
CANFINHOME,2008-09-25,13.25,13.38,13.11,13.21,2650
CANFINHOME,2008-09-26,13.2,13.2,13.0,13.18,96145
CANFINHOME,2008-09-29,13.0,13.09,12.62,12.64,30575
CANFINHOME,2008-09-30,12.22,12.6,11.84,12.59,15780
CANFINHOME,2008-10-01,12.65,12.92,12.43,12.91,2515
CANFINHOME,2008-10-03,12.2,13.18,12.2,12.99,80
CANFINHOME,2008-10-06,12.28,12.28,10.63,11.9,175240
CANFINHOME,2008-10-07,11.62,11.62,10.6,11.0,22525
CANFINHOME,2008-10-08,10.9,11.38,10.51,11.37,80855
CANFINHOME,2008-10-10,10.41,10.99,10.0,10.95,10580
CANFINHOME,2008-10-13,10.1,10.9,10.1,10.73,2500
CANFINHOME,2008-10-14,10.7,11.6,10.7,10.84,7700
CANFINHOME,2008-10-15,10.48,10.57,10.4,10.42,6475
CANFINHOME,2008-10-16,10.58,10.58,10.0,10.4,6085
CANFINHOME,2008-10-17,9.9,10.56,9.8,10.09,3130
CANFINHOME,2008-10-20,10.09,10.09,9.57,9.68,18050
CANFINHOME,2008-10-21,10.0,10.6,9.64,10.05,104610
CANFINHOME,2008-10-22,9.8,9.8,9.8,9.8,1500
CANFINHOME,2008-10-23,9.6,9.6,8.8,9.09,4505
CANFINHOME,2008-10-24,8.83,10.38,8.7,8.76,32755
CANFINHOME,2008-10-27,8.8,8.8,7.99,8.39,11330
CANFINHOME,2008-10-28,9.35,9.35,8.0,8.4,4105
CANFINHOME,2008-10-29,8.31,9.0,7.53,7.65,38945
CANFINHOME,2008-10-31,8.19,8.34,7.8,8.07,59675
CANFINHOME,2008-11-03,8.0,8.79,7.88,8.74,9505
CANFINHOME,2008-11-04,8.8,9.15,8.7,9.0,9940
CANFINHOME,2008-11-05,9.04,9.04,8.43,8.61,60430
CANFINHOME,2008-11-06,8.3,9.6,8.3,9.32,25395
CANFINHOME,2008-11-07,9.35,10.0,8.91,9.51,12235
CANFINHOME,2008-11-10,9.4,9.68,9.21,9.5,12755
CANFINHOME,2008-11-11,9.6,9.6,9.13,9.6,4830
CANFINHOME,2008-11-12,10.21,10.21,9.0,9.75,92340
CANFINHOME,2008-11-14,9.5,9.78,9.4,9.4,2750
CANFINHOME,2008-11-17,9.4,9.4,8.42,9.3,1925
CANFINHOME,2008-11-18,8.64,9.3,8.64,8.66,5040
CANFINHOME,2008-11-19,8.55,9.2,8.55,9.0,2375
CANFINHOME,2008-11-20,8.5,8.58,8.02,8.1,11730
CANFINHOME,2008-11-21,8.2,8.9,8.2,8.26,12390
CANFINHOME,2008-11-24,8.99,8.99,8.09,8.38,6110
CANFINHOME,2008-11-25,8.16,8.5,8.15,8.48,2665
CANFINHOME,2008-11-26,8.2,8.46,8.2,8.46,100
CANFINHOME,2008-12-01,8.8,9.14,8.2,8.22,6205
CANFINHOME,2008-12-02,8.2,8.6,8.2,8.2,8760
CANFINHOME,2008-12-03,8.1,8.63,8.1,8.55,62615
CANFINHOME,2008-12-04,9.38,9.38,8.32,8.63,72075
CANFINHOME,2008-12-05,8.12,8.98,8.12,8.73,665
CANFINHOME,2008-12-08,9.0,9.38,8.24,8.53,5715
CANFINHOME,2008-12-10,8.46,9.0,8.46,8.72,7195
CANFINHOME,2008-12-11,8.78,8.78,8.53,8.68,2785
CANFINHOME,2008-12-12,8.8,9.72,8.49,9.06,1895
CANFINHOME,2008-12-15,9.2,9.59,9.1,9.1,12610
CANFINHOME,2008-12-16,8.6,9.5,8.6,9.43,2220
CANFINHOME,2008-12-17,9.55,10.2,9.5,9.89,74515
CANFINHOME,2008-12-18,9.4,10.62,9.4,10.3,32370
CANFINHOME,2008-12-19,10.6,10.6,10.1,10.14,1675
CANFINHOME,2008-12-22,11.53,11.53,9.72,9.89,8080
CANFINHOME,2008-12-23,10.17,10.17,9.8,9.84,16350
CANFINHOME,2008-12-24,9.8,10.55,9.8,10.03,4225
CANFINHOME,2008-12-26,10.0,10.26,9.8,10.26,2005
CANFINHOME,2008-12-29,10.3,10.3,9.8,9.8,1060
CANFINHOME,2008-12-30,9.8,10.93,9.8,9.85,530
CANFINHOME,2008-12-31,9.94,10.59,9.94,9.95,3020
CANFINHOME,2009-01-01,9.84,10.2,9.8,10.19,4570
CANFINHOME,2009-01-02,10.2,10.8,10.06,10.32,3140
CANFINHOME,2009-01-05,10.39,10.8,10.33,10.8,6480
CANFINHOME,2009-01-06,10.01,10.9,9.0,10.8,8275
CANFINHOME,2009-01-07,10.64,11.38,10.2,10.39,7150
CANFINHOME,2009-01-09,10.0,10.41,9.01,10.4,7285
CANFINHOME,2009-01-12,10.0,10.0,10.0,10.0,30
CANFINHOME,2009-01-13,9.41,10.4,9.41,10.4,6005
CANFINHOME,2009-01-14,10.0,11.2,10.0,10.67,2855
CANFINHOME,2009-01-15,11.0,11.0,10.14,10.22,2260
CANFINHOME,2009-01-16,10.92,10.92,9.93,10.33,7615
CANFINHOME,2009-01-19,9.87,10.5,9.85,10.25,9355
CANFINHOME,2009-01-20,10.0,10.4,10.0,10.38,19850
CANFINHOME,2009-01-21,10.0,10.56,10.0,10.4,43610
CANFINHOME,2009-01-22,9.31,10.25,9.31,10.25,16165
CANFINHOME,2009-01-23,9.8,10.2,9.8,10.2,36900
CANFINHOME,2009-01-27,9.81,10.3,9.81,10.2,51560
CANFINHOME,2009-01-28,9.92,9.92,9.92,9.92,125
CANFINHOME,2009-01-29,10.2,10.28,10.2,10.2,14150
CANFINHOME,2009-01-30,10.28,10.28,10.22,10.22,1880
CANFINHOME,2009-02-02,10.01,10.01,9.84,9.84,2750
CANFINHOME,2009-02-03,9.6,9.68,9.6,9.68,2540
CANFINHOME,2009-02-04,9.7,10.2,9.69,9.86,31730
CANFINHOME,2009-02-05,9.61,9.61,9.61,9.61,200
CANFINHOME,2009-02-06,9.8,9.8,9.8,9.8,150
CANFINHOME,2009-02-09,9.82,10.0,9.82,10.0,6740
CANFINHOME,2009-02-10,10.2,10.6,10.2,10.46,3595
CANFINHOME,2009-02-11,10.0,10.49,10.0,10.4,100080
CANFINHOME,2009-02-12,9.94,10.55,9.94,10.51,122875
CANFINHOME,2009-02-13,10.1,10.4,10.1,10.4,520
CANFINHOME,2009-02-16,10.0,10.4,10.0,10.03,2795
CANFINHOME,2009-02-17,10.0,10.28,9.9,10.03,24330
CANFINHOME,2009-02-18,10.04,10.28,10.04,10.25,1060
CANFINHOME,2009-02-19,10.24,10.24,10.08,10.1,2065
CANFINHOME,2009-02-20,10.1,10.1,10.0,10.0,12905
CANFINHOME,2009-02-24,10.2,10.2,9.8,9.84,18100
CANFINHOME,2009-02-25,10.05,10.24,10.05,10.16,11705
CANFINHOME,2009-02-26,10.13,10.26,10.05,10.2,35580
CANFINHOME,2009-02-27,10.18,10.26,10.16,10.23,42115
CANFINHOME,2009-03-02,10.06,10.1,10.01,10.02,4900
CANFINHOME,2009-03-03,10.07,10.4,9.8,10.33,32995
CANFINHOME,2009-03-04,10.3,10.42,10.13,10.2,50600
CANFINHOME,2009-03-05,10.12,10.28,10.03,10.2,10285
CANFINHOME,2009-03-06,10.14,10.35,10.09,10.27,58705
CANFINHOME,2009-03-09,10.5,10.5,10.1,10.12,19155
CANFINHOME,2009-03-12,10.3,10.3,9.98,10.2,128030
CANFINHOME,2009-03-13,10.1,10.2,10.1,10.12,6285
CANFINHOME,2009-03-16,10.02,10.19,10.02,10.1,3740
CANFINHOME,2009-03-17,10.06,10.38,9.85,10.09,12545
CANFINHOME,2009-03-18,10.36,10.4,10.08,10.09,8565
CANFINHOME,2009-03-19,10.35,10.4,10.21,10.34,31905
CANFINHOME,2009-03-20,10.4,10.52,10.2,10.38,17410
CANFINHOME,2009-03-23,10.4,10.44,10.14,10.44,41225
CANFINHOME,2009-03-24,10.09,10.5,10.09,10.26,108870
CANFINHOME,2009-03-25,10.12,10.4,10.11,10.38,115545
CANFINHOME,2009-03-26,10.75,10.75,10.2,10.3,106115
CANFINHOME,2009-03-27,10.32,10.4,10.23,10.3,8880
CANFINHOME,2009-03-30,10.3,10.34,10.02,10.03,6130
CANFINHOME,2009-03-31,10.1,10.6,10.02,10.39,30405
CANFINHOME,2009-04-01,10.4,10.4,10.07,10.11,44290
CANFINHOME,2009-04-02,10.13,10.4,10.13,10.4,9970
CANFINHOME,2009-04-06,10.18,10.49,10.18,10.26,24550
CANFINHOME,2009-04-08,10.23,10.4,10.22,10.36,15655
CANFINHOME,2009-04-09,10.25,10.6,10.25,10.5,206665
CANFINHOME,2009-04-13,10.7,11.49,10.7,11.15,62990
CANFINHOME,2009-04-15,11.15,11.98,11.06,11.69,27595
CANFINHOME,2009-04-16,11.78,11.9,10.88,11.08,667020
CANFINHOME,2009-04-17,11.12,11.12,10.8,10.93,106685
CANFINHOME,2009-04-20,11.1,11.5,10.95,11.24,230300
CANFINHOME,2009-04-21,10.98,11.4,10.97,11.3,30280
CANFINHOME,2009-04-22,11.9,12.0,11.4,11.62,61960
CANFINHOME,2009-04-23,12.01,12.01,11.3,11.67,13905
CANFINHOME,2009-04-24,11.68,11.8,11.45,11.47,45900
CANFINHOME,2009-04-27,11.6,11.6,11.16,11.36,39230
CANFINHOME,2009-04-28,11.2,11.2,10.96,11.0,37985
CANFINHOME,2009-04-29,10.98,12.0,10.5,11.08,73590
CANFINHOME,2009-05-04,11.3,11.56,11.0,11.52,152805
CANFINHOME,2009-05-05,11.2,13.83,11.02,12.65,950810
CANFINHOME,2009-05-06,13.19,13.19,11.28,11.69,108975
CANFINHOME,2009-05-07,11.86,11.86,11.58,11.71,93200
CANFINHOME,2009-05-08,11.8,11.8,11.56,11.62,30485
CANFINHOME,2009-05-11,11.61,11.72,11.05,11.6,107645
CANFINHOME,2009-05-12,11.6,11.96,11.51,11.78,27250
CANFINHOME,2009-05-13,11.7,12.19,11.6,11.63,13055
CANFINHOME,2009-05-14,10.42,12.25,10.42,12.07,60720
CANFINHOME,2009-05-15,12.0,12.07,11.91,11.96,17055
CANFINHOME,2009-05-19,14.36,14.36,12.0,12.7,93125
CANFINHOME,2009-05-20,12.7,13.42,12.7,13.28,47385
CANFINHOME,2009-05-21,13.4,13.76,13.2,13.23,91225
CANFINHOME,2009-05-22,13.58,13.87,13.05,13.28,41580
CANFINHOME,2009-05-25,13.53,14.8,13.04,14.65,186655
CANFINHOME,2009-05-26,14.58,14.8,14.0,14.65,330825
CANFINHOME,2009-05-27,14.45,15.3,14.45,15.13,180655
CANFINHOME,2009-05-28,15.3,16.91,14.82,15.96,413115
CANFINHOME,2009-05-29,16.0,18.87,16.0,18.34,1480705
CANFINHOME,2009-06-01,19.5,19.5,16.92,17.1,437840
CANFINHOME,2009-06-02,14.39,17.88,14.39,16.77,112500
CANFINHOME,2009-06-03,16.6,17.08,16.4,16.47,131580
CANFINHOME,2009-06-04,16.42,18.15,16.22,17.23,245020
CANFINHOME,2009-06-05,17.2,17.4,16.82,17.14,154095
CANFINHOME,2009-06-08,17.1,17.1,15.82,16.11,120905
CANFINHOME,2009-06-09,15.8,17.39,15.42,16.68,158525
CANFINHOME,2009-06-10,16.6,17.54,16.43,17.09,261610
CANFINHOME,2009-06-11,16.8,17.19,16.3,16.93,189100
CANFINHOME,2009-06-12,17.0,17.0,16.1,16.18,46475
CANFINHOME,2009-06-15,16.42,16.8,16.1,16.2,98120
CANFINHOME,2009-06-16,16.4,16.6,16.11,16.33,231835
CANFINHOME,2009-06-17,16.3,16.8,16.22,16.22,47740
CANFINHOME,2009-06-18,16.02,16.22,15.82,15.82,40860
CANFINHOME,2009-06-19,15.67,16.17,15.67,16.0,8535
CANFINHOME,2009-06-22,16.02,16.4,16.02,16.02,11070
CANFINHOME,2009-06-23,15.42,16.0,15.42,15.56,9175
CANFINHOME,2009-06-24,16.18,16.34,16.18,16.34,22990
CANFINHOME,2009-06-25,16.6,16.6,16.03,16.1,29260
CANFINHOME,2009-06-26,16.39,16.47,16.07,16.32,44685
CANFINHOME,2009-06-29,16.2,16.5,16.17,16.5,24425
CANFINHOME,2009-06-30,16.43,16.43,15.82,15.83,18225
CANFINHOME,2009-07-01,15.62,15.64,15.62,15.64,525
CANFINHOME,2009-07-02,15.67,16.2,15.65,16.03,14050
CANFINHOME,2009-07-03,16.05,16.38,15.84,15.93,57300
CANFINHOME,2009-07-06,16.6,16.73,15.82,15.82,101860
CANFINHOME,2009-07-07,15.62,16.0,15.5,15.8,24145
CANFINHOME,2009-07-08,15.56,15.9,15.5,15.75,14655
CANFINHOME,2009-07-09,15.6,16.0,15.59,15.73,5630
CANFINHOME,2009-07-10,16.09,16.09,15.59,15.83,94430
CANFINHOME,2009-07-13,15.6,15.78,15.5,15.56,75780
CANFINHOME,2009-07-14,15.58,16.0,15.58,16.0,27395
CANFINHOME,2009-07-15,16.76,16.76,16.02,16.13,13000
CANFINHOME,2009-07-16,16.56,16.56,15.82,16.02,14435
CANFINHOME,2009-07-17,16.02,16.4,15.99,16.4,45920
CANFINHOME,2009-07-20,16.03,16.4,16.03,16.23,35310
CANFINHOME,2009-07-21,15.85,16.22,15.82,15.9,64980
CANFINHOME,2009-07-22,16.0,16.2,15.82,15.82,12285
CANFINHOME,2009-07-23,15.65,16.2,15.65,15.74,6490
CANFINHOME,2009-07-24,16.2,16.2,15.94,16.04,13630
CANFINHOME,2009-07-27,16.39,16.69,16.03,16.12,19270
CANFINHOME,2009-07-28,16.6,16.6,16.22,16.27,10805
CANFINHOME,2009-07-29,16.55,16.8,15.86,16.02,36880
CANFINHOME,2009-07-30,16.33,16.4,16.04,16.27,10885
CANFINHOME,2009-07-31,16.11,16.2,15.83,16.06,2000
CANFINHOME,2009-08-03,16.1,16.59,15.83,16.0,4425
CANFINHOME,2009-08-04,15.72,15.9,15.72,15.75,12715
CANFINHOME,2009-08-05,15.65,16.0,15.65,15.92,15035
CANFINHOME,2009-08-06,15.9,16.38,15.81,16.04,11155
CANFINHOME,2009-08-07,16.02,16.02,15.61,15.72,54155
CANFINHOME,2009-08-10,15.66,15.78,15.62,15.63,7250
CANFINHOME,2009-08-11,15.61,15.88,15.6,15.64,8860
CANFINHOME,2009-08-12,15.6,15.64,15.3,15.6,43660
CANFINHOME,2009-08-13,15.6,15.8,15.6,15.79,10960
CANFINHOME,2009-08-14,15.64,16.15,15.64,15.8,24970
CANFINHOME,2009-08-17,15.8,15.8,15.66,15.7,21450
CANFINHOME,2009-08-18,15.61,15.97,15.61,15.64,12315
CANFINHOME,2009-08-19,15.64,15.94,15.63,15.87,18335
CANFINHOME,2009-08-20,15.63,15.93,15.63,15.8,8050
CANFINHOME,2009-08-21,16.59,16.59,15.84,15.93,23245
CANFINHOME,2009-08-24,15.93,16.31,15.93,16.21,76270
CANFINHOME,2009-08-25,15.93,16.19,15.86,16.02,16265
CANFINHOME,2009-08-26,15.82,16.38,15.81,16.19,84465
CANFINHOME,2009-08-27,16.3,16.3,15.82,15.86,36625
CANFINHOME,2009-08-28,15.64,16.2,15.64,15.73,3345
CANFINHOME,2009-08-31,15.71,15.93,15.59,15.79,14285
CANFINHOME,2009-09-01,15.79,15.9,15.6,15.8,32965
