symbol,date,open,high,low,close,volume
CCL,2008-06-09,17.62,17.88,17.2,17.43,36550
CCL,2008-06-10,16.8,18.0,16.8,17.13,88310
CCL,2008-06-11,17.5,17.7,17.3,17.49,31730
CCL,2008-06-12,16.99,17.5,16.99,17.39,64420
CCL,2008-06-13,17.59,17.78,17.2,17.76,5780
CCL,2008-06-16,17.3,17.9,17.3,17.74,11590
CCL,2008-06-17,17.6,17.9,17.6,17.73,4850
CCL,2008-06-18,18.0,18.14,17.63,17.67,21500
CCL,2008-06-19,17.79,17.9,17.25,17.88,20290
CCL,2008-06-20,17.25,17.79,17.25,17.3,41890
CCL,2008-06-23,17.0,17.29,16.51,16.9,6030
CCL,2008-06-24,16.61,17.0,16.61,16.95,20220
CCL,2008-06-25,16.24,17.1,16.24,17.0,16330
CCL,2008-06-26,16.6,17.0,16.6,16.89,20190
CCL,2008-06-27,16.88,16.88,16.65,16.67,12580
CCL,2008-06-30,16.02,16.35,15.92,16.1,5490
CCL,2008-07-01,15.4,15.74,15.3,15.67,28050
CCL,2008-07-02,15.01,15.8,14.89,14.96,28750
CCL,2008-07-03,14.53,15.29,14.5,14.7,4400
CCL,2008-07-04,15.33,15.34,14.5,14.74,9910
CCL,2008-07-07,15.2,15.48,15.2,15.48,6100
CCL,2008-07-08,15.9,15.9,14.71,15.58,17990
CCL,2008-07-09,15.24,16.25,15.24,15.4,7700
CCL,2008-07-10,15.4,15.99,15.0,15.99,3350
CCL,2008-07-11,15.3,15.8,15.25,15.3,4700
CCL,2008-07-14,14.93,15.0,14.93,14.96,2490
CCL,2008-07-15,14.6,14.9,14.5,14.74,3720
CCL,2008-07-16,14.9,15.29,14.32,15.29,52480
CCL,2008-07-17,15.0,15.9,15.0,15.81,39860
CCL,2008-07-18,15.15,16.61,15.15,16.59,33510
CCL,2008-07-21,16.5,17.1,15.85,16.96,21600
CCL,2008-07-22,16.83,17.0,16.21,17.0,10850
CCL,2008-07-23,16.8,17.7,16.7,17.61,16350
CCL,2008-07-24,17.5,17.9,17.4,17.5,16550
CCL,2008-07-25,16.74,17.29,16.65,16.79,1710
CCL,2008-07-28,16.31,16.88,16.3,16.45,13350
CCL,2008-07-29,16.0,16.5,15.63,15.63,32870
CCL,2008-07-30,15.31,15.5,14.9,14.94,13500
CCL,2008-07-31,14.9,15.5,14.3,15.25,28300
CCL,2008-08-01,15.26,15.5,14.91,15.3,6050
CCL,2008-08-04,15.0,15.6,15.0,15.36,10880
CCL,2008-08-05,15.2,15.5,15.2,15.29,2950
CCL,2008-08-06,15.4,15.69,15.4,15.4,10630
CCL,2008-08-07,15.23,15.45,15.2,15.4,2300
