symbol,date,open,high,low,close,volume
CELESTIAL,2016-01-01,36.75,37.8,36.5,36.9,138805
CELESTIAL,2016-01-04,37.1,37.4,36.05,36.55,135460
CELESTIAL,2016-01-05,36.7,39.25,36.7,38.6,324546
CELESTIAL,2016-01-06,38.65,40.5,37.3,37.9,329341
CELESTIAL,2016-01-07,37.25,37.55,36.05,36.1,192602
CELESTIAL,2016-01-08,36.9,37.7,36.0,36.4,126732
CELESTIAL,2016-01-11,36.1,36.1,33.1,35.1,157522
CELESTIAL,2016-01-12,35.3,36.4,35.2,35.4,80463
CELESTIAL,2016-01-13,37.0,37.0,31.85,32.0,275377
CELESTIAL,2016-01-14,31.1,35.1,29.1,35.1,343580
CELESTIAL,2016-01-15,37.0,38.2,33.0,33.65,455869
CELESTIAL,2016-01-18,32.7,34.4,30.1,30.35,296887
CELESTIAL,2016-01-19,31.0,32.45,30.25,30.7,179117
CELESTIAL,2016-01-20,30.1,30.65,28.0,29.0,95063
CELESTIAL,2016-01-21,29.95,30.5,28.0,28.5,94627
CELESTIAL,2016-01-22,28.5,30.25,28.5,30.15,84551
CELESTIAL,2016-01-25,30.65,32.8,30.35,31.2,125447
CELESTIAL,2016-01-27,31.9,32.75,31.25,31.5,79209
CELESTIAL,2016-01-28,32.0,32.65,31.0,31.5,71386
CELESTIAL,2016-01-29,31.95,32.75,30.3,30.85,38493
CELESTIAL,2016-02-01,31.9,32.5,31.6,32.0,77817
CELESTIAL,2016-02-02,31.8,32.3,30.2,30.7,55752
CELESTIAL,2016-02-03,29.9,29.9,27.6,28.55,66954
CELESTIAL,2016-02-04,29.0,30.0,29.0,29.2,67029
CELESTIAL,2016-02-05,29.0,29.85,29.0,29.5,59135
CELESTIAL,2016-02-08,29.0,29.3,27.5,27.6,70914
CELESTIAL,2016-02-09,27.6,27.6,25.05,27.05,28864
CELESTIAL,2016-02-10,27.5,27.5,23.65,24.7,86800
CELESTIAL,2016-02-11,24.7,24.7,20.05,20.95,117050
CELESTIAL,2016-02-12,20.95,20.95,18.5,19.8,132549
CELESTIAL,2016-02-15,20.8,21.6,20.6,21.6,39579
CELESTIAL,2016-02-16,23.5,23.5,21.5,21.85,130837
CELESTIAL,2016-02-17,21.5,22.9,20.75,22.85,50463
CELESTIAL,2016-02-18,22.95,23.9,22.25,22.65,51722
CELESTIAL,2016-02-19,23.0,23.0,20.6,22.0,28100
CELESTIAL,2016-02-22,23.0,23.0,21.75,22.5,24905
CELESTIAL,2016-02-23,22.5,22.5,21.3,21.6,12514
CELESTIAL,2016-02-24,21.55,21.9,20.5,21.0,14357
CELESTIAL,2016-02-25,21.0,21.7,20.5,20.8,12271
CELESTIAL,2016-02-26,20.6,21.45,20.5,20.65,42428
CELESTIAL,2016-02-29,21.35,21.6,20.1,21.0,44171
CELESTIAL,2016-03-01,21.7,22.7,21.15,22.05,117521
CELESTIAL,2016-03-02,22.15,24.1,22.15,24.1,85023
CELESTIAL,2016-03-03,24.3,25.45,24.0,24.2,40517
CELESTIAL,2016-03-04,24.4,24.9,23.4,24.3,55733
CELESTIAL,2016-03-08,24.4,26.0,24.0,25.75,92911
CELESTIAL,2016-03-09,25.15,29.5,25.15,29.2,102811
CELESTIAL,2016-03-10,29.7,29.7,27.65,28.35,48479
CELESTIAL,2016-03-11,27.1,29.0,26.15,26.55,34112
CELESTIAL,2016-03-14,27.0,27.9,26.85,26.85,26185
CELESTIAL,2016-03-15,27.0,28.9,25.5,27.35,33666
CELESTIAL,2016-03-16,27.7,27.7,25.0,26.0,46712
CELESTIAL,2016-03-17,26.0,28.1,26.0,26.95,59718
CELESTIAL,2016-03-18,26.9,26.9,25.35,25.8,38512
CELESTIAL,2016-03-21,25.5,26.1,25.3,25.7,29984
CELESTIAL,2016-03-22,25.6,25.6,24.0,25.0,44173
CELESTIAL,2016-03-23,25.7,25.7,24.2,24.5,30811
CELESTIAL,2016-03-28,25.0,25.45,22.0,22.6,92091
CELESTIAL,2016-03-29,22.75,25.45,22.1,24.65,78113
CELESTIAL,2016-03-30,25.25,25.5,24.2,24.3,23348
CELESTIAL,2016-03-31,23.55,25.3,23.35,23.35,30436
CELESTIAL,2016-04-01,22.05,24.8,22.05,24.65,15200
CELESTIAL,2016-04-04,24.25,25.2,24.25,24.75,24900
CELESTIAL,2016-04-05,25.0,25.0,23.5,24.5,37991
CELESTIAL,2016-04-06,24.85,24.85,23.1,23.85,23208
CELESTIAL,2016-04-07,23.8,24.3,23.3,23.5,32560
CELESTIAL,2016-04-08,23.65,24.35,23.4,23.7,16987
CELESTIAL,2016-04-11,23.8,24.75,23.1,24.05,42337
CELESTIAL,2016-04-12,24.5,24.5,23.45,24.35,15570
CELESTIAL,2016-04-13,24.0,24.35,24.0,24.3,18418
CELESTIAL,2016-04-18,24.0,24.6,23.25,23.5,27966
CELESTIAL,2016-04-20,23.4,24.5,23.4,23.55,18315
CELESTIAL,2016-04-21,24.15,26.8,23.6,25.15,254849
CELESTIAL,2016-04-22,25.15,25.35,24.3,24.8,33016
CELESTIAL,2016-04-25,25.0,25.8,24.7,24.9,50596
CELESTIAL,2016-04-26,24.75,26.3,24.75,25.55,205694
CELESTIAL,2016-04-27,25.3,26.35,25.3,26.35,22461
CELESTIAL,2016-04-28,26.4,26.5,25.45,25.9,25505
CELESTIAL,2016-04-29,26.0,26.35,25.3,25.5,19393
CELESTIAL,2016-05-02,26.25,26.25,25.25,25.45,19130
CELESTIAL,2016-05-03,25.95,25.95,23.2,24.95,62302
CELESTIAL,2016-05-04,24.5,25.2,23.8,24.0,29753
CELESTIAL,2016-05-05,23.8,24.5,23.45,23.75,11995
CELESTIAL,2016-05-06,24.0,24.2,23.25,23.65,15759
CELESTIAL,2016-05-09,23.55,25.25,23.55,24.75,15358
CELESTIAL,2016-05-10,25.15,25.15,23.7,23.95,11984
CELESTIAL,2016-05-11,23.3,24.35,23.25,23.65,36705
CELESTIAL,2016-05-12,24.8,24.8,23.1,23.15,26526
CELESTIAL,2016-05-13,24.0,24.0,23.25,23.25,25667
CELESTIAL,2016-05-16,23.5,24.35,23.0,23.95,50594
CELESTIAL,2016-05-17,24.3,24.7,23.6,24.15,45944
CELESTIAL,2016-05-18,23.6,23.6,23.0,23.5,22942
CELESTIAL,2016-05-19,22.85,23.6,22.75,22.75,32137
CELESTIAL,2016-05-20,22.8,23.3,22.0,22.1,34673
CELESTIAL,2016-05-23,21.4,22.95,20.65,21.0,29146
CELESTIAL,2016-05-24,20.65,21.35,20.65,20.8,22103
CELESTIAL,2016-05-25,21.5,22.2,21.35,21.55,28228
CELESTIAL,2016-05-26,21.75,23.75,21.3,23.0,42649
CELESTIAL,2016-05-27,22.0,24.2,22.0,23.7,74418
CELESTIAL,2016-05-30,22.2,23.85,22.2,23.0,29108
CELESTIAL,2016-05-31,21.8,23.6,21.8,23.1,41103
CELESTIAL,2016-06-01,23.1,23.6,22.75,23.0,12278
CELESTIAL,2016-06-02,22.15,23.9,22.15,22.7,8260
CELESTIAL,2016-06-03,22.5,22.9,22.15,22.4,16778
CELESTIAL,2016-06-06,22.9,22.9,21.5,22.0,20155
CELESTIAL,2016-06-07,22.0,22.25,21.75,22.2,13875
CELESTIAL,2016-06-08,22.25,22.45,21.65,21.85,41932
CELESTIAL,2016-06-09,21.75,22.3,21.5,22.0,10067
CELESTIAL,2016-06-10,22.8,22.8,21.15,21.2,58510
CELESTIAL,2016-06-13,22.25,22.25,20.8,21.5,12653
CELESTIAL,2016-06-14,21.4,22.4,21.0,21.2,26747
CELESTIAL,2016-06-15,21.8,22.0,21.2,21.45,19551
CELESTIAL,2016-06-16,21.1,23.75,20.85,22.6,174321
CELESTIAL,2016-06-17,23.7,23.7,21.9,22.0,31518
CELESTIAL,2016-06-20,21.9,22.5,21.1,21.55,33585
CELESTIAL,2016-06-21,21.7,22.15,21.5,21.75,23159
CELESTIAL,2016-06-22,21.25,22.65,21.25,22.05,16343
CELESTIAL,2016-06-23,22.15,22.9,21.7,22.2,25914
CELESTIAL,2016-06-24,20.5,22.5,20.5,22.5,61040
CELESTIAL,2016-06-27,22.0,22.9,21.5,22.3,15189
CELESTIAL,2016-06-28,22.0,23.0,22.0,22.25,14079
CELESTIAL,2016-06-29,22.9,23.0,22.2,23.0,40238
CELESTIAL,2016-06-30,23.2,27.45,22.7,26.55,539336
CELESTIAL,2016-07-01,26.9,27.5,25.0,25.15,120634
CELESTIAL,2016-07-04,25.0,26.25,24.9,25.05,58512
CELESTIAL,2016-07-05,24.6,25.8,24.6,25.2,28598
CELESTIAL,2016-07-07,25.35,30.4,24.05,28.75,976707
CELESTIAL,2016-07-08,28.75,29.35,27.4,28.15,99179
CELESTIAL,2016-07-11,28.05,29.45,28.05,28.8,76481
CELESTIAL,2016-07-12,28.8,29.3,27.7,27.8,27073
CELESTIAL,2016-07-13,27.95,29.25,27.55,28.25,86296
CELESTIAL,2016-07-14,28.8,28.8,27.55,27.6,16325
CELESTIAL,2016-07-15,28.4,28.4,27.1,27.5,37228
CELESTIAL,2016-07-18,27.5,28.5,26.2,26.5,18508
CELESTIAL,2016-07-19,26.75,27.5,26.2,26.9,18657
CELESTIAL,2016-07-20,26.15,27.0,26.15,26.25,17257
CELESTIAL,2016-07-21,26.4,26.4,25.0,25.0,29971
CELESTIAL,2016-07-22,25.5,25.5,24.6,25.45,35575
CELESTIAL,2016-07-25,25.7,26.4,25.3,25.95,31092
CELESTIAL,2016-07-26,26.65,26.65,25.5,25.6,34374
CELESTIAL,2016-07-27,27.0,27.0,25.2,25.25,51817
CELESTIAL,2016-07-28,25.95,26.7,25.4,26.1,34894
CELESTIAL,2016-07-29,25.6,26.25,25.0,25.1,21571
CELESTIAL,2016-08-01,25.5,25.5,24.1,24.5,26699
CELESTIAL,2016-08-02,24.5,24.9,23.6,24.0,17766
CELESTIAL,2016-08-03,24.5,24.5,23.2,23.4,26087
CELESTIAL,2016-08-04,24.95,24.95,23.2,23.25,12183
CELESTIAL,2016-08-05,24.4,25.9,23.5,24.75,34381
CELESTIAL,2016-08-08,25.0,25.8,24.6,24.95,23881
CELESTIAL,2016-08-09,25.55,25.55,23.4,24.15,25875
CELESTIAL,2016-08-10,24.9,25.25,23.3,24.15,56940
CELESTIAL,2016-08-11,23.75,24.7,23.75,23.75,9663
CELESTIAL,2016-08-12,24.6,25.9,23.75,24.7,34416
CELESTIAL,2016-08-16,25.45,25.6,24.2,24.3,8903
CELESTIAL,2016-08-17,23.8,25.4,23.8,24.35,12548
