symbol,date,open,high,low,close,volume
CHAVDA,2023-10-10,89.0,91.9,85.5,87.65,512002
CHAVDA,2023-10-11,89.5,94.5,87.3,90.5,456001
CHAVDA,2023-10-12,92.0,93.6,90.65,91.0,126001
CHAVDA,2023-10-13,90.65,92.45,90.0,90.0,140001
CHAVDA,2023-10-16,91.9,91.9,86.05,87.6,122002
CHAVDA,2023-10-17,87.5,90.65,87.0,90.65,158002
CHAVDA,2023-10-18,92.0,92.0,87.05,87.05,72001
CHAVDA,2023-10-19,87.0,87.0,83.0,86.85,72001
CHAVDA,2023-10-20,86.8,86.85,84.1,85.0,70001
CHAVDA,2023-10-23,86.0,97.0,86.0,87.05,862001
CHAVDA,2023-10-25,92.0,92.55,87.3,88.0,222001
CHAVDA,2023-10-26,88.0,88.9,81.05,88.0,122001
CHAVDA,2023-10-27,89.65,91.2,88.05,88.05,240001
CHAVDA,2023-10-30,90.65,96.25,88.05,92.0,670001
CHAVDA,2023-10-31,92.95,93.9,90.25,90.95,112001
CHAVDA,2023-11-01,88.35,91.9,88.35,88.75,114001
CHAVDA,2023-11-02,90.25,91.7,89.45,90.05,96001
CHAVDA,2023-11-03,91.75,94.8,91.0,94.5,268002
CHAVDA,2023-11-06,96.3,100.0,95.25,96.0,488002
CHAVDA,2023-11-07,97.3,100.25,97.3,98.55,514001
CHAVDA,2023-11-08,101.95,107.35,99.0,107.0,860002
CHAVDA,2023-11-09,108.0,109.8,103.25,104.0,234001
CHAVDA,2023-11-10,103.55,104.25,96.5,97.6,248001
CHAVDA,2023-11-12,102.0,102.0,98.25,100.0,44000
CHAVDA,2023-11-13,99.9,101.0,97.6,97.6,74002
CHAVDA,2023-11-15,98.15,106.4,98.1,102.0,280001
CHAVDA,2023-11-16,102.0,104.5,100.9,102.5,116001
CHAVDA,2023-11-17,103.5,103.7,99.0,100.0,88001
CHAVDA,2023-11-20,100.2,101.4,99.75,101.25,62001
CHAVDA,2023-11-21,100.25,102.35,98.8,101.4,96001
CHAVDA,2023-11-22,101.9,102.9,97.3,97.3,120001
CHAVDA,2023-11-23,99.7,100.5,98.0,99.95,58001
CHAVDA,2023-11-24,99.5,102.0,99.5,100.0,90001
CHAVDA,2023-11-28,101.0,101.0,97.0,97.0,84001
CHAVDA,2023-11-29,99.2,99.2,92.05,93.45,106001
CHAVDA,2023-11-30,93.45,93.95,85.75,91.0,222001
CHAVDA,2023-12-01,92.45,92.75,85.5,87.0,304002
CHAVDA,2023-12-04,88.5,88.5,84.55,86.5,126001
CHAVDA,2023-12-05,88.2,88.45,86.0,86.3,100001
CHAVDA,2023-12-06,87.45,89.45,86.0,89.45,86001
CHAVDA,2023-12-07,87.65,88.65,85.5,86.85,116001
CHAVDA,2023-12-08,87.0,88.9,87.0,87.5,64001
CHAVDA,2023-12-11,88.0,88.7,87.4,88.4,40001
CHAVDA,2023-12-12,87.95,88.95,87.95,88.95,46001
CHAVDA,2023-12-13,88.2,89.2,88.1,89.2,22001
CHAVDA,2023-12-14,90.25,90.35,89.1,90.35,30001
CHAVDA,2023-12-15,90.5,90.5,89.05,89.05,48001
CHAVDA,2023-12-18,89.05,89.15,80.0,84.1,180001
CHAVDA,2023-12-19,85.95,88.25,85.0,85.35,198001
CHAVDA,2023-12-20,87.8,87.8,81.6,81.6,114001
CHAVDA,2023-12-21,83.9,84.45,80.0,82.35,92001
CHAVDA,2023-12-22,82.4,83.0,80.0,80.0,126001
CHAVDA,2023-12-26,82.2,87.5,77.0,87.0,322001
CHAVDA,2023-12-27,89.0,94.1,88.2,90.5,436001
CHAVDA,2023-12-28,90.45,92.95,86.0,90.0,196002
CHAVDA,2023-12-29,90.45,92.5,86.5,88.65,202001
CHAVDA,2024-01-01,89.0,90.6,88.0,88.8,62001
CHAVDA,2024-01-02,87.55,89.9,87.35,87.35,72001
CHAVDA,2024-01-03,88.4,88.4,86.4,87.0,94001
CHAVDA,2024-01-04,89.0,90.0,88.0,89.4,72001
CHAVDA,2024-01-05,89.25,90.95,88.5,90.1,110001
CHAVDA,2024-01-08,90.95,92.9,89.0,89.0,90001
CHAVDA,2024-01-09,91.9,103.0,87.0,98.5,698001
CHAVDA,2024-01-10,100.1,116.4,98.3,113.35,2184001
CHAVDA,2024-01-11,115.8,119.85,109.0,112.0,812002
CHAVDA,2024-01-12,112.4,114.85,108.1,113.75,540001
CHAVDA,2024-01-15,116.55,121.8,114.05,115.45,732002
CHAVDA,2024-01-16,119.5,119.5,105.1,108.6,374001
CHAVDA,2024-01-17,107.35,107.8,104.0,107.65,152001
CHAVDA,2024-01-18,108.0,112.5,108.0,109.4,184001
CHAVDA,2024-01-19,111.0,114.4,110.3,111.95,270001
CHAVDA,2024-01-20,113.95,114.8,111.2,113.1,174001
CHAVDA,2024-01-23,113.5,113.5,104.3,105.1,180000
CHAVDA,2024-01-24,104.0,108.35,104.0,107.3,102001
CHAVDA,2024-01-25,107.9,109.1,107.2,108.35,72001
CHAVDA,2024-01-29,110.0,112.95,107.05,111.5,132001
CHAVDA,2024-01-30,111.5,112.5,108.0,109.5,74001
CHAVDA,2024-01-31,108.5,109.0,106.0,107.3,82001
CHAVDA,2024-02-01,107.5,109.5,107.25,107.25,56001
CHAVDA,2024-02-02,108.9,121.95,107.55,116.0,418002
CHAVDA,2024-02-05,118.7,118.7,111.55,112.8,170001
CHAVDA,2024-02-06,112.2,114.0,112.2,113.2,38001
CHAVDA,2024-02-07,113.75,114.65,111.15,111.15,58001
CHAVDA,2024-02-08,112.05,112.25,108.1,108.1,78002
CHAVDA,2024-02-09,108.55,108.95,105.0,108.95,104001
CHAVDA,2024-02-12,115.35,117.9,107.4,107.4,406001
CHAVDA,2024-02-13,110.1,112.0,108.6,110.1,60001
CHAVDA,2024-02-14,109.0,113.4,106.0,108.9,154001
CHAVDA,2024-02-15,111.7,112.0,109.2,110.15,70001
CHAVDA,2024-02-16,110.95,129.9,109.1,129.8,1298001
CHAVDA,2024-02-19,130.95,140.0,126.2,130.0,476001
CHAVDA,2024-02-20,130.95,130.95,125.3,125.95,114001
CHAVDA,2024-02-21,126.9,127.9,120.4,120.4,136002
CHAVDA,2024-02-22,124.95,124.95,120.0,122.9,140001
CHAVDA,2024-02-23,123.6,135.55,122.05,133.0,364001
CHAVDA,2024-02-26,135.05,138.5,129.0,130.85,134001
CHAVDA,2024-02-27,131.0,132.0,125.15,127.95,620001
CHAVDA,2024-02-28,128.0,128.75,122.5,124.0,156001
CHAVDA,2024-02-29,125.4,125.9,119.55,125.8,126001
CHAVDA,2024-03-01,125.25,126.5,122.1,122.65,92001
CHAVDA,2024-03-04,124.0,125.9,120.1,120.1,58001
CHAVDA,2024-03-05,120.0,120.0,97.2,110.6,380001
CHAVDA,2024-03-06,109.0,109.0,100.0,102.05,356001
CHAVDA,2024-03-07,105.9,111.0,105.0,107.95,92001
CHAVDA,2024-03-11,104.0,106.5,95.0,99.4,258001
CHAVDA,2024-03-12,100.0,102.0,93.0,95.0,150001
CHAVDA,2024-03-13,95.2,100.5,90.2,90.5,166001
CHAVDA,2024-03-14,96.7,100.95,92.5,100.0,136001
CHAVDA,2024-03-15,94.0,99.0,91.25,95.6,128001
CHAVDA,2024-03-18,95.5,106.5,95.5,104.7,152001
CHAVDA,2024-03-19,102.05,104.9,101.3,103.0,42001
CHAVDA,2024-03-20,102.0,104.9,101.0,102.1,52001
CHAVDA,2024-03-21,104.0,104.9,102.3,103.9,40001
CHAVDA,2024-03-22,102.05,106.0,100.05,104.0,96001
CHAVDA,2024-03-26,102.0,103.0,100.35,101.5,54001
CHAVDA,2024-03-27,101.05,101.95,99.5,101.8,78001
CHAVDA,2024-03-28,103.0,103.0,101.0,101.0,44001
CHAVDA,2024-04-01,102.3,108.0,102.0,102.0,86001
CHAVDA,2024-04-02,103.5,104.9,101.0,104.6,150002
CHAVDA,2024-04-03,105.95,106.8,102.6,103.4,104001
CHAVDA,2024-04-04,105.0,106.9,102.1,104.5,62001
CHAVDA,2024-04-05,104.55,106.9,103.25,106.7,64001
CHAVDA,2024-04-08,108.95,116.0,108.95,111.5,138002
CHAVDA,2024-04-09,111.05,115.95,111.05,114.0,112001
CHAVDA,2024-04-10,111.1,126.5,111.1,123.4,456001
CHAVDA,2024-04-12,123.0,123.7,119.15,120.0,102001
CHAVDA,2024-04-15,115.0,124.1,112.0,121.6,288001
CHAVDA,2024-04-16,120.0,145.9,120.0,145.9,1080001
CHAVDA,2024-04-18,151.25,154.0,136.0,139.6,688002
CHAVDA,2024-04-19,135.1,146.2,131.0,142.5,326001
CHAVDA,2024-04-22,142.55,158.75,142.55,152.65,478001
CHAVDA,2024-04-23,157.5,160.95,149.05,149.45,314001
