symbol,date,open,high,low,close,volume
CHROMATIC,2016-01-01,3.65,3.7,3.35,3.7,657954
CHROMATIC,2016-01-04,4.05,4.05,3.95,4.05,536800
CHROMATIC,2016-01-05,4.45,4.45,4.25,4.45,863626
CHROMATIC,2016-01-06,4.8,4.85,4.05,4.15,1493330
CHROMATIC,2016-01-07,4.1,4.1,3.75,3.9,798312
CHROMATIC,2016-01-08,3.9,4.15,3.6,3.85,701724
CHROMATIC,2016-01-11,3.7,3.75,3.4,3.75,947540
CHROMATIC,2016-01-12,3.7,3.75,3.35,3.4,685117
CHROMATIC,2016-01-13,3.5,3.5,3.3,3.3,439908
CHROMATIC,2016-01-14,3.15,3.25,3.15,3.2,204098
CHROMATIC,2016-01-15,3.05,3.2,3.0,3.0,544041
CHROMATIC,2016-01-18,2.95,2.95,2.85,2.85,455098
CHROMATIC,2016-01-19,2.9,2.95,2.8,2.95,188204
CHROMATIC,2016-01-20,3.0,3.05,2.9,2.95,354285
CHROMATIC,2016-01-21,3.05,3.05,2.85,2.95,265436
CHROMATIC,2016-01-22,2.95,3.05,2.9,2.95,213471
CHROMATIC,2016-01-25,3.1,3.1,2.95,3.0,180480
CHROMATIC,2016-01-27,2.95,3.1,2.95,3.1,56451
CHROMATIC,2016-01-28,3.05,3.1,2.95,3.05,85500
CHROMATIC,2016-01-29,3.1,3.15,3.0,3.15,145636
CHROMATIC,2016-02-01,3.1,3.15,3.05,3.05,61013
CHROMATIC,2016-02-02,3.05,3.15,3.05,3.05,64332
CHROMATIC,2016-02-03,3.0,3.05,2.95,3.0,103916
CHROMATIC,2016-02-04,2.95,3.05,2.9,2.9,112845
CHROMATIC,2016-02-05,3.0,3.05,2.95,3.0,69311
CHROMATIC,2016-02-08,3.0,3.1,2.95,3.1,79601
CHROMATIC,2016-02-09,3.0,3.05,2.9,3.05,102938
CHROMATIC,2016-02-10,2.9,3.05,2.9,3.05,106150
CHROMATIC,2016-02-11,2.95,3.1,2.9,2.95,230292
CHROMATIC,2016-02-12,2.95,2.95,2.75,2.95,165009
CHROMATIC,2016-02-15,2.8,2.95,2.8,2.9,145115
CHROMATIC,2016-02-16,2.85,2.85,2.75,2.75,47283
CHROMATIC,2016-02-17,2.8,2.8,2.7,2.75,61454
CHROMATIC,2016-02-18,2.9,2.9,2.7,2.8,79703
CHROMATIC,2016-02-19,2.8,2.85,2.7,2.85,109245
CHROMATIC,2016-02-22,2.95,3.1,2.95,3.1,104420
CHROMATIC,2016-02-23,3.2,3.35,3.1,3.15,248689
CHROMATIC,2016-02-24,3.0,3.25,3.0,3.15,144835
CHROMATIC,2016-02-25,3.1,3.1,2.95,3.1,64702
CHROMATIC,2016-02-26,3.0,3.05,2.95,3.0,79078
CHROMATIC,2016-02-29,3.1,3.1,2.9,3.0,54549
CHROMATIC,2016-03-01,2.9,3.15,2.9,3.05,124359
CHROMATIC,2016-03-02,3.0,3.2,3.0,3.0,98643
CHROMATIC,2016-03-03,3.05,3.2,3.0,3.05,62417
CHROMATIC,2016-03-04,3.25,3.7,3.05,3.7,609205
CHROMATIC,2016-03-08,3.85,4.3,3.65,3.7,943670
CHROMATIC,2016-03-09,3.75,4.0,3.3,3.8,490058
CHROMATIC,2016-03-10,3.9,3.9,3.55,3.7,219562
CHROMATIC,2016-03-11,3.7,3.8,3.6,3.65,202363
CHROMATIC,2016-03-14,3.65,3.8,3.65,3.65,142120
CHROMATIC,2016-03-15,3.95,3.95,3.5,3.85,196378
CHROMATIC,2016-03-16,3.95,3.95,3.65,3.7,185424
CHROMATIC,2016-03-17,3.8,4.2,3.75,3.95,867282
CHROMATIC,2016-03-18,4.0,4.7,3.95,4.7,1676508
CHROMATIC,2016-03-21,4.75,4.75,4.1,4.35,937772
CHROMATIC,2016-03-22,4.35,4.9,4.25,4.7,653508
CHROMATIC,2016-03-23,4.8,4.8,4.45,4.5,293260
CHROMATIC,2016-03-28,4.55,4.75,4.15,4.35,394821
CHROMATIC,2016-03-29,4.25,4.45,4.15,4.35,164653
CHROMATIC,2016-03-30,4.3,4.45,4.2,4.35,83558
CHROMATIC,2016-03-31,4.0,4.7,4.0,4.35,136365
CHROMATIC,2016-04-01,4.05,4.4,4.0,4.2,266587
CHROMATIC,2016-04-04,4.25,4.85,4.1,4.75,808556
CHROMATIC,2016-04-05,4.9,5.6,4.8,5.6,4025600
CHROMATIC,2016-04-06,5.9,6.15,5.45,5.6,6729373
CHROMATIC,2016-04-07,5.9,5.95,4.6,4.6,4902360
CHROMATIC,2016-04-08,4.55,5.4,4.35,5.25,3525145
CHROMATIC,2016-04-11,5.3,5.45,4.55,4.65,5697662
CHROMATIC,2016-04-12,4.8,4.85,3.9,4.1,5180553
CHROMATIC,2016-04-13,4.2,4.65,4.05,4.4,2009135
CHROMATIC,2016-04-18,4.3,4.45,3.65,3.7,7220406
CHROMATIC,2016-04-20,3.75,4.4,3.65,4.4,10133854
CHROMATIC,2016-04-21,4.6,4.6,4.25,4.4,2728608
CHROMATIC,2016-04-22,4.25,4.5,3.95,3.95,3992862
CHROMATIC,2016-04-25,4.05,4.2,3.75,3.85,3836814
CHROMATIC,2016-04-26,3.8,4.0,3.45,3.65,8265553
CHROMATIC,2016-04-27,3.65,3.9,3.65,3.85,1773544
CHROMATIC,2016-04-28,3.9,4.0,3.75,3.85,1158610
CHROMATIC,2016-04-29,3.85,4.0,3.65,3.75,3618809
CHROMATIC,2016-05-02,3.75,3.85,3.4,3.45,5183454
CHROMATIC,2016-05-03,3.5,3.55,3.15,3.15,6093797
CHROMATIC,2016-05-04,3.2,3.4,3.1,3.15,2505803
CHROMATIC,2016-05-05,3.15,3.25,3.1,3.25,690163
CHROMATIC,2016-05-06,3.25,3.35,3.0,3.3,712736
CHROMATIC,2016-05-09,3.3,3.4,3.3,3.4,494152
CHROMATIC,2016-05-10,3.3,3.4,3.25,3.3,505646
CHROMATIC,2016-05-11,3.25,3.3,3.15,3.25,479853
CHROMATIC,2016-05-12,3.25,3.35,3.2,3.3,478754
CHROMATIC,2016-05-13,3.3,3.35,3.2,3.2,504228
CHROMATIC,2016-05-16,3.2,3.3,3.2,3.25,488754
CHROMATIC,2016-05-17,3.3,3.35,3.25,3.35,279265
CHROMATIC,2016-05-18,3.25,3.35,3.15,3.2,448308
CHROMATIC,2016-05-19,3.25,3.35,3.15,3.3,433218
CHROMATIC,2016-05-20,3.25,3.25,3.15,3.25,380855
CHROMATIC,2016-05-23,3.2,3.3,3.2,3.25,133340
CHROMATIC,2016-05-24,3.25,3.3,3.2,3.2,180004
CHROMATIC,2016-05-25,3.3,3.3,3.15,3.3,223566
CHROMATIC,2016-05-26,3.3,3.3,3.2,3.25,182095
CHROMATIC,2016-05-27,3.2,3.3,3.2,3.2,291244
CHROMATIC,2016-05-30,3.3,3.3,3.0,3.1,707267
CHROMATIC,2016-05-31,3.05,3.15,2.9,3.05,437475
CHROMATIC,2016-06-01,3.05,3.05,2.95,2.95,185219
CHROMATIC,2016-06-02,2.95,3.0,2.85,2.95,422570
CHROMATIC,2016-06-03,2.95,3.0,2.9,3.0,259573
CHROMATIC,2016-06-06,3.0,3.1,2.95,3.1,364665
CHROMATIC,2016-06-07,3.1,3.1,2.95,3.0,446337
CHROMATIC,2016-06-08,3.0,3.1,3.0,3.05,145881
CHROMATIC,2016-06-09,3.05,3.1,3.0,3.0,150730
CHROMATIC,2016-06-10,3.0,3.05,2.95,3.05,363023
CHROMATIC,2016-06-13,3.0,3.4,2.95,3.25,572699
CHROMATIC,2016-06-14,3.3,3.8,3.3,3.8,1291366
CHROMATIC,2016-06-15,4.2,4.55,4.1,4.55,4011056
CHROMATIC,2016-06-16,4.8,4.9,4.1,4.25,3218473
CHROMATIC,2016-06-17,4.3,4.55,4.05,4.1,1291716
