symbol,date,open,high,low,close,volume
CLEDUCATE,2017-03-31,100.5,105.53,100.5,105.53,553048
CLEDUCATE,2017-04-03,108.5,108.5,100.75,101.9,500848
CLEDUCATE,2017-04-05,100.25,101.75,96.82,96.82,405048
CLEDUCATE,2017-04-06,92.0,92.5,91.97,91.97,272116
CLEDUCATE,2017-04-07,87.39,96.57,87.39,96.57,494612
CLEDUCATE,2017-04-10,97.5,101.39,93.0,101.39,283364
CLEDUCATE,2017-04-11,102.75,106.22,100.0,105.11,214848
CLEDUCATE,2017-04-12,103.66,106.75,100.97,106.0,206800
CLEDUCATE,2017-04-13,106.25,106.86,105.75,106.36,86520
CLEDUCATE,2017-04-17,107.5,107.5,106.25,106.43,50504
CLEDUCATE,2017-04-18,104.53,118.74,104.53,108.13,568048
CLEDUCATE,2017-04-19,108.24,112.63,108.24,109.99,217700
CLEDUCATE,2017-04-20,110.25,113.25,110.0,110.41,97992
CLEDUCATE,2017-04-21,111.21,111.74,107.75,108.69,84496
CLEDUCATE,2017-04-24,110.97,110.97,107.11,109.53,97776
CLEDUCATE,2017-04-25,108.0,112.49,108.0,109.19,105236
CLEDUCATE,2017-04-26,107.89,110.72,107.89,109.3,86396
CLEDUCATE,2017-04-27,107.88,111.25,107.88,109.5,68268
CLEDUCATE,2017-04-28,108.13,117.25,108.13,114.22,201436
CLEDUCATE,2017-05-02,117.25,117.25,111.51,112.95,79224
CLEDUCATE,2017-05-03,113.32,113.61,110.39,110.54,34892
CLEDUCATE,2017-05-04,111.99,112.0,110.15,110.41,50428
CLEDUCATE,2017-05-05,110.79,111.5,109.75,110.82,51412
CLEDUCATE,2017-05-08,112.0,112.0,108.75,110.4,50108
CLEDUCATE,2017-05-09,110.5,110.86,109.75,110.03,46920
CLEDUCATE,2017-05-10,110.51,116.29,109.25,115.22,171168
CLEDUCATE,2017-05-11,114.5,117.5,113.25,117.15,176448
CLEDUCATE,2017-05-12,116.26,116.85,111.76,112.22,28236
CLEDUCATE,2017-05-15,114.75,114.75,110.5,110.61,19296
CLEDUCATE,2017-05-16,110.72,112.09,109.88,110.04,19488
CLEDUCATE,2017-05-17,110.22,111.2,109.97,110.03,16692
CLEDUCATE,2017-05-18,108.75,109.75,108.75,109.51,20188
CLEDUCATE,2017-05-19,109.97,109.97,104.5,105.26,36568
CLEDUCATE,2017-05-22,105.51,107.13,104.54,106.32,17536
CLEDUCATE,2017-05-23,105.04,105.79,102.5,105.19,20284
CLEDUCATE,2017-05-24,107.5,107.5,103.82,105.07,52020
CLEDUCATE,2017-05-25,105.01,107.24,104.5,106.36,22544
CLEDUCATE,2017-05-26,106.28,107.09,106.07,106.25,16108
CLEDUCATE,2017-05-29,103.89,107.5,103.89,106.36,21812
