symbol,date,open,high,low,close,volume
CLSL,2023-09-13,46.8,46.8,43.0,45.2,106001
CLSL,2023-09-14,44.0,46.2,44.0,44.9,84001
CLSL,2023-09-15,44.35,48.0,44.35,45.25,114001
CLSL,2023-09-18,45.5,46.7,45.4,45.75,54002
CLSL,2023-09-20,46.0,46.4,44.9,44.9,44001
CLSL,2023-09-21,45.0,45.65,44.1,44.75,80001
CLSL,2023-09-25,42.6,43.6,42.0,43.6,52001
CLSL,2023-09-26,42.85,42.9,41.1,41.7,56001
CLSL,2023-09-27,40.4,45.0,40.4,42.0,172001
CLSL,2023-09-28,43.0,43.0,41.3,41.6,96001
CLSL,2023-09-29,41.7,41.7,41.7,41.7,2001
CLSL,2023-10-03,41.7,41.7,41.0,41.0,26001
CLSL,2023-10-04,44.45,44.45,41.0,41.0,20001
CLSL,2023-10-05,41.5,42.0,41.25,41.8,20001
CLSL,2023-10-06,42.0,42.0,41.05,41.05,18001
CLSL,2023-10-09,40.4,41.0,36.55,39.0,46001
CLSL,2023-10-10,39.05,40.0,37.7,40.0,84001
CLSL,2023-10-11,38.65,41.9,38.65,41.5,56001
CLSL,2023-10-12,42.1,43.75,42.1,43.75,38001
CLSL,2023-10-13,43.3,43.4,42.35,43.0,24001
CLSL,2023-10-16,41.7,41.75,41.05,41.3,26001
CLSL,2023-10-17,41.3,42.2,41.05,41.1,36001
CLSL,2023-10-18,41.25,42.0,41.25,42.0,10001
CLSL,2023-10-19,41.0,41.5,40.0,41.5,22001
CLSL,2023-10-20,41.1,42.45,41.0,41.1,18001
CLSL,2023-10-23,41.0,41.0,40.2,40.2,20001
CLSL,2023-10-25,41.0,41.0,39.25,39.25,14001
CLSL,2023-10-26,37.25,39.05,37.2,37.95,80001
CLSL,2023-10-27,39.05,40.75,39.05,40.75,14001
CLSL,2023-10-30,42.5,42.5,40.6,42.05,32001
CLSL,2023-10-31,40.2,41.7,40.0,41.7,16001
CLSL,2023-11-01,42.0,42.0,40.1,40.2,12001
CLSL,2023-11-02,39.05,40.8,39.05,40.0,16001
CLSL,2023-11-03,40.6,40.6,40.6,40.6,6001
CLSL,2023-11-06,40.6,40.6,38.8,38.85,20001
CLSL,2023-11-07,39.65,40.0,39.45,39.5,22001
CLSL,2023-11-08,39.1,40.95,39.1,40.0,16001
CLSL,2023-11-09,39.15,40.0,39.15,39.75,16001
CLSL,2023-11-10,38.35,38.7,38.35,38.55,8001
CLSL,2023-11-12,46.25,46.25,41.1,41.8,52000
CLSL,2023-11-13,41.75,42.95,41.0,41.0,90002
CLSL,2023-11-15,41.15,42.2,40.95,41.0,82001
CLSL,2023-11-16,40.2,41.15,39.5,41.15,30001
CLSL,2023-11-17,41.15,41.85,39.95,39.95,36001
CLSL,2023-11-20,40.5,41.2,39.05,39.5,34001
CLSL,2023-11-21,39.9,40.55,39.9,40.55,34001
CLSL,2023-11-22,41.9,41.9,39.7,40.55,24001
CLSL,2023-11-23,40.55,42.5,40.55,42.5,52001
CLSL,2023-11-24,43.9,43.9,42.1,42.1,62001
CLSL,2023-11-28,42.45,43.5,41.2,42.0,52001
CLSL,2023-11-29,42.55,42.55,41.2,41.2,20001
CLSL,2023-11-30,41.2,42.25,38.8,40.0,126001
CLSL,2023-12-01,39.7,41.45,39.7,40.7,42001
CLSL,2023-12-04,41.95,41.95,40.1,40.1,24001
CLSL,2023-12-05,40.1,40.75,39.65,39.85,22001
CLSL,2023-12-06,41.55,41.55,40.2,41.0,28001
CLSL,2023-12-07,40.1,40.75,40.0,40.75,14001
CLSL,2023-12-08,41.15,41.15,39.85,39.95,20001
CLSL,2023-12-11,39.65,41.25,39.25,40.25,54001
CLSL,2023-12-12,40.95,40.95,39.8,39.8,36001
CLSL,2023-12-13,40.65,40.65,39.8,39.8,42001
CLSL,2023-12-14,40.4,40.4,39.15,39.2,52001
CLSL,2023-12-15,38.75,40.4,38.65,39.4,34001
CLSL,2023-12-18,40.5,40.5,39.45,39.85,32001
CLSL,2023-12-19,39.85,42.5,39.35,42.0,116001
CLSL,2023-12-20,43.0,43.9,41.5,41.5,108001
CLSL,2023-12-21,41.0,41.0,40.3,40.95,16001
CLSL,2023-12-22,41.0,42.5,41.0,42.4,36001
CLSL,2023-12-26,42.4,48.0,42.4,47.05,354001
CLSL,2023-12-27,48.9,51.95,47.1,49.5,326001
