symbol,date,open,high,low,close,volume
COMPINFO,2016-07-07,29.2,29.9,29.0,29.44,6220
COMPINFO,2016-07-08,29.0,29.89,29.0,29.7,2790
COMPINFO,2016-07-11,26.45,29.99,26.44,29.29,10895
COMPINFO,2016-07-12,29.2,29.7,26.74,29.4,12955
COMPINFO,2016-07-13,29.1,31.14,29.1,30.6,33440
COMPINFO,2016-07-14,30.5,30.8,28.0,30.0,13525
COMPINFO,2016-07-15,30.0,30.2,29.6,30.18,16120
COMPINFO,2016-07-18,30.0,30.0,27.47,28.96,29235
COMPINFO,2016-07-19,29.1,29.4,28.0,28.6,28780
COMPINFO,2016-07-20,28.6,29.2,28.6,29.2,39855
COMPINFO,2016-07-21,29.2,29.44,28.6,28.6,40285
COMPINFO,2016-07-22,29.0,33.58,28.8,31.46,69830
COMPINFO,2016-07-25,32.0,33.2,30.3,32.0,65185
COMPINFO,2016-07-26,32.4,33.95,29.2,29.79,68365
COMPINFO,2016-07-27,30.2,34.88,30.2,33.66,151710
COMPINFO,2016-07-28,34.6,35.6,33.62,34.92,64995
COMPINFO,2016-07-29,35.0,35.4,31.3,34.45,62095
COMPINFO,2016-08-01,34.4,35.42,32.08,33.85,57325
COMPINFO,2016-08-02,33.6,34.0,31.88,33.06,56605
COMPINFO,2016-08-03,32.9,33.0,31.24,31.82,53825
COMPINFO,2016-08-04,32.1,33.78,31.21,32.95,56750
COMPINFO,2016-08-05,32.8,35.34,31.4,34.15,58270
COMPINFO,2016-08-08,34.6,34.7,32.01,32.8,61420
COMPINFO,2016-08-09,32.9,33.84,31.8,32.66,53400
COMPINFO,2016-08-10,32.8,32.9,31.4,32.78,51640
COMPINFO,2016-08-11,32.8,33.6,30.82,32.14,51540
COMPINFO,2016-08-12,32.2,32.8,31.6,32.2,50475
COMPINFO,2016-08-16,32.4,34.6,31.8,33.41,55575
COMPINFO,2016-08-17,33.6,34.5,32.42,33.67,63835
COMPINFO,2016-08-18,33.7,40.4,32.4,37.71,64985
COMPINFO,2016-08-19,37.84,38.66,36.29,38.54,59815
COMPINFO,2016-08-22,38.4,38.6,35.42,37.99,54090
COMPINFO,2016-08-23,38.0,38.0,35.45,36.8,50990
COMPINFO,2016-08-24,36.8,37.98,36.71,37.15,50910
COMPINFO,2016-08-25,37.2,37.78,36.3,37.49,52485
COMPINFO,2016-08-26,37.4,37.4,36.22,37.0,55335
