symbol,date,open,high,low,close,volume
CONS,2024-03-20,99.45,99.99,98.21,99.57,2211
CONS,2024-03-21,99.58,100.0,99.57,99.58,78
CONS,2024-03-22,99.8,101.49,99.8,101.49,1321
CONS,2024-03-26,100.3,101.22,100.3,100.31,514
CONS,2024-03-27,101.5,101.5,99.05,100.94,528
CONS,2024-03-28,101.0,102.5,100.05,100.05,8478
CONS,2024-04-01,103.25,103.25,101.61,103.0,1144
CONS,2024-04-02,102.45,102.55,101.97,102.55,118
CONS,2024-04-03,101.5,102.35,101.48,102.35,400
CONS,2024-04-04,104.12,104.12,102.0,102.28,466
CONS,2024-04-05,102.33,103.3,102.2,102.94,1122
CONS,2024-04-08,102.5,104.0,102.5,103.99,825
CONS,2024-04-09,103.01,103.97,102.77,103.3,2463
CONS,2024-04-10,103.19,103.82,103.17,103.77,1544
CONS,2024-04-12,103.77,103.92,102.71,103.88,1571
CONS,2024-04-15,102.85,102.85,100.79,102.21,2309
CONS,2024-04-16,102.16,105.0,99.5,99.5,686
CONS,2024-04-18,102.31,102.81,101.73,102.8,657
CONS,2024-04-19,102.43,102.43,100.59,102.43,635
CONS,2024-04-22,102.43,103.92,102.43,102.99,1063
CONS,2024-04-23,103.49,104.39,103.18,103.62,1286
CONS,2024-04-24,103.89,104.45,103.65,104.36,584
CONS,2024-04-25,104.0,104.18,103.07,104.14,1077
CONS,2024-04-26,104.7,104.79,104.0,104.0,360
CONS,2024-04-29,105.56,105.56,103.3,104.35,815
CONS,2024-04-30,106.48,106.48,104.8,104.95,1651
