symbol,date,open,high,low,close,volume
COX&KINGS,2016-01-01,246.1,247.0,242.35,243.25,88575
COX&KINGS,2016-01-04,243.55,244.35,237.1,237.1,189168
COX&KINGS,2016-01-05,239.9,244.0,237.55,241.3,255427
COX&KINGS,2016-01-06,242.5,257.35,241.0,245.05,6487903
COX&KINGS,2016-01-07,241.0,243.85,232.05,238.6,991280
COX&KINGS,2016-01-08,241.8,249.0,240.0,245.5,583137
COX&KINGS,2016-01-11,241.5,245.5,237.55,239.0,287771
COX&KINGS,2016-01-12,242.6,243.0,235.25,240.0,400380
COX&KINGS,2016-01-13,240.0,244.0,216.0,235.65,769640
COX&KINGS,2016-01-14,232.0,234.0,225.1,226.9,593418
COX&KINGS,2016-01-15,228.95,229.75,218.05,224.5,302052
COX&KINGS,2016-01-18,220.0,221.8,200.0,205.5,458580
COX&KINGS,2016-01-19,205.25,211.75,203.4,207.1,149655
COX&KINGS,2016-01-20,204.4,204.4,189.35,192.8,554521
COX&KINGS,2016-01-21,195.0,199.0,188.0,191.5,451049
COX&KINGS,2016-01-22,196.9,212.5,194.5,208.0,581722
COX&KINGS,2016-01-25,210.7,219.0,206.1,219.0,362547
COX&KINGS,2016-01-27,221.95,221.95,215.55,218.5,221832
COX&KINGS,2016-01-28,219.5,221.0,216.05,219.4,142024
COX&KINGS,2016-01-29,217.1,229.75,217.1,229.3,294270
COX&KINGS,2016-02-01,229.65,233.9,227.25,233.9,239693
COX&KINGS,2016-02-02,229.8,231.9,214.1,218.9,298262
COX&KINGS,2016-02-03,214.9,216.0,209.0,210.5,116810
COX&KINGS,2016-02-04,216.0,216.55,203.0,203.95,321055
COX&KINGS,2016-02-05,204.0,221.5,202.5,204.3,1116536
COX&KINGS,2016-02-08,210.0,210.0,200.35,201.1,369558
COX&KINGS,2016-02-09,199.7,199.7,193.6,194.7,235023
COX&KINGS,2016-02-10,194.9,194.9,182.1,185.6,464073
COX&KINGS,2016-02-11,186.0,188.8,166.0,182.5,227018
COX&KINGS,2016-02-12,178.95,179.0,150.15,158.0,857712
COX&KINGS,2016-02-15,164.4,168.85,161.6,161.8,312195
COX&KINGS,2016-02-16,163.95,165.75,150.1,150.4,404124
COX&KINGS,2016-02-17,151.75,154.8,140.1,152.95,495291
COX&KINGS,2016-02-18,155.0,161.5,154.0,160.0,810033
COX&KINGS,2016-02-19,160.0,160.4,152.3,158.0,279027
COX&KINGS,2016-02-22,159.5,168.0,158.0,167.0,487700
COX&KINGS,2016-02-23,165.0,165.0,154.5,155.35,396771
COX&KINGS,2016-02-24,155.0,157.9,151.7,152.65,390821
COX&KINGS,2016-02-25,153.9,153.9,146.2,147.85,404419
COX&KINGS,2016-02-26,149.15,151.3,143.05,145.0,389934
COX&KINGS,2016-02-29,145.8,151.55,144.35,147.25,232003
COX&KINGS,2016-03-01,148.55,163.5,146.3,163.4,518632
COX&KINGS,2016-03-02,165.6,166.05,159.2,161.0,790743
COX&KINGS,2016-03-03,162.5,174.4,160.2,171.5,1194637
COX&KINGS,2016-03-04,169.9,170.0,161.6,165.0,521248
COX&KINGS,2016-03-08,165.5,171.0,164.7,166.0,211619
COX&KINGS,2016-03-09,166.0,177.2,163.7,172.75,434427
COX&KINGS,2016-03-10,173.65,176.9,168.5,169.9,293647
COX&KINGS,2016-03-11,168.9,172.95,165.55,167.0,176931
COX&KINGS,2016-03-14,169.75,172.5,166.4,168.35,214403
COX&KINGS,2016-03-15,167.2,171.4,166.2,166.85,245654
COX&KINGS,2016-03-16,166.9,172.8,166.9,169.55,322663
COX&KINGS,2016-03-17,171.3,183.2,171.3,178.0,1218154
COX&KINGS,2016-03-18,179.0,192.8,179.0,192.2,1184881
COX&KINGS,2016-03-21,193.0,197.65,189.6,193.75,455915
COX&KINGS,2016-03-22,192.4,195.75,183.0,184.75,365949
COX&KINGS,2016-03-23,185.0,186.45,179.5,180.1,169853
COX&KINGS,2016-03-28,182.0,183.85,177.0,178.25,145854
COX&KINGS,2016-03-29,180.0,185.7,176.5,182.85,247983
