symbol,date,open,high,low,close,volume
CREST,2008-06-09,170.1,174.8,152.1,163.4,839
CREST,2008-06-10,162.0,168.85,160.0,165.5,594
CREST,2008-06-11,177.75,177.75,160.0,173.85,1588
CREST,2008-06-12,166.0,182.0,166.0,178.85,1010
CREST,2008-06-13,196.9,196.9,171.0,185.0,85
CREST,2008-06-16,190.0,190.0,171.0,175.7,6334
CREST,2008-06-17,180.0,180.0,171.5,177.0,606
CREST,2008-06-18,178.95,182.0,169.0,177.6,3091
CREST,2008-06-19,168.0,178.0,168.0,177.7,3077
CREST,2008-06-20,170.0,174.8,169.0,173.15,2673
CREST,2008-06-23,172.0,174.0,157.05,169.0,3177
CREST,2008-06-24,158.05,170.5,154.6,168.4,3906
CREST,2008-06-25,150.1,179.95,146.5,167.1,5057
CREST,2008-06-26,163.0,175.9,157.1,174.05,3981
CREST,2008-06-27,163.0,176.0,162.05,174.85,12614
CREST,2008-06-30,163.0,175.0,156.2,167.3,3405
CREST,2008-07-01,166.0,166.0,145.6,156.5,4287
CREST,2008-07-02,157.0,164.5,136.05,161.55,3246
CREST,2008-07-03,153.0,158.9,145.0,155.45,6622
CREST,2008-07-04,158.0,165.0,150.1,159.1,3062
CREST,2008-07-07,150.0,183.9,150.0,174.2,2532
CREST,2008-07-08,175.0,175.0,153.0,167.6,2406
CREST,2008-07-09,173.0,179.95,164.1,179.45,6451
CREST,2008-07-10,180.0,184.8,160.0,172.1,6182
CREST,2008-07-11,175.0,182.0,167.05,174.05,5944
CREST,2008-07-14,175.0,183.8,162.25,171.0,3762
CREST,2008-07-15,174.0,174.0,158.5,160.1,5622
CREST,2008-07-16,162.0,167.0,146.0,158.3,6390
CREST,2008-07-17,162.0,164.85,152.3,159.15,12299
CREST,2008-07-18,160.0,164.0,157.0,163.15,3801
CREST,2008-07-21,153.1,164.0,153.1,163.0,2801
CREST,2008-07-22,163.95,164.0,158.2,160.95,3391
CREST,2008-07-23,163.0,173.0,160.25,163.85,3122
CREST,2008-07-24,165.0,168.0,158.2,161.25,3687
CREST,2008-07-25,162.0,164.7,155.0,160.85,3453
CREST,2008-07-28,162.0,171.95,158.0,161.15,3398
CREST,2008-07-29,179.4,179.4,156.0,161.2,3805
CREST,2008-07-30,165.0,167.9,157.0,163.85,3376
CREST,2008-07-31,163.0,168.6,160.0,167.65,3458
CREST,2008-08-01,163.0,170.0,160.1,165.0,3024
CREST,2008-08-04,167.8,188.0,156.35,163.7,7186
CREST,2008-08-05,163.0,163.0,155.15,158.9,3867
CREST,2008-08-06,164.0,164.95,156.75,160.85,3121
CREST,2008-08-07,162.0,162.1,155.1,161.85,3105
