symbol,date,open,high,low,close,volume
CSLFINANCE,2022-07-21,247.85,247.85,225.2,229.4,16272
CSLFINANCE,2022-07-22,229.3,241.0,224.95,235.15,48683
CSLFINANCE,2022-07-25,236.0,241.0,228.95,233.05,124136
CSLFINANCE,2022-07-26,234.3,239.9,234.2,237.45,36728
CSLFINANCE,2022-07-27,238.0,238.0,232.85,236.4,25691
CSLFINANCE,2022-07-28,231.7,243.0,231.7,239.8,12550
CSLFINANCE,2022-07-29,247.0,247.0,232.9,240.15,26507
CSLFINANCE,2022-08-01,235.35,245.7,235.0,239.45,15812
CSLFINANCE,2022-08-02,246.0,246.0,235.0,239.35,27881
CSLFINANCE,2022-08-03,240.0,242.0,237.5,238.9,24345
CSLFINANCE,2022-08-04,238.25,241.45,235.55,239.7,23347
CSLFINANCE,2022-08-05,241.1,285.0,238.25,270.15,76471
CSLFINANCE,2022-08-08,272.4,307.0,272.4,298.7,118640
CSLFINANCE,2022-08-10,294.0,294.0,270.25,275.95,35085
CSLFINANCE,2022-08-11,288.6,288.6,260.05,262.5,27372
CSLFINANCE,2022-08-12,264.55,269.7,250.55,259.3,14738
CSLFINANCE,2022-08-16,264.45,281.95,256.95,274.4,31188
CSLFINANCE,2022-08-17,276.8,276.8,266.3,267.9,9830
CSLFINANCE,2022-08-18,262.5,267.7,256.5,262.05,48759
CSLFINANCE,2022-08-19,269.0,269.0,242.5,246.25,70337
CSLFINANCE,2022-08-22,250.0,253.05,242.5,244.7,23306
CSLFINANCE,2022-08-23,243.9,251.95,243.9,247.95,7901
CSLFINANCE,2022-08-24,245.0,258.65,243.75,252.05,22844
CSLFINANCE,2022-08-25,253.0,256.05,243.85,248.65,20513
CSLFINANCE,2022-08-26,249.0,255.95,232.1,239.7,26837
CSLFINANCE,2022-08-29,239.4,250.0,233.2,239.65,24016
CSLFINANCE,2022-08-30,240.0,246.0,235.0,236.05,58821
CSLFINANCE,2022-09-01,239.4,241.05,235.0,239.3,9616
CSLFINANCE,2022-09-02,252.5,252.5,195.0,231.25,51917
CSLFINANCE,2022-09-05,240.5,243.7,221.55,241.9,35569
CSLFINANCE,2022-09-06,248.5,248.5,242.0,244.35,34205
CSLFINANCE,2022-09-07,242.4,260.95,239.45,257.25,36561
CSLFINANCE,2022-09-08,260.0,263.2,253.3,259.5,5981
CSLFINANCE,2022-09-09,259.0,259.0,247.05,248.25,28219
CSLFINANCE,2022-09-12,252.05,257.05,242.05,248.25,52968
CSLFINANCE,2022-09-13,251.5,254.95,240.05,242.6,55551
CSLFINANCE,2022-09-14,244.9,250.0,240.0,243.9,30520
CSLFINANCE,2022-09-15,248.45,249.65,238.0,240.15,26756
CSLFINANCE,2022-09-16,244.9,247.8,238.0,240.15,31139
CSLFINANCE,2022-09-19,234.25,242.35,232.15,234.9,27838
CSLFINANCE,2022-09-20,232.75,244.15,232.2,239.2,9435
CSLFINANCE,2022-09-21,240.0,257.0,239.8,253.5,19741
CSLFINANCE,2022-09-22,260.0,260.0,240.35,246.85,7065
CSLFINANCE,2022-09-23,249.95,270.0,243.65,251.75,18402
CSLFINANCE,2022-09-26,256.0,256.0,232.85,241.75,18276
CSLFINANCE,2022-09-27,245.9,248.65,240.1,240.85,2725
CSLFINANCE,2022-09-28,236.2,243.85,235.2,236.35,13627
CSLFINANCE,2022-09-29,236.8,249.0,231.55,242.75,6974
CSLFINANCE,2022-09-30,238.2,251.0,238.2,249.25,9717
CSLFINANCE,2022-10-03,267.0,267.0,248.0,258.15,33193
CSLFINANCE,2022-10-04,265.65,267.0,255.95,265.4,19548
CSLFINANCE,2022-10-06,266.3,274.05,255.95,269.45,23736
CSLFINANCE,2022-10-07,263.0,275.0,263.0,271.9,19592
CSLFINANCE,2022-10-10,260.1,271.85,260.1,262.15,12744
CSLFINANCE,2022-10-11,267.7,268.9,238.6,245.4,10101
CSLFINANCE,2022-10-12,250.05,258.25,245.05,253.6,25465
CSLFINANCE,2022-10-13,253.6,256.2,243.1,246.1,5935
CSLFINANCE,2022-10-14,253.6,255.0,245.25,247.3,2999
CSLFINANCE,2022-10-17,242.6,251.0,242.0,247.65,6901
CSLFINANCE,2022-10-18,252.2,260.0,247.0,254.25,10043
CSLFINANCE,2022-10-19,256.0,258.7,247.0,249.7,11679
CSLFINANCE,2022-10-20,250.0,258.05,247.95,249.9,17145
CSLFINANCE,2022-10-21,247.55,255.0,245.0,248.55,8467
CSLFINANCE,2022-10-24,250.0,255.05,233.6,245.85,2883
CSLFINANCE,2022-10-25,249.05,250.0,238.25,241.8,14919
CSLFINANCE,2022-10-27,241.0,249.3,241.0,243.8,1930
CSLFINANCE,2022-10-28,243.5,243.5,236.2,237.35,10852
CSLFINANCE,2022-10-31,249.2,249.2,239.95,246.0,6566
CSLFINANCE,2022-11-01,240.55,250.05,240.55,247.05,6052
CSLFINANCE,2022-11-02,247.0,250.0,243.75,249.5,10687
CSLFINANCE,2022-11-03,248.55,249.15,243.95,246.1,6240
CSLFINANCE,2022-11-04,250.0,257.0,245.3,253.2,10176
CSLFINANCE,2022-11-07,256.1,259.05,245.1,250.2,27350
CSLFINANCE,2022-11-09,250.2,287.0,242.25,261.7,121788
CSLFINANCE,2022-11-10,272.0,272.0,241.9,252.7,37246
CSLFINANCE,2022-11-11,252.7,270.95,252.7,261.65,27150
CSLFINANCE,2022-11-14,269.6,269.6,255.05,258.0,6188
CSLFINANCE,2022-11-15,264.55,265.0,255.0,257.25,10656
CSLFINANCE,2022-11-16,262.05,266.9,252.1,258.8,20301
CSLFINANCE,2022-11-17,259.6,269.05,256.6,258.75,18343
CSLFINANCE,2022-11-18,264.7,264.7,254.85,259.95,47463
CSLFINANCE,2022-11-21,262.1,262.1,252.0,254.45,20149
CSLFINANCE,2022-11-22,256.25,261.7,248.0,250.05,7303
CSLFINANCE,2022-11-23,250.05,263.85,250.05,260.65,35774
CSLFINANCE,2022-11-24,257.95,260.0,252.0,253.9,41775
CSLFINANCE,2022-11-25,250.35,274.85,247.0,257.6,36543
CSLFINANCE,2022-11-28,267.75,267.75,254.35,258.45,7147
CSLFINANCE,2022-11-29,260.6,261.0,254.4,260.0,15908
CSLFINANCE,2022-11-30,265.0,265.0,251.0,253.95,14928
CSLFINANCE,2022-12-01,258.0,260.4,254.55,255.5,6976
CSLFINANCE,2022-12-02,255.95,258.95,240.0,251.85,10684
CSLFINANCE,2022-12-05,258.85,260.0,243.85,254.45,25576
CSLFINANCE,2022-12-06,254.9,258.9,248.7,251.05,13075
CSLFINANCE,2022-12-07,257.95,258.0,251.0,253.45,5505
CSLFINANCE,2022-12-08,252.6,255.35,248.5,251.7,22076
CSLFINANCE,2022-12-09,254.65,254.65,248.7,252.25,11960
CSLFINANCE,2022-12-12,257.05,257.2,249.05,251.9,2097
CSLFINANCE,2022-12-13,255.45,256.0,251.05,253.2,2044
CSLFINANCE,2022-12-14,257.95,257.95,246.0,246.7,8361
CSLFINANCE,2022-12-15,251.35,251.35,244.05,245.05,8484
CSLFINANCE,2022-12-16,245.8,248.0,241.2,242.65,5037
CSLFINANCE,2022-12-19,245.65,249.0,241.9,246.25,1665
CSLFINANCE,2022-12-20,249.0,249.0,238.0,239.8,6331
CSLFINANCE,2022-12-21,245.15,245.15,212.55,232.0,39364
CSLFINANCE,2022-12-22,230.05,235.9,208.2,232.05,19683
CSLFINANCE,2022-12-23,223.0,244.9,223.0,230.65,17711
CSLFINANCE,2022-12-26,244.0,244.0,230.0,239.1,9490
CSLFINANCE,2022-12-27,239.9,241.5,234.55,235.3,1862
CSLFINANCE,2022-12-28,242.05,244.9,232.85,239.05,4937
CSLFINANCE,2022-12-29,247.45,247.45,230.5,236.25,8877
CSLFINANCE,2022-12-30,233.8,240.0,233.8,239.05,2967
CSLFINANCE,2023-01-02,236.1,270.0,230.4,257.7,63340
CSLFINANCE,2023-01-03,257.7,266.8,257.55,265.0,64915
CSLFINANCE,2023-01-04,258.2,270.0,255.0,259.95,29095
CSLFINANCE,2023-01-05,261.9,261.9,250.0,251.8,6155
CSLFINANCE,2023-01-06,265.0,265.0,237.5,240.15,13916
CSLFINANCE,2023-01-09,246.1,250.0,242.45,248.9,3446
CSLFINANCE,2023-01-10,254.0,254.0,238.25,239.6,13806
CSLFINANCE,2023-01-11,250.05,250.05,237.0,241.45,4898
CSLFINANCE,2023-01-12,248.9,248.9,240.0,243.35,4034
CSLFINANCE,2023-01-13,242.95,245.8,234.55,242.0,4491
CSLFINANCE,2023-01-16,246.95,250.0,243.65,249.5,9897
CSLFINANCE,2023-01-17,244.45,255.0,244.15,251.85,9105
CSLFINANCE,2023-01-18,250.2,256.8,248.85,255.0,26028
CSLFINANCE,2023-01-19,256.0,256.0,247.6,253.0,8265
CSLFINANCE,2023-01-20,251.0,255.0,248.05,254.55,9086
CSLFINANCE,2023-01-23,249.85,258.75,249.85,252.35,8171
CSLFINANCE,2023-01-24,254.05,254.95,248.95,249.2,3604
CSLFINANCE,2023-01-25,252.4,252.4,237.0,243.15,4081
CSLFINANCE,2023-01-27,253.05,253.05,233.25,241.2,5391
CSLFINANCE,2023-01-30,246.05,252.55,230.55,237.4,10570
CSLFINANCE,2023-01-31,244.05,250.95,237.55,245.45,9322
CSLFINANCE,2023-02-01,250.8,254.0,236.55,250.8,40424
CSLFINANCE,2023-02-02,256.05,259.0,241.65,251.95,17700
CSLFINANCE,2023-02-03,249.4,255.15,239.35,249.6,23547
CSLFINANCE,2023-02-06,249.6,250.0,241.2,243.6,8972
CSLFINANCE,2023-02-07,249.0,249.0,240.45,241.85,6248
CSLFINANCE,2023-02-08,241.7,245.15,236.35,242.45,3770
CSLFINANCE,2023-02-09,243.3,246.3,240.0,240.85,2178
CSLFINANCE,2023-02-10,243.5,254.7,239.65,245.2,12503
CSLFINANCE,2023-02-13,240.55,248.5,240.55,246.0,3862
CSLFINANCE,2023-02-14,244.5,246.3,233.6,240.15,4697
CSLFINANCE,2023-02-15,240.0,245.0,240.0,243.25,1834
CSLFINANCE,2023-02-16,245.5,246.0,240.0,241.7,985
CSLFINANCE,2023-02-17,241.5,245.9,239.65,243.4,21110
CSLFINANCE,2023-02-20,240.35,244.8,239.25,240.0,4146
CSLFINANCE,2023-02-21,242.4,243.9,231.75,237.9,13814
CSLFINANCE,2023-02-22,235.2,241.95,218.1,227.35,29505
CSLFINANCE,2023-02-23,228.8,237.8,221.95,224.8,39229
CSLFINANCE,2023-02-24,224.15,234.45,222.0,225.4,7421
CSLFINANCE,2023-02-27,228.1,232.9,220.85,224.0,7897
CSLFINANCE,2023-02-28,223.55,226.95,207.75,210.1,31470
CSLFINANCE,2023-03-01,212.7,236.05,208.3,229.4,14036
CSLFINANCE,2023-03-02,231.7,235.0,225.45,233.35,10797
CSLFINANCE,2023-03-03,228.35,237.5,227.95,234.8,7464
CSLFINANCE,2023-03-06,238.6,244.95,228.3,232.2,8404
CSLFINANCE,2023-03-08,237.0,237.0,222.85,231.2,4212
CSLFINANCE,2023-03-09,233.15,239.45,222.65,227.3,6665
CSLFINANCE,2023-03-10,224.35,229.0,219.0,225.55,9714
CSLFINANCE,2023-03-13,224.7,228.45,213.1,216.95,3524
CSLFINANCE,2023-03-14,216.95,224.95,205.65,217.1,8930
CSLFINANCE,2023-03-15,217.9,222.15,205.4,208.2,8124
CSLFINANCE,2023-03-16,213.95,220.0,201.55,210.6,8409
CSLFINANCE,2023-03-17,216.5,218.0,211.0,211.8,3872
CSLFINANCE,2023-03-20,217.1,217.1,201.0,211.15,128845
CSLFINANCE,2023-03-21,211.85,224.75,211.7,221.25,108345
CSLFINANCE,2023-03-22,220.0,224.7,217.85,220.05,103545
CSLFINANCE,2023-03-23,213.35,221.45,210.0,210.55,10214
CSLFINANCE,2023-03-24,213.05,214.4,195.2,202.45,115671
CSLFINANCE,2023-03-27,194.2,209.9,194.2,205.0,115066
CSLFINANCE,2023-03-28,209.2,209.2,198.0,199.95,53991
CSLFINANCE,2023-03-29,206.55,206.55,195.0,203.05,91180
CSLFINANCE,2023-03-31,208.55,210.35,189.1,193.7,32928
CSLFINANCE,2023-04-03,201.65,213.0,197.25,209.2,15056
CSLFINANCE,2023-04-05,214.2,214.75,207.05,209.95,3451
CSLFINANCE,2023-04-06,212.9,215.45,208.05,212.7,18630
