symbol,date,open,high,low,close,volume
CUB,2008-06-09,21.49,22.27,21.15,21.49,177665
CUB,2008-06-10,21.49,22.03,20.91,21.24,169504
CUB,2008-06-11,21.57,22.06,20.95,21.82,154508
CUB,2008-06-12,21.12,23.47,20.75,23.23,260313
CUB,2008-06-13,22.97,24.14,22.97,23.72,191715
CUB,2008-06-16,23.88,24.5,23.55,23.64,106311
CUB,2008-06-17,23.14,24.38,23.14,23.51,185496
CUB,2008-06-18,23.88,26.77,23.26,23.72,678668
CUB,2008-06-19,23.51,23.96,23.14,23.18,106634
CUB,2008-06-20,23.47,23.88,22.32,22.65,169977
CUB,2008-06-23,21.98,22.23,20.75,20.86,220225
CUB,2008-06-24,21.07,22.32,20.86,21.12,241011
CUB,2008-06-25,20.66,21.28,20.41,20.7,227558
CUB,2008-06-26,21.24,21.24,20.05,20.62,291787
CUB,2008-06-27,20.25,20.83,19.87,20.29,185325
CUB,2008-06-30,22.73,22.73,19.09,19.38,147126
CUB,2008-07-01,19.34,19.34,18.35,18.93,259548
CUB,2008-07-02,18.26,20.66,18.18,19.17,291649
CUB,2008-07-03,20.16,20.16,18.31,18.72,305586
CUB,2008-07-04,18.55,19.34,18.39,18.88,215202
CUB,2008-07-07,18.68,20.16,18.68,19.3,309632
CUB,2008-07-08,19.01,19.22,18.35,18.85,237281
CUB,2008-07-09,19.5,20.05,18.64,18.88,194124
CUB,2008-07-10,19.05,19.22,18.68,18.93,134063
CUB,2008-07-11,19.38,19.42,18.39,18.59,237517
CUB,2008-07-14,18.26,18.35,17.85,18.1,133030
CUB,2008-07-15,17.77,18.26,17.52,17.6,95361
CUB,2008-07-16,17.6,17.97,14.87,16.95,222475
CUB,2008-07-17,17.68,17.73,16.61,16.77,125992
CUB,2008-07-18,17.19,17.48,16.77,17.27,137916
CUB,2008-07-21,17.35,17.52,16.95,17.15,93437
CUB,2008-07-22,17.44,18.51,17.03,18.31,277054
CUB,2008-07-23,19.75,21.98,19.01,20.54,458142
CUB,2008-07-24,21.9,22.15,19.63,20.45,426305
CUB,2008-07-25,19.92,20.08,19.5,19.92,138464
CUB,2008-07-28,20.86,20.86,19.87,20.25,75179
CUB,2008-07-29,19.63,19.95,18.59,19.38,161073
CUB,2008-07-30,19.84,22.23,19.84,20.54,662602
CUB,2008-07-31,20.99,21.04,19.95,20.13,182954
CUB,2008-08-01,19.84,20.58,19.84,20.25,155932
CUB,2008-08-04,20.25,20.83,20.25,20.45,151474
CUB,2008-08-05,20.5,21.32,20.5,21.12,286566
CUB,2008-08-06,21.69,22.32,21.49,21.9,451565
CUB,2008-08-07,21.65,23.14,21.57,22.6,376657
CUB,2008-08-08,22.65,23.76,22.65,23.43,397147
CUB,2008-08-11,23.8,25.0,23.8,24.63,364258
CUB,2008-08-12,25.13,25.62,24.87,25.33,374367
CUB,2008-08-13,25.21,25.29,23.96,24.67,226253
CUB,2008-08-14,24.55,24.79,23.96,24.09,164554
CUB,2008-08-18,24.05,24.38,23.35,23.59,123094
CUB,2008-08-19,23.14,24.3,23.14,23.51,61097
CUB,2008-08-20,23.88,24.17,22.65,22.85,119753
CUB,2008-08-21,23.14,23.14,22.15,22.23,134010
CUB,2008-08-22,21.57,22.23,21.57,22.06,49101
CUB,2008-08-25,22.52,22.77,21.65,21.95,69469
CUB,2008-08-26,21.57,22.19,21.57,22.06,57495
CUB,2008-08-27,22.32,22.32,21.41,21.61,84355
CUB,2008-08-28,21.57,22.23,21.12,21.82,62750
CUB,2008-08-29,22.35,22.65,21.95,22.35,210288
CUB,2008-09-01,21.77,22.65,21.53,22.35,77139
CUB,2008-09-02,21.53,24.3,21.53,24.01,520549
CUB,2008-09-04,24.3,24.38,22.81,23.31,191385
CUB,2008-09-05,20.66,23.8,20.66,23.35,137000
CUB,2008-09-08,23.64,24.71,23.55,24.3,313661
CUB,2008-09-09,24.05,24.25,23.14,23.31,127294
CUB,2008-09-10,22.65,23.8,22.65,23.51,64592
CUB,2008-09-11,23.64,23.64,22.97,23.14,72370
CUB,2008-09-12,23.43,23.43,22.81,22.97,75960
CUB,2008-09-15,22.56,23.02,21.65,22.23,107880
CUB,2008-09-16,22.23,22.44,21.07,22.23,143568
CUB,2008-09-17,22.97,22.97,21.57,21.82,96451
CUB,2008-09-18,21.49,21.49,19.84,20.99,182535
CUB,2008-09-19,21.82,23.05,21.77,21.98,119753
CUB,2008-09-22,22.06,22.23,21.49,21.61,61752
CUB,2008-09-23,21.07,21.61,20.86,21.07,71683
CUB,2008-09-24,21.32,21.57,20.75,20.83,82398
CUB,2008-09-25,21.24,21.49,20.66,20.86,60061
CUB,2008-09-26,20.86,21.12,19.84,20.21,84289
CUB,2008-09-29,20.25,20.25,19.01,19.17,148437
CUB,2008-09-30,19.01,19.84,18.18,19.22,196791
CUB,2008-10-01,19.22,19.71,19.01,19.3,87942
CUB,2008-10-03,18.72,19.22,18.35,18.76,100699
CUB,2008-10-06,19.14,19.14,17.35,17.97,187150
CUB,2008-10-07,18.51,20.66,16.53,17.32,318868
CUB,2008-10-08,16.69,16.98,15.33,16.07,341916
CUB,2008-10-10,16.2,16.2,14.05,15.5,421778
CUB,2008-10-13,16.32,17.15,16.2,16.45,193162
CUB,2008-10-14,17.56,18.1,16.45,16.57,213057
CUB,2008-10-15,15.75,16.53,15.58,15.78,154389
CUB,2008-10-16,15.29,16.07,14.95,15.7,200997
CUB,2008-10-17,15.95,16.53,15.54,15.75,135166
CUB,2008-10-20,16.28,16.28,14.79,15.16,1153691
CUB,2008-10-21,15.29,16.04,14.71,14.92,257539
CUB,2008-10-22,15.0,15.0,14.05,14.3,309259
CUB,2008-10-23,14.05,14.22,12.44,12.73,700095
CUB,2008-10-24,12.81,13.23,11.36,11.65,949633
CUB,2008-10-27,11.28,12.32,10.86,11.69,360113
CUB,2008-10-28,12.44,12.89,12.4,12.56,127806
CUB,2008-10-29,12.48,13.31,12.48,12.94,152852
CUB,2008-10-31,12.97,13.43,12.81,13.31,167799
CUB,2008-11-03,13.51,14.71,13.51,13.85,425807
CUB,2008-11-04,14.05,14.87,13.64,14.79,294225
CUB,2008-11-05,15.29,15.7,14.17,14.42,295467
