symbol,date,open,high,low,close,volume
DABUR,2008-06-09,48.9,48.9,44.17,48.4,1316342
DABUR,2008-06-10,48.0,48.6,46.67,48.42,2820330
DABUR,2008-06-11,48.5,49.4,48.25,49.1,1326986
DABUR,2008-06-12,48.5,50.5,47.75,49.6,1303984
DABUR,2008-06-13,49.83,50.0,48.55,49.58,481020
DABUR,2008-06-16,49.97,51.0,49.05,49.67,571980
DABUR,2008-06-17,49.0,50.5,49.0,49.7,232960
DABUR,2008-06-18,49.78,50.2,49.38,49.72,273332
DABUR,2008-06-19,49.5,49.5,48.3,48.55,304220
DABUR,2008-06-20,48.0,49.0,46.78,47.9,1481428
DABUR,2008-06-23,46.5,47.5,44.1,46.0,1008922
DABUR,2008-06-24,46.0,46.2,44.03,44.3,727792
DABUR,2008-06-25,43.5,53.15,42.15,43.9,680490
DABUR,2008-06-26,44.5,45.5,43.25,43.65,1395794
DABUR,2008-06-27,42.75,43.25,41.15,41.35,2392446
DABUR,2008-06-30,41.95,41.95,38.75,39.53,2217786
DABUR,2008-07-01,41.22,41.22,39.0,39.47,711946
DABUR,2008-07-02,39.0,40.92,37.5,40.45,493286
DABUR,2008-07-03,40.05,40.05,37.13,37.8,531836
DABUR,2008-07-04,38.13,39.95,37.5,38.88,1553012
DABUR,2008-07-07,39.25,41.75,39.25,40.58,795236
DABUR,2008-07-08,40.0,40.97,38.58,40.45,274514
DABUR,2008-07-09,41.0,42.35,40.88,42.08,501556
DABUR,2008-07-10,41.53,45.47,41.53,45.28,1317680
DABUR,2008-07-11,45.13,49.7,45.0,47.33,2746424
DABUR,2008-07-14,47.45,47.75,45.65,47.03,1042960
DABUR,2008-07-15,45.0,47.45,45.0,46.67,693398
DABUR,2008-07-16,45.0,47.0,44.15,44.72,738526
DABUR,2008-07-17,45.1,46.5,42.95,44.0,704084
DABUR,2008-07-18,44.0,44.95,43.08,44.45,360420
DABUR,2008-07-21,44.97,46.4,44.03,44.85,236426
DABUR,2008-07-22,44.5,46.0,44.03,45.08,305048
DABUR,2008-07-23,47.0,47.45,45.5,45.88,310390
DABUR,2008-07-24,46.0,46.72,44.83,45.33,290192
DABUR,2008-07-25,45.0,46.38,44.3,46.08,1496240
DABUR,2008-07-28,46.05,47.85,45.78,46.42,1601182
DABUR,2008-07-29,45.5,46.9,44.5,44.63,2290688
DABUR,2008-07-30,44.05,46.0,44.05,45.42,563376
DABUR,2008-07-31,44.67,45.55,44.67,45.2,1019990
DABUR,2008-08-01,44.75,46.9,44.75,45.2,783836
DABUR,2008-08-04,46.4,46.45,45.25,45.92,363788
DABUR,2008-08-05,45.1,46.5,45.1,46.03,293064
DABUR,2008-08-06,46.4,46.72,44.78,45.03,974618
DABUR,2008-08-07,45.03,47.45,44.78,45.03,421198
DABUR,2008-08-08,45.05,46.0,44.5,45.03,588082
DABUR,2008-08-11,45.55,46.1,45.28,45.72,554696
DABUR,2008-08-12,46.1,46.2,44.55,45.4,1061262
DABUR,2008-08-13,45.7,45.75,44.75,45.38,649472
DABUR,2008-08-14,44.83,46.45,44.58,45.5,3046346
DABUR,2008-08-18,45.25,48.25,44.55,46.78,1335882
DABUR,2008-08-19,47.0,47.8,44.53,44.92,1754978
DABUR,2008-08-20,44.92,46.5,44.63,45.6,2061188
DABUR,2008-08-21,46.0,47.35,43.13,44.03,2723554
DABUR,2008-08-22,43.9,45.15,43.0,44.7,866708
DABUR,2008-08-25,45.3,46.85,42.63,45.0,868422
DABUR,2008-08-26,44.65,45.6,44.13,45.47,1116568
DABUR,2008-08-27,45.15,45.5,44.88,45.17,279824
DABUR,2008-08-28,44.85,45.75,44.75,45.17,1065508
DABUR,2008-08-29,45.22,46.22,45.22,45.72,959494
DABUR,2008-09-01,45.72,46.9,45.5,46.6,884330
DABUR,2008-09-02,46.65,49.15,46.65,48.6,1993736
DABUR,2008-09-04,48.5,49.22,47.53,48.22,10360144
DABUR,2008-09-05,47.42,49.08,47.03,48.3,570472
DABUR,2008-09-08,49.0,49.25,47.5,48.05,189722
DABUR,2008-09-09,47.63,48.17,47.17,47.47,383596
DABUR,2008-09-10,47.0,47.5,46.03,46.28,688386
DABUR,2008-09-11,45.58,46.13,44.3,44.97,2272596
DABUR,2008-09-12,44.97,45.88,44.5,44.9,408306
DABUR,2008-09-15,44.9,45.5,43.0,45.08,782948
DABUR,2008-09-16,44.0,44.75,43.25,44.35,186564
DABUR,2008-09-17,45.0,45.1,43.5,44.72,1980302
DABUR,2008-09-18,44.0,44.0,42.5,43.5,2120724
DABUR,2008-09-19,44.95,45.4,43.7,44.45,266858
DABUR,2008-09-22,44.3,45.95,44.08,45.47,470812
DABUR,2008-09-23,44.3,45.1,43.38,43.67,674246
DABUR,2008-09-24,44.0,44.6,43.55,44.28,344814
