symbol,date,open,high,low,close,volume
DCI,2023-06-09,180.95,180.95,168.7,169.55,1333
DCI,2023-06-12,177.0,177.0,165.0,169.0,1465
DCI,2023-06-13,172.0,175.0,162.0,172.0,2707
DCI,2023-06-14,171.95,172.7,164.65,167.0,3215
DCI,2023-06-15,166.9,166.9,158.6,166.5,1898
DCI,2023-06-16,164.85,164.85,160.0,161.2,6177
DCI,2023-06-19,162.8,166.65,156.1,161.2,2846
DCI,2023-06-20,161.2,163.4,155.1,163.0,2096
DCI,2023-06-21,162.9,162.9,156.1,162.0,621
DCI,2023-06-22,162.0,162.0,152.55,158.5,1723
DCI,2023-06-23,158.9,158.9,151.6,156.0,555
DCI,2023-06-26,154.95,157.95,150.1,153.0,1312
DCI,2023-06-27,154.85,156.0,150.0,150.0,376
DCI,2023-06-28,158.0,158.3,150.0,157.9,1026
DCI,2023-06-30,162.0,162.0,150.1,153.15,1388
DCI,2023-07-03,159.8,159.8,150.0,155.0,2837
DCI,2023-07-04,158.0,158.0,149.0,154.75,436
DCI,2023-07-05,157.75,157.75,151.2,157.7,905
DCI,2023-07-06,154.5,162.0,150.5,162.0,1743
DCI,2023-07-07,160.95,166.0,154.5,158.05,2640
DCI,2023-07-10,158.5,159.0,153.0,157.5,1286
DCI,2023-07-11,155.8,157.5,153.05,156.8,694
DCI,2023-07-12,157.8,159.95,153.0,154.0,1401
DCI,2023-07-13,161.3,161.3,150.05,156.9,608
DCI,2023-07-14,164.0,164.0,150.1,155.0,2366
DCI,2023-07-17,160.0,160.0,151.0,157.0,1328
DCI,2023-07-18,159.5,159.5,151.55,158.95,1456
DCI,2023-07-19,158.5,158.5,151.15,155.0,2834
DCI,2023-07-20,154.95,158.0,152.1,157.8,1707
DCI,2023-07-21,160.55,160.55,150.5,158.9,1849
DCI,2023-07-24,154.3,160.8,151.8,151.8,1756
DCI,2023-07-25,155.0,157.95,152.0,156.95,1108
DCI,2023-07-26,150.0,158.0,150.0,157.0,1302
DCI,2023-07-27,156.75,160.0,155.95,160.0,639
DCI,2023-07-28,160.95,160.95,153.05,153.05,1603
DCI,2023-07-31,156.25,159.9,150.2,158.4,2228
DCI,2023-08-01,156.95,157.15,153.0,157.15,716
DCI,2023-08-02,157.0,158.9,152.05,158.8,1541
DCI,2023-08-03,161.0,161.0,152.05,159.8,1968
DCI,2023-08-04,155.95,155.95,150.0,153.9,2814
DCI,2023-08-07,154.0,154.95,149.4,149.4,3589
DCI,2023-08-08,150.0,153.45,149.85,152.95,835
DCI,2023-08-09,154.9,154.9,149.6,153.9,1549
DCI,2023-08-10,151.3,154.95,151.3,154.0,439
DCI,2023-08-11,154.0,155.0,150.0,152.95,1464
DCI,2023-08-14,155.0,158.9,150.25,152.95,903
DCI,2023-08-16,156.65,156.65,150.3,153.0,440
DCI,2023-08-17,157.25,157.25,152.0,156.1,1007
DCI,2023-08-18,158.95,159.0,150.0,155.5,11734
DCI,2023-08-21,159.0,159.0,151.05,152.25,1404
DCI,2023-08-22,152.5,156.95,150.05,152.0,1798
DCI,2023-08-23,156.0,156.0,150.7,154.0,1112
DCI,2023-08-24,154.95,154.95,151.15,151.15,646
DCI,2023-08-25,153.7,153.95,150.0,153.9,1386
DCI,2023-08-28,148.55,158.4,148.55,153.0,3367
DCI,2023-08-29,153.0,154.0,148.6,153.0,645
DCI,2023-08-30,154.0,154.0,149.0,153.85,2739
DCI,2023-08-31,152.55,152.55,150.05,152.2,426
DCI,2023-09-01,152.2,152.2,150.05,151.7,2881
DCI,2023-09-04,152.0,152.25,150.45,150.5,3978
DCI,2023-09-05,153.0,153.0,150.05,150.2,1217
DCI,2023-09-06,150.0,153.0,150.0,152.6,2365
DCI,2023-09-07,150.55,150.55,145.15,149.5,1458
DCI,2023-09-08,151.95,151.95,145.25,147.0,1825
DCI,2023-09-11,149.9,150.2,145.0,148.2,13789
DCI,2023-09-12,151.0,151.0,142.05,149.95,8883
DCI,2023-09-13,150.95,150.95,144.1,145.4,1614
DCI,2023-09-14,152.6,152.6,146.35,151.0,6063
DCI,2023-09-15,155.0,155.0,150.5,152.0,5657
DCI,2023-09-18,146.1,151.95,146.1,151.95,14950
DCI,2023-09-20,145.65,158.85,145.65,150.2,6072
DCI,2023-09-21,153.85,157.6,150.05,150.05,673
DCI,2023-09-25,158.4,166.05,156.0,157.1,991
DCI,2023-09-26,158.65,165.25,157.4,165.25,3938
DCI,2023-09-27,166.0,172.7,166.0,172.5,3777
DCI,2023-09-28,180.75,180.8,177.0,180.8,3526
DCI,2023-09-29,184.5,188.5,177.0,183.3,3668
DCI,2023-11-12,87.4,87.4,87.4,87.4,1122
DCI,2023-11-13,91.75,91.75,91.75,91.75,7342
DCI,2023-11-15,96.325,96.325,96.325,96.325,5880
DCI,2023-11-16,101.125,101.125,101.125,101.125,5588
DCI,2023-11-17,106.175,106.175,106.175,106.175,15186
DCI,2023-11-20,111.475,111.475,111.475,111.475,3250
DCI,2023-11-21,117.025,117.025,112.0,117.025,34466
DCI,2024-01-01,184.8,185.15,167.6,175.65,49040
DCI,2024-01-02,180.8,184.4,177.0,184.4,24194
DCI,2024-01-03,184.45,193.6,176.0,185.0,75912
DCI,2024-01-04,176.55,182.85,174.4,179.6,37587
DCI,2024-01-05,179.5,185.95,174.5,179.1,45380
DCI,2024-01-08,179.1,181.8,174.2,178.5,23130
DCI,2024-01-09,179.5,186.9,178.5,185.5,17675
DCI,2024-01-10,188.4,193.9,188.0,193.9,10748
DCI,2024-01-11,199.7,203.55,188.0,203.55,33292
DCI,2024-01-12,205.0,208.4,203.0,208.4,11874
