symbol,date,open,high,low,close,volume
DCM,2008-06-09,41.5,41.55,37.3,39.45,9844
DCM,2008-06-10,39.05,39.5,38.35,38.35,1550
DCM,2008-06-11,39.05,41.0,39.05,40.35,4859
DCM,2008-06-12,38.5,42.0,38.5,39.95,3258
DCM,2008-06-13,39.35,40.95,39.35,39.75,731
DCM,2008-06-16,40.3,40.8,39.2,39.75,1362
DCM,2008-06-17,39.25,40.0,39.25,39.5,5976
DCM,2008-06-18,40.45,42.0,39.45,39.6,7314
DCM,2008-06-19,39.1,40.35,39.1,39.75,3870
DCM,2008-06-20,39.95,40.0,39.05,39.2,2420
DCM,2008-06-23,37.4,38.0,36.25,36.35,7312
DCM,2008-06-24,36.5,38.75,35.0,35.15,4152
DCM,2008-06-25,36.85,36.85,34.0,34.5,6793
DCM,2008-06-26,35.45,36.0,34.15,34.2,1554
DCM,2008-06-27,34.5,35.0,32.5,32.9,5910
DCM,2008-06-30,34.9,34.9,31.0,31.2,6809
DCM,2008-07-01,32.15,32.5,29.7,29.9,5574
DCM,2008-07-02,31.0,31.65,28.1,31.6,5303
DCM,2008-07-03,30.0,31.6,30.0,30.95,3237
DCM,2008-07-04,28.6,33.0,28.6,32.1,3157
DCM,2008-07-07,32.0,34.0,32.0,32.45,3311
DCM,2008-07-08,30.5,31.95,30.0,31.0,2251
DCM,2008-07-09,31.5,36.0,31.5,33.7,9211
DCM,2008-07-10,32.0,34.7,32.0,33.6,1412
DCM,2008-07-11,33.3,34.5,32.65,32.85,2810
DCM,2008-07-14,31.1,34.0,31.05,32.15,3918
DCM,2008-07-15,30.65,32.75,30.65,31.3,729
DCM,2008-07-16,31.0,32.0,30.3,30.65,1412
DCM,2008-07-17,31.0,33.0,31.0,32.25,4439
DCM,2008-07-18,32.0,33.45,30.0,32.45,8470
DCM,2008-07-21,31.65,33.45,31.65,32.7,646
DCM,2008-07-22,33.8,34.9,32.15,32.5,2973
DCM,2008-07-23,34.0,35.8,33.5,34.2,6383
DCM,2008-07-24,33.65,34.35,32.0,32.4,6157
DCM,2008-07-25,32.75,34.4,32.1,33.25,1849
DCM,2008-07-28,35.8,35.8,32.15,34.0,4635
DCM,2008-07-29,34.5,34.5,32.7,32.8,1371
DCM,2008-07-30,32.8,33.9,32.7,33.45,1894
DCM,2008-07-31,32.25,35.0,32.25,34.2,7837
DCM,2008-08-01,34.7,35.5,34.1,34.75,19791
DCM,2008-08-04,35.5,36.0,33.75,35.05,5074
DCM,2008-08-05,36.15,36.15,35.0,35.15,2624
DCM,2008-08-06,36.8,40.0,35.5,36.65,16897
DCM,2008-08-07,41.9,41.9,36.5,36.85,8821
DCM,2008-08-08,37.0,38.0,35.8,36.95,2328
DCM,2008-08-11,36.8,38.95,36.1,36.95,7282
DCM,2008-08-12,35.6,39.6,35.6,36.1,1829
DCM,2008-08-13,36.25,37.6,35.5,36.5,2243
DCM,2008-08-14,36.8,37.3,34.7,34.95,3171
DCM,2008-08-18,37.35,37.35,35.0,35.15,3605
DCM,2008-08-19,34.4,35.5,32.85,33.4,3980
DCM,2008-08-20,35.5,35.5,33.6,33.9,8086
DCM,2008-08-21,33.15,34.4,33.0,33.85,12389
DCM,2008-08-22,33.65,35.7,33.0,33.45,7245
DCM,2008-08-25,33.6,35.35,33.5,35.05,8758
DCM,2008-08-26,33.6,34.75,33.5,34.25,6840
DCM,2008-08-27,33.65,34.8,33.65,34.3,16584
DCM,2008-08-28,33.7,34.4,33.55,33.85,28004
DCM,2008-08-29,32.5,34.8,32.5,34.05,15594
DCM,2008-09-01,33.5,34.0,32.8,32.95,12794
DCM,2008-09-02,33.25,34.8,32.8,34.3,2241
DCM,2008-09-04,34.0,34.4,32.75,33.0,2592
DCM,2008-09-05,33.6,34.0,32.9,32.95,11929
DCM,2008-09-08,32.55,33.75,32.55,32.85,16456
DCM,2008-09-09,32.9,33.15,32.6,33.0,13033
DCM,2008-09-10,33.0,33.0,32.2,32.3,5612
DCM,2008-09-11,30.95,33.5,30.95,32.9,21057
DCM,2008-09-12,32.3,33.75,32.3,33.05,2656
DCM,2008-09-15,31.0,33.6,30.2,30.35,3193
DCM,2008-09-16,27.0,30.9,27.0,29.4,15673
DCM,2008-09-17,28.95,30.35,28.95,29.9,36305
DCM,2008-09-18,29.0,30.3,28.6,29.55,7630
DCM,2008-09-19,29.15,31.0,28.65,28.9,10873
DCM,2008-09-22,29.15,30.1,27.05,27.6,4808
DCM,2008-09-23,28.0,28.85,26.0,26.5,9828
DCM,2008-09-24,27.75,27.75,26.0,26.95,1416
DCM,2008-09-25,26.0,27.0,25.55,26.3,2969
DCM,2008-09-26,24.05,25.95,24.05,25.25,4468
DCM,2008-09-29,25.0,25.0,23.25,24.0,8148
DCM,2008-09-30,20.8,23.75,20.8,22.35,10847
DCM,2008-10-01,22.5,23.5,20.65,22.0,4296
DCM,2008-10-03,21.65,22.9,21.65,22.15,1227
DCM,2008-10-06,18.35,21.7,18.35,20.0,6567
DCM,2008-10-07,22.9,22.9,18.05,19.55,3288
DCM,2008-10-08,17.1,20.0,16.65,19.75,6764
DCM,2008-10-10,17.05,18.95,17.0,17.05,4949
DCM,2008-10-13,20.0,20.0,17.0,17.75,3849
DCM,2008-10-14,19.25,21.15,17.6,18.55,7889
DCM,2008-10-15,18.0,18.9,16.25,18.4,8297
DCM,2008-10-16,17.5,19.5,17.0,17.6,5445
DCM,2008-10-17,17.85,20.4,17.5,19.9,3525
DCM,2008-10-20,19.0,22.95,17.5,18.45,18736
DCM,2008-10-21,21.0,21.3,17.05,19.7,4015
DCM,2008-10-22,17.65,22.65,17.65,20.6,10170
DCM,2008-10-23,18.3,20.6,18.3,19.9,2559
DCM,2008-10-24,19.5,19.5,18.1,18.85,7177
DCM,2008-10-27,15.6,22.6,15.6,19.05,15509
DCM,2008-10-28,20.0,22.0,19.55,20.0,1931
DCM,2008-10-29,20.0,21.0,19.2,19.5,2877
DCM,2008-10-31,18.55,22.5,18.5,22.05,22978
DCM,2008-11-03,20.55,23.0,20.5,21.55,6341
DCM,2008-11-04,22.7,24.0,19.5,23.75,17192
DCM,2008-11-05,24.0,25.2,22.0,23.1,10885
DCM,2008-11-06,20.8,22.5,20.75,22.25,2434
DCM,2008-11-07,21.65,22.7,21.65,22.3,610
DCM,2008-11-10,22.5,23.5,21.5,23.1,2589
DCM,2008-11-11,23.0,23.0,21.5,21.5,1962
DCM,2008-11-12,19.2,22.5,19.2,20.25,591
DCM,2008-11-14,19.55,24.3,19.55,24.2,10343
DCM,2008-11-17,25.0,26.0,21.5,22.55,8043
DCM,2008-11-18,21.3,22.0,20.25,20.85,27979
DCM,2008-11-19,20.5,21.0,19.15,19.4,1559
DCM,2008-11-20,18.15,20.0,18.15,19.05,4070
DCM,2008-11-21,18.2,22.35,18.2,19.6,17655
DCM,2008-11-24,19.5,21.75,19.1,20.0,15037
DCM,2008-11-25,19.8,21.0,18.55,19.2,2265
DCM,2008-11-26,19.1,20.0,18.8,19.95,2814
DCM,2008-11-28,18.5,20.1,17.65,19.35,2248
DCM,2008-12-01,19.55,19.55,18.0,18.15,1192
DCM,2008-12-02,19.0,19.0,17.6,18.8,1447
DCM,2008-12-03,18.2,19.0,18.15,18.3,1357
DCM,2008-12-04,18.05,19.4,18.05,18.95,1321
DCM,2008-12-05,18.5,19.45,18.05,19.0,3600
DCM,2008-12-08,20.0,22.05,18.65,19.95,251890
DCM,2008-12-10,19.0,20.0,19.0,19.9,2607
DCM,2008-12-11,19.0,20.25,19.0,19.5,3009
DCM,2008-12-12,19.0,19.75,18.6,18.8,6806
DCM,2008-12-15,19.5,19.5,18.15,18.75,8851
DCM,2008-12-16,19.0,19.9,18.5,18.95,30349
DCM,2008-12-17,19.5,19.5,18.5,18.65,11450
DCM,2008-12-18,18.0,19.05,18.0,19.0,1123
DCM,2008-12-19,18.0,19.0,18.0,18.6,2614
DCM,2008-12-22,20.0,20.0,18.65,18.85,2721
DCM,2008-12-23,19.75,19.75,18.35,18.4,1853
DCM,2008-12-24,18.15,19.2,18.15,18.4,40119
DCM,2008-12-26,18.15,18.9,18.15,18.5,1799
DCM,2008-12-29,18.2,18.7,18.2,18.65,55
DCM,2008-12-30,18.0,18.85,18.0,18.25,798
DCM,2008-12-31,19.85,19.85,18.15,18.55,1908
DCM,2009-01-01,18.5,19.0,18.3,18.6,6782
DCM,2009-01-02,20.0,21.35,18.55,20.4,36630
DCM,2009-01-05,23.45,23.45,19.5,20.2,16628
DCM,2009-01-06,20.5,20.5,18.65,18.75,5184
DCM,2009-01-07,18.6,19.3,16.9,17.1,5704
DCM,2009-01-09,17.1,18.0,16.2,17.45,2799
DCM,2009-01-12,17.95,18.45,17.5,17.55,1636
DCM,2009-01-13,17.55,18.4,17.55,17.65,417
