symbol,date,open,high,low,close,volume
DENABANK,2016-01-01,40.75,41.4,40.65,41.1,222963
DENABANK,2016-01-04,41.05,41.3,40.45,40.7,254640
DENABANK,2016-01-05,40.8,41.0,40.4,40.6,186912
DENABANK,2016-01-06,40.5,40.8,40.2,40.4,226901
DENABANK,2016-01-07,40.1,40.4,39.2,39.4,384725
DENABANK,2016-01-08,39.55,40.7,39.05,40.0,411021
DENABANK,2016-01-11,39.8,39.95,38.95,39.65,256469
DENABANK,2016-01-12,39.55,40.0,39.05,39.1,191859
DENABANK,2016-01-13,39.75,39.75,37.8,38.65,367029
DENABANK,2016-01-14,37.7,38.2,37.35,37.5,367649
DENABANK,2016-01-15,38.0,38.25,36.5,36.55,267860
DENABANK,2016-01-18,36.5,37.05,34.95,35.45,430162
DENABANK,2016-01-19,35.9,36.2,33.5,35.85,257741
DENABANK,2016-01-20,35.5,35.5,33.5,34.7,429076
DENABANK,2016-01-21,35.4,35.4,34.0,34.15,234464
DENABANK,2016-01-22,35.2,35.85,34.3,35.4,345541
DENABANK,2016-01-25,35.75,36.5,35.25,35.7,244935
DENABANK,2016-01-27,36.0,36.5,35.75,36.05,205919
DENABANK,2016-01-28,36.1,36.25,35.55,35.9,122112
DENABANK,2016-01-29,35.95,36.5,35.6,36.0,226788
DENABANK,2016-02-01,36.3,36.5,35.0,35.5,263031
DENABANK,2016-02-02,35.75,36.3,35.0,35.2,260657
DENABANK,2016-02-03,34.6,35.5,33.6,34.4,251610
DENABANK,2016-02-04,34.3,34.7,32.8,33.5,371390
DENABANK,2016-02-05,33.5,34.75,33.2,34.5,357799
DENABANK,2016-02-08,34.95,37.8,34.55,35.5,425310
DENABANK,2016-02-09,35.0,35.8,30.45,30.5,4243419
DENABANK,2016-02-10,30.2,30.3,28.0,28.95,3446413
DENABANK,2016-02-11,28.8,29.3,27.6,28.15,897608
DENABANK,2016-02-12,28.05,28.45,26.25,27.6,886436
DENABANK,2016-02-15,28.0,29.5,27.6,28.35,985551
DENABANK,2016-02-16,28.85,29.35,27.6,28.45,552655
DENABANK,2016-02-17,28.15,28.6,27.2,28.3,447760
DENABANK,2016-02-18,28.5,29.05,28.05,28.65,329852
DENABANK,2016-02-19,28.45,28.95,28.0,28.35,364218
DENABANK,2016-02-22,28.35,28.7,27.8,27.95,364441
DENABANK,2016-02-23,28.15,28.2,27.4,27.6,347525
DENABANK,2016-02-24,27.45,27.45,26.9,26.9,437751
DENABANK,2016-02-25,26.9,27.2,26.15,26.3,493793
DENABANK,2016-02-26,26.7,26.9,25.6,26.0,657010
DENABANK,2016-02-29,26.4,27.0,25.9,26.15,861200
DENABANK,2016-03-01,26.7,26.9,26.0,26.25,1513599
DENABANK,2016-03-02,26.9,27.55,26.9,27.3,1958387
DENABANK,2016-03-03,27.75,27.75,26.9,27.4,972922
DENABANK,2016-03-04,27.5,28.3,26.9,27.95,1599025
DENABANK,2016-03-08,28.05,28.7,27.85,28.1,878621
DENABANK,2016-03-09,27.9,28.4,27.6,28.25,566391
DENABANK,2016-03-10,28.55,28.9,28.1,28.5,621764
DENABANK,2016-03-11,28.25,28.6,27.8,28.4,492508
DENABANK,2016-03-14,28.65,28.8,28.1,28.45,442126
DENABANK,2016-03-15,28.45,28.75,28.4,28.65,400533
DENABANK,2016-03-16,28.6,28.8,28.15,28.7,262760
