symbol,date,open,high,low,close,volume
DIVGIITTS,2023-03-14,620.0,620.0,560.0,605.2,3414500
DIVGIITTS,2023-03-15,608.9,635.0,591.0,610.55,716897
DIVGIITTS,2023-03-16,609.0,634.0,593.35,623.65,447954
DIVGIITTS,2023-03-17,630.0,641.0,621.1,625.25,194821
DIVGIITTS,2023-03-20,631.85,636.6,612.0,623.35,160904
DIVGIITTS,2023-03-21,627.85,639.0,612.2,636.2,167381
DIVGIITTS,2023-03-22,640.0,657.85,630.25,641.75,301752
DIVGIITTS,2023-03-23,634.8,659.85,632.75,654.95,128918
DIVGIITTS,2023-03-24,657.0,685.0,651.0,668.8,251807
DIVGIITTS,2023-03-27,670.0,677.65,633.15,660.8,170766
DIVGIITTS,2023-03-28,660.1,671.7,648.1,657.95,74930
DIVGIITTS,2023-03-29,652.25,660.0,635.0,640.5,103161
DIVGIITTS,2023-03-31,644.35,664.85,632.0,658.45,265637
DIVGIITTS,2023-04-03,657.95,662.0,647.85,656.0,35723
DIVGIITTS,2023-04-05,650.0,670.7,646.85,665.7,53505
DIVGIITTS,2023-04-06,666.0,674.65,652.2,664.65,27220
DIVGIITTS,2023-04-10,663.7,664.95,644.0,648.05,27851
DIVGIITTS,2023-04-11,649.65,661.7,642.7,659.45,52061
DIVGIITTS,2023-04-12,659.45,688.4,652.8,659.65,127788
DIVGIITTS,2023-04-13,656.0,677.4,656.0,673.9,42833
DIVGIITTS,2023-04-17,673.85,674.25,661.0,663.95,35077
DIVGIITTS,2023-04-18,659.1,669.6,651.0,656.95,70609
DIVGIITTS,2023-04-19,657.35,662.45,646.45,659.2,54376
DIVGIITTS,2023-04-20,660.85,664.9,653.0,655.7,20448
DIVGIITTS,2023-04-21,655.05,661.0,644.75,652.65,22794
DIVGIITTS,2023-04-24,646.5,659.1,644.1,645.7,17973
DIVGIITTS,2023-04-25,647.45,666.25,643.0,647.05,31504
DIVGIITTS,2023-04-26,647.0,659.0,647.0,650.95,14288
DIVGIITTS,2023-04-27,647.55,659.9,647.55,655.35,17200
DIVGIITTS,2023-04-28,659.0,661.45,653.3,656.8,19226
DIVGIITTS,2023-05-02,658.05,730.0,658.05,714.85,165274
DIVGIITTS,2023-05-03,712.0,748.0,712.0,737.85,93362
DIVGIITTS,2023-05-04,740.0,758.0,732.9,739.85,36730
DIVGIITTS,2023-05-05,739.85,753.9,718.0,730.25,32693
DIVGIITTS,2023-05-08,738.0,742.05,715.85,720.75,31764
DIVGIITTS,2023-05-09,732.5,734.95,694.6,716.95,42784
DIVGIITTS,2023-05-10,726.75,826.45,715.0,793.8,215849
DIVGIITTS,2023-05-11,793.6,810.9,772.0,777.75,88565
DIVGIITTS,2023-05-12,781.8,844.5,771.95,784.0,253899
DIVGIITTS,2023-05-15,785.0,793.75,732.0,739.05,99695
DIVGIITTS,2023-05-16,743.1,758.65,718.0,746.6,88325
DIVGIITTS,2023-05-17,751.0,762.4,740.45,745.2,54295
DIVGIITTS,2023-05-18,748.0,762.45,732.25,741.3,32230
DIVGIITTS,2023-05-19,730.05,748.7,712.3,717.55,99279
DIVGIITTS,2023-05-22,719.0,753.4,687.25,745.35,91664
DIVGIITTS,2023-05-23,745.35,773.0,745.35,768.4,130654
DIVGIITTS,2023-05-24,776.05,840.0,757.5,825.35,176414
DIVGIITTS,2023-05-25,820.05,924.25,820.0,826.3,625659
DIVGIITTS,2023-05-26,830.0,850.0,820.9,830.05,132030
DIVGIITTS,2023-05-29,830.05,850.95,813.6,831.8,86367
DIVGIITTS,2023-05-30,837.0,842.95,822.35,825.5,58951
DIVGIITTS,2023-05-31,829.7,858.9,825.55,842.4,103829
DIVGIITTS,2023-06-01,848.4,857.85,838.85,846.55,63014
DIVGIITTS,2023-06-02,855.85,890.0,844.0,850.55,162266
DIVGIITTS,2023-06-05,856.7,863.35,820.0,825.95,61848
DIVGIITTS,2023-06-06,845.7,846.6,813.05,819.8,33699
DIVGIITTS,2023-06-07,820.0,832.25,806.45,814.55,74213
DIVGIITTS,2023-06-08,814.5,822.2,798.0,802.65,59443
DIVGIITTS,2023-06-09,809.85,849.95,809.0,824.4,66100
DIVGIITTS,2023-06-12,833.85,855.0,823.0,827.0,94304
DIVGIITTS,2023-06-13,832.9,862.85,828.45,851.35,139889
DIVGIITTS,2023-06-14,851.35,894.95,851.0,864.0,211544
DIVGIITTS,2023-06-15,870.0,879.95,844.05,851.5,85380
DIVGIITTS,2023-06-16,852.0,864.95,836.0,839.35,51931
DIVGIITTS,2023-06-19,850.8,850.8,820.3,822.95,31932
DIVGIITTS,2023-06-20,820.05,826.0,807.8,815.25,28677
DIVGIITTS,2023-06-21,815.5,843.95,810.25,838.25,50175
DIVGIITTS,2023-06-22,845.25,857.5,837.0,841.25,64138
DIVGIITTS,2023-06-23,843.3,874.0,839.25,846.5,43348
DIVGIITTS,2023-06-26,849.0,867.4,844.3,854.0,18509
DIVGIITTS,2023-06-27,856.6,959.5,856.6,937.85,362084
DIVGIITTS,2023-06-28,936.05,965.55,902.1,910.9,94787
DIVGIITTS,2023-06-30,919.8,940.0,911.2,923.4,57309
DIVGIITTS,2023-07-03,933.4,1001.95,927.4,959.6,171553
DIVGIITTS,2023-07-04,964.8,983.0,928.05,932.9,51299
DIVGIITTS,2023-07-05,940.9,954.15,922.35,929.9,51518
DIVGIITTS,2023-07-06,938.4,976.65,930.05,947.2,58256
DIVGIITTS,2023-07-07,956.0,965.0,928.05,933.55,56560
