symbol,date,open,high,low,close,volume
DPSCLTD,2008-06-09,1.95,1.95,1.86,1.95,48760
DPSCLTD,2008-06-10,2.04,2.04,1.9,2.04,9430
DPSCLTD,2008-06-11,2.04,2.04,1.94,2.0,18860
DPSCLTD,2008-06-12,1.9,2.07,1.9,2.07,14260
DPSCLTD,2008-06-13,2.0,2.17,2.0,2.17,16100
DPSCLTD,2008-06-16,2.28,2.28,2.21,2.22,39560
DPSCLTD,2008-06-17,2.16,2.3,2.16,2.19,91770
DPSCLTD,2008-06-18,2.2,2.24,2.2,2.2,4140
DPSCLTD,2008-06-19,2.2,2.2,2.1,2.11,8050
DPSCLTD,2008-06-20,2.21,2.21,2.0,2.0,9660
DPSCLTD,2008-06-23,1.91,1.93,1.91,1.92,28060
DPSCLTD,2008-06-24,1.83,1.83,1.83,1.83,28750
DPSCLTD,2008-06-25,1.74,1.92,1.74,1.92,34040
DPSCLTD,2008-06-26,1.92,1.92,1.83,1.83,6670
DPSCLTD,2008-06-27,1.83,1.92,1.74,1.74,17710
DPSCLTD,2008-06-30,1.8,1.8,1.65,1.67,12650
DPSCLTD,2008-07-02,1.59,1.75,1.59,1.75,45310
DPSCLTD,2008-07-03,1.83,1.83,1.66,1.66,24610
DPSCLTD,2008-07-07,1.58,1.61,1.57,1.61,11040
DPSCLTD,2008-07-08,1.76,1.76,1.62,1.63,13110
DPSCLTD,2008-07-09,1.78,1.78,1.78,1.78,230
DPSCLTD,2008-07-10,1.95,1.95,1.7,1.7,11040
DPSCLTD,2008-07-11,1.7,1.7,1.7,1.7,1610
DPSCLTD,2008-07-15,1.78,1.82,1.65,1.7,2530
DPSCLTD,2008-07-16,1.87,1.87,1.57,1.77,31740
DPSCLTD,2008-07-17,1.87,1.87,1.69,1.83,21160
DPSCLTD,2008-07-18,1.74,1.74,1.7,1.71,1610
DPSCLTD,2008-07-21,1.54,1.69,1.54,1.69,8740
DPSCLTD,2008-07-22,1.7,1.7,1.55,1.7,920
DPSCLTD,2008-07-23,1.82,1.82,1.53,1.61,32660
DPSCLTD,2008-07-24,1.73,1.77,1.48,1.7,24610
DPSCLTD,2008-07-25,1.7,1.7,1.57,1.61,16560
DPSCLTD,2008-07-28,1.76,1.76,1.48,1.57,40480
DPSCLTD,2008-07-29,1.61,1.65,1.52,1.61,9200
DPSCLTD,2008-07-30,1.65,1.65,1.55,1.63,46920
DPSCLTD,2008-07-31,1.7,1.7,1.53,1.54,3680
DPSCLTD,2008-08-01,1.41,1.47,1.41,1.47,1380
DPSCLTD,2008-08-04,1.44,1.61,1.44,1.61,32200
DPSCLTD,2008-08-05,1.56,1.73,1.56,1.7,21390
DPSCLTD,2008-08-06,1.65,1.81,1.61,1.62,543950
DPSCLTD,2008-08-07,1.59,1.7,1.59,1.7,5980
DPSCLTD,2008-08-08,1.84,1.84,1.62,1.71,44850
DPSCLTD,2008-08-11,1.67,1.82,1.67,1.74,27830
DPSCLTD,2008-08-12,1.64,1.67,1.62,1.65,28750
DPSCLTD,2008-08-13,1.78,1.79,1.64,1.74,5290
DPSCLTD,2008-08-14,1.58,1.74,1.58,1.72,5980
DPSCLTD,2008-08-18,1.59,1.9,1.59,1.9,115920
DPSCLTD,2008-08-19,2.07,2.09,2.06,2.09,75440
DPSCLTD,2008-08-20,2.29,2.29,2.29,2.29,41400
DPSCLTD,2008-08-21,2.41,2.41,2.19,2.33,350060
DPSCLTD,2008-08-22,2.38,2.43,2.21,2.39,232760
DPSCLTD,2008-08-25,2.34,2.51,2.27,2.48,219190
DPSCLTD,2008-08-26,2.41,2.5,2.35,2.48,206310
