symbol,date,open,high,low,close,volume
EDUCOMP,2016-01-01,4.2875,4.4375,4.2625,4.2875,7576552
EDUCOMP,2016-01-04,4.2875,4.3625,4.075,4.1,6996636
EDUCOMP,2016-01-05,4.1875,4.5625,4.1625,4.3,24959696
EDUCOMP,2016-01-06,4.35,4.35,4.15,4.225,6852284
EDUCOMP,2016-01-07,4.05,4.2375,3.875,3.875,7406884
EDUCOMP,2016-01-08,3.975,4.125,3.9375,3.9875,7079140
EDUCOMP,2016-01-11,3.925,4.05,3.8375,4.0375,4774564
EDUCOMP,2016-01-12,4.0875,4.4,4.05,4.2,19047944
EDUCOMP,2016-01-13,4.3,4.3375,3.875,4.0375,12432560
EDUCOMP,2016-01-14,3.9,4.025,3.75,3.9125,5758900
EDUCOMP,2016-01-15,3.9125,4.0375,3.475,3.55,5879656
EDUCOMP,2016-01-18,3.575,3.5875,3.2875,3.325,4329884
EDUCOMP,2016-01-19,3.4,3.525,3.3375,3.5125,3413112
EDUCOMP,2016-01-20,3.3875,3.4125,3.2375,3.3,3070588
EDUCOMP,2016-01-21,3.375,3.475,3.2375,3.2625,3118360
EDUCOMP,2016-01-22,3.3875,3.4625,3.325,3.3625,3385564
EDUCOMP,2016-01-25,3.425,3.475,3.3625,3.4,2664980
EDUCOMP,2016-01-27,3.4,3.55,3.3625,3.5,4610620
EDUCOMP,2016-01-28,3.55,3.6125,3.4625,3.525,3191744
EDUCOMP,2016-01-29,3.5375,3.5875,3.475,3.5125,1931828
EDUCOMP,2016-02-01,3.55,3.5875,3.4625,3.475,2392732
EDUCOMP,2016-02-02,3.5,3.5125,3.3375,3.3375,2617960
EDUCOMP,2016-02-03,3.2625,3.3125,3.15,3.2,2637768
EDUCOMP,2016-02-04,3.2625,3.3,3.125,3.15,1446980
EDUCOMP,2016-02-05,3.1625,3.3375,3.15,3.3,3454936
EDUCOMP,2016-02-08,3.3,3.3625,3.2625,3.2875,1329660
EDUCOMP,2016-02-09,3.25,3.3,3.2,3.25,1065252
EDUCOMP,2016-02-10,3.2375,3.2375,3.1625,3.2,1159156
EDUCOMP,2016-02-11,3.1875,3.2,2.8,2.8375,2048920
EDUCOMP,2016-02-12,2.85,2.875,2.525,2.75,3399148
EDUCOMP,2016-02-15,2.7875,3.0,2.7875,2.9375,1482004
