symbol,date,open,high,low,close,volume
EIDPARRY,2008-06-09,90.07,97.5,87.15,90.9,41310
EIDPARRY,2008-06-10,95.0,95.0,87.15,91.05,30318
EIDPARRY,2008-06-11,91.7,92.0,89.0,90.25,30022
EIDPARRY,2008-06-12,89.95,90.75,87.88,90.35,9404
EIDPARRY,2008-06-13,91.4,91.4,88.57,89.03,4758
EIDPARRY,2008-06-16,88.65,92.95,88.65,91.95,65384
EIDPARRY,2008-06-17,92.9,100.0,92.63,99.53,31156
EIDPARRY,2008-06-18,99.5,104.95,95.5,97.32,12104
EIDPARRY,2008-06-19,97.43,100.0,97.43,99.5,15934
EIDPARRY,2008-06-20,99.97,100.0,97.0,98.57,33878
EIDPARRY,2008-06-23,96.53,96.53,94.0,95.25,23696
EIDPARRY,2008-06-24,94.63,95.43,94.05,94.7,6808
EIDPARRY,2008-06-25,92.53,93.95,86.4,90.57,9470
EIDPARRY,2008-06-26,92.47,96.85,90.25,96.25,22294
EIDPARRY,2008-06-27,91.3,94.5,89.9,91.93,15276
EIDPARRY,2008-06-30,92.43,93.7,90.0,90.4,19058
EIDPARRY,2008-07-01,86.2,88.0,82.55,84.55,16640
EIDPARRY,2008-07-02,85.45,89.0,80.15,86.43,16258
EIDPARRY,2008-07-03,89.28,92.0,85.03,89.43,19448
EIDPARRY,2008-07-04,89.35,92.0,87.07,91.68,22816
EIDPARRY,2008-07-07,91.25,94.95,90.18,91.05,12246
EIDPARRY,2008-07-08,90.03,92.0,89.53,90.6,11436
EIDPARRY,2008-07-09,91.03,92.0,88.55,89.38,22352
EIDPARRY,2008-07-10,88.5,91.18,83.53,84.85,24434
EIDPARRY,2008-07-11,85.95,88.95,84.35,86.4,23102
EIDPARRY,2008-07-14,84.05,85.97,82.78,84.6,5514
EIDPARRY,2008-07-15,85.72,85.93,83.0,84.15,6060
EIDPARRY,2008-07-16,84.95,85.97,80.55,81.7,6038
EIDPARRY,2008-07-17,84.2,87.45,80.0,82.03,1728530
EIDPARRY,2008-07-18,83.47,86.0,83.47,84.55,32856
EIDPARRY,2008-07-21,84.95,88.45,84.5,87.43,6604
