symbol,date,open,high,low,close,volume
EKC,2008-06-09,311.5,322.0,296.6,314.35,59392
EKC,2008-06-10,313.1,324.0,306.5,312.4,73058
EKC,2008-06-11,316.0,318.85,307.0,313.85,66942
EKC,2008-06-12,296.65,319.4,296.65,316.5,14330
EKC,2008-06-13,313.0,320.5,310.55,317.7,73259
EKC,2008-06-16,319.95,321.0,307.0,308.35,99908
EKC,2008-06-17,309.0,315.1,307.0,313.85,55761
EKC,2008-06-18,314.0,316.95,311.5,312.35,24871
EKC,2008-06-19,307.1,314.0,304.5,305.6,104718
EKC,2008-06-20,309.8,314.0,298.1,301.8,254924
EKC,2008-06-23,304.0,307.9,295.7,302.1,70039
EKC,2008-06-24,304.9,305.0,290.15,299.45,47861
EKC,2008-06-25,285.2,298.9,285.2,296.65,48175
EKC,2008-06-26,300.0,304.0,277.0,281.85,129232
EKC,2008-06-27,271.0,289.7,266.5,284.1,114303
EKC,2008-06-30,281.25,284.75,263.0,266.7,82999
EKC,2008-07-01,263.7,263.7,239.0,242.2,95225
EKC,2008-07-02,242.2,259.85,226.0,252.8,123050
EKC,2008-07-03,251.0,259.0,236.2,255.1,61761
EKC,2008-07-04,259.2,270.0,254.0,261.25,38527
EKC,2008-07-07,267.4,282.95,265.0,277.35,24068
EKC,2008-07-08,260.6,276.0,260.15,264.1,48802
EKC,2008-07-09,266.0,275.95,265.2,269.1,46359
EKC,2008-07-10,268.0,275.0,267.25,272.9,23603
EKC,2008-07-11,278.9,278.95,267.0,270.0,27243
EKC,2008-07-14,274.25,277.9,259.5,274.0,47116
EKC,2008-07-15,263.25,271.0,262.15,264.5,26032
EKC,2008-07-16,265.0,269.8,255.0,265.0,71046
EKC,2008-07-17,270.0,274.0,260.0,261.05,88367
EKC,2008-07-18,261.0,265.0,254.0,258.65,53050
EKC,2008-07-21,262.0,267.0,257.5,263.45,13960
EKC,2008-07-22,265.0,279.0,260.15,276.15,43911
EKC,2008-07-23,285.0,290.0,276.0,284.25,308138
EKC,2008-07-24,284.9,289.0,270.15,272.85,81872
EKC,2008-07-25,264.0,284.0,263.75,281.5,52508
EKC,2008-07-28,284.5,294.0,277.0,290.15,80201
EKC,2008-07-29,273.6,292.9,272.0,287.4,99414
EKC,2008-07-30,290.0,295.0,281.6,291.7,92633
EKC,2008-07-31,300.0,300.0,293.0,298.9,76079
EKC,2008-08-01,295.0,317.0,291.15,312.55,104333
EKC,2008-08-04,316.0,322.9,307.0,318.95,56861
EKC,2008-08-05,317.05,321.95,315.0,319.75,47893
EKC,2008-08-06,325.0,327.0,315.05,316.85,72385
EKC,2008-08-07,318.0,324.25,314.0,316.05,19351
EKC,2008-08-08,316.1,319.8,310.0,312.0,29803
EKC,2008-08-11,314.0,325.0,314.0,323.25,31368
EKC,2008-08-12,322.1,325.0,311.0,313.1,44646
EKC,2008-08-13,307.0,314.8,307.0,312.35,53500
EKC,2008-08-14,312.0,314.0,305.0,306.25,17322
EKC,2008-08-18,305.0,314.3,303.0,311.35,65070
EKC,2008-08-19,311.0,311.0,303.1,307.55,50990
EKC,2008-08-20,310.0,310.0,302.0,303.45,33154
EKC,2008-08-21,304.0,321.0,302.5,316.65,338072
EKC,2008-08-22,316.0,322.0,304.15,307.2,164633
EKC,2008-08-25,309.0,311.7,299.0,301.9,42044
EKC,2008-08-26,299.0,303.5,295.0,299.85,49175
EKC,2008-08-27,303.8,305.0,295.15,296.4,54729
EKC,2008-08-28,297.9,308.0,292.0,294.85,271663
EKC,2008-08-29,298.0,303.0,296.0,298.65,60262
EKC,2008-09-01,299.5,302.0,293.0,294.65,26710
EKC,2008-09-02,296.0,306.5,296.0,298.6,140411
EKC,2008-09-04,296.0,300.95,287.5,291.85,47125
EKC,2008-09-05,288.0,296.4,285.05,288.65,75021
EKC,2008-09-08,295.0,299.5,291.0,297.15,56229
EKC,2008-09-09,289.0,299.65,288.0,297.2,45137
EKC,2008-09-10,290.0,298.0,290.0,292.0,20431
EKC,2008-09-11,294.95,298.0,288.0,297.1,29337
EKC,2008-09-12,294.0,298.5,291.25,297.1,27721
EKC,2008-09-15,295.0,297.0,278.5,291.85,44651
EKC,2008-09-16,289.0,289.9,279.0,283.8,53391
EKC,2008-09-17,286.0,289.2,279.2,280.45,21949
EKC,2008-09-18,252.0,291.0,252.0,276.5,92073
EKC,2008-09-19,280.1,292.5,280.1,290.3,118146
EKC,2008-09-22,293.1,294.85,283.1,290.35,90922
EKC,2008-09-23,280.05,287.9,270.0,271.2,126760
EKC,2008-09-24,273.0,280.0,266.15,268.65,72281
EKC,2008-09-25,271.0,272.6,266.2,269.35,87180
EKC,2008-09-26,274.0,274.0,264.6,267.15,50836
EKC,2008-09-29,265.0,269.7,250.1,260.85,40082
EKC,2008-09-30,245.0,271.9,245.0,269.85,65584
EKC,2008-10-01,275.0,275.0,258.0,260.15,61840
EKC,2008-10-03,259.7,263.9,254.05,256.35,35736
EKC,2008-10-06,256.0,257.0,233.0,239.7,68137
EKC,2008-10-07,240.1,248.9,230.0,237.5,77775
EKC,2008-10-08,228.2,239.0,210.0,226.2,106823
EKC,2008-10-10,213.0,218.0,194.0,204.15,107810
EKC,2008-10-13,201.0,215.0,192.4,206.6,190986
EKC,2008-10-14,218.0,219.0,205.0,205.55,50071
EKC,2008-10-15,205.05,211.9,196.15,205.55,64308
EKC,2008-10-16,197.2,209.0,197.2,205.7,22211
EKC,2008-10-17,209.0,221.0,190.0,193.85,181126
EKC,2008-10-20,199.0,205.0,180.1,189.85,35092
EKC,2008-10-21,190.8,195.0,186.25,189.15,40826
EKC,2008-10-22,187.2,192.9,182.55,186.05,17417
EKC,2008-10-23,169.15,183.0,169.15,178.05,14587
EKC,2008-10-24,180.15,188.0,154.0,156.6,44363
EKC,2008-10-27,179.0,179.95,129.7,135.0,67425
EKC,2008-10-28,148.0,175.0,139.8,160.75,18838
EKC,2008-10-29,168.1,174.0,151.0,172.15,83969
EKC,2008-10-31,177.0,183.0,164.0,179.55,225332
EKC,2008-11-03,180.0,197.0,170.45,190.4,518174
EKC,2008-11-04,191.0,211.9,186.7,201.6,523879
EKC,2008-11-05,207.8,209.7,189.0,195.35,82216
EKC,2008-11-06,190.0,191.0,177.0,179.6,85902
EKC,2008-11-07,183.7,184.8,175.05,182.1,21012
EKC,2008-11-10,189.95,196.0,175.0,190.1,28065
EKC,2008-11-11,195.0,201.0,185.0,191.1,87095
EKC,2008-11-12,185.6,195.0,185.05,192.45,19878
EKC,2008-11-14,195.0,197.75,168.15,171.05,86221
EKC,2008-11-17,179.0,179.0,145.85,147.85,214128
EKC,2008-11-18,145.0,152.9,139.0,150.45,183542
EKC,2008-11-19,151.0,155.0,150.0,150.7,52835
EKC,2008-11-20,149.9,154.0,138.5,150.95,31174
EKC,2008-11-21,147.0,152.5,139.4,141.2,50632
