symbol,date,open,high,low,close,volume
EMAMIPAP,2019-05-30,172.95,172.95,140.0,152.0,799
EMAMIPAP,2019-05-31,164.95,164.95,151.9,151.9,250
EMAMIPAP,2019-06-03,151.9,157.45,151.9,152.15,237
EMAMIPAP,2019-06-04,152.0,156.0,150.0,156.0,166
EMAMIPAP,2019-06-06,156.0,156.0,144.05,144.25,389
EMAMIPAP,2019-06-07,144.45,145.15,138.0,143.5,600
EMAMIPAP,2019-06-10,149.95,149.95,139.0,149.8,49
EMAMIPAP,2019-06-11,135.0,148.95,135.0,139.4,608
EMAMIPAP,2019-06-12,139.05,141.6,139.0,140.2,666
EMAMIPAP,2019-06-13,133.15,140.0,133.15,135.4,670
EMAMIPAP,2019-06-14,135.5,135.5,130.0,130.35,1487
EMAMIPAP,2019-06-17,130.35,130.35,115.0,125.95,390
EMAMIPAP,2019-06-18,104.0,126.0,104.0,123.05,55
EMAMIPAP,2019-06-19,118.0,122.5,110.0,111.4,887
EMAMIPAP,2019-06-20,93.0,110.0,93.0,104.0,2576
EMAMIPAP,2019-06-21,94.2,103.5,94.2,96.45,1990
EMAMIPAP,2019-06-24,98.0,98.35,87.5,91.55,5173
EMAMIPAP,2019-06-25,90.0,100.7,86.65,99.15,19480
EMAMIPAP,2019-06-26,101.0,109.05,95.0,109.05,42227
EMAMIPAP,2019-06-27,116.95,117.5,108.8,110.6,29740
EMAMIPAP,2019-06-28,107.05,114.8,100.0,110.0,7976
EMAMIPAP,2019-07-01,102.1,108.0,101.55,102.35,3737
EMAMIPAP,2019-07-02,102.0,103.85,96.2,98.6,2003
EMAMIPAP,2019-07-03,98.1,101.95,89.0,94.25,10418
EMAMIPAP,2019-07-04,95.0,97.5,90.05,92.4,6403
EMAMIPAP,2019-07-05,93.4,93.4,86.25,91.55,2457
EMAMIPAP,2019-07-08,87.15,92.75,84.25,86.05,7146
EMAMIPAP,2019-07-09,86.75,90.0,80.1,83.5,1107
EMAMIPAP,2019-07-10,83.0,83.0,80.55,82.0,3676
EMAMIPAP,2019-07-11,80.05,82.0,78.35,80.15,1281
EMAMIPAP,2019-07-12,80.25,81.95,76.3,80.05,1947
EMAMIPAP,2019-07-15,76.5,83.95,76.5,76.8,3006
EMAMIPAP,2019-07-16,73.0,84.4,73.0,77.25,7136
EMAMIPAP,2019-07-17,79.75,79.85,74.15,74.6,1280
EMAMIPAP,2019-07-18,75.05,76.75,70.9,71.45,3138
EMAMIPAP,2019-07-19,71.0,71.2,67.9,67.9,4779
EMAMIPAP,2019-07-22,65.05,69.0,64.55,64.55,3142
EMAMIPAP,2019-07-23,64.55,66.95,61.35,62.7,3585
EMAMIPAP,2019-07-24,64.95,65.8,64.95,65.8,1650
EMAMIPAP,2019-07-25,69.0,69.05,69.0,69.05,2405
EMAMIPAP,2019-07-26,70.5,72.5,70.5,72.5,870
EMAMIPAP,2019-07-29,71.0,76.0,71.0,72.6,2071
