symbol,date,open,high,low,close,volume
ESABINDIA,2008-06-09,361.0,379.0,337.0,375.55,1467
ESABINDIA,2008-06-10,375.0,379.0,360.0,371.05,1599
ESABINDIA,2008-06-11,378.0,379.0,368.0,374.9,88
ESABINDIA,2008-06-12,360.0,376.0,358.0,373.1,619
ESABINDIA,2008-06-13,376.0,376.0,365.1,374.75,215
ESABINDIA,2008-06-16,370.0,386.9,361.0,370.65,283
ESABINDIA,2008-06-17,375.0,379.0,369.2,371.0,523
ESABINDIA,2008-06-18,376.0,384.0,375.0,380.45,594
ESABINDIA,2008-06-19,380.0,380.0,380.0,380.0,183
ESABINDIA,2008-06-20,375.0,377.95,360.0,370.0,4610
ESABINDIA,2008-06-23,366.0,371.0,352.0,356.45,1065
ESABINDIA,2008-06-24,354.0,373.95,354.0,367.0,1340
ESABINDIA,2008-06-25,356.1,375.0,356.1,374.7,1789
ESABINDIA,2008-06-26,365.0,389.0,365.0,377.4,1963
ESABINDIA,2008-06-27,366.0,375.0,365.5,371.6,988
ESABINDIA,2008-06-30,366.0,375.0,342.25,364.2,4743
ESABINDIA,2008-07-01,360.0,360.0,335.15,348.8,2281
ESABINDIA,2008-07-02,340.05,354.75,325.0,349.15,3429
ESABINDIA,2008-07-03,331.6,344.0,318.0,338.25,3472
ESABINDIA,2008-07-04,358.0,358.0,335.0,343.25,530
ESABINDIA,2008-07-07,369.0,369.0,344.0,358.65,504
ESABINDIA,2008-07-08,345.5,358.45,343.0,357.9,511
ESABINDIA,2008-07-09,359.0,378.75,354.0,372.7,1568
ESABINDIA,2008-07-10,359.0,385.0,359.0,379.95,925
ESABINDIA,2008-07-11,375.0,383.0,368.5,370.35,418
ESABINDIA,2008-07-14,368.5,379.0,358.0,377.6,1022
ESABINDIA,2008-07-15,362.0,374.0,345.0,345.9,1749
ESABINDIA,2008-07-16,364.5,364.5,331.0,338.6,2197
ESABINDIA,2008-07-17,355.0,355.0,338.15,343.2,1101
ESABINDIA,2008-07-18,340.0,354.95,340.0,347.0,298
ESABINDIA,2008-07-21,355.0,365.0,337.2,361.6,1422
ESABINDIA,2008-07-22,344.0,361.0,340.1,355.5,220
ESABINDIA,2008-07-23,365.0,370.0,351.0,354.0,441
ESABINDIA,2008-07-24,360.0,361.95,360.0,360.25,217
ESABINDIA,2008-07-25,375.0,390.0,375.0,384.65,3515
ESABINDIA,2008-07-28,398.0,402.95,390.05,397.4,2881
ESABINDIA,2008-07-29,395.0,399.0,385.0,387.5,495
ESABINDIA,2008-07-30,395.05,399.0,382.0,390.85,3034
ESABINDIA,2008-07-31,389.0,389.0,376.0,377.45,458
ESABINDIA,2008-08-01,363.0,384.0,363.0,376.55,818
ESABINDIA,2008-08-04,380.0,380.0,365.0,375.1,774
ESABINDIA,2008-08-05,370.45,380.0,370.0,377.3,415
ESABINDIA,2008-08-06,381.0,389.5,379.0,385.55,1158
ESABINDIA,2008-08-07,381.0,394.0,381.0,390.65,939
ESABINDIA,2008-08-08,383.0,397.0,380.0,392.15,1293
ESABINDIA,2008-08-11,390.2,408.0,390.2,400.65,971
ESABINDIA,2008-08-12,409.95,409.95,392.05,401.05,911
ESABINDIA,2008-08-13,395.0,412.0,395.0,408.0,780
ESABINDIA,2008-08-14,409.95,410.0,392.0,396.85,3168
ESABINDIA,2008-08-18,399.0,409.0,399.0,405.1,236
ESABINDIA,2008-08-19,399.0,415.0,395.0,409.75,3509
ESABINDIA,2008-08-20,413.65,414.9,396.25,409.45,738
ESABINDIA,2008-08-21,398.05,411.0,397.15,409.1,254
ESABINDIA,2008-08-22,401.05,420.0,398.1,416.1,2076
ESABINDIA,2008-08-25,411.05,418.0,411.0,417.9,687
ESABINDIA,2008-08-26,419.7,425.0,400.05,412.7,854
ESABINDIA,2008-08-27,403.0,424.0,403.0,419.6,4342
ESABINDIA,2008-08-28,416.75,430.0,410.1,427.75,3863
ESABINDIA,2008-08-29,429.0,444.4,419.5,436.3,4378
ESABINDIA,2008-09-01,431.5,440.0,414.9,430.1,2816
ESABINDIA,2008-09-02,430.0,430.0,416.0,418.85,1075
ESABINDIA,2008-09-04,425.0,435.0,416.0,419.75,3498
ESABINDIA,2008-09-05,416.0,427.5,416.0,420.05,1131
ESABINDIA,2008-09-08,425.0,425.9,415.7,417.65,1464
ESABINDIA,2008-09-09,417.0,417.0,417.0,417.0,23
ESABINDIA,2008-09-10,408.0,428.95,400.0,419.5,2877
ESABINDIA,2008-09-11,410.0,432.0,410.0,428.2,2497
ESABINDIA,2008-09-12,438.9,445.0,412.0,435.1,3689
ESABINDIA,2008-09-15,417.0,440.0,405.25,431.1,3725
ESABINDIA,2008-09-16,413.0,444.0,390.15,440.25,4523
ESABINDIA,2008-09-17,427.0,439.0,415.5,436.1,3319
ESABINDIA,2008-09-18,416.05,430.0,409.0,428.45,4681
ESABINDIA,2008-09-19,433.0,460.0,417.5,444.85,5187
ESABINDIA,2008-09-22,444.85,447.95,427.0,443.9,2385
ESABINDIA,2008-09-23,420.1,441.0,420.1,430.35,3543
ESABINDIA,2008-09-24,441.5,444.0,424.4,425.25,1124
ESABINDIA,2008-09-25,421.05,440.0,420.0,436.95,2343
ESABINDIA,2008-09-26,418.3,440.0,418.2,436.4,6357
ESABINDIA,2008-09-29,423.0,430.0,406.0,423.9,4586
ESABINDIA,2008-09-30,417.75,430.0,401.55,428.15,7317
ESABINDIA,2008-10-01,418.1,427.0,418.0,418.0,1190
ESABINDIA,2008-10-03,418.0,418.0,407.5,409.65,184
ESABINDIA,2008-10-06,387.0,404.0,365.05,367.75,1149
ESABINDIA,2008-10-07,368.1,370.0,351.1,364.8,2620
ESABINDIA,2008-10-08,350.05,368.0,337.0,362.3,1981
ESABINDIA,2008-10-10,351.0,360.0,292.0,355.55,3762
ESABINDIA,2008-10-13,333.0,368.9,333.0,365.1,2197
ESABINDIA,2008-10-14,365.6,388.0,341.0,368.45,2286
ESABINDIA,2008-10-15,364.0,367.0,335.05,339.05,829
ESABINDIA,2008-10-16,335.0,359.0,321.0,341.4,2797
ESABINDIA,2008-10-17,341.5,348.0,309.9,326.4,1872
ESABINDIA,2008-10-20,320.0,340.0,307.15,335.0,1253
ESABINDIA,2008-10-21,326.0,339.0,326.0,330.0,1102
ESABINDIA,2008-10-22,329.95,339.95,326.5,339.15,1255
ESABINDIA,2008-10-23,307.0,337.0,307.0,321.65,359
ESABINDIA,2008-10-24,320.0,379.85,297.55,327.75,65693
ESABINDIA,2008-10-27,333.0,333.0,295.0,311.85,1970
ESABINDIA,2008-10-28,330.0,330.0,311.85,317.55,75
ESABINDIA,2008-10-29,317.05,330.75,317.05,318.55,469
ESABINDIA,2008-10-31,347.95,347.95,310.0,314.95,6020
ESABINDIA,2008-11-03,320.0,329.0,314.95,319.05,16597
ESABINDIA,2008-11-04,328.5,342.0,320.0,335.55,3423
ESABINDIA,2008-11-05,335.0,335.0,320.0,328.9,1493
ESABINDIA,2008-11-06,321.0,329.7,321.0,325.2,763
ESABINDIA,2008-11-07,312.5,330.8,300.0,315.4,2456
ESABINDIA,2008-11-10,320.0,329.75,310.0,326.9,766
ESABINDIA,2008-11-11,312.0,330.0,312.0,325.0,646
ESABINDIA,2008-11-12,334.9,334.9,310.25,325.55,944
ESABINDIA,2008-11-14,320.0,325.0,317.0,325.0,83
ESABINDIA,2008-11-17,318.0,318.0,300.0,304.45,1100
ESABINDIA,2008-11-18,303.0,310.0,300.0,300.2,388
ESABINDIA,2008-11-19,316.0,316.0,285.0,285.2,2208
ESABINDIA,2008-11-20,281.0,285.0,265.05,275.3,1202
ESABINDIA,2008-11-21,282.0,282.0,263.0,268.7,784
ESABINDIA,2008-11-24,269.0,271.0,259.0,265.65,1014
ESABINDIA,2008-11-25,270.0,271.0,255.65,257.5,1160
ESABINDIA,2008-11-26,256.0,261.75,252.0,260.0,870
ESABINDIA,2008-11-28,264.95,273.0,256.0,267.55,5336
ESABINDIA,2008-12-01,260.0,275.0,248.0,266.7,5060
ESABINDIA,2008-12-02,260.0,260.0,256.0,258.45,410
ESABINDIA,2008-12-03,257.75,265.0,257.0,264.4,405
ESABINDIA,2008-12-04,265.0,269.95,263.95,264.35,2578
ESABINDIA,2008-12-05,264.0,269.0,260.4,265.6,542
ESABINDIA,2008-12-08,265.0,267.0,258.5,267.0,226
ESABINDIA,2008-12-10,264.0,265.0,260.0,261.55,792
ESABINDIA,2008-12-11,261.6,261.6,248.0,249.85,3921
ESABINDIA,2008-12-12,250.0,256.45,239.0,245.5,7371
ESABINDIA,2008-12-15,245.0,254.5,245.0,249.2,1191
ESABINDIA,2008-12-16,254.0,259.55,250.0,259.35,336
ESABINDIA,2008-12-17,262.0,274.75,256.0,258.05,1102
ESABINDIA,2008-12-18,267.95,267.95,245.0,254.0,2608
ESABINDIA,2008-12-19,255.0,268.0,255.0,263.25,958
ESABINDIA,2008-12-22,269.0,272.0,262.3,268.4,532
ESABINDIA,2008-12-23,263.4,269.0,262.55,267.2,184
ESABINDIA,2008-12-24,262.0,267.0,260.0,267.0,53
ESABINDIA,2008-12-26,263.0,263.5,260.5,262.0,143
ESABINDIA,2008-12-29,264.45,264.5,255.0,257.45,476
ESABINDIA,2008-12-30,257.05,257.05,254.8,256.0,190
ESABINDIA,2008-12-31,256.0,258.5,249.05,250.2,662
ESABINDIA,2009-01-01,249.45,258.85,249.45,255.9,161
ESABINDIA,2009-01-02,255.4,263.7,247.1,261.0,612
ESABINDIA,2009-01-05,265.0,276.3,265.0,272.5,781
ESABINDIA,2009-01-06,278.95,279.0,266.0,278.3,386
ESABINDIA,2009-01-07,278.5,278.5,251.55,260.8,488
ESABINDIA,2009-01-09,260.0,265.0,255.0,255.25,218
ESABINDIA,2009-01-12,256.0,256.0,245.0,254.9,243
ESABINDIA,2009-01-13,269.6,269.6,250.0,255.25,379
ESABINDIA,2009-01-14,268.35,268.35,250.0,254.1,1149
ESABINDIA,2009-01-15,261.95,261.95,254.0,258.4,11
ESABINDIA,2009-01-16,257.1,258.0,253.0,258.0,152
ESABINDIA,2009-01-19,258.05,258.95,252.0,257.25,162
ESABINDIA,2009-01-20,254.0,258.75,240.0,251.0,683
