symbol,date,open,high,low,close,volume
ESG,2023-09-01,31.48,31.89,31.48,31.78,3812
ESG,2023-09-04,31.96,32.0,31.8,31.96,5768
ESG,2023-09-05,32.08,32.13,31.96,32.05,82998
ESG,2023-09-06,32.09,32.14,31.91,32.14,5368
ESG,2023-09-07,32.15,32.32,32.03,32.31,107031
ESG,2023-09-08,32.31,32.47,32.27,32.34,20465
ESG,2023-09-11,32.53,32.73,32.42,32.63,10526
ESG,2023-09-12,32.84,32.84,32.57,32.74,126477
ESG,2023-09-13,32.63,32.78,32.55,32.71,105361
ESG,2023-09-14,32.9,32.93,32.75,32.8,6991
ESG,2023-09-15,32.86,32.99,32.81,32.89,10027
ESG,2023-09-18,32.93,33.01,32.84,32.95,34955
ESG,2023-09-20,32.96,32.99,32.68,32.8,169566
ESG,2023-09-21,32.69,32.71,32.45,32.59,6422
ESG,2023-09-25,33.16,33.16,32.35,32.52,10764
ESG,2023-09-26,32.52,32.52,32.37,32.47,129035
ESG,2023-09-27,32.5,32.6,32.31,32.6,13320
ESG,2023-09-28,33.2,33.2,32.15,32.28,1137215
ESG,2023-09-29,32.25,32.5,32.24,32.38,5221
ESG,2023-10-03,33.05,33.05,32.11,32.2,8845
ESG,2023-10-04,32.11,32.11,31.86,31.99,87453
ESG,2023-10-05,32.15,32.32,32.14,32.31,8058
ESG,2023-10-06,32.34,32.5,32.28,32.5,23752
ESG,2023-10-09,32.46,32.46,32.18,32.27,63321
ESG,2023-10-10,32.3,32.64,32.3,32.51,7133
ESG,2023-10-11,32.71,32.87,32.71,32.74,9536
ESG,2023-10-12,32.79,32.79,32.55,32.63,2654
ESG,2023-10-13,32.42,32.63,32.39,32.55,86041
ESG,2023-10-16,32.56,32.59,32.48,32.54,47704
ESG,2023-10-17,32.58,32.69,32.53,32.56,175584
ESG,2023-10-18,32.66,32.66,32.41,32.45,4888
ESG,2023-10-19,32.25,32.39,32.11,32.31,3188
ESG,2023-10-20,32.17,32.25,32.05,32.14,5112
ESG,2023-10-23,32.0,32.16,31.61,31.7,7536
ESG,2023-10-25,31.7,31.79,31.32,31.43,7701
ESG,2023-10-26,31.27,31.29,30.94,30.96,150362
ESG,2023-10-27,31.19,31.39,31.18,31.36,9939
ESG,2023-10-30,31.25,31.45,31.11,31.4,419623
ESG,2023-10-31,31.53,31.53,31.29,31.42,8287
ESG,2023-11-01,31.42,31.42,31.15,31.15,152998
ESG,2023-11-02,31.42,31.48,31.26,31.48,13237
ESG,2023-11-03,31.45,31.7,31.45,31.66,21758
ESG,2023-11-06,31.8,32.0,31.72,32.0,4042
ESG,2023-11-07,31.98,32.05,31.81,32.05,66369
ESG,2023-11-08,32.12,32.12,31.98,32.06,5224
ESG,2023-11-09,32.09,32.1,31.9,32.04,99356
ESG,2023-11-10,31.9,32.03,31.83,32.03,13506
ESG,2023-11-12,32.9,32.9,32.09,32.09,4365
ESG,2023-11-13,32.05,32.11,31.92,32.03,64425
ESG,2023-11-15,32.21,32.38,32.2,32.35,8189
ESG,2023-11-16,32.36,32.72,32.23,32.53,20865
ESG,2023-11-17,32.6,32.74,32.51,32.51,100922
ESG,2023-11-20,32.62,32.67,32.41,32.47,1015587
ESG,2023-11-21,32.55,32.67,32.54,32.57,56686
