symbol,date,open,high,low,close,volume
EXCEL,2015-05-06,0.38,0.38,0.35,0.38,15880
EXCEL,2015-05-07,0.42,0.42,0.36,0.38,95080
EXCEL,2015-05-08,0.36,0.42,0.36,0.38,78560
EXCEL,2015-05-11,0.4,0.4,0.34,0.37,242810
EXCEL,2015-05-12,0.38,0.38,0.34,0.35,31360
EXCEL,2015-05-13,0.38,0.38,0.35,0.37,27620
EXCEL,2015-05-14,0.35,0.38,0.35,0.37,82160
EXCEL,2015-05-15,0.39,0.39,0.35,0.36,99350
EXCEL,2015-05-18,0.39,0.39,0.36,0.36,79460
EXCEL,2015-05-19,0.38,0.38,0.36,0.36,74060
EXCEL,2015-05-20,0.42,0.42,0.36,0.4,222520
EXCEL,2015-05-21,0.4,0.4,0.36,0.36,72400
EXCEL,2015-05-22,0.35,0.38,0.34,0.36,100250
EXCEL,2015-05-25,0.35,0.4,0.33,0.35,57550
EXCEL,2015-05-26,0.41,0.41,0.32,0.38,374300
EXCEL,2015-05-27,0.44,0.44,0.35,0.38,813100
EXCEL,2015-05-28,0.38,0.42,0.35,0.36,703390
EXCEL,2015-05-29,0.35,0.37,0.35,0.36,27580
EXCEL,2015-06-01,0.37,0.37,0.34,0.35,14030
EXCEL,2015-06-02,0.37,0.37,0.34,0.35,47470
EXCEL,2015-06-03,0.4,0.4,0.34,0.38,340510
EXCEL,2015-06-04,0.37,0.37,0.35,0.37,121220
EXCEL,2015-06-05,0.38,0.38,0.35,0.37,237910
EXCEL,2015-06-08,0.39,0.39,0.34,0.34,96470
EXCEL,2015-06-09,0.38,0.38,0.34,0.36,88370
EXCEL,2015-06-10,0.39,0.39,0.33,0.34,79910
EXCEL,2015-06-11,0.33,0.38,0.33,0.36,17810
EXCEL,2015-06-12,0.37,0.37,0.33,0.34,56240
EXCEL,2015-06-15,0.35,0.35,0.31,0.33,519610
EXCEL,2015-06-16,0.35,0.35,0.32,0.34,36580
EXCEL,2015-06-17,0.35,0.35,0.32,0.35,67490
EXCEL,2015-06-18,0.34,0.34,0.33,0.34,163390
EXCEL,2015-06-19,0.33,0.34,0.32,0.33,137380
EXCEL,2015-06-22,0.33,0.34,0.31,0.32,308150
EXCEL,2015-06-23,0.32,0.33,0.32,0.33,46930
EXCEL,2015-06-24,0.33,0.33,0.32,0.33,96160
EXCEL,2015-06-25,0.33,0.33,0.32,0.33,117400
EXCEL,2015-06-26,0.33,0.33,0.32,0.32,70370
EXCEL,2015-06-29,0.33,0.33,0.31,0.33,139130
EXCEL,2015-06-30,0.33,0.34,0.32,0.33,114830
EXCEL,2015-07-01,0.31,0.36,0.31,0.35,233180
EXCEL,2015-07-02,0.34,0.38,0.32,0.35,136070
EXCEL,2015-07-03,0.38,0.38,0.35,0.37,174550
EXCEL,2015-07-06,0.36,0.39,0.34,0.38,344200
EXCEL,2015-07-07,0.38,0.4,0.36,0.38,291410
EXCEL,2015-07-08,0.37,0.4,0.35,0.36,123250
EXCEL,2015-07-09,0.36,0.4,0.36,0.39,171890
EXCEL,2015-07-10,0.38,0.4,0.38,0.4,106240
EXCEL,2015-07-13,0.4,0.47,0.4,0.47,2839360
EXCEL,2015-07-14,0.48,0.48,0.44,0.46,778360
EXCEL,2015-07-15,0.47,0.49,0.45,0.47,1009480
EXCEL,2015-07-16,0.47,0.48,0.45,0.47,302120
EXCEL,2015-07-17,0.47,0.55,0.44,0.53,4220360
EXCEL,2015-07-20,0.53,0.57,0.48,0.51,2064050
EXCEL,2015-07-21,0.51,0.54,0.49,0.5,1302920
EXCEL,2015-07-22,0.51,0.55,0.49,0.52,1615180
EXCEL,2015-07-23,0.55,0.55,0.5,0.52,427540
EXCEL,2015-07-24,0.51,0.54,0.49,0.5,130090
