symbol,date,open,high,low,close,volume
FEDDERELEC,2017-06-13,71.0,71.4,70.3,70.3,35756
FEDDERELEC,2017-06-14,70.85,70.85,69.55,69.75,31273
FEDDERELEC,2017-06-15,70.05,71.25,69.6,70.05,34787
FEDDERELEC,2017-06-16,71.25,73.85,70.5,72.5,68555
FEDDERELEC,2017-06-19,73.25,73.25,71.0,71.6,36820
FEDDERELEC,2017-06-20,71.9,72.8,70.6,72.45,49069
FEDDERELEC,2017-06-21,72.45,73.5,71.35,72.5,49697
FEDDERELEC,2017-06-22,72.4,76.2,72.1,73.45,225809
FEDDERELEC,2017-06-23,74.05,74.05,70.6,70.6,98699
FEDDERELEC,2017-06-27,71.75,71.75,69.0,69.35,50854
FEDDERELEC,2017-06-28,68.8,69.55,68.45,68.55,29647
FEDDERELEC,2017-06-29,69.05,71.65,68.55,68.8,80595
FEDDERELEC,2017-06-30,69.4,70.0,68.15,68.75,60351
FEDDERELEC,2017-07-03,69.05,71.75,69.05,70.85,50641
FEDDERELEC,2017-07-04,71.5,73.4,70.0,71.5,107586
FEDDERELEC,2017-07-05,71.0,73.15,71.0,72.6,60836
FEDDERELEC,2017-07-06,72.7,74.25,72.0,73.6,76919
FEDDERELEC,2017-07-07,73.3,75.0,72.25,74.35,90653
FEDDERELEC,2017-07-10,74.0,75.45,73.1,73.35,18253
FEDDERELEC,2017-07-11,73.0,74.5,73.0,74.3,76378
FEDDERELEC,2017-07-12,74.0,76.2,72.6,75.05,95812
FEDDERELEC,2017-07-13,75.5,76.25,72.7,73.0,150249
FEDDERELEC,2017-07-14,73.1,73.85,72.0,72.5,77039
FEDDERELEC,2017-07-17,74.0,74.0,71.7,72.5,118499
FEDDERELEC,2017-07-18,71.6,73.95,71.0,73.75,83537
FEDDERELEC,2017-07-19,72.25,73.9,72.0,72.4,56794
FEDDERELEC,2017-07-20,73.55,73.55,72.0,72.95,41343
FEDDERELEC,2017-07-21,72.5,74.25,72.3,72.55,71903
