symbol,date,open,high,low,close,volume
FMNL,2016-01-01,18.25,19.575,18.125,19.5,296324
FMNL,2016-01-04,19.275,19.45,18.05,18.375,137536
FMNL,2016-01-05,18.35,19.0,18.3,18.75,67536
FMNL,2016-01-06,18.9,18.95,18.075,18.325,46084
FMNL,2016-01-07,17.825,17.825,16.95,17.25,76538
FMNL,2016-01-08,16.925,18.375,16.925,17.5,77532
FMNL,2016-01-11,16.175,18.375,16.175,17.725,23014
FMNL,2016-01-12,17.35,18.475,17.0,17.7,36532
FMNL,2016-01-13,17.05,17.725,15.5,15.875,77990
FMNL,2016-01-14,16.05,16.375,14.625,16.25,77972
FMNL,2016-01-15,15.3,16.75,15.075,15.1,39768
FMNL,2016-01-18,15.25,15.25,13.8,13.8,82682
FMNL,2016-01-19,13.8,14.0,13.175,13.55,57156
FMNL,2016-01-20,13.75,14.175,13.05,14.0,28762
FMNL,2016-01-21,14.6,14.625,13.3,13.625,56602
FMNL,2016-01-22,14.45,14.475,13.5,14.45,22944
FMNL,2016-01-25,14.6,15.15,14.525,15.15,15250
FMNL,2016-01-27,15.875,15.9,15.575,15.9,11618
FMNL,2016-01-28,16.25,16.675,16.25,16.675,28916
FMNL,2016-01-29,17.2,17.5,16.275,16.8,96558
FMNL,2016-02-01,17.45,17.575,16.825,17.25,58766
FMNL,2016-02-02,17.0,17.875,16.55,16.675,83628
FMNL,2016-02-03,16.0,16.475,16.0,16.25,21080
FMNL,2016-02-04,15.75,16.5,15.25,15.25,23018
FMNL,2016-02-05,15.875,15.875,14.5,15.5,52212
FMNL,2016-02-08,15.65,15.85,15.125,15.15,13110
FMNL,2016-02-09,15.475,15.5,14.6,14.775,23108
FMNL,2016-02-10,15.15,15.45,14.625,15.0,87470
FMNL,2016-02-11,14.25,15.0,14.225,14.225,40364
FMNL,2016-02-12,14.25,14.25,13.525,13.525,32076
FMNL,2016-02-15,13.95,14.175,13.525,14.175,23948
FMNL,2016-02-16,13.55,14.3,13.5,13.55,10092
FMNL,2016-02-17,13.55,13.55,12.875,13.05,37144
FMNL,2016-02-18,13.5,13.5,12.55,13.0,31284
FMNL,2016-02-19,12.65,13.425,12.65,12.675,5454
FMNL,2016-02-22,12.275,13.15,12.275,12.6,28346
FMNL,2016-02-23,12.55,12.95,12.325,12.5,21404
FMNL,2016-02-24,11.95,12.625,11.85,11.85,29800
FMNL,2016-02-25,11.75,12.125,11.275,11.4,9538
FMNL,2016-02-26,11.325,11.75,11.0,11.225,34146
FMNL,2016-02-29,11.15,11.325,10.675,11.0,23520
FMNL,2016-03-01,10.825,11.55,10.825,11.425,56018
FMNL,2016-03-02,11.75,11.975,11.75,11.975,10482
FMNL,2016-03-03,12.55,12.55,12.55,12.55,2034
FMNL,2016-03-04,13.15,13.175,12.275,12.95,21384
FMNL,2016-03-08,13.375,13.375,12.45,13.175,14968
FMNL,2016-03-09,12.3,13.25,12.3,13.2,17208
FMNL,2016-03-10,13.0,13.425,12.75,13.025,18588
FMNL,2016-03-11,13.025,13.5,12.85,13.25,37538
FMNL,2016-03-14,13.425,13.425,12.575,12.575,7204
FMNL,2016-03-15,12.25,12.825,11.95,11.95,34912
FMNL,2016-03-16,12.125,12.45,12.125,12.45,6846
FMNL,2016-03-17,12.875,12.875,12.4,12.85,6392
FMNL,2016-03-18,12.7,13.125,12.5,12.925,4228
FMNL,2016-03-21,12.9,12.9,12.35,12.7,8038
FMNL,2016-03-22,13.0,13.0,11.825,12.175,18332
FMNL,2016-03-23,11.85,12.325,11.85,11.95,52022
FMNL,2016-03-28,12.0,12.25,11.9,12.05,1646
