symbol,date,open,high,low,close,volume
GANESHHOUC,2008-06-09,206.67,243.3,190.7,211.43,84193
GANESHHOUC,2008-06-10,210.0,210.0,198.0,201.13,6298
GANESHHOUC,2008-06-11,200.67,204.0,200.03,200.53,1027
GANESHHOUC,2008-06-12,198.67,199.3,190.0,194.13,841
GANESHHOUC,2008-06-13,193.53,205.77,193.4,203.0,2230
GANESHHOUC,2008-06-16,213.33,213.33,197.47,200.67,431
GANESHHOUC,2008-06-17,201.33,201.33,190.0,201.17,5938
GANESHHOUC,2008-06-18,196.0,201.3,196.0,200.0,3562
GANESHHOUC,2008-06-19,196.67,198.0,193.33,193.87,7843
GANESHHOUC,2008-06-20,191.7,191.7,178.07,181.23,4109
GANESHHOUC,2008-06-23,168.67,181.33,160.03,175.03,22502
GANESHHOUC,2008-06-24,165.0,186.67,165.0,182.93,8567
GANESHHOUC,2008-06-25,168.33,176.67,168.33,174.4,7091
GANESHHOUC,2008-06-26,174.7,186.67,170.0,181.97,7594
GANESHHOUC,2008-06-27,170.37,188.0,170.37,184.13,21247
GANESHHOUC,2008-06-30,179.33,183.33,160.0,166.2,39107
GANESHHOUC,2008-07-01,162.17,163.2,139.33,143.67,4223
GANESHHOUC,2008-07-02,143.33,172.4,143.33,171.03,17399
GANESHHOUC,2008-07-03,160.0,160.0,146.67,153.63,1253
GANESHHOUC,2008-07-04,150.0,158.63,150.0,156.77,5549
GANESHHOUC,2008-07-07,161.33,168.63,160.0,163.23,8755
GANESHHOUC,2008-07-08,150.7,159.33,150.7,156.9,694
GANESHHOUC,2008-07-09,153.47,169.2,153.43,162.67,8045
GANESHHOUC,2008-07-10,156.7,163.83,156.7,160.0,1921
GANESHHOUC,2008-07-11,158.67,166.63,154.13,158.03,1715
GANESHHOUC,2008-07-14,154.7,154.7,147.33,151.03,2389
GANESHHOUC,2008-07-15,150.0,159.33,143.33,144.3,11810
GANESHHOUC,2008-07-16,146.67,148.67,142.67,145.07,3916
GANESHHOUC,2008-07-17,150.0,150.0,145.33,148.2,1972
GANESHHOUC,2008-07-18,144.0,162.6,143.33,155.6,2828
GANESHHOUC,2008-07-21,150.03,154.13,141.93,145.43,664
GANESHHOUC,2008-07-22,144.03,150.67,144.0,149.73,7639
GANESHHOUC,2008-07-23,166.67,166.67,146.7,159.33,2720
GANESHHOUC,2008-07-24,155.33,159.0,150.0,153.57,2500
GANESHHOUC,2008-07-25,153.27,155.97,148.1,151.83,211
GANESHHOUC,2008-07-28,156.97,156.97,149.67,150.03,907
GANESHHOUC,2008-07-29,152.6,152.6,141.4,145.53,817
GANESHHOUC,2008-07-30,152.0,152.6,144.07,147.33,1088
GANESHHOUC,2008-07-31,156.67,156.67,143.33,146.6,4325
GANESHHOUC,2008-08-01,148.67,150.0,145.0,146.67,1967
GANESHHOUC,2008-08-04,146.67,150.0,144.7,145.2,3314
GANESHHOUC,2008-08-05,144.93,153.33,141.33,151.5,1412
