symbol,date,open,high,low,close,volume
GARWALLROP,2016-01-01,422.0,426.1,417.0,418.05,10017
GARWALLROP,2016-01-04,420.8,429.35,413.95,416.0,27977
GARWALLROP,2016-01-05,408.0,424.7,408.0,418.0,21969
GARWALLROP,2016-01-06,416.55,416.55,403.0,410.55,105889
GARWALLROP,2016-01-07,408.0,408.0,388.0,394.8,30888
GARWALLROP,2016-01-08,396.0,402.0,390.55,400.95,39489
GARWALLROP,2016-01-11,398.0,428.1,395.0,398.5,19270
GARWALLROP,2016-01-12,397.9,407.85,386.0,395.0,22416
GARWALLROP,2016-01-13,394.75,401.0,360.0,390.1,192827
GARWALLROP,2016-01-14,390.0,408.3,375.1,385.0,97032
GARWALLROP,2016-01-15,390.2,397.6,365.0,373.15,19908
GARWALLROP,2016-01-18,370.0,370.0,337.5,342.0,62848
GARWALLROP,2016-01-19,347.4,352.0,334.0,352.0,28776
GARWALLROP,2016-01-20,343.3,346.0,333.6,341.0,35472
GARWALLROP,2016-01-21,345.0,357.0,335.0,352.55,20535
GARWALLROP,2016-01-22,357.0,362.5,348.55,351.3,18443
GARWALLROP,2016-01-25,364.0,364.0,346.0,348.0,30913
GARWALLROP,2016-01-27,345.0,355.6,338.0,341.95,14757
GARWALLROP,2016-01-28,345.0,349.9,335.1,344.9,13934
GARWALLROP,2016-01-29,348.9,357.0,340.3,354.0,23621
GARWALLROP,2016-02-01,357.9,369.25,350.0,351.25,24323
GARWALLROP,2016-02-02,358.0,363.0,347.8,349.0,15708
GARWALLROP,2016-02-03,349.0,351.0,326.0,341.5,35527
GARWALLROP,2016-02-04,348.95,358.85,345.0,347.0,19143
GARWALLROP,2016-02-05,348.45,354.9,340.0,352.25,14475
GARWALLROP,2016-02-08,349.0,356.0,342.75,345.0,12885
GARWALLROP,2016-02-09,336.0,344.95,331.4,338.0,10008
GARWALLROP,2016-02-10,336.0,338.5,322.55,334.0,21737
GARWALLROP,2016-02-11,335.0,337.95,296.2,305.05,46672
GARWALLROP,2016-02-12,309.0,310.2,278.05,292.1,53915
GARWALLROP,2016-02-15,304.0,323.0,304.0,318.0,31761
GARWALLROP,2016-02-16,324.7,327.0,292.0,294.9,29973
GARWALLROP,2016-02-17,300.0,307.3,282.8,307.0,28935
GARWALLROP,2016-02-18,308.2,312.9,300.3,306.0,12004
GARWALLROP,2016-02-19,305.0,310.8,304.0,310.8,4656
GARWALLROP,2016-02-22,323.55,325.0,307.1,307.1,28089
GARWALLROP,2016-02-23,315.0,315.0,299.0,300.0,13861
GARWALLROP,2016-02-24,299.85,300.85,286.95,288.35,41944
GARWALLROP,2016-02-25,290.0,293.65,285.0,288.0,8978
GARWALLROP,2016-02-26,295.0,295.0,278.3,282.8,18686
GARWALLROP,2016-02-29,284.05,297.0,271.25,280.0,34698
GARWALLROP,2016-03-01,282.0,295.0,282.0,289.8,26260
GARWALLROP,2016-03-02,300.0,305.9,290.2,294.0,21585
GARWALLROP,2016-03-03,299.0,300.0,289.2,294.1,35931
GARWALLROP,2016-03-04,295.0,295.4,285.0,288.1,29466
GARWALLROP,2016-03-08,291.0,305.0,287.0,293.0,60981
GARWALLROP,2016-03-09,294.6,298.0,291.05,296.0,13087
GARWALLROP,2016-03-10,295.0,304.05,295.0,300.05,34506
GARWALLROP,2016-03-11,301.6,304.5,300.3,301.1,15124
GARWALLROP,2016-03-14,306.7,314.0,302.25,313.0,23074
GARWALLROP,2016-03-15,313.95,324.45,310.2,324.0,44907
GARWALLROP,2016-03-16,327.0,328.0,317.2,321.5,29609
GARWALLROP,2016-03-17,325.0,328.35,321.0,324.95,21921
GARWALLROP,2016-03-18,325.0,333.0,319.05,329.8,16064
GARWALLROP,2016-03-21,330.0,338.0,324.1,334.0,24946
GARWALLROP,2016-03-22,337.0,338.9,327.0,327.0,29634
GARWALLROP,2016-03-23,327.25,334.0,327.0,330.95,14967
GARWALLROP,2016-03-28,335.0,335.0,325.05,326.0,13001
GARWALLROP,2016-03-29,322.0,338.0,322.0,330.5,32119
GARWALLROP,2016-03-30,343.75,343.75,333.0,337.0,5898
GARWALLROP,2016-03-31,333.2,341.95,331.1,341.0,7172
GARWALLROP,2016-04-01,336.1,340.0,330.6,337.0,10481
GARWALLROP,2016-04-04,341.95,341.95,329.0,339.0,15063
GARWALLROP,2016-04-05,336.15,337.9,323.1,328.0,21058
GARWALLROP,2016-04-06,341.0,341.0,323.0,332.0,6561
GARWALLROP,2016-04-07,329.9,336.0,325.0,330.0,17707
GARWALLROP,2016-04-08,332.8,334.4,324.95,330.0,6239
GARWALLROP,2016-04-11,331.0,334.95,325.45,330.0,7405
GARWALLROP,2016-04-12,330.0,342.1,330.0,342.1,19301
GARWALLROP,2016-04-13,345.0,365.0,343.4,358.5,67706
GARWALLROP,2016-04-18,364.05,375.0,364.05,372.0,43533
GARWALLROP,2016-04-20,372.35,373.8,361.0,364.2,20066
GARWALLROP,2016-04-21,370.75,370.75,361.0,365.5,14559
GARWALLROP,2016-04-22,363.0,367.65,359.0,363.25,16478
GARWALLROP,2016-04-25,368.4,372.0,361.0,367.0,18383
GARWALLROP,2016-04-26,366.0,369.0,361.25,365.25,16397
GARWALLROP,2016-04-27,362.25,365.65,360.0,362.35,14152
GARWALLROP,2016-04-28,360.0,362.85,351.25,351.5,25314
GARWALLROP,2016-04-29,353.7,362.0,352.05,352.1,19505
GARWALLROP,2016-05-02,356.05,363.9,350.25,354.25,18093
GARWALLROP,2016-05-03,354.0,359.85,352.0,353.8,12398
GARWALLROP,2016-05-04,355.0,355.0,334.85,337.9,21981
GARWALLROP,2016-05-05,332.4,345.05,332.4,345.0,8847
GARWALLROP,2016-05-06,343.9,343.9,332.0,333.0,9202
GARWALLROP,2016-05-09,339.0,339.0,329.0,333.15,18527
GARWALLROP,2016-05-10,331.25,356.0,331.0,352.25,21499
GARWALLROP,2016-05-11,352.0,352.6,335.5,344.5,12266
GARWALLROP,2016-05-12,343.0,356.0,341.1,349.5,9040
GARWALLROP,2016-05-13,353.0,357.8,343.5,354.0,13309
GARWALLROP,2016-05-16,353.75,357.2,322.35,337.1,38396
GARWALLROP,2016-05-17,336.0,349.2,336.0,347.0,21212
GARWALLROP,2016-05-18,343.5,353.0,343.5,352.0,16220
GARWALLROP,2016-05-19,349.0,352.0,346.1,350.1,19022
GARWALLROP,2016-05-20,345.05,349.0,334.0,334.3,13796
GARWALLROP,2016-05-23,339.95,345.0,330.6,340.0,8625
GARWALLROP,2016-05-24,340.65,340.65,330.0,334.9,6981
GARWALLROP,2016-05-25,333.3,350.0,333.3,348.5,12816
GARWALLROP,2016-05-26,348.0,350.3,340.0,347.85,12434
GARWALLROP,2016-05-27,361.0,366.0,347.0,358.1,52694
GARWALLROP,2016-05-30,362.4,362.4,347.9,362.0,23803
GARWALLROP,2016-05-31,357.0,368.95,353.4,364.0,22904
GARWALLROP,2016-06-01,365.0,365.0,353.55,355.0,10859
GARWALLROP,2016-06-02,352.0,362.9,352.0,359.6,5823
GARWALLROP,2016-06-03,361.7,361.8,354.0,354.0,5225
GARWALLROP,2016-06-06,358.0,361.3,342.75,343.75,12411
GARWALLROP,2016-06-07,345.65,350.9,345.05,349.05,13655
GARWALLROP,2016-06-08,342.5,359.7,342.5,348.0,19307
GARWALLROP,2016-06-09,347.05,355.0,347.0,352.05,11803
GARWALLROP,2016-06-10,349.0,355.0,343.3,344.8,16293
GARWALLROP,2016-06-13,343.2,344.95,336.0,339.8,8594
GARWALLROP,2016-06-14,340.0,347.0,338.1,342.25,8363
GARWALLROP,2016-06-15,343.3,347.0,336.05,337.05,20943
GARWALLROP,2016-06-16,338.1,342.9,338.1,339.1,7215
GARWALLROP,2016-06-17,340.6,344.85,340.2,343.0,4260
GARWALLROP,2016-06-20,338.1,358.8,338.1,352.0,35595
GARWALLROP,2016-06-21,354.95,364.0,353.05,363.0,33866
GARWALLROP,2016-06-22,364.85,368.9,358.0,359.5,17916
GARWALLROP,2016-06-23,355.0,362.0,355.0,360.0,14872
GARWALLROP,2016-06-24,359.0,366.0,337.0,357.0,62143
GARWALLROP,2016-06-27,351.5,362.2,351.5,360.0,8146
GARWALLROP,2016-06-28,355.0,363.0,355.0,357.25,6949
GARWALLROP,2016-06-29,366.0,400.0,364.0,392.0,79851
GARWALLROP,2016-06-30,396.7,398.0,387.0,391.5,26027
GARWALLROP,2016-07-01,393.45,405.0,387.2,389.5,22003
GARWALLROP,2016-07-04,386.3,398.65,386.3,396.0,7271
GARWALLROP,2016-07-05,393.0,399.7,385.0,399.0,11628
GARWALLROP,2016-07-07,398.0,402.0,385.5,388.3,14790
GARWALLROP,2016-07-08,398.0,402.0,388.55,391.95,17010
GARWALLROP,2016-07-11,396.9,404.0,388.0,397.9,22959
GARWALLROP,2016-07-12,400.0,438.2,396.1,429.0,123448
GARWALLROP,2016-07-13,427.0,429.0,410.05,413.25,18209
GARWALLROP,2016-07-14,416.9,428.0,410.3,420.0,13595
GARWALLROP,2016-07-15,425.0,426.8,412.0,422.0,5817
GARWALLROP,2016-07-18,415.5,424.0,399.2,401.05,15477
GARWALLROP,2016-07-19,398.6,404.0,394.0,402.0,15425
GARWALLROP,2016-07-20,398.25,427.25,398.2,417.1,20838
GARWALLROP,2016-07-21,418.0,421.95,410.55,413.0,7647
GARWALLROP,2016-07-22,419.8,420.0,410.3,415.0,7859
GARWALLROP,2016-07-25,407.0,443.2,407.0,437.0,42786
GARWALLROP,2016-07-26,436.85,452.5,436.85,447.35,44654
GARWALLROP,2016-07-27,449.75,458.9,447.0,455.0,33909
GARWALLROP,2016-07-28,458.85,460.0,447.35,447.5,16263
GARWALLROP,2016-07-29,448.2,456.3,448.2,453.0,17382
GARWALLROP,2016-08-01,459.75,459.9,448.0,452.0,22498
GARWALLROP,2016-08-02,454.95,458.95,447.5,454.9,14178
GARWALLROP,2016-08-03,452.05,462.0,452.0,455.0,22250
GARWALLROP,2016-08-04,459.95,466.0,454.0,454.9,17715
GARWALLROP,2016-08-05,460.0,461.6,455.15,460.0,5943
GARWALLROP,2016-08-08,459.75,514.9,459.75,493.0,119038
GARWALLROP,2016-08-09,493.0,497.0,484.0,490.0,19740
GARWALLROP,2016-08-10,485.0,488.0,461.5,469.5,18418
GARWALLROP,2016-08-11,485.0,486.0,462.6,478.0,33967
GARWALLROP,2016-08-12,478.0,495.0,473.5,490.0,48654
GARWALLROP,2016-08-16,496.0,539.4,496.0,522.1,101322
