symbol,date,open,high,low,close,volume
GENESYS,2008-06-09,51.55,51.55,50.95,50.95,6968
GENESYS,2008-06-10,48.53,48.97,48.4,48.4,3308
GENESYS,2008-06-11,49.85,50.75,49.0,49.75,9588
GENESYS,2008-06-12,48.0,48.0,47.28,47.28,6974
GENESYS,2008-06-13,48.5,48.5,46.58,47.2,3080
GENESYS,2008-06-16,49.47,49.58,47.6,49.35,9036
GENESYS,2008-06-17,51.75,51.83,51.5,51.83,11408
GENESYS,2008-06-18,54.4,54.42,54.4,54.42,1910
GENESYS,2008-06-19,57.15,57.15,55.58,57.1,21594
GENESYS,2008-06-20,59.45,59.97,54.25,55.97,24316
GENESYS,2008-06-23,57.0,58.5,53.5,54.28,9176
GENESYS,2008-06-24,53.5,54.55,51.58,53.55,1694
GENESYS,2008-06-25,50.88,50.88,50.88,50.88,4530
GENESYS,2008-06-26,52.0,53.3,51.55,52.58,3454
GENESYS,2008-06-27,50.5,50.95,49.95,49.95,4768
GENESYS,2008-06-30,50.0,50.0,47.5,47.75,2130
GENESYS,2008-07-01,45.95,45.95,45.38,45.38,1040
GENESYS,2008-07-02,43.13,47.63,43.13,44.85,6018
GENESYS,2008-07-03,44.5,44.5,42.63,43.8,2494
GENESYS,2008-07-04,42.65,45.0,42.65,45.0,2010
GENESYS,2008-07-07,44.75,46.85,44.5,46.85,314
GENESYS,2008-07-08,44.95,44.95,44.95,44.95,200
GENESYS,2008-07-09,45.58,47.2,43.17,47.2,4064
GENESYS,2008-07-10,49.42,49.42,45.25,49.0,3742
GENESYS,2008-07-11,50.0,51.0,46.55,47.03,3310
GENESYS,2008-07-14,46.28,48.45,46.28,48.45,566
GENESYS,2008-07-15,46.75,48.0,46.5,46.83,2356
GENESYS,2008-07-16,46.5,47.55,46.5,46.5,3102
GENESYS,2008-07-17,46.75,46.75,44.17,45.1,1646
GENESYS,2008-07-18,46.5,47.38,44.03,47.38,884
GENESYS,2008-07-21,45.05,47.0,45.03,46.4,5140
GENESYS,2008-07-22,48.0,48.0,45.63,45.72,760
GENESYS,2008-07-23,47.5,48.03,46.0,48.03,1648
GENESYS,2008-07-24,49.5,50.4,47.5,49.97,2902
GENESYS,2008-07-25,47.5,47.63,47.5,47.5,2162
GENESYS,2008-07-28,47.5,48.5,47.5,48.25,1002
GENESYS,2008-07-29,48.25,49.0,46.0,47.88,2508
GENESYS,2008-07-30,49.9,50.28,49.0,49.0,5724
GENESYS,2008-07-31,50.42,50.72,48.0,49.95,420
GENESYS,2008-08-01,52.38,52.45,51.25,52.45,11900
GENESYS,2008-08-04,55.08,55.08,54.88,55.08,3932
GENESYS,2008-08-05,57.85,57.85,57.85,57.85,2744
GENESYS,2008-08-06,60.75,60.75,60.75,60.75,26114
GENESYS,2008-08-07,63.2,63.8,58.25,60.08,31172
GENESYS,2008-08-08,57.55,61.5,57.15,58.22,14756
GENESYS,2008-08-11,61.15,61.15,58.78,61.0,1412
GENESYS,2008-08-12,62.5,62.5,58.55,61.72,6232
GENESYS,2008-08-13,63.5,64.75,59.5,62.92,7252
GENESYS,2008-08-14,66.0,66.0,61.5,64.75,2658
GENESYS,2008-08-18,67.5,68.0,63.33,68.0,15348
GENESYS,2008-08-19,69.7,71.4,64.6,64.82,8794
GENESYS,2008-08-20,66.0,68.07,64.6,67.57,3822
GENESYS,2008-08-21,69.95,69.95,65.13,66.63,1792
GENESYS,2008-08-22,65.82,67.0,64.0,64.05,11800
GENESYS,2008-08-25,67.25,67.25,61.15,61.4,7804
GENESYS,2008-08-26,60.0,63.85,58.35,60.22,16498
GENESYS,2008-08-27,60.5,62.9,60.5,62.45,3990
GENESYS,2008-08-28,61.5,61.5,59.35,59.35,1564
GENESYS,2008-08-29,59.38,61.42,58.53,60.85,2752
GENESYS,2008-09-01,60.25,60.88,57.83,57.88,2980
GENESYS,2008-09-02,57.25,58.9,55.25,55.63,3012
GENESYS,2008-09-04,55.55,58.42,55.5,58.25,3768
GENESYS,2008-09-05,56.75,59.95,56.05,58.0,1924
GENESYS,2008-09-08,59.0,62.35,59.0,60.75,6208
GENESYS,2008-09-09,59.95,60.5,58.38,59.15,1850
GENESYS,2008-09-10,58.05,60.95,57.25,57.25,3048
GENESYS,2008-09-11,59.7,59.7,56.05,56.65,2424
GENESYS,2008-09-12,58.4,58.4,55.0,55.22,9988
GENESYS,2008-09-15,49.72,52.0,49.7,50.35,20466
GENESYS,2008-09-16,50.35,50.35,45.5,48.28,4176
GENESYS,2008-09-17,49.88,50.0,45.08,47.63,2966
GENESYS,2008-09-18,46.5,46.5,42.88,44.85,11534
GENESYS,2008-09-19,48.72,48.72,42.53,45.4,4300
GENESYS,2008-09-22,48.4,49.95,47.75,49.95,4336
GENESYS,2008-09-23,54.0,54.95,49.0,51.05,21810
GENESYS,2008-09-24,52.0,53.45,50.8,52.22,3652
GENESYS,2008-09-25,52.5,53.35,48.63,50.55,13992
GENESYS,2008-09-26,49.5,50.5,45.53,46.1,4422
GENESYS,2008-09-29,46.5,48.95,41.58,42.8,19654
GENESYS,2008-09-30,39.5,46.35,39.5,42.7,10924
GENESYS,2008-10-01,46.38,46.38,42.65,43.8,7234
GENESYS,2008-10-03,43.5,44.45,43.03,44.03,3634
GENESYS,2008-10-06,42.5,44.0,40.78,40.92,8436
GENESYS,2008-10-07,42.5,43.5,41.5,42.7,5772
GENESYS,2008-10-08,41.0,41.0,38.5,39.5,4670
GENESYS,2008-10-10,35.55,36.1,35.55,35.55,5918
GENESYS,2008-10-13,37.47,37.47,34.0,36.15,3990
GENESYS,2008-10-14,35.55,38.95,35.55,37.03,4098
GENESYS,2008-10-15,36.5,38.0,35.25,36.35,1840
GENESYS,2008-10-16,35.0,35.9,32.75,34.15,4796
GENESYS,2008-10-17,35.25,35.25,34.5,34.5,2680
GENESYS,2008-10-20,34.28,35.7,34.28,34.5,2130
GENESYS,2008-10-21,34.03,37.95,34.03,37.95,1574
GENESYS,2008-10-22,38.0,41.0,36.05,40.05,4442
GENESYS,2008-10-23,37.63,39.47,36.15,36.63,4014
GENESYS,2008-10-24,35.95,35.95,32.97,32.97,3542
GENESYS,2008-10-27,32.97,32.97,29.7,31.25,9662
GENESYS,2008-10-28,31.6,34.22,31.52,34.17,496
GENESYS,2008-10-29,35.0,35.0,32.78,34.97,6118
GENESYS,2008-10-31,34.97,35.92,33.13,33.58,3630
