symbol,date,open,high,low,close,volume
GENUSPAPER,2015-02-18,4.6,4.6,4.6,4.6,6865
GENUSPAPER,2015-02-19,4.4,4.4,4.4,4.4,1000
GENUSPAPER,2015-02-20,4.2,4.2,4.2,4.2,6848
GENUSPAPER,2015-02-23,4.0,4.0,4.0,4.0,2462
GENUSPAPER,2015-02-24,3.8,3.8,3.8,3.8,1133
GENUSPAPER,2015-02-25,3.65,3.65,3.65,3.65,202
GENUSPAPER,2015-02-26,3.5,3.5,3.5,3.5,3122
GENUSPAPER,2015-02-27,3.35,3.35,3.35,3.35,1608
GENUSPAPER,2015-02-28,3.2,3.2,3.2,3.2,8612
GENUSPAPER,2015-03-02,2.95,3.05,2.9,2.9,76518
GENUSPAPER,2015-03-03,2.9,2.9,2.65,2.75,35922
GENUSPAPER,2015-03-04,2.5,3.0,2.5,2.9,33933
GENUSPAPER,2015-03-05,2.8,2.95,2.8,2.9,15647
GENUSPAPER,2015-03-09,3.0,3.0,2.8,2.8,6556
GENUSPAPER,2015-03-10,2.9,2.9,2.7,2.7,12746
GENUSPAPER,2015-03-11,2.7,2.75,2.6,2.7,10371
GENUSPAPER,2015-03-12,2.8,2.8,2.65,2.75,7282
GENUSPAPER,2015-03-13,2.65,2.85,2.65,2.7,42478
GENUSPAPER,2015-03-16,2.8,2.8,2.6,2.8,23606
GENUSPAPER,2015-03-17,2.75,2.9,2.7,2.7,47455
GENUSPAPER,2015-03-18,2.6,2.75,2.6,2.6,1742552
GENUSPAPER,2015-03-19,2.55,2.7,2.5,2.6,23445
GENUSPAPER,2015-03-20,2.7,2.7,2.5,2.55,19926
GENUSPAPER,2015-03-23,2.45,2.5,2.45,2.45,14549
GENUSPAPER,2015-03-24,2.45,2.5,2.45,2.45,16059
GENUSPAPER,2015-03-25,2.5,2.5,2.35,2.35,4001
GENUSPAPER,2015-03-26,2.35,2.35,2.25,2.25,2793
GENUSPAPER,2015-03-27,2.15,2.15,2.15,2.15,1616744
GENUSPAPER,2015-03-30,2.05,2.05,2.05,2.05,21942
GENUSPAPER,2015-03-31,1.95,2.05,1.95,1.95,41205
GENUSPAPER,2015-04-01,1.9,2.0,1.9,2.0,118367
GENUSPAPER,2015-04-06,2.1,2.1,1.9,1.9,19791
GENUSPAPER,2015-04-07,1.95,1.95,1.85,1.85,46214
GENUSPAPER,2015-04-08,1.9,1.9,1.8,1.85,55435
GENUSPAPER,2015-04-09,1.85,1.85,1.8,1.8,27551
GENUSPAPER,2015-04-10,1.8,1.8,1.75,1.75,215293
GENUSPAPER,2015-04-13,1.75,1.8,1.7,1.8,142579
GENUSPAPER,2015-04-15,1.8,1.8,1.75,1.75,119407
GENUSPAPER,2015-04-16,1.75,1.8,1.7,1.75,95859
GENUSPAPER,2015-04-17,1.7,1.75,1.7,1.75,55303
GENUSPAPER,2015-04-20,1.75,1.75,1.7,1.75,56604
GENUSPAPER,2015-04-21,1.8,1.8,1.7,1.7,86162
GENUSPAPER,2015-04-22,1.65,1.65,1.65,1.65,35575
GENUSPAPER,2015-04-23,1.65,1.7,1.65,1.7,7132
GENUSPAPER,2015-04-24,1.75,1.75,1.65,1.7,31410
GENUSPAPER,2015-04-27,1.75,1.75,1.65,1.7,34050
GENUSPAPER,2015-04-28,1.65,1.75,1.65,1.65,11875
GENUSPAPER,2015-04-29,1.7,1.7,1.7,1.7,49102
GENUSPAPER,2015-04-30,1.75,1.75,1.7,1.7,11606
GENUSPAPER,2015-05-04,1.7,1.85,1.7,1.85,43401
GENUSPAPER,2015-05-05,1.75,2.0,1.75,2.0,55824
GENUSPAPER,2015-05-06,2.1,2.2,1.85,2.0,63850
GENUSPAPER,2015-05-07,2.0,2.0,1.9,2.0,41346
GENUSPAPER,2015-05-08,2.0,2.0,1.95,2.0,46296
GENUSPAPER,2015-05-11,1.95,2.0,1.9,2.0,17250
GENUSPAPER,2015-05-12,1.95,2.05,1.95,2.05,50489
GENUSPAPER,2015-05-13,2.0,2.0,1.95,1.95,6063
GENUSPAPER,2015-05-14,2.05,2.1,1.95,2.0,47653
GENUSPAPER,2015-05-15,1.95,2.0,1.95,1.95,6942
GENUSPAPER,2015-05-18,2.1,2.1,1.9,2.0,12040
GENUSPAPER,2015-05-19,1.95,2.1,1.9,2.0,8733
GENUSPAPER,2015-05-20,2.0,2.2,2.0,2.2,39439
GENUSPAPER,2015-05-21,2.05,2.4,2.0,2.0,149358
GENUSPAPER,2015-05-22,2.0,2.15,1.95,2.0,7266
GENUSPAPER,2015-05-25,2.0,2.0,2.0,2.0,10000
GENUSPAPER,2015-05-26,2.0,2.15,2.0,2.1,7051
GENUSPAPER,2015-05-27,2.2,2.2,1.9,1.9,43895
GENUSPAPER,2015-05-28,1.9,2.0,1.85,1.9,66475
GENUSPAPER,2015-05-29,1.95,2.05,1.95,2.0,6812
GENUSPAPER,2015-06-01,1.85,1.9,1.85,1.9,1356
GENUSPAPER,2015-06-02,2.0,2.0,1.9,1.9,6208
GENUSPAPER,2015-06-03,1.85,1.85,1.75,1.75,65376
GENUSPAPER,2015-06-04,1.8,1.8,1.8,1.8,100
GENUSPAPER,2015-06-05,1.8,2.15,1.7,2.05,20546
GENUSPAPER,2015-06-08,1.8,2.1,1.8,2.1,5436
GENUSPAPER,2015-06-09,1.9,2.1,1.85,1.9,64303
GENUSPAPER,2015-06-10,1.7,2.0,1.7,1.85,20538
GENUSPAPER,2015-06-11,2.0,2.0,1.8,1.85,10329
GENUSPAPER,2015-06-12,1.9,2.2,1.85,2.0,96590
GENUSPAPER,2015-06-15,2.0,2.05,1.9,1.9,1493
GENUSPAPER,2015-06-16,1.95,2.1,1.65,1.95,18002
GENUSPAPER,2015-06-17,1.95,2.05,1.7,1.95,22421
GENUSPAPER,2015-06-18,1.9,2.2,1.85,1.9,10662
GENUSPAPER,2015-06-19,1.85,2.2,1.8,2.15,35914
GENUSPAPER,2015-06-22,2.45,2.45,2.15,2.35,20869
GENUSPAPER,2015-06-23,2.35,2.6,2.3,2.5,7032
GENUSPAPER,2015-06-24,2.4,2.45,2.15,2.35,25847
GENUSPAPER,2015-06-25,2.2,2.5,2.2,2.45,12650
