symbol,date,open,high,low,close,volume
GEOJITBNPP,2016-01-01,39.0,39.75,39.0,39.5,29602
GEOJITBNPP,2016-01-04,39.75,40.0,39.0,39.1,61967
GEOJITBNPP,2016-01-05,39.45,39.45,38.7,39.0,46364
GEOJITBNPP,2016-01-06,39.5,39.85,38.6,38.85,58477
GEOJITBNPP,2016-01-07,39.4,39.4,37.0,37.8,143938
GEOJITBNPP,2016-01-08,37.6,38.5,37.4,37.65,47358
GEOJITBNPP,2016-01-11,38.0,38.0,36.9,37.3,42891
GEOJITBNPP,2016-01-12,38.5,38.5,36.75,37.0,38890
GEOJITBNPP,2016-01-13,37.2,37.65,35.0,36.8,115862
GEOJITBNPP,2016-01-14,37.25,37.25,35.3,36.3,35981
GEOJITBNPP,2016-01-15,36.2,37.0,34.55,34.9,56662
GEOJITBNPP,2016-01-18,33.0,35.5,33.0,34.5,109664
GEOJITBNPP,2016-01-19,34.3,34.5,33.5,34.35,37444
GEOJITBNPP,2016-01-20,34.0,37.7,34.0,37.0,172190
GEOJITBNPP,2016-01-21,37.85,38.45,35.55,36.2,254964
GEOJITBNPP,2016-01-22,37.9,37.9,35.0,37.15,347190
GEOJITBNPP,2016-01-25,35.25,39.5,34.4,39.5,386607
GEOJITBNPP,2016-01-27,39.2,39.2,36.5,36.5,46951
GEOJITBNPP,2016-01-28,36.9,37.0,36.2,36.25,28428
GEOJITBNPP,2016-01-29,37.5,38.0,35.85,37.1,70528
GEOJITBNPP,2016-02-01,36.2,36.95,35.65,35.8,57785
GEOJITBNPP,2016-02-02,35.15,36.25,35.0,35.4,54059
GEOJITBNPP,2016-02-03,35.5,35.5,34.35,34.75,44566
GEOJITBNPP,2016-02-04,34.8,35.45,34.05,34.1,32865
GEOJITBNPP,2016-02-05,34.3,34.8,33.4,34.65,36791
GEOJITBNPP,2016-02-08,34.95,34.95,33.65,33.75,50363
GEOJITBNPP,2016-02-09,33.6,34.4,33.1,33.4,32378
GEOJITBNPP,2016-02-10,33.2,33.35,31.0,31.5,79255
GEOJITBNPP,2016-02-11,31.5,31.5,29.1,29.35,84175
GEOJITBNPP,2016-02-12,29.55,34.5,28.05,31.85,130819
GEOJITBNPP,2016-02-15,30.8,33.5,30.8,31.6,46426
GEOJITBNPP,2016-02-16,33.2,33.2,29.8,30.2,51236
GEOJITBNPP,2016-02-17,30.3,32.45,29.05,30.05,46460
GEOJITBNPP,2016-02-18,31.4,31.9,29.8,31.0,118426
GEOJITBNPP,2016-02-19,31.0,31.4,30.1,30.75,31254
GEOJITBNPP,2016-02-22,31.6,31.6,30.55,30.7,19450
GEOJITBNPP,2016-02-23,31.2,31.2,29.8,29.95,24393
GEOJITBNPP,2016-02-24,29.6,30.05,29.3,29.4,45771
GEOJITBNPP,2016-02-25,29.8,30.25,28.85,29.05,26109
GEOJITBNPP,2016-02-26,29.75,30.75,28.95,29.1,29066
GEOJITBNPP,2016-02-29,29.35,29.7,28.5,28.75,43639
GEOJITBNPP,2016-03-01,29.35,31.9,29.1,31.3,55928
GEOJITBNPP,2016-03-02,31.5,32.0,31.4,31.55,34639
GEOJITBNPP,2016-03-03,31.9,31.9,31.2,31.5,33529
GEOJITBNPP,2016-03-04,34.0,34.0,30.1,31.1,116774
GEOJITBNPP,2016-03-08,31.7,31.9,30.5,30.9,83785
GEOJITBNPP,2016-03-09,31.05,31.1,30.3,30.9,27159
GEOJITBNPP,2016-03-10,30.9,32.1,30.8,31.5,55598
GEOJITBNPP,2016-03-11,32.0,32.0,31.3,31.45,39230
GEOJITBNPP,2016-03-14,31.45,32.0,31.2,31.25,35564
GEOJITBNPP,2016-03-15,31.4,31.85,30.65,30.95,61699
GEOJITBNPP,2016-03-16,31.55,31.55,30.6,30.8,38585
GEOJITBNPP,2016-03-17,31.75,31.75,30.75,30.8,37080
GEOJITBNPP,2016-03-18,31.0,31.2,30.7,30.8,44445
GEOJITBNPP,2016-03-21,31.75,34.75,31.15,34.25,375467
GEOJITBNPP,2016-03-22,36.25,36.75,34.15,34.7,908847
GEOJITBNPP,2016-03-23,34.8,34.8,33.3,34.15,109992
GEOJITBNPP,2016-03-28,33.35,33.5,31.55,31.9,90385
GEOJITBNPP,2016-03-29,32.0,32.8,30.75,31.15,73124
GEOJITBNPP,2016-03-30,31.3,32.0,30.95,31.15,92943
GEOJITBNPP,2016-03-31,31.1,31.5,30.75,30.9,68222
GEOJITBNPP,2016-04-01,30.95,31.45,30.9,31.35,52806
GEOJITBNPP,2016-04-04,31.7,31.75,30.5,31.2,48517
GEOJITBNPP,2016-04-05,31.4,31.4,30.15,30.25,61765
GEOJITBNPP,2016-04-06,30.85,31.0,30.3,30.7,32157
GEOJITBNPP,2016-04-07,30.8,31.0,30.45,30.8,24452
GEOJITBNPP,2016-04-08,30.8,31.25,30.65,31.0,21062
GEOJITBNPP,2016-04-11,31.0,31.3,30.85,30.9,31400
GEOJITBNPP,2016-04-12,31.35,32.0,31.05,31.75,67220
GEOJITBNPP,2016-04-13,31.8,32.85,31.8,32.7,117004
GEOJITBNPP,2016-04-18,33.0,33.2,31.5,32.65,188318
GEOJITBNPP,2016-04-20,32.8,33.5,32.7,33.2,78859
GEOJITBNPP,2016-04-21,33.1,34.45,33.1,33.8,113088
GEOJITBNPP,2016-04-22,35.55,36.0,34.25,35.4,332914
GEOJITBNPP,2016-04-25,35.15,36.2,35.1,35.75,106876
GEOJITBNPP,2016-04-26,35.8,35.95,35.1,35.3,78182
GEOJITBNPP,2016-04-27,35.7,36.45,35.45,36.3,94164
GEOJITBNPP,2016-04-28,36.15,36.4,35.5,36.25,101661
GEOJITBNPP,2016-04-29,35.9,36.75,35.6,35.6,60536
GEOJITBNPP,2016-05-02,35.8,35.85,34.2,35.5,88644
GEOJITBNPP,2016-05-03,35.2,36.0,35.1,36.0,79081
GEOJITBNPP,2016-05-04,35.55,36.45,35.45,35.5,62068
GEOJITBNPP,2016-05-05,35.5,36.7,35.25,36.05,99098
GEOJITBNPP,2016-05-06,36.25,36.25,35.5,35.7,33534
GEOJITBNPP,2016-05-09,35.95,36.75,35.7,36.75,69046
GEOJITBNPP,2016-05-10,36.75,36.95,36.2,36.9,81656
GEOJITBNPP,2016-05-11,36.4,37.0,36.2,36.55,42941
GEOJITBNPP,2016-05-12,36.8,38.2,36.75,37.85,84931
GEOJITBNPP,2016-05-13,38.25,39.8,38.0,39.25,117678
GEOJITBNPP,2016-05-16,39.6,39.6,37.7,38.0,117461
GEOJITBNPP,2016-05-17,38.8,39.15,37.85,38.65,91257
GEOJITBNPP,2016-05-18,39.0,39.3,38.5,39.0,60277
GEOJITBNPP,2016-05-19,39.3,39.3,38.5,39.0,42259
GEOJITBNPP,2016-05-20,39.2,39.2,38.1,38.9,73423
GEOJITBNPP,2016-05-23,38.15,39.2,38.0,38.55,41783
GEOJITBNPP,2016-05-24,38.05,38.7,35.3,37.5,94595
GEOJITBNPP,2016-05-25,37.6,39.8,37.35,38.0,72048
GEOJITBNPP,2016-05-26,38.0,38.55,37.55,38.0,232362
GEOJITBNPP,2016-05-27,36.0,38.2,36.0,38.0,291846
GEOJITBNPP,2016-05-30,38.0,38.9,37.0,38.5,369412
GEOJITBNPP,2016-05-31,37.75,41.4,37.75,38.55,139564
GEOJITBNPP,2016-06-01,38.05,39.15,38.05,39.15,118101
GEOJITBNPP,2016-06-02,38.95,40.25,38.45,40.2,221008
