symbol,date,open,high,low,close,volume
GLFL,2016-01-04,1.4,1.4,1.4,1.4,2500
GLFL,2016-01-06,1.4,1.45,1.4,1.45,6350
GLFL,2016-01-07,1.5,1.5,1.5,1.5,4498
GLFL,2016-01-12,1.55,1.55,1.55,1.55,100
GLFL,2016-01-13,1.55,1.55,1.55,1.55,300
GLFL,2016-01-15,1.55,1.55,1.55,1.55,35
GLFL,2016-01-18,1.6,1.6,1.6,1.6,1000
GLFL,2016-01-27,1.65,1.65,1.65,1.65,612
GLFL,2016-02-04,1.7,1.7,1.7,1.7,187
GLFL,2016-02-05,1.7,1.7,1.7,1.7,1
GLFL,2016-02-17,1.75,1.75,1.75,1.75,250
GLFL,2016-02-18,1.8,1.8,1.8,1.8,125
GLFL,2016-02-23,1.85,1.85,1.85,1.85,300
GLFL,2016-02-24,1.9,1.9,1.9,1.9,2
GLFL,2016-02-26,1.95,1.95,1.95,1.95,25
GLFL,2016-02-29,2.0,2.0,2.0,2.0,187
GLFL,2016-03-01,2.0,2.0,2.0,2.0,200
GLFL,2016-03-03,2.1,2.1,2.1,2.1,25
GLFL,2016-03-04,2.2,2.2,2.2,2.2,100
GLFL,2016-03-08,2.3,2.3,2.3,2.3,1900
GLFL,2016-03-10,2.2,2.35,2.2,2.35,5225
GLFL,2016-03-11,2.45,2.45,2.45,2.45,3000
GLFL,2016-03-17,2.35,2.35,2.35,2.35,125
GLFL,2016-03-18,2.25,2.25,2.25,2.25,75
GLFL,2016-04-12,2.25,2.25,2.25,2.25,50
GLFL,2016-05-13,2.15,2.15,2.15,2.15,2000
GLFL,2016-05-27,2.15,2.15,2.15,2.15,100
GLFL,2016-07-01,2.05,2.05,2.05,2.05,3000
GLFL,2016-07-07,1.95,1.95,1.95,1.95,300
GLFL,2016-07-08,1.9,1.9,1.9,1.9,5000
GLFL,2016-07-12,1.85,1.85,1.85,1.85,200
GLFL,2016-07-21,1.85,1.85,1.85,1.85,100
GLFL,2016-07-26,1.8,1.8,1.8,1.8,1000
GLFL,2016-09-08,1.75,1.75,1.75,1.75,100
GLFL,2016-09-09,1.7,1.7,1.7,1.7,100
GLFL,2016-09-14,1.65,1.65,1.65,1.65,100
GLFL,2016-09-21,1.6,1.6,1.6,1.6,1000
GLFL,2016-09-22,1.65,1.65,1.65,1.65,300
GLFL,2016-09-26,1.7,1.7,1.7,1.7,5000
GLFL,2016-09-27,1.7,1.75,1.7,1.75,295
GLFL,2016-09-28,1.7,1.7,1.7,1.7,3004
GLFL,2016-09-29,1.65,1.65,1.65,1.65,150
GLFL,2016-09-30,1.6,1.6,1.6,1.6,1
GLFL,2016-10-04,1.65,1.65,1.65,1.65,299
GLFL,2016-10-05,1.7,1.7,1.7,1.7,2020
GLFL,2016-10-06,1.7,1.75,1.7,1.75,4375
GLFL,2016-10-07,1.8,1.8,1.8,1.8,3781
GLFL,2016-10-13,1.85,1.85,1.8,1.85,5250
GLFL,2016-10-17,1.9,1.9,1.9,1.9,1512
GLFL,2016-10-18,1.95,1.95,1.95,1.95,1134
GLFL,2016-10-19,2.0,2.0,2.0,2.0,287
GLFL,2016-10-20,2.0,2.0,2.0,2.0,2000
GLFL,2016-10-21,1.9,1.9,1.9,1.9,25
GLFL,2016-10-24,1.9,1.95,1.9,1.95,625
GLFL,2016-10-25,2.0,2.0,2.0,2.0,17313
GLFL,2016-10-26,2.1,2.1,2.1,2.1,2063
GLFL,2016-10-28,2.0,2.1,2.0,2.1,400
GLFL,2016-11-01,2.0,2.0,2.0,2.0,150
GLFL,2016-11-02,2.1,2.1,2.1,2.1,1
GLFL,2016-11-03,2.2,2.2,2.2,2.2,50
GLFL,2016-11-04,2.2,2.2,2.2,2.2,3000
GLFL,2016-11-08,2.1,2.1,2.1,2.1,10
GLFL,2016-12-13,2.0,2.0,2.0,2.0,313
GLFL,2016-12-23,2.0,2.0,2.0,2.0,2500
GLFL,2017-01-03,2.1,2.1,2.1,2.1,1000
GLFL,2017-01-09,2.2,2.2,2.2,2.2,250
GLFL,2017-01-12,2.3,2.3,2.3,2.3,100
GLFL,2017-01-16,2.4,2.4,2.4,2.4,22750
GLFL,2017-01-17,2.5,2.5,2.5,2.5,188
GLFL,2017-01-18,2.6,2.6,2.6,2.6,1
GLFL,2017-01-19,2.7,2.7,2.7,2.7,3000
GLFL,2017-01-23,2.6,2.6,2.6,2.6,221
GLFL,2017-01-25,2.6,2.6,2.6,2.6,63
GLFL,2017-01-27,2.7,2.7,2.7,2.7,4081
GLFL,2017-01-30,2.65,2.65,2.65,2.65,10
GLFL,2017-02-03,2.65,2.65,2.65,2.65,1562
GLFL,2017-02-09,2.55,2.75,2.55,2.75,8375
GLFL,2017-02-10,2.75,2.75,2.65,2.65,900
GLFL,2017-02-13,2.75,2.75,2.75,2.75,50
GLFL,2017-02-14,2.85,2.85,2.85,2.85,14001
GLFL,2017-02-15,2.75,2.75,2.75,2.75,4129
GLFL,2017-02-16,2.85,2.85,2.85,2.85,2600
GLFL,2017-02-17,2.95,2.95,2.95,2.95,3095
GLFL,2017-02-20,3.05,3.05,3.0,3.0,1562
GLFL,2017-02-21,3.15,3.15,3.15,3.15,375
GLFL,2017-02-23,3.3,3.3,3.3,3.3,625
GLFL,2017-02-27,3.45,3.45,3.45,3.45,7793
GLFL,2017-02-28,3.6,3.6,3.6,3.6,408
GLFL,2017-03-01,3.6,3.75,3.6,3.75,7500
GLFL,2017-03-02,3.9,3.9,3.9,3.9,11500
GLFL,2017-03-03,4.05,4.05,4.05,4.05,28927
GLFL,2017-03-06,4.25,4.25,4.25,4.25,9775
GLFL,2017-03-07,4.25,4.45,4.25,4.45,2741
GLFL,2017-03-08,4.65,4.65,4.65,4.65,7085
GLFL,2017-03-09,4.85,4.85,4.85,4.85,7742
GLFL,2017-03-10,5.05,5.05,4.65,4.7,7700
GLFL,2017-03-14,4.9,4.9,4.6,4.9,21000
GLFL,2017-03-15,5.1,5.1,5.05,5.05,2575
GLFL,2017-03-16,5.05,5.05,4.8,4.8,2147
GLFL,2017-03-21,4.6,4.6,4.6,4.6,5000
GLFL,2017-03-31,4.8,4.8,4.8,4.8,1000
GLFL,2017-04-10,4.6,4.6,4.6,4.6,210
GLFL,2017-04-11,4.4,4.4,4.4,4.4,1000
GLFL,2017-05-02,4.2,4.2,4.2,4.2,100
GLFL,2017-05-03,4.0,4.0,4.0,4.0,28
GLFL,2017-05-12,3.8,3.8,3.8,3.8,200
GLFL,2017-05-15,3.8,3.8,3.8,3.8,4
GLFL,2017-06-05,3.65,3.65,3.65,3.65,700
GLFL,2017-07-31,3.5,3.5,3.5,3.5,25
GLFL,2017-08-08,3.35,3.35,3.35,3.35,1
GLFL,2017-09-04,3.2,3.2,3.2,3.2,2000
