symbol,date,open,high,low,close,volume
GODFRYPHLP,2008-06-09,280.0,288.0,280.0,286.19,2960
GODFRYPHLP,2008-06-10,280.05,290.0,280.05,288.03,1305
GODFRYPHLP,2008-06-11,290.0,290.0,283.17,286.27,3685
GODFRYPHLP,2008-06-12,280.8,291.12,280.8,289.92,825
GODFRYPHLP,2008-06-13,284.0,284.0,284.0,284.0,500
GODFRYPHLP,2008-06-16,286.0,286.0,281.35,284.0,390
GODFRYPHLP,2008-06-17,284.0,284.2,283.0,284.09,715
GODFRYPHLP,2008-06-18,284.0,286.07,283.0,286.0,1470
GODFRYPHLP,2008-06-19,286.0,290.0,286.0,286.0,4680
GODFRYPHLP,2008-06-20,286.0,289.78,282.0,282.0,5405
GODFRYPHLP,2008-06-23,280.0,284.0,264.0,280.02,6225
GODFRYPHLP,2008-06-24,279.0,281.0,279.0,280.67,3285
GODFRYPHLP,2008-06-25,275.98,280.0,272.01,280.0,2515
GODFRYPHLP,2008-06-26,275.2,280.0,275.2,276.02,730
GODFRYPHLP,2008-06-27,272.0,272.0,261.3,261.43,1910
GODFRYPHLP,2008-06-30,259.8,262.0,238.0,255.18,5500
GODFRYPHLP,2008-07-01,248.0,257.0,240.0,248.54,2435
GODFRYPHLP,2008-07-02,236.2,253.2,236.2,242.36,415
GODFRYPHLP,2008-07-03,240.0,247.2,240.0,244.62,1325
GODFRYPHLP,2008-07-04,231.2,250.6,231.2,243.04,55
GODFRYPHLP,2008-07-07,255.0,255.78,246.0,254.29,350
GODFRYPHLP,2008-07-08,254.4,257.6,250.01,257.6,965
GODFRYPHLP,2008-07-09,246.0,264.0,246.0,252.09,1150
GODFRYPHLP,2008-07-10,260.0,260.0,253.64,258.52,135
GODFRYPHLP,2008-07-11,256.2,270.0,256.0,268.03,2230
GODFRYPHLP,2008-07-14,278.0,278.0,258.4,265.2,85
GODFRYPHLP,2008-07-15,263.0,268.6,260.0,261.01,605
GODFRYPHLP,2008-07-16,258.01,267.18,258.01,263.99,1405
GODFRYPHLP,2008-07-17,265.0,268.0,262.0,267.61,2105
GODFRYPHLP,2008-07-18,260.6,271.0,260.6,269.67,1600
GODFRYPHLP,2008-07-21,261.67,270.0,257.25,257.27,1500
GODFRYPHLP,2008-07-22,267.98,273.0,262.4,271.51,110
GODFRYPHLP,2008-07-23,265.64,276.0,265.64,270.0,810
GODFRYPHLP,2008-07-24,267.25,270.98,260.2,268.97,275
GODFRYPHLP,2008-07-25,277.53,278.0,270.0,275.0,1295
GODFRYPHLP,2008-07-28,266.66,274.0,257.0,258.4,10365
GODFRYPHLP,2008-07-29,257.0,259.99,250.21,259.08,770
GODFRYPHLP,2008-07-30,267.0,280.0,259.8,275.15,367225
GODFRYPHLP,2008-07-31,280.0,290.0,276.2,281.44,4650
GODFRYPHLP,2008-08-01,289.39,290.0,281.52,285.58,1375
GODFRYPHLP,2008-08-04,289.96,290.0,282.0,285.7,1170
GODFRYPHLP,2008-08-05,287.98,288.87,284.0,286.32,2500
GODFRYPHLP,2008-08-06,289.8,303.8,287.0,300.2,24390
GODFRYPHLP,2008-08-07,292.8,303.6,292.8,299.99,1030
GODFRYPHLP,2008-08-08,308.9,308.9,300.0,300.0,1745
GODFRYPHLP,2008-08-11,300.4,301.2,295.2,297.67,4745
GODFRYPHLP,2008-08-12,300.0,300.6,296.0,296.2,1050
GODFRYPHLP,2008-08-13,300.0,300.6,295.0,300.48,835
GODFRYPHLP,2008-08-14,303.0,303.0,294.4,298.4,3200
GODFRYPHLP,2008-08-18,298.4,300.4,298.4,300.0,2640
GODFRYPHLP,2008-08-19,300.0,300.98,300.0,300.34,2730
GODFRYPHLP,2008-08-20,300.0,301.6,300.0,300.02,2430
GODFRYPHLP,2008-08-21,299.9,299.92,294.14,294.14,275
GODFRYPHLP,2008-08-22,296.8,297.98,294.0,294.95,4545
